date_obj,Dwarf%20weed price
2015-03-26,1635
2015-03-27,1635
2015-03-28,1560
2015-03-29,1497
2015-03-30,1497
2015-03-31,1452
2015-04-01,1452
2015-04-02,1460
2015-04-03,1442
2015-04-04,1421
2015-04-05,1421
2015-04-06,1408
2015-04-07,1423
2015-04-08,1423
2015-04-09,1460
2015-04-10,1498
2015-04-11,1498
2015-04-12,1506
2015-04-13,1506
2015-04-14,1533
2015-04-15,1557
2015-04-16,1557
2015-04-17,1553
2015-04-18,1585
2015-04-19,1594
2015-04-20,1594
2015-04-21,1614
2015-04-22,1614
2015-04-23,1653
2015-04-24,1653
2015-04-25,1691
2015-04-26,1691
2015-04-27,1646
2015-04-28,1599
2015-04-29,1599
2015-04-30,1582
2015-05-01,1623
2015-05-02,1639
2015-05-03,1639
2015-05-04,1658
2015-05-05,1658
2015-05-06,1604
2015-05-07,1604
2015-05-08,1646
2015-05-09,1646
2015-05-10,1681
2015-05-11,1681
2015-05-12,1757
2015-05-13,1757
2015-05-14,1810
2015-05-15,1810
2015-05-16,1843
2015-05-17,1781
2015-05-18,1781
2015-05-19,1736
2015-05-20,1736
2015-05-21,1736
2015-05-22,1737
2015-05-23,1737
2015-05-24,1787
2015-05-25,1868
2015-05-26,1868
2015-05-27,1835
2015-05-28,1835
2015-05-29,1821
2015-05-30,1759
2015-05-31,1759
2015-06-01,1788
2015-06-02,1788
2015-06-03,1850
2015-06-04,1850
2015-06-05,1877
2015-06-06,1827
2015-06-07,1812
2015-06-08,1812
2015-06-09,1864
2015-06-10,1886
2015-06-11,1886
2015-06-12,1843
2015-06-13,1882
2015-06-14,1887
2015-06-15,1887
2015-06-16,1925
2015-06-17,1925
2015-06-18,1964
2015-06-19,1919
2015-06-20,1941
2015-06-21,1941
2015-06-22,1969
2015-06-23,1969
2015-06-24,1878
2015-06-25,1878
2015-06-26,1790
2015-06-27,1790
2015-06-28,1728
2015-06-29,1728
2015-06-30,1768
2015-07-01,1735
2015-07-02,1735
2015-07-03,1667
2015-07-04,1683
2015-07-05,1683
2015-07-06,1674
2015-07-07,1685
2015-07-08,1668
2015-07-09,1668
2015-07-10,1659
2015-07-11,1659
2015-07-12,1646
2015-07-13,1647
2015-07-14,1658
2015-07-15,1690
2015-07-16,1690
2015-07-17,1719
2015-07-18,1719
2015-07-19,1714
2015-07-20,1689
2015-07-21,1689
2015-07-22,1693
2015-07-23,1693
2015-07-24,1734
2015-07-25,1734
2015-07-26,1772
2015-07-27,1752
2015-07-28,1752
2015-07-29,1777
2015-07-30,1777
2015-07-31,1819
2015-08-01,1819
2015-08-02,1828
2015-08-03,1828
2015-08-04,1794
2015-08-05,1791
2015-08-06,1791
2015-08-07,1799
2015-08-08,1773
2015-08-09,1817
2015-08-10,1861
2015-08-11,1848
2015-08-12,1848
2015-08-13,1848
2015-08-14,1878
2015-08-15,1878
2015-08-16,1875
2015-08-17,1875
2015-08-18,1903
2015-08-19,1903
2015-08-20,1971
2015-08-21,1971
2015-08-22,2026
2015-08-23,2026
2015-08-24,2092
2015-08-25,2092
2015-08-26,2092
2015-08-27,2096
2015-08-28,2096
2015-08-29,2073
2015-08-30,2073
2015-08-31,1977
2015-09-01,1977
2015-09-02,1974
2015-09-03,1974
2015-09-04,2047
2015-09-05,2047
2015-09-06,2047
2015-09-07,2044
2015-09-08,2044
2015-09-09,2012
2015-09-10,2012
2015-09-11,2104
2015-09-12,2104
2015-09-13,2209
2015-09-14,2209
2015-09-15,2193
2015-09-16,2193
2015-09-17,2142
2015-09-18,2142
2015-09-19,2059
2015-09-20,2059
2015-09-21,2099
2015-09-22,2099
2015-09-23,2090
2015-09-24,2090
2015-09-25,2090
2015-09-27,2140
2015-09-28,2135
2015-09-29,2135
2015-09-30,2202
2015-10-05,2119
2015-10-06,2119
2015-10-07,2110
2015-10-08,2110
2015-10-09,2195
2015-10-10,2195
2015-10-11,2118
2015-10-12,2118
2015-10-13,2064
2015-10-14,2064
2015-10-15,2065
2015-10-16,2065
2015-10-17,2102
2015-10-18,2102
2015-10-19,2175
2015-10-20,2175
2015-10-22,2282
2015-10-23,2397
2015-10-24,2397
2015-10-25,2491
2015-10-26,2491
2015-10-27,2491
2015-10-29,2465
2015-10-30,2465
2015-10-31,2445
2015-11-01,2445
2015-11-02,2445
2015-11-03,2521
2015-11-04,2521
2015-11-05,2521
2015-11-06,2574
2015-11-07,2574
2015-11-08,2574
2015-11-09,2596
2015-11-10,2596
2015-11-11,2596
2015-11-12,2573
2015-11-13,2573
2015-11-14,2573
2015-11-15,2608
2015-11-16,2608
2015-11-17,2608
2015-11-18,2559
2015-11-19,2559
2015-11-20,2557
2015-11-21,2557
2015-11-22,2557
2015-11-23,2607
2015-11-24,2607
2015-11-25,2553
2015-11-26,2553
2015-11-27,2553
2015-11-28,2575
2015-11-29,2575
2015-11-30,2538
2015-12-01,2538
2015-12-02,2538
2015-12-03,2543
2015-12-04,2543
2015-12-05,2543
2015-12-06,2606
2015-12-07,2606
2015-12-08,2724
