date_obj,Green%20partyhat price
2015-03-26,30066
2015-03-27,30066
2015-03-28,29315
2015-03-29,28926
2015-03-30,29133
2015-03-31,29163
2015-04-01,29163
2015-04-02,28699
2015-04-03,27874
2015-04-04,26715
2015-04-05,26715
2015-04-06,25537
2015-04-07,24378
2015-04-08,24378
2015-04-09,23159
2015-04-10,22459
2015-04-11,22567
2015-04-12,22567
2015-04-13,22893
2015-04-14,22893
2015-04-15,23543
2015-04-16,23543
2015-04-17,22889
2015-04-18,22889
2015-04-19,22048
2015-04-20,22048
2015-04-21,21518
2015-04-22,21518
2015-04-23,21209
2015-04-24,21209
2015-04-25,20957
2015-04-26,20957
2015-04-27,21477
2015-04-28,21601
2015-04-29,21601
2015-04-30,22208
2015-05-01,22208
2015-05-02,23085
2015-05-03,23085
2015-05-04,22786
2015-05-05,22786
2015-05-06,23379
2015-05-07,23379
2015-05-08,23745
2015-05-09,23745
2015-05-10,24223
2015-05-11,24223
2015-05-12,23518
2015-05-13,23518
2015-05-14,22713
2015-05-15,22713
2015-05-16,22713
2015-05-17,22363
2015-05-18,22363
2015-05-19,22541
2015-05-20,22541
2015-05-21,22541
2015-05-22,23199
2015-05-23,23199
2015-05-24,22879
2015-05-25,22879
2015-05-26,22672
2015-05-27,22672
2015-05-28,22187
2015-05-29,22187
2015-05-30,21726
2015-05-31,21726
2015-06-01,21661
2015-06-02,21661
2015-06-03,22086
2015-06-04,22086
2015-06-05,21460
2015-06-06,21372
2015-06-07,21372
2015-06-08,21695
2015-06-09,22606
2015-06-10,23555
2015-06-11,23555
2015-06-12,24659
2015-06-13,25795
2015-06-14,26975
2015-06-15,28182
2015-06-16,29526
2015-06-17,30908
2015-06-18,31530
2015-06-19,31530
2015-06-20,32425
2015-06-21,32425
2015-06-22,32730
2015-06-23,32730
2015-06-24,33040
2015-06-25,33040
2015-06-26,33259
2015-06-27,33259
2015-06-28,31781
2015-06-29,31781
2015-06-30,31119
2015-07-01,31373
2015-07-02,31373
2015-07-03,31807
2015-07-04,31807
2015-07-05,32304
2015-07-06,32304
2015-07-07,31636
2015-07-08,30221
2015-07-09,30221
2015-07-10,28976
2015-07-11,28976
2015-07-12,27631
2015-07-13,26915
2015-07-14,26915
2015-07-15,26048
2015-07-16,26048
2015-07-17,24770
2015-07-18,24770
2015-07-19,24291
2015-07-20,25074
2015-07-21,25074
2015-07-22,25495
2015-07-23,25495
2015-07-24,26079
2015-07-25,26079
2015-07-26,27280
2015-07-27,28476
2015-07-28,28476
2015-07-29,29888
2015-07-30,29888
2015-07-31,31265
2015-08-01,31265
2015-08-02,32828
2015-08-03,32828
2015-08-04,34318
2015-08-05,35907
2015-08-06,35907
2015-08-07,36767
2015-08-08,38272
2015-08-09,40009
2015-08-10,41896
2015-08-11,43991
2015-08-12,43991
2015-08-13,45018
2015-08-14,45018
2015-08-15,43663
2015-08-16,43663
2015-08-17,42952
2015-08-18,42952
2015-08-19,42657
2015-08-20,42657
2015-08-21,42227
2015-08-22,42227
2015-08-23,42498
2015-08-24,42498
2015-08-25,42174
2015-08-26,42174
2015-08-27,42115
2015-08-28,42115
2015-08-29,42845
2015-08-30,42845
2015-08-31,43907
