date_obj,Ensouled%20kalphite%20head price
2016-01-07,4715
2016-01-08,4637
2016-01-09,4436
2016-01-10,4220
2016-01-11,4119
2016-01-12,3913
2016-01-13,3717
2016-01-14,3849
2016-01-15,3922
2016-01-16,3828
2016-01-17,3710
2016-01-18,3757
2016-01-19,3569
2016-01-20,3453
2016-01-21,3280
2016-01-22,3116
2016-01-23,2960
2016-01-24,2812
2016-01-25,2671
2016-01-26,2541
2016-01-27,2457
2016-01-28,2574
2016-01-29,2684
2016-01-30,2561
2016-01-31,2432
2016-02-01,2415
2016-02-02,2502
2016-02-03,2628
2016-02-04,2760
2016-02-05,2898
2016-02-06,3043
2016-02-07,3196
2016-02-08,3307
2016-02-09,3473
2016-02-10,3528
2016-02-11,3351
2016-02-12,3212
2016-02-13,3110
2016-02-14,3102
2016-02-15,3087
2016-02-16,3102
2016-02-17,3181
2016-02-18,3134
2016-02-19,3124
2016-02-20,3132
2016-02-21,3178
2016-02-22,3047
2016-02-23,2991
2016-02-24,3111
2016-02-25,2963
2016-02-26,2814
2016-02-27,2885
2016-02-28,3005
2016-02-29,3156
2016-03-01,3281
2016-03-02,3271
2016-03-03,3319
2016-03-04,3485
2016-03-05,3622
2016-03-06,3774
2016-03-07,3963
2016-03-08,4110
2016-03-09,4280
2016-03-10,4413
2016-03-11,4556
2016-03-12,4626
2016-03-13,4484
2016-03-14,4655
2016-03-15,4865
2016-03-16,4966
2016-03-17,4987
2016-03-18,4953
2016-03-19,4733
2016-03-20,4546
2016-03-21,4318
2016-03-22,4102
2016-03-23,3897
2016-03-24,3776
2016-03-25,3593
2016-03-26,3491
2016-03-27,3599
2016-03-28,3483
2016-03-29,3333
2016-03-30,3258
2016-03-31,3355
2016-04-01,3194
2016-04-02,3140
2016-04-03,3026
2016-04-04,2990
2016-04-05,2980
2016-04-06,2978
2016-04-07,2971
2016-04-08,2973
2016-04-09,3121
2016-04-10,3149
2016-04-11,3143
2016-04-12,3144
2016-04-13,3170
2016-04-14,3282
2016-04-15,3443
2016-04-16,3382
2016-04-17,3260
2016-04-18,3109
2016-04-19,2969
2016-04-20,2920
2016-04-21,3009
2016-04-22,3011
2016-04-23,3033
2016-04-24,2888
2016-04-25,2848
2016-04-26,2981
2016-04-27,2838
2016-04-28,2849
2016-04-29,2732
2016-04-30,2595
2016-05-01,2467
2016-05-02,2369
2016-05-03,2409
2016-05-04,2523
2016-05-05,2650
2016-05-06,2782
2016-05-07,2688
2016-05-08,2595
2016-05-09,2485
2016-05-10,2404
2016-05-11,2283
2016-05-12,2235
2016-05-13,2259
2016-05-14,2275
2016-05-15,2264
2016-05-16,2318
2016-05-17,2270
2016-05-18,2156
2016-05-19,2119
2016-05-22,2163
2016-05-23,2166
2016-05-24,2245
2016-05-25,2196
2016-05-26,2133
2016-05-27,2058
2016-05-28,1994
2016-05-29,2094
2016-05-30,2166
2016-05-31,2253
2016-06-01,2154
2016-06-02,2115
2016-06-03,2143
2016-06-04,2213
2016-06-05,2252
2016-06-06,2345
2016-06-07,2374
2016-06-08,2392
2016-06-09,2387
2016-06-10,2285
2016-06-11,2226
2016-06-12,2311
2016-06-13,2405
2016-06-14,2425
2016-06-15,2436
2016-06-16,2485
2016-06-17,2602
2016-06-18,2661
2016-06-19,2789
2016-06-20,2927
2016-06-21,2960
2016-06-22,2971
2016-06-23,3067
2016-06-24,3211
2016-06-25,3254
2016-06-26,3417
2016-06-27,3469
2016-06-28,3448
2016-06-29,3614
2016-06-30,3527
2016-07-01,3419
2016-07-02,3510
2016-07-03,3508
2016-07-04,3339
2016-07-05,3208
2016-07-06,3305
2016-07-07,3162
2016-07-08,3172
2016-07-09,3224
2016-07-10,3164
2016-07-11,3074
2016-07-12,3032
2016-07-13,3070
2016-07-14,3171
2016-07-15,3163
2016-07-16,3299
2016-07-17,3265
2016-07-18,3300
2016-07-23,3064
2016-07-24,3159
2016-07-25,3189
2016-07-26,3316
2016-07-27,3328
2016-07-28,3238
2016-07-29,3191
2016-07-30,3064
2016-07-31,3097
2016-08-01,3204
2016-08-02,3333
2016-08-03,3347
2016-08-04,3327
2016-08-05,3340
2016-08-06,3318
2016-08-07,3270
2016-08-08,3272
2016-08-09,3304
2016-08-10,3362
2016-08-11,3356
2016-08-12,3493
2016-08-13,3406
2016-08-14,3409
2016-08-15,3471
2016-08-16,3349
2016-08-17,3329
2016-08-18,3336
2016-08-19,3355
2016-08-20,3357
2016-08-21,3259
2016-08-22,3334
2016-08-23,3249
2016-08-24,3136
2016-08-25,3163
2016-08-26,3127
2016-08-28,2910
2016-08-31,2836
2016-09-01,2803
2016-09-02,2827
2016-09-03,2732
2016-09-04,2869
2016-09-05,3001
2016-09-06,2872
2016-09-07,2807
2016-09-08,2816
2016-09-09,2908
2016-09-10,2813
2016-09-11,2774
2016-09-12,2683
2016-09-13,2614
2016-09-14,2610
2016-09-15,2515
2016-09-16,2446
2016-09-17,2412
2016-09-18,2485
2016-09-19,2500
2016-09-20,2475
2016-09-21,2584
2016-09-22,2699
2016-09-23,2733
2016-09-24,2779
2016-09-25,2861
2016-09-26,2833
2016-09-27,2916
2016-09-28,2843
2016-09-29,2806
2016-09-30,2900
2016-10-01,2880
2016-10-02,2834
2016-10-03,2812
2016-10-04,2860
2016-10-05,2894
2016-10-06,2907
2016-10-07,2835
2016-10-08,2731
2016-10-09,2756
2016-10-10,2663
2016-10-11,2543
2016-10-12,2473
2016-10-13,2368
2016-10-14,2405
2016-10-15,2475
2016-10-16,2503
2016-10-17,2431
2016-10-18,2362
2016-10-19,2432
2016-10-20,2478
2016-10-21,2529
2016-10-22,2472
2016-10-23,2476
2016-10-24,2535
2016-10-25,2608
2016-10-26,2612
2016-10-27,2707
2016-10-28,2718
2016-10-29,2736
2016-10-30,2668
2016-10-31,2567
2016-11-01,2569
2016-11-02,2531
2016-11-03,2510
2016-11-04,2543
2016-11-05,2507
2016-11-06,2525
2016-11-07,2541
2016-11-08,2542
2016-11-09,2511
2016-11-10,2583
2016-11-11,2485
2016-11-12,2422
2016-11-13,2455
2016-11-14,2467
2016-11-15,2559
2016-12-07,2734
2016-12-08,2811
2016-12-09,2952
2016-12-10,3007
2016-12-11,3136
2016-12-12,3293
2016-12-13,3337
2016-12-14,3465
2016-12-15,3421
2016-12-16,3504
2016-12-17,3484
2016-12-18,3515
2016-12-19,3482
2016-12-20,3448
2016-12-21,3319
2016-12-22,3153
2016-12-23,3237
2016-12-24,3340
2016-12-25,3291
2016-12-26,3140
2016-12-27,3147
2016-12-28,3283
2016-12-29,3448
2016-12-30,3536
2016-12-31,3513
2017-01-01,3487
2017-01-02,3439
2017-01-03,3338
2017-01-04,3171
2017-01-05,3015
2017-01-06,2887
2017-01-07,2758
2017-01-08,2646
2017-01-09,2584
2017-01-10,2610
2017-01-11,2601
2017-01-12,2515
2017-01-13,2442
2017-01-14,2432
2017-01-15,2396
2017-01-16,2507
2017-01-17,2633
2017-01-18,2705
2017-01-19,2838
2017-01-20,2733
2017-01-21,2752
2017-01-22,2820
2017-01-23,2793
