date_obj,Blue%20elegant%20blouse price
2015-03-26,22595
2015-03-27,22595
2015-03-28,22595
2015-03-29,22595
2015-03-30,21493
2015-03-31,21493
2015-04-01,21493
2015-04-02,20502
2015-04-03,20502
2015-04-04,19571
2015-04-05,19571
2015-04-06,19571
2015-04-07,18701
2015-04-08,18701
2015-04-09,18701
2015-04-10,18701
2015-04-11,17765
2015-04-12,17765
2015-04-13,17765
2015-04-14,16901
2015-04-15,16901
2015-04-16,16901
2015-04-17,16222
2015-04-18,16222
2015-04-19,16222
2015-04-20,15647
2015-04-21,15647
2015-04-22,15647
2015-04-23,14910
2015-04-24,14910
2015-04-25,14910
2015-04-26,14910
2015-04-27,14423
2015-04-28,14423
2015-04-29,14423
2015-04-30,14218
2015-05-01,14218
2015-05-02,14218
2015-05-03,13565
2015-05-04,13565
2015-05-05,13565
2015-05-06,12886
2015-05-07,12886
2015-05-08,12886
2015-05-09,12886
2015-05-10,12288
2015-05-11,12288
2015-05-12,12288
2015-05-13,12288
2015-05-14,11693
2015-05-15,11693
2015-05-16,11693
2015-05-17,11151
2015-05-18,11151
2015-05-19,11151
2015-05-20,10717
2015-05-21,10717
2015-05-22,10717
2015-05-23,10717
2015-05-24,10201
2015-05-25,10201
2015-05-26,9877
2015-05-27,9877
2015-05-28,9877
2015-05-29,9877
2015-05-30,9614
2015-05-31,9614
2015-06-01,9614
2015-06-02,9614
2015-06-03,9648
2015-06-04,9648
2015-06-05,9648
2015-06-06,9648
2015-06-07,9917
2015-06-08,9917
2015-06-09,9917
2015-06-10,9917
2015-06-11,10256
2015-06-12,10256
2015-06-13,10256
2015-06-14,10256
2015-06-15,10335
2015-06-16,10335
2015-06-17,10335
2015-06-18,10335
2015-06-19,10406
2015-06-20,10406
2015-06-21,10406
2015-06-22,10406
2015-06-23,10313
2015-06-24,10313
2015-06-25,10313
2015-06-26,10313
2015-06-27,10415
2015-06-28,10415
2015-06-29,10415
2015-06-30,10620
2015-07-01,10620
2015-07-02,10620
2015-07-03,10620
2015-07-04,10900
2015-07-05,10900
2015-07-06,10900
2015-07-07,10900
2015-07-08,11249
2015-07-09,11249
2015-07-10,11249
2015-07-11,11249
2015-07-12,11249
2015-07-13,11053
2015-07-14,11053
2015-07-15,11053
2015-07-16,11053
2015-07-17,11468
2015-07-18,11468
2015-07-19,11468
2015-07-20,11468
2015-07-21,11896
2015-07-22,11896
2015-07-23,11896
2015-07-24,11896
2015-07-25,12473
2015-07-26,12473
2015-07-27,12473
2015-07-28,12473
2015-07-29,13028
2015-07-30,13028
2015-07-31,13028
2015-08-01,13028
2015-08-02,13636
2015-08-03,13636
2015-08-04,13636
2015-08-05,14208
2015-08-06,14208
2015-08-07,14208
2015-08-08,14208
2015-08-09,14886
2015-08-10,14886
2015-08-11,14886
2015-08-12,14886
2015-08-13,15554
2015-08-14,15554
2015-08-15,15554
2015-08-16,15554
2015-08-17,15664
2015-08-18,15664
2015-08-19,15664
2015-08-20,15519
2015-08-21,15519
2015-08-22,15519
2015-08-23,15519
2015-08-24,15083
2015-08-25,15083
2015-08-26,15083
2015-08-27,15083
2015-08-28,15083
2015-08-29,14715
2015-08-30,14715
2015-08-31,14715
2015-09-01,14715
2015-09-02,14715
2015-09-03,15299
2015-09-04,15299
2015-09-05,15299
2015-09-06,15299
2015-09-07,15299
2015-09-08,15909
2015-09-09,15909
2015-09-10,15909
2015-09-11,15909
2015-09-12,16186
2015-09-13,16186
2015-09-14,16186
2015-09-15,16759
2015-09-16,16759
2015-09-17,16759
2015-09-18,16759
2015-09-19,16759
2015-09-20,17086
2015-09-21,17086
2015-09-22,17086
2015-09-23,17086
2015-09-24,17086
2015-09-25,17413
2015-09-27,17413
2015-09-28,17413
2015-09-29,17413
2015-09-30,16760
2015-10-05,16451
2015-10-06,16451
2015-10-07,16451
2015-10-08,16451
2015-10-09,16451
2015-10-10,16451
2015-10-11,16497
2015-10-12,16497
2015-10-13,16497
2015-10-14,16497
2015-10-15,16497
2015-10-16,16358
2015-10-17,16358
2015-10-18,16358
2015-10-19,16358
2015-10-20,16358
2015-10-22,16242
2015-10-23,16242
2015-10-24,16242
2015-10-25,16242
2015-10-26,16321
2015-10-27,16321
2015-10-29,16321
2015-10-30,16321
2015-10-31,16126
2015-11-01,16126
2015-11-02,16126
2015-11-03,16126
2015-11-04,16126
2015-11-05,16100
2015-11-06,16100
2015-11-07,16100
2015-11-08,16100
2015-11-09,16100
2015-11-10,16100
2015-11-11,16100
2015-11-12,16306
2015-11-13,16306
2015-11-14,16306
2015-11-15,16306
