date_obj,Mummy's%20head price
2016-07-06,5000000
2016-07-07,5000000
2016-07-08,5000000
2016-07-09,5000000
2016-07-10,5000000
2016-07-11,5000000
2016-07-12,5000000
2016-07-13,5000000
2016-07-14,5000000
2016-07-15,5000000
2016-07-16,5000000
2016-07-17,5000000
2016-07-18,5000000
2016-07-23,5000000
2016-07-24,5000000
2016-07-25,5000000
2016-07-26,5000000
2016-07-27,5000000
2016-07-28,5000000
2016-07-29,5000000
2016-07-30,5000000
2016-07-31,5000000
2016-08-01,5000000
2016-08-02,5000000
2016-08-03,5000000
2016-08-04,5000000
2016-08-05,5000000
2016-08-06,5000000
2016-08-07,5000000
2016-08-08,5000000
2016-08-09,5000000
2016-08-10,5000000
2016-08-11,5173789
2016-08-12,5173789
2016-08-13,5173789
2016-08-14,5173789
2016-08-15,5173789
2016-08-16,5173789
2016-08-17,5173789
2016-08-18,5173789
2016-08-19,5173789
2016-08-20,5173789
2016-08-21,5173789
2016-08-22,5173789
2016-08-23,5173789
2016-08-24,5173789
2016-08-25,5173789
2016-08-26,5173789
2016-08-28,5173789
2016-08-31,5173789
2016-09-01,5173789
2016-09-02,5173789
2016-09-03,5173789
2016-09-04,5173789
2016-09-05,5173789
2016-09-06,5173789
2016-09-07,5173789
2016-09-08,5173789
2016-09-09,5173789
2016-09-10,5173789
2016-09-11,5173789
2016-09-12,5173789
2016-09-13,5173789
2016-09-14,5173789
2016-09-15,5173789
2016-09-16,5173789
2016-09-17,5173789
2016-09-18,5173789
2016-09-19,5173789
2016-09-20,5173789
2016-09-21,5173789
2016-09-22,5173789
2016-09-23,5173789
2016-09-24,5173789
2016-09-25,5173789
2016-09-26,5173789
2016-09-27,5173789
2016-09-28,5173789
2016-09-29,5173789
2016-09-30,5173789
2016-10-01,5173789
2016-10-02,5173789
2016-10-03,5173789
2016-10-04,5173789
2016-10-05,5173789
2016-10-06,5173789
2016-10-07,5173789
2016-10-08,5173789
2016-10-09,5173789
2016-10-10,5173789
2016-10-11,5173789
2016-10-12,5173789
2016-10-13,5173789
2016-10-14,5173789
2016-10-15,5173789
2016-10-16,5173789
2016-10-17,5173789
2016-10-18,5173789
2016-10-19,5173789
2016-10-20,5173789
2016-10-21,5173789
2016-10-22,5173789
2016-10-23,5173789
2016-10-24,5173789
2016-10-25,5173789
2016-10-26,5173789
2016-10-27,5173789
2016-10-28,5173789
2016-10-29,5173789
2016-10-30,5173789
2016-10-31,5173789
2016-11-01,5173789
2016-11-02,5173789
2016-11-03,5173789
2016-11-04,5173789
2016-11-05,5173789
2016-11-06,5173789
2016-11-07,5173789
2016-11-08,5014868
2016-11-09,5014868
2016-11-10,5014868
2016-11-11,5014868
2016-11-12,5014868
2016-11-13,5014868
2016-11-14,5014868
2016-12-07,5014868
2016-12-08,5014868
2016-12-09,5014868
2016-12-10,5014868
2016-12-11,5014868
2016-12-12,5014868
2016-12-13,5014868
2016-12-14,5014868
2016-12-15,5014868
2016-12-16,5014868
2016-12-17,5014868
2016-12-18,5014868
2016-12-19,5014868
2016-12-20,5014868
2016-12-21,5014868
2016-12-22,5014868
2016-12-23,5014868
2016-12-24,5014868
2016-12-25,5014868
2016-12-26,5014868
2016-12-27,5014868
2016-12-28,5014868
2016-12-29,5014868
2016-12-30,5014868
2016-12-31,5014868
2017-01-01,5014868
2017-01-02,5014868
2017-01-03,5014868
2017-01-04,5014868
2017-01-05,5014868
2017-01-06,5014868
2017-01-07,5014868
2017-01-08,5014868
2017-01-09,5014868
2017-01-10,5014868
2017-01-11,4764809
2017-01-12,4764809
2017-01-13,4764809
2017-01-14,4764809
2017-01-15,4764809
2017-01-16,4764809
2017-01-17,4764809
2017-01-18,4764809
2017-01-19,4764809
2017-01-20,4764809
2017-01-21,4764809
2017-01-22,4764809
2017-01-27,4764809
2017-01-28,4764809
2017-01-29,4764809
2017-01-30,4764809
2017-01-31,4764809
2017-02-01,4764809
2017-02-02,4764809
2017-02-03,4764809
2017-02-04,4764809
2017-02-05,4764809
2017-02-06,4764809
2017-02-07,4764809
2017-02-08,4764809
2017-02-09,4764809
2017-02-10,4764809
2017-02-11,4764809
2017-02-12,4764809
2017-02-13,4764809
2017-02-14,4764809
2017-02-15,4764809
2017-02-16,4764809
2017-02-18,4764809
2017-02-19,4764809
2017-02-20,4764809
2017-02-21,4764809
2017-02-22,4764809
2017-02-23,4764809
2017-02-24,4764809
2017-02-25,4764809
2017-02-26,4764809
2017-02-27,4764809
2017-02-28,4764809
2017-03-01,4764809
2017-03-02,4764809
2017-03-03,4764809
2017-03-04,4764809
2017-03-05,4764809
2017-03-06,4764809
2017-03-07,4764809
2017-03-08,4764809
2017-03-09,4764809
2017-03-10,4764809
2017-03-11,4764809
2017-03-12,4764809
2017-03-13,4764809
2017-03-14,4764809
2017-03-15,4764809
2017-03-16,4764809
2017-03-17,4764809
2017-03-18,4764809
2017-03-19,4764809
2017-03-20,4764809
2017-03-21,4764809
2017-03-22,4764809
2017-03-23,4764809
2017-03-24,4764809
2017-03-25,4764809
2017-03-26,4764809
2017-03-27,4527801
2017-03-28,4527801
2017-03-29,4527801
2017-03-30,4527801
2017-03-31,4527801
2017-04-01,4527801
2017-04-02,4527801
2017-04-03,4527801
2017-04-04,4527801
2017-04-12,1401101
2017-04-13,1401101
2017-04-14,1401101
2017-04-15,1401101
2017-04-16,1401101
2017-04-17,1401101
2017-04-18,1401101
2017-04-19,1401101
2017-04-20,1401101
2017-04-21,1401101
2017-04-22,1401101
2017-04-23,1401101
2017-04-24,1401101
2017-04-25,1401101
2017-04-26,1401101
2017-04-27,1401101
2017-04-28,1401101
2017-04-29,1401101
2017-04-30,1401101
2017-05-01,1401101
2017-05-02,1401101
2017-05-03,1401101
2017-05-04,1401101
2017-05-05,1401101
2017-05-06,1401101
2017-05-07,1401101
2017-05-08,1401101
2017-05-09,1401101
2017-05-10,1401101
2017-05-11,1401101
2017-05-12,1401101
2017-05-13,1401101
2017-05-14,1401101
2017-05-15,1401101
2017-05-16,1401101
2017-05-17,1401101
2017-05-18,1401101
2017-05-19,1401101
2017-05-20,1401101
2017-05-21,1401101
2017-05-22,1401101
2017-05-23,1401101
2017-05-24,1401101
2017-05-25,1401101
2017-05-26,1401101
2017-05-27,1401101
2017-05-28,1401101
2017-05-29,1401101
2017-05-30,1401101
2017-05-31,1401101
2017-06-01,1401101
2017-06-02,1401101
2017-06-03,1401101
2017-06-06,1369933
2017-06-07,1369933
2017-06-08,1369933
2017-06-09,1369933
2017-06-10,1369933
2017-06-11,1369933
2017-06-12,1369933
2017-06-13,1369933
2017-06-14,1369933
2017-06-15,1369933
2017-06-16,1369933
2017-06-17,1369933
