date_obj,Mithril%20arrowtips price
2015-03-26,48
2015-03-27,48
2015-03-28,48
2015-03-29,48
2015-03-30,46
2015-03-31,46
2015-04-01,46
2015-04-02,46
2015-04-03,43
2015-04-04,43
2015-04-05,43
2015-04-06,43
2015-04-07,43
2015-04-08,43
2015-04-09,43
2015-04-10,43
2015-04-11,44
2015-04-12,44
2015-04-13,44
2015-04-14,44
2015-04-15,44
2015-04-16,44
2015-04-17,44
2015-04-18,44
2015-04-19,44
2015-04-20,44
2015-04-21,43
2015-04-22,43
2015-04-23,43
2015-04-24,43
2015-04-25,43
2015-04-26,43
2015-04-27,43
2015-04-28,43
2015-04-29,43
2015-04-30,43
2015-05-01,43
2015-05-02,43
2015-05-03,43
2015-05-04,43
2015-05-05,43
2015-05-06,44
2015-05-07,44
2015-05-08,44
2015-05-09,44
2015-05-10,44
2015-05-11,44
2015-05-12,44
2015-05-13,44
2015-05-14,44
2015-05-15,44
2015-05-16,43
2015-05-17,43
2015-05-18,43
2015-05-19,43
2015-05-20,43
2015-05-21,43
2015-05-22,43
2015-05-23,43
2015-05-24,43
2015-05-25,43
2015-05-26,43
2015-05-27,42
2015-05-28,42
2015-05-29,42
2015-05-30,41
2015-05-31,41
2015-06-01,41
2015-06-02,41
2015-06-03,40
2015-06-04,40
2015-06-05,40
2015-06-06,40
2015-06-07,40
2015-06-08,40
2015-06-09,40
2015-06-10,40
2015-06-11,40
2015-06-12,40
2015-06-13,40
2015-06-14,40
2015-06-15,39
2015-06-16,39
2015-06-17,39
2015-06-18,39
2015-06-19,39
2015-06-20,39
2015-06-21,39
2015-06-22,39
2015-06-23,39
2015-06-24,39
2015-06-25,39
2015-06-26,39
2015-06-27,39
2015-06-28,39
2015-06-29,39
2015-06-30,39
2015-07-01,39
2015-07-02,39
2015-07-03,39
2015-07-04,39
2015-07-05,38
2015-07-06,38
2015-07-07,38
2015-07-08,38
2015-07-09,38
2015-07-10,37
2015-07-11,37
2015-07-12,37
2015-07-13,37
2015-07-14,37
2015-07-15,37
2015-07-16,37
2015-07-17,37
2015-07-18,37
