date_obj,Black%20unicorn%20mask price
2016-07-06,1036465
2016-07-07,1036465
2016-07-08,1055562
2016-07-09,1055562
2016-07-10,1055562
2016-07-11,1009803
2016-07-12,1009803
2016-07-13,1009803
2016-07-14,959312
2016-07-15,959312
2016-07-16,959312
2016-07-17,959312
2016-07-18,911346
2016-07-23,865778
2016-07-24,865778
2016-07-25,823082
2016-07-26,823082
2016-07-27,823082
2016-07-28,823082
2016-07-29,781927
2016-07-30,781927
2016-07-31,781927
2016-08-01,781927
2016-08-02,742830
2016-08-03,742830
2016-08-04,742830
2016-08-05,742830
2016-08-06,706710
2016-08-07,706710
2016-08-08,706710
2016-08-09,706710
2016-08-10,672227
2016-08-11,672227
2016-08-12,672227
2016-08-13,672227
2016-08-14,639462
2016-08-15,639462
2016-08-16,639462
2016-08-17,639462
2016-08-18,607857
2016-08-19,607857
2016-08-20,607857
2016-08-21,607857
2016-08-22,578212
2016-08-23,578212
2016-08-24,578212
2016-08-25,578212
2016-08-26,578212
2016-08-28,549840
2016-08-31,549840
2016-09-01,522818
2016-09-02,522818
2016-09-03,522818
2016-09-04,522818
2016-09-05,522818
2016-09-06,497058
2016-09-07,497058
2016-09-08,497058
2016-09-09,497058
2016-09-10,497058
2016-09-11,497058
2016-09-12,472205
2016-09-13,472205
2016-09-14,472205
2016-09-15,472205
2016-09-16,472205
2016-09-17,448996
2016-09-18,448996
2016-09-19,448996
2016-09-20,448996
2016-09-21,448996
2016-09-22,426855
2016-09-23,426855
2016-09-24,426855
2016-09-25,426855
2016-09-26,426855
2016-09-27,406051
2016-09-28,406051
2016-09-29,406051
2016-09-30,406051
2016-10-01,406051
2016-10-02,386378
2016-10-03,386378
2016-10-04,386378
2016-10-05,386378
2016-10-06,386378
2016-10-07,386378
2016-10-08,367059
2016-10-09,367059
2016-10-10,367059
2016-10-11,367059
2016-10-12,367059
2016-10-13,349054
2016-10-14,349054
2016-10-15,349054
2016-10-16,349054
2016-10-17,349054
2016-10-18,331946
2016-10-19,331946
2016-10-20,331946
2016-10-21,331946
2016-10-22,331946
2016-10-23,331946
2016-10-24,315617
2016-10-25,315617
2016-10-26,315617
2016-10-27,315617
2016-10-28,315617
2016-10-29,315617
2016-10-30,300176
2016-10-31,300176
2016-11-01,300176
2016-11-02,300176
2016-11-03,300176
2016-11-04,285700
2016-11-05,285700
2016-11-06,285700
2016-11-07,285700
2016-11-08,285700
2016-11-09,271848
2016-11-10,271848
2016-11-11,271848
2016-11-12,271848
2016-11-13,271848
2016-11-14,271848
2016-11-15,258533
2016-12-07,211908
2016-12-08,211908
2016-12-09,201623
2016-12-10,201623
2016-12-11,201623
2016-12-12,201623
2016-12-13,192135
2016-12-14,192135
2016-12-15,192135
2016-12-16,192135
2016-12-17,182651
2016-12-18,182651
2016-12-19,182651
2016-12-20,182651
2016-12-21,182651
2016-12-22,173775
2016-12-23,173775
2016-12-24,173775
2016-12-25,173775
2016-12-26,165822
2016-12-27,165822
2016-12-28,165822
2016-12-29,165822
2016-12-30,165822
2016-12-31,157543
2017-01-01,157543
2017-01-02,157543
2017-01-03,157543
2017-01-04,149665
2017-01-05,149665
2017-01-06,149665
2017-01-07,149665
2017-01-08,149665
2017-01-09,142181
2017-01-10,142181
2017-01-11,142181
2017-01-12,135270
2017-01-13,135270
2017-01-14,135270
2017-01-15,135270
2017-01-16,128506
2017-01-17,128506
2017-01-18,128506
2017-01-19,128506
2017-01-20,122221
2017-01-21,122221
2017-01-22,122221
2017-01-23,122221
2017-01-27,116140
2017-01-28,111452
2017-01-29,111452
2017-01-30,111452
2017-01-31,111452
2017-02-01,106853
2017-02-02,106853
2017-02-03,106853
2017-02-04,106853
2017-02-05,103192
2017-02-06,103192
2017-02-07,103192
2017-02-08,103192
2017-02-09,99999
2017-02-10,99999
2017-02-11,97399
2017-02-12,97399
2017-02-13,97399
2017-02-14,93924
2017-02-15,93924
2017-02-16,93924
2017-02-18,91411
2017-02-19,91411
2017-02-20,91411
2017-02-21,91411
2017-02-22,89213
2017-02-23,89213
2017-02-24,89213
2017-02-25,89213
2017-02-26,88351
2017-02-27,88351
