date_obj,Spined%20chaps price
2015-03-26,42643
2015-03-27,42643
2015-03-28,42643
2015-03-29,42643
2015-03-30,42643
2015-03-31,40565
2015-04-01,40565
2015-04-02,40565
2015-04-03,40565
2015-04-04,40565
2015-04-05,40565
2015-04-06,40565
2015-04-07,38582
2015-04-08,38582
2015-04-09,38582
2015-04-10,38582
2015-04-11,38582
2015-04-12,38582
2015-04-13,38582
2015-04-14,38582
2015-04-15,36710
2015-04-16,36710
2015-04-17,36710
2015-04-18,36710
2015-04-19,36710
2015-04-20,36710
2015-04-21,36710
2015-04-22,36710
2015-04-23,35025
2015-04-24,35025
2015-04-25,35025
2015-04-26,35025
2015-04-27,35025
2015-04-28,35025
2015-04-29,35025
2015-04-30,33315
2015-05-01,33315
2015-05-02,33315
2015-05-03,33315
2015-05-04,33315
2015-05-05,33315
2015-05-06,33315
2015-05-07,31673
2015-05-08,31673
2015-05-09,31673
2015-05-10,31673
2015-05-11,31673
2015-05-12,31673
2015-05-13,31673
2015-05-14,30122
2015-05-15,30122
2015-05-16,30122
2015-05-17,30122
2015-05-18,30122
2015-05-19,30122
2015-05-20,30122
2015-05-21,30122
2015-05-22,28657
2015-05-23,28657
2015-05-24,28657
2015-05-25,28657
2015-05-26,28657
2015-05-27,28657
2015-05-28,27268
2015-05-29,27268
2015-05-30,27268
2015-05-31,27268
2015-06-01,25928
2015-06-02,25928
2015-06-03,25928
2015-06-04,25928
2015-06-05,25928
2015-06-06,24787
2015-06-07,24787
2015-06-08,24787
2015-06-09,24787
2015-06-10,23574
2015-06-11,23574
2015-06-12,23574
2015-06-13,23574
2015-06-14,23574
2015-06-15,22428
2015-06-16,22428
2015-06-17,22428
2015-06-18,22428
2015-06-19,21329
2015-06-20,21329
2015-06-21,21329
2015-06-22,21329
2015-06-23,20303
2015-06-24,20303
2015-06-25,20303
2015-06-26,20303
2015-06-27,19448
2015-06-28,19448
2015-06-29,19448
2015-06-30,19448
2015-07-01,18506
2015-07-02,18506
2015-07-03,18506
2015-07-04,18506
2015-07-05,17606
2015-07-06,17606
2015-07-07,17606
2015-07-08,17606
2015-07-09,16750
2015-07-10,16750
2015-07-11,16750
2015-07-12,16750
2015-07-13,16750
2015-07-14,15956
2015-07-15,15956
2015-07-16,15956
2015-07-17,15956
2015-07-18,15198
2015-07-19,15198
2015-07-20,15198
2015-07-21,15198
2015-07-22,14465
2015-07-23,14465
2015-07-24,14465
2015-07-25,14465
2015-07-26,14465
2015-07-27,13756
2015-07-28,13756
2015-07-29,13756
2015-07-30,13756
2015-07-31,13167
2015-08-01,13167
2015-08-02,13167
2015-08-03,12597
2015-08-04,12597
2015-08-05,12597
2015-08-06,12597
2015-08-07,11994
2015-08-08,11994
2015-08-09,11994
2015-08-10,11416
2015-08-11,11416
2015-08-12,11416
2015-08-13,11416
2015-08-14,10936
2015-08-15,10936
2015-08-16,10936
2015-08-17,10936
2015-08-18,10418
2015-08-19,10418
2015-08-20,10418
2015-08-21,9925
2015-08-22,9925
2015-08-23,9925
2015-08-24,9466
2015-08-25,9466
2015-08-26,9466
2015-08-27,9466
2015-08-28,9010
2015-08-29,9010
2015-08-30,9010
2015-08-31,9010
2015-09-01,8585
2015-09-02,8585
2015-09-03,8585
2015-09-04,8585
2015-09-05,8209
2015-09-06,8209
2015-09-07,8209
2015-09-08,8209
2015-09-09,7826
2015-09-10,7826
2015-09-11,7826
2015-09-12,7826
2015-09-13,7499
2015-09-14,7499
2015-09-15,7499
2015-09-16,7499
2015-09-17,7141
2015-09-18,7141
2015-09-19,7141
2015-09-20,7141
2015-09-21,7141
2015-09-22,6801
2015-09-23,6801
2015-09-24,6801
2015-09-25,6801
2015-09-27,6485
2015-09-28,6485
2015-09-29,6485
2015-09-30,6485
2015-10-05,6188
2015-10-06,6188
2015-10-07,6188
2015-10-08,5898
2015-10-09,5898
2015-10-10,5898
2015-10-11,5898
2015-10-12,5898
2015-10-13,5898
2015-10-14,5658
2015-10-15,5658
2015-10-16,5658
2015-10-17,5658
2015-10-18,5658
2015-10-19,5658
2015-10-20,5391
2015-10-22,5391
2015-10-23,5391
2015-10-24,5391
2015-10-25,5136
2015-10-26,5136
2015-10-27,5136
2015-10-29,5136
2015-10-30,5136
2015-10-31,5136
2015-11-01,4936
2015-11-02,4936
2015-11-03,4936
2015-11-04,4936
2015-11-05,4936
2015-11-06,4936
2015-11-07,4742
2015-11-08,4742
2015-11-09,4742
2015-11-10,4742
2015-11-11,4742
2015-11-12,4742
2015-11-13,4742
2015-11-14,4742
2015-11-15,4522
2015-11-16,4522
2015-11-17,4522
2015-11-18,4522
2015-11-19,4522
2015-11-20,4522
2015-11-21,4522
2015-11-22,4522
2015-11-23,4522
2015-11-24,4312
2015-11-25,4312
2015-11-26,4312
2015-11-27,4312
2015-11-28,4312
2015-11-29,4312
2015-11-30,4108
2015-12-01,4108
2015-12-02,4108
