date_obj,Farseer%20helm price
2015-03-26,42773
2015-03-27,42773
2015-03-28,43290
2015-03-29,43290
2015-03-30,42761
2015-03-31,42761
2015-04-01,43955
2015-04-02,43955
2015-04-03,44172
2015-04-04,44172
2015-04-05,44826
2015-04-06,44826
2015-04-07,42952
2015-04-08,42952
2015-04-09,42952
2015-04-10,41108
2015-04-11,41108
2015-04-12,40559
2015-04-13,40559
2015-04-14,40326
2015-04-15,40326
2015-04-16,41672
2015-04-17,41672
2015-04-18,43573
2015-04-19,43573
2015-04-20,45721
2015-04-21,45721
2015-04-22,46310
2015-04-23,46310
2015-04-24,45268
2015-04-25,45268
2015-04-26,43004
2015-04-27,43004
2015-04-28,40901
2015-04-29,40901
2015-04-30,40362
2015-05-01,40362
2015-05-02,40204
2015-05-03,40204
2015-05-04,40527
2015-05-05,40527
2015-05-06,41145
2015-05-07,41145
2015-05-08,42917
2015-05-09,42917
2015-05-10,42944
2015-05-11,42944
2015-05-12,41305
2015-05-13,41305
2015-05-14,42007
2015-05-15,42007
2015-05-16,42007
2015-05-17,41970
2015-05-18,41970
2015-05-19,42047
2015-05-20,42047
2015-05-21,42047
2015-05-22,43110
2015-05-23,43110
2015-05-24,42450
2015-05-25,42450
2015-05-26,43530
2015-05-27,43530
2015-05-28,44021
2015-05-29,44021
2015-05-30,44210
2015-05-31,44210
2015-06-01,43311
2015-06-02,43311
2015-06-03,41609
2015-06-04,41609
2015-06-05,40492
2015-06-06,39421
2015-06-07,39421
2015-06-08,38433
2015-06-09,38998
2015-06-10,39701
2015-06-11,39701
2015-06-12,39831
2015-06-13,41271
2015-06-14,41271
2015-06-15,41283
2015-06-16,41283
2015-06-17,40279
2015-06-18,41246
2015-06-19,41246
2015-06-20,42052
2015-06-21,42052
2015-06-22,41768
2015-06-23,41768
2015-06-24,41488
2015-06-25,41488
2015-06-26,40400
2015-06-27,40400
2015-06-28,40842
2015-06-29,40842
2015-06-30,41956
2015-07-01,42041
2015-07-02,42041
2015-07-03,41688
