date_obj,Bagged%20daffodils price
2015-03-05,10250
2015-03-06,10250
2015-03-07,10250
2015-03-08,10250
2015-03-09,10250
2015-03-10,10250
2015-03-11,10250
2015-03-12,10250
2015-03-13,10250
2015-03-14,10250
2015-03-15,10250
2015-03-16,10250
2015-03-17,10250
2015-03-18,10250
2015-03-19,10250
2015-03-20,10250
2015-03-21,10250
2015-03-22,10250
2015-03-23,10250
2015-03-24,10250
2015-03-25,10250
2015-03-26,10250
2015-03-27,10250
2015-03-28,10250
2015-03-29,10250
2015-03-30,10250
2015-03-31,10250
2015-04-01,10250
2015-04-02,10250
2015-04-03,10250
2015-04-04,10250
2015-04-05,10250
2015-04-06,10250
2015-04-07,10250
2015-04-08,10250
2015-04-09,10250
2015-04-10,10250
2015-04-11,10250
2015-04-12,10250
2015-04-13,10250
2015-04-14,10250
2015-04-15,10250
2015-04-16,10250
2015-04-17,10250
2015-04-18,10250
2015-04-19,10250
2015-04-20,10250
2015-04-21,10250
2015-04-22,10250
2015-04-23,10250
2015-04-24,10250
2015-04-25,10250
2015-04-26,10250
2015-04-27,10250
2015-04-28,10250
2015-04-29,10250
2015-04-30,10250
2015-05-01,10250
2015-05-02,10250
2015-05-03,10250
2015-05-04,10250
2015-05-05,10250
2015-05-06,10250
2015-05-07,10250
2015-05-08,10250
2015-05-09,10250
2015-05-10,10250
2015-05-11,10250
2015-05-12,10250
2015-05-13,10250
2015-05-14,10250
2015-05-15,10250
2015-05-16,10250
2015-05-17,10250
2015-05-18,10250
2015-05-19,10250
2015-05-20,10250
2015-05-21,10250
2015-05-22,10250
2015-05-23,10250
2015-05-24,10250
2015-05-25,10250
2015-05-26,10250
2015-05-27,10250
2015-05-28,10250
2015-05-29,10250
2015-05-30,10250
2015-05-31,10250
2015-06-01,10250
2015-06-02,10250
2015-06-03,10250
2015-06-04,10250
2015-06-05,10250
2015-06-06,10250
2015-06-07,10250
2015-06-08,10250
2015-06-09,10250
2015-06-10,10250
2015-06-11,10250
2015-06-12,10250
2015-06-13,10250
2015-06-14,10250
2015-06-15,10250
2015-06-16,10250
2015-06-17,10250
2015-06-18,10250
2015-06-19,10250
2015-06-20,10250
2015-06-21,10250
2015-06-22,10250
2015-06-23,10250
2015-06-24,10250
2015-06-25,10250
2015-06-26,10250
2015-06-27,10250
2015-06-28,10250
2015-06-29,10250
2015-06-30,10250
2015-07-01,10250
2015-07-02,10250
2015-07-03,10250
2015-07-04,10250
2015-07-05,10250
2015-07-06,10250
2015-07-07,10250
2015-07-08,10250
2015-07-09,10250
2015-07-10,10250
2015-07-11,10250
2015-07-12,10250
