date_obj,Salmon price
2015-03-26,68
2015-03-27,70
2015-03-28,71
2015-03-29,69
2015-03-30,66
2015-03-31,64
2015-04-01,62
2015-04-02,61
2015-04-03,60
2015-04-04,60
2015-04-05,59
2015-04-06,57
2015-04-07,56
2015-04-08,56
2015-04-09,56
2015-04-10,57
2015-04-11,59
2015-04-12,59
2015-04-13,59
2015-04-14,58
2015-04-15,58
2015-04-16,60
2015-04-17,62
2015-04-18,63
2015-04-19,63
2015-04-20,62
2015-04-21,62
2015-04-22,61
2015-04-23,61
2015-04-24,63
2015-04-25,63
2015-04-26,63
2015-04-27,64
2015-04-28,64
2015-04-29,63
2015-04-30,62
2015-05-01,61
2015-05-02,61
2015-05-03,61
2015-05-04,62
2015-05-05,63
2015-05-06,64
2015-05-07,65
2015-05-08,68
2015-05-09,72
2015-05-10,72
2015-05-11,70
2015-05-12,68
2015-05-13,66
2015-05-14,67
2015-05-15,68
2015-05-16,68
2015-05-17,68
2015-05-18,69
2015-05-19,69
2015-05-20,69
2015-05-21,71
2015-05-22,71
2015-05-23,71
2015-05-24,72
2015-05-25,71
2015-05-26,71
2015-05-27,71
2015-05-28,70
2015-05-29,70
2015-05-30,70
2015-05-31,70
2015-06-01,70
2015-06-02,71
2015-06-03,71
2015-06-04,71
2015-06-05,71
2015-06-06,71
2015-06-07,71
2015-06-08,70
2015-06-09,70
2015-06-10,70
2015-06-11,71
2015-06-12,71
2015-06-13,72
2015-06-14,74
2015-06-15,74
2015-06-16,73
2015-06-17,73
2015-06-18,72
2015-06-19,74
2015-06-20,74
2015-06-21,74
2015-06-22,74
2015-06-23,75
2015-06-24,76
2015-06-25,76
2015-06-26,76
2015-06-27,76
2015-06-28,75
2015-06-29,76
2015-06-30,76
2015-07-01,76
2015-07-02,75
2015-07-03,77
2015-07-04,78
2015-07-05,79
2015-07-06,80
2015-07-07,81
2015-07-08,82
2015-07-09,83
2015-07-10,84
2015-07-11,86
2015-07-12,87
2015-07-13,89
2015-07-14,91
2015-07-15,92
2015-07-16,91
2015-07-17,92
2015-07-18,90
2015-07-19,87
2015-07-20,83
2015-07-21,81
2015-07-22,81
2015-07-23,80
2015-07-24,81
2015-07-25,80
2015-07-26,81
2015-07-27,81
2015-07-28,79
2015-07-29,78
2015-07-30,78
2015-07-31,78
2015-08-01,77
2015-08-02,77
2015-08-03,77
2015-08-04,76
2015-08-05,75
2015-08-06,76
2015-08-07,77
2015-08-08,78
2015-08-09,77
2015-08-10,77
2015-08-11,79
2015-08-12,79
2015-08-13,79
2015-08-14,81
2015-08-15,84
2015-08-16,86
2015-08-17,87
2015-08-18,88
2015-08-19,89
2015-08-20,87
2015-08-21,87
2015-08-22,87
2015-08-23,87
2015-08-24,89
2015-08-25,90
2015-08-26,90
2015-08-27,87
2015-08-28,86
2015-08-29,86
2015-08-30,84
2015-08-31,82
2015-09-01,82
2015-09-02,79
2015-09-03,82
2015-09-04,82
2015-09-05,85
2015-09-06,87
2015-09-07,90
2015-09-08,93
2015-09-09,94
2015-09-10,94
2015-09-11,93
2015-09-12,90
2015-09-13,89
2015-09-14,88
2015-09-15,85
2015-09-16,81
2015-09-17,81
2015-09-18,84
2015-09-19,83
2015-09-20,83
2015-09-21,84
2015-09-22,84
2015-09-23,85
2015-09-24,86
2015-09-25,88
2015-09-27,97
2015-09-28,98
2015-09-29,98
2015-09-30,97
2015-10-05,95
2015-10-06,94
2015-10-07,96
2015-10-08,99
2015-10-09,102
2015-10-10,100
2015-10-11,99
2015-10-12,97
2015-10-13,96
2015-10-14,96
2015-10-15,97
2015-10-16,100
2015-10-17,97
2015-10-18,97
2015-10-19,96
2015-10-20,97
2015-10-22,97
2015-10-23,101
2015-10-24,106
2015-10-25,102
2015-10-26,102
2015-10-27,101
2015-10-29,100
2015-10-30,104
2015-10-31,104
2015-11-01,108
2015-11-02,107
2015-11-03,111
2015-11-04,108
2015-11-05,108
2015-11-06,113
2015-11-07,115
2015-11-08,113
2015-11-09,109
2015-11-10,104
2015-11-11,98
2015-11-12,95
2015-11-13,98
2015-11-14,95
2015-11-15,95
2015-11-16,95
2015-11-17,92
2015-11-18,91
2015-11-19,93
2015-11-20,95
2015-11-21,94
2015-11-22,94
2015-11-23,93
2015-11-24,93
2015-11-25,92
2015-11-26,94
2015-11-27,99
2015-11-28,100
2015-11-29,97
2015-11-30,93
2015-12-01,90
2015-12-02,89
2015-12-03,91
2015-12-04,91
2015-12-05,91
2015-12-06,91
2015-12-07,90
2015-12-08,89
2015-12-09,89
2015-12-10,88
2015-12-11,89
2015-12-12,88
2015-12-13,88
2015-12-14,87
2015-12-15,86
2015-12-16,82
2015-12-17,84
2015-12-18,88
2015-12-19,87
2015-12-20,88
2015-12-21,91
2015-12-22,93
2015-12-23,93
2015-12-24,97
2015-12-25,102
2015-12-26,106
2015-12-27,109
2015-12-28,111
2015-12-29,111
2015-12-30,116
2015-12-31,122
2016-01-01,129
2016-01-02,134
2016-01-03,129
2016-01-04,123
2016-01-05,117
2016-01-06,111
2016-01-07,109
2016-01-08,108
2016-01-09,107
2016-01-10,103
2016-01-11,99
2016-01-12,96
2016-01-13,93
2016-01-14,96
2016-01-15,101
2016-01-16,101
2016-01-17,97
2016-01-18,93
2016-01-19,89
2016-01-20,85
2016-01-21,85
2016-01-22,85
2016-01-23,87
2016-01-24,92
2016-01-25,93
2016-01-26,92
2016-01-27,89
2016-01-28,86
2016-01-29,86
2016-01-30,85
2016-01-31,84
2016-02-01,81
2016-02-02,77
2016-02-03,76
2016-02-04,77
2016-02-05,77
2016-02-06,75
2016-02-07,73
2016-02-08,71
2016-02-09,71
2016-02-10,74
2016-02-11,77
2016-02-12,79
2016-02-13,80
2016-02-14,78
2016-02-15,78
2016-02-16,78
2016-02-17,78
2016-02-18,79
2016-02-19,81
2016-02-20,84
2016-02-21,81
2016-02-22,80
2016-02-23,80
