date_obj,Avernic%20defender%20hilt price
2019-02-22,107773445
2019-02-23,108608970
2019-02-24,109115636
2019-02-25,107859727
2019-02-26,104969985
2019-02-27,102546462
2019-02-28,103308073
2019-03-01,102419242
2019-03-02,104618071
2019-03-03,106933818
2019-03-04,106851463
2019-03-05,107589622
2019-03-06,106919369
2019-03-07,105245252
2019-03-08,105232328
2019-03-09,105440037
2019-03-10,104491329
2019-03-11,103385549
2019-03-12,101277709
2019-03-13,99135494
2019-03-14,100731099
2019-03-15,98633609
2019-03-16,96492319
2019-03-17,96696523
2019-03-18,96734613
2019-03-19,94364886
2019-03-20,92818220
2019-03-21,90320073
2019-03-22,89013756
2019-03-23,88381513
2019-03-24,87663642
2019-03-25,85435137
2019-03-26,85733719
2019-03-27,86418863
2019-03-28,87614563
2019-03-29,90386725
2019-03-30,92038193
2019-03-31,95196555
2019-04-01,97240404
2019-04-02,92725528
2019-04-03,90888265
2019-04-04,89674640
2019-04-05,88212605
2019-04-06,88780050
2019-04-07,87734446
2019-04-08,86594924
2019-04-09,85754429
2019-04-10,84859623
2019-04-11,83563927
2019-04-12,83366034
2019-04-13,85431479
2019-04-14,85242775
2019-04-15,85781946
2019-04-16,85368242
2019-04-17,83718712
2019-04-18,82180283
2019-04-19,81541849
2019-04-20,81823514
2019-04-21,84253179
2019-04-22,83698500
2019-04-23,82436758
2019-04-24,83240974
2019-04-25,83479079
2019-04-26,83290562
2019-04-27,84771026
2019-04-28,84859095
2019-04-29,84424744
2019-04-30,84371646
2019-05-01,84654240
2019-05-02,86599416
2019-05-03,85284053
2019-05-04,86684825
2019-05-05,85693292
2019-05-06,83087098
2019-05-07,81542436
2019-05-08,81100507
2019-05-09,79467378
2019-05-10,79551032
2019-05-11,79012140
2019-05-12,78465754
2019-05-13,77487906
2019-05-14,75247525
2019-05-15,74305374
2019-05-16,73247681
2019-05-17,70527018
2019-05-18,71961470
2019-05-19,72702823
2019-05-20,75238624
2019-05-21,73154985
2019-05-22,73190187
2019-05-23,71781097
2019-05-24,70869469
2019-05-25,69331301
2019-05-26,68724554
2019-05-27,69967567
2019-05-28,72131839
2019-05-29,72845732
2019-05-30,72316354
2019-05-31,72612291
