date_obj,Desert%20top%20(overcoat) price
2015-02-25,350
2015-02-26,350
2015-02-27,350
2015-02-28,368
2015-03-01,368
2015-03-02,368
2015-03-03,368
2015-03-04,387
2015-03-05,387
2015-03-06,387
2015-03-07,387
2015-03-08,404
2015-03-09,404
2015-03-10,404
2015-03-11,404
2015-03-12,417
2015-03-13,417
2015-03-14,417
2015-03-15,417
2015-03-16,437
2015-03-17,437
2015-03-18,437
2015-03-19,437
2015-03-20,456
2015-03-21,456
2015-03-22,456
2015-03-23,456
2015-03-24,479
2015-03-25,479
2015-03-26,479
2015-03-27,479
2015-03-28,503
2015-03-29,503
2015-03-30,503
2015-03-31,526
2015-04-01,526
2015-04-02,526
2015-04-03,526
2015-04-04,549
2015-04-05,549
2015-04-06,549
2015-04-07,571
2015-04-08,571
2015-04-09,571
2015-04-10,571
2015-04-11,598
2015-04-12,598
2015-04-13,598
2015-04-14,598
2015-04-15,614
2015-04-16,614
2015-04-17,614
2015-04-18,614
2015-04-19,630
2015-04-20,630
2015-04-21,630
2015-04-22,630
2015-04-23,662
2015-04-24,662
2015-04-25,662
2015-04-26,662
2015-04-27,688
2015-04-28,688
2015-04-29,688
2015-04-30,688
2015-05-01,698
2015-05-02,698
2015-05-03,698
2015-05-04,698
2015-05-05,725
2015-05-06,725
2015-05-07,725
2015-05-08,760
2015-05-09,760
2015-05-10,760
2015-05-11,760
2015-05-12,798
2015-05-13,798
2015-05-14,798
2015-05-15,798
2015-05-16,798
2015-05-17,799
2015-05-18,799
2015-05-19,799
2015-05-20,799
2015-05-21,799
2015-05-22,793
2015-05-23,793
2015-05-24,793
2015-05-25,793
2015-05-26,795
2015-05-27,795
2015-05-28,795
2015-05-29,823
2015-05-30,823
2015-05-31,838
2015-06-01,838
2015-06-02,838
2015-06-03,845
2015-06-04,845
2015-06-05,845
2015-06-06,843
2015-06-07,843
2015-06-08,843
2015-06-09,874
2015-06-10,874
2015-06-11,874
2015-06-12,855
2015-06-13,855
2015-06-14,838
2015-06-15,838
2015-06-16,838
2015-06-17,826
2015-06-18,826
2015-06-19,826
2015-06-20,804
2015-06-21,804
2015-06-22,804
2015-06-23,784
2015-06-24,784
2015-06-25,784
2015-06-26,790
2015-06-27,790
2015-06-28,790
2015-06-29,812
2015-06-30,812
2015-07-01,777
2015-07-02,777
2015-07-03,760
2015-07-04,760
2015-07-05,760
2015-07-06,744
2015-07-07,744
2015-07-08,760
2015-07-09,760
2015-07-10,760
2015-07-11,782
2015-07-12,782
2015-07-13,806
2015-07-14,806
2015-07-15,806
2015-07-16,798
2015-07-17,798
2015-07-18,809
2015-07-19,809
2015-07-20,809
2015-07-21,813
2015-07-22,813
2015-07-23,781
2015-07-24,781
2015-07-25,741
2015-07-26,741
2015-07-27,703
2015-07-28,703
2015-07-29,667
2015-07-30,667
2015-07-31,667
2015-08-01,634
2015-08-02,634
2015-08-03,609
2015-08-04,609
2015-08-05,603
2015-08-06,603
2015-08-07,603
2015-08-08,573
2015-08-09,573
2015-08-10,556
2015-08-11,556
2015-08-12,556
2015-08-13,528
2015-08-14,528
2015-08-15,502
2015-08-16,502
2015-08-17,490
2015-08-18,490
2015-08-19,490
2015-08-20,480
2015-08-21,480
2015-08-22,481
2015-08-23,481
2015-08-24,481
2015-08-25,483
2015-08-26,483
2015-08-27,487
2015-08-28,487
2015-08-29,498
2015-08-30,498
2015-08-31,498
2015-09-01,505
2015-09-02,505
2015-09-03,505
2015-09-04,521
2015-09-05,521
2015-09-06,521
2015-09-07,543
2015-09-08,543
2015-09-09,543
2015-09-10,550
2015-09-11,550
2015-09-12,550
2015-09-13,550
2015-09-14,523
2015-09-15,527
2015-09-16,527
2015-09-17,527
2015-09-18,528
2015-09-19,528
2015-09-20,528
2015-09-21,526
2015-09-22,526
2015-09-23,526
2015-09-24,514
2015-09-25,514
2015-09-26,522
2015-09-27,522
2015-09-28,522
2015-09-29,538
2015-09-30,538
2015-10-01,545
2015-10-02,545
2015-10-03,545
2015-10-04,520
2015-10-05,520
2015-10-06,508
2015-10-07,508
2015-10-08,508
2015-10-09,495
2015-10-10,495
2015-10-11,495
2015-10-12,470
2015-10-13,470
2015-10-14,470
2015-10-15,471
2015-10-16,471
2015-10-17,471
2015-10-18,485
2015-10-19,485
2015-10-20,465
2015-10-21,465
2015-10-22,465
2015-10-23,468
2015-10-24,468
2015-10-25,460
2015-10-26,460
2015-10-27,460
2015-10-28,456
2015-10-29,456
2015-10-30,456
2015-10-31,455
2015-11-01,455
2015-11-02,455
2015-11-03,444
2015-11-04,444
2015-11-05,444
2015-11-06,456
2015-11-07,456
