date_obj,Crier%20bell price
2016-07-06,1425521
2016-07-07,1354244
2016-07-08,1286531
2016-07-09,1222204
2016-07-10,1161093
2016-07-11,1103038
2016-07-12,1047886
2016-07-13,996294
2016-07-14,946479
2016-07-15,899155
2016-07-16,854397
2016-07-17,813183
2016-07-18,772523
2016-07-23,600842
2016-07-24,572483
2016-07-25,544697
2016-07-26,517650
2016-07-27,492967
2016-07-28,469670
2016-07-29,446523
2016-07-30,424571
2016-07-31,404303
2016-08-01,385195
2016-08-02,366724
2016-08-03,349211
2016-08-04,332585
2016-08-05,332585
2016-08-06,316449
2016-08-07,301143
2016-08-08,287742
2016-08-09,274207
2016-08-10,261055
2016-08-11,248449
2016-08-12,236397
2016-08-13,224577
2016-08-14,213446
2016-08-15,203111
2016-08-16,193453
2016-08-17,193453
2016-08-18,184112
2016-08-19,184112
2016-08-20,175363
2016-08-21,175363
2016-08-22,166815
2016-08-23,158997
2016-08-24,151587
2016-08-25,151587
2016-08-26,144162
2016-08-28,137412
2016-08-31,124513
2016-09-01,124513
2016-09-02,118478
2016-09-03,112752
2016-09-04,107321
2016-09-05,102322
2016-09-06,102322
2016-09-07,97696
2016-09-08,97696
2016-09-09,97696
2016-09-10,93140
2016-09-11,93140
2016-09-12,93140
2016-09-13,88736
2016-09-14,88736
2016-09-15,84587
2016-09-16,84587
2016-09-17,84587
2016-09-18,80586
2016-09-19,80586
2016-09-20,76805
2016-09-21,76805
2016-09-22,73238
2016-09-23,73238
2016-09-24,69668
2016-09-25,66340
2016-09-26,66340
2016-09-27,63301
2016-09-28,63301
2016-09-29,60192
2016-09-30,60192
2016-10-01,57384
2016-10-02,57384
2016-10-03,57384
2016-10-04,54539
2016-10-05,54539
2016-10-06,51995
2016-10-07,51995
2016-10-08,49568
2016-10-09,49568
2016-10-10,47152
2016-10-11,47152
2016-10-12,44933
2016-10-13,44933
2016-10-14,42824
2016-10-15,42824
2016-10-16,40810
2016-10-17,40810
2016-10-18,38878
2016-10-19,38878
2016-10-20,37026
2016-10-21,37026
2016-10-22,35293
2016-10-23,35293
2016-10-24,33606
2016-10-25,33606
2016-10-26,33606
2016-10-27,32020
2016-10-28,32020
2016-10-29,30511
2016-10-30,30511
2016-10-31,29089
2016-11-01,29089
2016-11-02,29089
2016-11-03,27698
2016-11-04,27698
2016-11-05,27698
2016-11-06,26313
2016-11-07,26313
2016-11-08,26313
2016-11-09,25073
2016-11-10,25073
2016-11-11,25073
2016-11-12,23875
2016-11-13,23875
2016-11-14,23875
2016-11-15,22681
2016-12-07,14119
2016-12-08,13413
2016-12-09,13413
2016-12-10,13413
2016-12-11,12742
2016-12-12,12742
2016-12-13,12134
2016-12-14,12134
2016-12-15,12134
2016-12-16,11527
2016-12-17,11527
2016-12-18,11527
2016-12-19,10980
2016-12-20,10980
2016-12-21,10980
2016-12-22,10479
2016-12-23,10479
2016-12-24,10016
2016-12-25,10016
2016-12-26,10016
2016-12-27,9541
2016-12-28,9541
2016-12-29,9541
2016-12-30,9207
2016-12-31,9207
2017-01-01,9207
2017-01-02,8746
2017-01-03,8746
2017-01-04,8746
2017-01-05,8347
2017-01-06,8347
2017-01-07,7982
2017-01-08,7982
2017-01-09,7825
2017-01-10,7825
2017-01-11,7711
2017-01-12,7711
2017-01-13,7711
2017-01-14,7520
2017-01-15,7520
2017-01-16,7295
2017-01-17,7295
2017-01-18,7295
2017-01-19,7052
2017-01-20,7052
2017-01-21,6993
2017-01-22,6993
2017-01-23,6993
2017-01-27,6568
2017-01-28,6391
2017-01-29,6391
2017-01-30,6391
2017-01-31,6112
2017-02-01,6112
2017-02-02,6008
2017-02-03,6008
2017-02-04,6008
2017-02-05,5792
2017-02-06,5792
2017-02-07,5792
2017-02-08,5608
2017-02-09,5608
2017-02-10,5436
2017-02-11,5436
2017-02-12,5436
2017-02-13,5258
2017-02-14,5258
2017-02-15,5096
2017-02-16,5096
2017-02-18,4906
2017-02-19,4906
2017-02-20,4721
2017-02-21,4721
2017-02-22,4721
2017-02-23,4565
2017-02-24,4565
2017-02-25,4565
2017-02-26,4425
2017-02-27,4425
2017-02-28,4288
2017-03-01,4288
2017-03-02,4159
2017-03-03,4159
2017-03-04,4047
2017-03-05,4047
2017-03-06,3951
2017-03-07,3951
2017-03-08,3951
2017-03-09,3761
2017-03-10,3761
2017-03-11,3574
2017-03-12,3574
2017-03-13,3408
2017-03-14,3408
2017-03-15,3297
2017-03-16,3297
2017-03-17,3207
2017-03-18,3207
2017-03-19,3089
2017-03-20,3089
2017-03-21,3039
2017-03-22,3039
2017-03-23,3039
2017-03-24,2943
2017-03-25,2943
2017-03-26,2943
2017-03-27,2819
2017-03-28,2819
2017-03-29,2729
2017-03-30,2729
2017-03-31,2694
2017-04-01,2694
2017-04-02,2694
2017-04-03,2753
2017-04-04,2753
2017-04-12,2653
2017-04-13,2638
2017-04-14,2638
2017-04-15,2643
2017-04-16,2643
2017-04-17,2658
2017-04-18,2658
2017-04-19,2710
2017-04-20,2710
2017-04-21,2710
2017-04-22,2795
2017-04-23,2795
2017-04-24,2827
2017-04-25,2827
2017-04-26,2791
2017-04-27,2791
2017-04-28,2791
2017-04-29,2798
2017-04-30,2798
2017-05-01,2798
2017-05-02,2827
2017-05-03,2827
2017-05-04,2827
2017-05-05,2852
2017-05-06,2852
2017-05-07,2852
2017-05-08,2862
2017-05-09,2862
2017-05-10,2862
2017-05-11,2959
2017-05-12,2959
2017-05-13,2924
2017-05-14,2924
2017-05-15,2924
2017-05-16,2904
2017-05-17,2904
2017-05-18,2841
2017-05-19,2841
2017-05-20,2784
2017-05-21,2784
2017-05-22,2784
2017-05-23,2753
2017-05-24,2753
2017-05-25,2753
2017-05-26,2763
2017-05-27,2763
2017-05-28,2763
2017-05-29,2770
2017-05-30,2770
2017-05-31,2770
2017-06-01,2820
2017-06-02,2820
2017-06-03,2793
2017-06-04,2793
2017-06-05,2780
2017-06-06,2780
2017-06-07,2813
2017-06-08,2813
2017-06-09,2813
2017-06-10,2797
2017-06-11,2797
2017-06-12,2889
2017-06-13,2889
2017-06-14,2827
2017-06-15,2827
2017-06-16,2827
2017-06-17,2854
2017-06-18,2854
2017-06-19,2854
2017-06-20,2854
2017-06-21,2854
2017-06-22,2854
2017-06-23,2854
2017-06-24,2804
2017-06-25,2804
2017-06-26,2804
2017-06-27,2749
2017-06-28,2749
2017-06-29,2812
2017-06-30,2812
2017-07-01,2812
2017-07-02,2744
2017-07-03,2744
2017-07-04,2744
2017-07-05,2762
2017-07-06,2762
2017-07-07,2762
2017-07-08,2787
2017-07-13,2889
2017-07-14,2863
2017-07-15,2863
2017-07-16,2863
2017-07-17,2792
2017-07-18,2792
2017-07-19,2792
2017-07-20,2773
2017-07-21,2773
2017-07-22,2773
2017-07-23,2750
2017-07-24,2750
2017-07-25,2750
2017-07-26,2775
2017-07-27,2775
2017-07-28,2775
2017-07-29,2736
2017-07-30,2736
2017-07-31,2736
2017-08-01,2770
2017-08-02,2770
2017-08-03,2850
2017-08-04,2850
2017-08-05,2898
2017-08-06,2898
2017-08-09,2865
2017-08-10,2888
2017-08-11,2888
2017-08-12,2888
2017-08-13,2947
2017-08-14,2947
2017-08-15,2947
2017-08-16,3025
2017-08-17,3025
2017-08-18,3025
2017-08-19,3091
2017-08-20,3091
2017-08-21,3091
2017-08-22,3074
2017-08-23,3074
2017-08-24,3074
2017-08-25,3003
2017-08-26,3003
2017-08-27,2903
2017-08-28,2903
2017-08-29,2903
2017-08-30,2854
2017-08-31,2854
2017-09-01,2854
2017-09-03,2845
2017-09-04,2845
2017-09-05,2836
2017-09-06,2836
2017-09-07,2836
2017-09-08,2871
2017-09-09,2871
2017-09-10,2888
2017-09-11,2888
2017-09-12,2888
2017-09-13,2864
2017-09-14,2864
2017-09-15,2864
2017-09-16,2934
2017-09-17,2934
2017-09-18,2972
2017-09-19,2972
2017-09-20,2950
2017-09-21,2950
2017-09-22,2950
2017-09-23,2950
2017-09-24,2830
2017-09-25,2830
2017-09-26,2830
2017-09-27,2758
2017-09-28,2758
2017-09-29,2841
2017-09-30,2841
2017-10-01,2841
2017-10-02,2874
2017-10-03,2874
2017-10-04,2874
2017-10-05,2874
2017-10-06,2905
2017-10-07,2905
2017-10-08,2905
2017-10-09,2921
2017-10-10,2921
2017-10-11,2921
2017-10-12,2899
2017-10-13,2899
2017-10-14,2899
2017-10-15,2893
2017-10-16,2893
2017-10-17,2893
2017-10-18,2945
2017-10-19,2945
2017-10-20,2945
2017-10-21,2945
2017-10-22,2971
2017-10-23,2971
2017-10-24,2971
2017-10-25,3016
2017-10-26,3016
2017-10-27,3016
2017-10-28,3132
2017-10-29,3132
2017-10-30,3229
2017-10-31,3229
2017-11-01,3229
2017-11-02,3391
2017-11-03,3391
2017-11-04,3491
2017-11-05,3491
2017-11-06,3491
2017-11-07,3634
2017-11-08,3634
2017-11-09,3585
2017-11-10,3585
2017-11-11,3585
2017-11-12,3607
2017-11-13,3607
2017-11-14,3607
2017-11-15,3649
2017-11-16,3649
2017-11-17,3538
2017-11-18,3538
2017-11-19,3538
2017-11-20,3484
2017-11-21,3484
2017-11-22,3484
2017-11-23,3412
2017-11-24,3412
2017-11-25,3412
2017-11-26,3296
2017-11-27,3296
2017-11-28,3296
2017-11-29,3263
2017-11-30,3263
2017-12-01,3310
2017-12-02,3310
2017-12-03,3310
2017-12-04,3310
2017-12-05,3419
2017-12-06,3419
2017-12-07,3419
2017-12-08,3440
2017-12-09,3440
2017-12-10,3314
2017-12-11,3314
2017-12-12,3314
2017-12-13,3183
2017-12-14,3183
2017-12-15,3183
2017-12-16,3188
2017-12-17,3188
2017-12-18,3234
2017-12-19,3234
2017-12-20,3234
2017-12-21,3201
2017-12-22,3201
2017-12-23,3201
2017-12-24,3128
2017-12-25,3128
2017-12-26,3128
2017-12-27,3075
2017-12-28,3075
2017-12-29,3075
2017-12-30,3026
2017-12-31,3026
2018-01-01,3051
2018-01-02,3051
2018-01-03,3051
2018-01-04,3033
2018-01-05,3033
2018-01-06,3055
2018-01-07,3055
2018-01-08,3055
2018-01-09,3084
2018-01-10,3084
2018-01-11,3084
2018-01-12,3095
2018-01-13,3095
2018-01-14,3050
2018-01-15,3050
2018-01-16,3017
2018-01-17,3017
2018-01-18,3009
2018-01-19,3009
2018-01-20,3009
2018-01-21,2989
2018-01-22,2989
2018-01-23,2947
2018-01-24,2947
