date_obj,Red%20d'hide%20vambraces price
2015-03-26,1992
2015-03-27,1992
2015-03-28,1948
2015-03-29,1992
2015-03-30,2051
2015-03-31,2103
2015-04-01,2124
2015-04-02,2097
2015-04-03,2023
2015-04-04,2026
2015-04-05,2059
2015-04-06,2107
2015-04-07,2202
2015-04-08,2293
2015-04-09,2307
2015-04-10,2259
2015-04-11,2224
2015-04-12,2163
2015-04-13,2083
2015-04-14,2059
2015-04-15,2112
2015-04-16,2169
2015-04-17,2261
2015-04-18,2367
2015-04-19,2289
2015-04-20,2288
2015-04-21,2318
2015-04-22,2331
2015-04-23,2271
2015-04-24,2240
2015-04-25,2225
2015-04-26,2233
2015-04-27,2178
2015-04-28,2114
2015-04-29,2114
2015-04-30,2028
2015-05-01,1929
2015-05-02,1939
2015-05-03,1978
2015-05-04,2051
2015-05-05,2116
2015-05-06,2148
2015-05-07,2096
2015-05-08,2094
2015-05-09,2100
2015-05-10,1996
2015-05-11,1963
2015-05-12,1982
2015-05-13,2020
2015-05-14,2117
2015-05-15,2214
2015-05-16,2224
2015-05-17,2205
2015-05-18,2190
2015-05-19,2153
2015-05-20,2153
2015-05-21,2045
2015-05-22,1976
2015-05-23,1978
2015-05-24,2008
2015-05-25,2024
2015-05-26,1977
2015-05-27,2010
2015-05-28,1972
2015-05-29,1964
2015-05-30,1949
2015-05-31,1952
2015-06-01,2007
2015-06-02,2038
2015-06-03,2105
2015-06-04,2120
2015-06-05,2117
2015-06-06,2055
2015-06-07,2062
2015-06-08,2030
2015-06-09,2035
2015-06-10,2051
2015-06-11,2062
2015-06-12,2124
2015-06-13,2154
2015-06-14,2122
2015-06-15,2087
2015-06-16,2076
2015-06-17,2071
2015-06-18,2040
2015-06-19,2035
2015-06-20,1988
2015-06-21,2055
2015-06-22,2108
2015-06-23,2142
2015-06-24,2149
2015-06-25,2173
2015-06-26,2204
2015-06-27,2215
2015-06-28,2204
2015-06-29,2160
2015-06-30,2116
2015-07-01,2204
2015-07-02,2206
2015-07-03,2196
2015-07-04,2258
2015-07-05,2238
2015-07-06,2164
2015-07-07,2092
2015-07-08,2039
2015-07-09,2036
2015-07-10,1944
2015-07-11,1955
2015-07-12,2007
2015-07-13,2009
2015-07-14,2022
2015-07-15,1978
2015-07-16,1927
2015-07-17,1986
2015-07-18,2046
2015-07-19,2068
2015-07-20,2073
2015-07-21,2090
2015-07-22,2175
2015-07-23,2236
2015-07-24,2310
2015-07-25,2220
2015-07-26,2202
2015-07-27,2130
2015-07-28,2054
2015-07-29,2015
2015-07-30,2044
2015-07-31,2039
2015-08-01,2079
2015-08-02,2118
2015-08-03,2149
2015-08-04,2210
2015-08-05,2275
2015-08-06,2234
2015-08-07,2198
2015-08-08,2150
2015-08-09,2093
2015-08-10,2056
2015-08-11,2108
2015-08-12,2176
2015-08-13,2235
2015-08-14,2127
2015-08-15,2079
2015-08-16,2021
2015-08-17,1986
2015-08-18,1919
2015-08-19,1984
2015-08-20,2017
2015-08-21,1976
2015-08-22,2045
2015-08-23,2088
2015-08-24,2040
2015-08-25,2041
2015-08-26,1980
2015-08-27,1914
2015-08-28,1961
2015-08-29,2012
2015-08-30,2059
2015-08-31,2076
2015-09-01,2093
2015-09-02,2114
2015-09-03,2099
2015-09-04,2077
2015-09-05,2064
2015-09-06,1975
2015-09-07,1995
2015-09-08,2009
2015-09-09,2046
2015-09-10,2062
2015-09-11,2075
2015-09-12,2074
2015-09-13,2012
2015-09-14,1981
2015-09-15,1993
2015-09-16,2001
2015-09-17,2011
2015-09-18,1930
2015-09-19,1987
2015-09-20,1995
2015-09-21,1932
2015-09-22,1976
2015-09-23,2032
2015-09-24,2080
2015-09-25,2066
2015-09-27,2098
2015-09-28,2088
2015-09-29,2012
2015-09-30,1961
2015-10-05,2017
2015-10-06,2057
2015-10-07,2039
2015-10-08,2040
2015-10-09,2079
2015-10-10,2079
2015-10-11,2076
2015-10-12,2091
2015-10-13,2090
2015-10-14,2050
2015-10-15,2060
2015-10-16,2052
2015-10-17,2051
2015-10-18,2028
2015-10-19,2041
2015-10-20,1960
2015-10-22,1967
2015-10-23,1964
2015-10-24,1972
2015-10-25,2014
2015-10-26,1968
2015-10-27,2004
2015-10-29,2035
2015-10-30,2058
2015-10-31,2035
2015-11-01,2007
2015-11-02,2007
2015-11-03,2047
2015-11-04,2012
2015-11-05,1979
2015-11-06,2010
2015-11-07,2079
2015-11-08,2136
2015-11-09,2202
2015-11-10,2235
2015-11-11,2191
2015-11-12,2148
2015-11-13,2079
2015-11-14,2029
2015-11-15,2016
2015-11-16,2037
2015-11-17,2051
2015-11-18,2029
2015-11-19,1993
2015-11-20,2058
2015-11-21,2058
2015-11-22,2100
2015-11-23,2100
2015-11-24,2128
2015-11-25,2126
2015-11-26,2136
2015-11-27,2148
2015-11-28,2136
2015-11-29,2070
2015-11-30,2087
2015-12-01,2091
2015-12-02,2059
2015-12-03,2021
2015-12-04,1960
2015-12-05,2003
