date_obj,Torn%20prayer%20scroll price
2017-01-12,4838415
2017-01-13,4622585
2017-01-14,4391455
2017-01-15,4171882
2017-01-16,3963287
2017-01-17,3765122
2017-01-18,3576865
2017-01-19,3398021
2017-01-20,3228119
2017-01-21,3066713
2017-01-22,2913377
2017-01-27,2254313
2017-01-28,2141597
2017-01-29,2034517
2017-01-30,1932791
2017-01-31,1836151
2017-02-01,1744343
2017-02-02,1657125
2017-02-03,1574268
2017-02-04,1495554
2017-02-05,1420776
2017-02-06,1349737
2017-02-07,1282250
2017-02-08,1218137
2017-02-09,1157230
2017-02-10,1099368
2017-02-11,1044399
2017-02-12,992179
2017-02-13,942570
2017-02-14,895441
2017-02-15,850668
2017-02-16,808134
2017-02-18,729340
2017-02-19,692873
2017-02-20,658229
2017-02-21,625317
2017-02-22,594051
2017-02-23,564348
2017-02-24,536130
2017-02-25,509323
2017-02-26,483856
2017-02-27,459663
2017-02-28,436679
2017-03-01,414845
2017-03-02,394102
2017-03-03,374396
2017-03-04,355676
2017-03-05,337892
2017-03-06,320997
2017-03-07,304947
2017-03-08,289699
2017-03-09,275214
2017-03-10,261453
2017-03-11,248380
2017-03-12,235961
2017-03-13,224162
2017-03-14,212953
2017-03-15,202305
2017-03-16,192189
2017-03-17,182579
2017-03-18,173450
2017-03-19,164777
2017-03-20,156538
2017-03-21,148711
2017-03-22,141275
2017-03-23,134211
2017-03-24,127500
2017-03-25,121125
2017-03-26,115068
2017-03-27,109314
2017-03-28,103848
2017-03-29,98655
2017-03-30,93722
2017-03-31,89035
2017-04-01,84583
2017-04-02,80353
2017-04-03,76335
2017-04-04,72518
2017-04-12,51637
2017-04-13,51951
2017-04-14,52095
2017-04-15,52022
2017-04-16,52024
2017-04-17,50659
2017-04-18,49516
2017-04-19,49347
2017-04-20,49676
2017-04-21,48904
2017-04-22,47752
2017-04-23,46684
2017-04-24,46712
2017-04-25,47679
2017-04-26,48117
2017-04-27,48414
2017-04-28,48235
2017-04-29,48229
2017-04-30,47749
2017-05-01,48274
2017-05-02,49016
2017-05-03,48516
2017-05-04,48654
2017-05-05,48467
2017-05-06,48234
2017-05-07,48335
2017-05-08,48863
2017-05-09,48442
2017-05-10,48603
2017-05-11,48285
2017-05-12,48147
2017-05-13,48677
2017-05-14,49250
2017-05-15,49396
2017-05-16,49935
2017-05-17,50562
2017-05-18,50802
2017-05-19,50544
2017-05-20,50425
2017-05-21,50357
2017-05-22,50806
2017-05-23,51328
2017-05-24,51907
2017-05-25,49921
2017-05-26,48541
2017-05-27,47347
2017-05-28,46658
2017-05-29,46240
2017-05-30,46895
2017-05-31,46462
2017-06-01,46896
2017-06-02,47206
2017-06-03,46868
2017-06-06,47123
2017-06-07,46688
2017-06-08,44988
2017-06-09,46186
2017-06-10,45991
2017-06-11,46472
2017-06-12,46001
2017-06-13,46386
2017-06-14,46970
2017-06-15,46889
2017-06-16,46527
2017-06-17,46399
2017-06-18,46431
2017-06-19,46417
2017-06-20,46492
2017-06-21,46212
2017-06-22,44960
2017-06-23,46531
2017-06-24,46582
2017-06-25,45751
2017-06-26,46013
2017-06-27,46446
2017-06-28,46742
2017-06-29,46684
2017-06-30,46772
2017-07-01,46954
2017-07-02,47001
2017-07-03,46825
2017-07-04,47752
2017-07-05,50008
2017-07-06,52240
2017-07-07,54852
2017-07-08,56784
2017-07-13,59414
2017-07-14,56443
2017-07-15,53620
2017-07-16,50984
2017-07-17,48574
2017-07-18,46908
2017-07-19,46540
2017-07-20,45665
2017-07-21,46059
2017-07-22,45714
2017-07-23,46611
2017-07-24,46498
2017-07-25,46661
2017-07-26,46242
2017-07-27,46276
2017-07-28,46364
2017-07-29,46768
2017-07-30,46813
2017-07-31,47003
2017-08-01,46263
2017-08-02,46556
2017-08-03,46171
2017-08-04,46588
2017-08-05,46635
2017-08-06,46824
2017-08-09,46724
2017-08-10,46378
2017-08-11,46405
2017-08-12,46763
2017-08-13,47194
2017-08-14,46879
2017-08-15,46908
2017-08-16,46662
2017-08-17,46608
2017-08-18,47069
2017-08-19,47451
2017-08-20,47737
2017-08-21,48810
2017-08-22,48872
2017-08-23,48287
2017-08-24,47259
2017-08-25,46879
2017-08-26,47282
2017-08-27,47398
2017-08-28,46955
2017-08-29,46303
2017-08-30,46622
2017-08-31,46655
2017-09-01,46806
2017-09-02,46516
2017-09-03,46211
2017-09-04,46351
2017-09-05,47117
2017-09-06,46691
2017-09-07,47227
2017-09-08,47151
2017-09-09,46659
2017-09-10,45461
2017-09-11,45097
2017-09-12,45289
2017-09-13,46109
2017-09-14,46470
2017-09-15,46169
2017-09-16,45546
2017-09-17,45761
2017-09-19,46407
2017-09-20,46687
2017-09-21,46599
2017-09-22,46284
2017-09-23,46082
2017-09-24,46433
2017-09-25,46640
2017-09-26,46416
2017-09-27,46356
2017-09-28,46367
2017-09-29,46299
2017-09-30,46232
2017-10-01,45824
2017-10-02,46592
2017-10-03,46371
2017-10-04,46229
2017-10-05,46608
2017-10-06,46431
2017-10-07,46363
2017-10-08,46581
2017-10-09,46090
2017-10-10,46713
2017-10-11,47212
2017-10-12,47104
2017-10-13,46795
2017-10-14,46832
2017-10-15,46777
2017-10-16,46404
2017-10-17,45724
2017-10-18,46267
2017-10-19,46585
2017-10-20,46495
2017-10-21,46806
2017-10-22,46984
2017-10-23,47071
2017-10-24,47310
2017-10-25,46860
2017-10-26,47072
2017-10-27,47185
2017-10-28,46971
2017-10-29,46765
2017-10-30,46839
2017-10-31,46590
2017-11-01,45850
2017-11-02,46490
2017-11-03,46313
2017-11-04,45959
2017-11-05,45929
2017-11-06,46009
2017-11-07,46413
2017-11-08,46180
2017-11-09,46038
2017-11-10,46352
2017-11-11,46510
2017-11-12,46422
2017-11-13,46770
2017-11-14,47008
2017-11-15,46629
2017-11-16,46579
2017-11-17,46739
2017-11-18,46632
2017-11-19,46832
2017-11-20,46010
2017-11-21,46166
2017-11-22,45852
2017-11-23,46134
2017-11-24,45982
2017-11-25,46074
2017-11-26,46190
2017-11-27,46335
2017-11-28,46182
2017-11-29,46498
2017-11-30,46017
2017-12-01,46559
2017-12-02,46556
2017-12-03,46241
2017-12-04,45906
2017-12-05,46356
2017-12-06,46648
2017-12-07,46758
2017-12-08,46566
2017-12-09,46746
2017-12-10,46431
2017-12-11,46731
2017-12-12,46630
2017-12-13,46331
2017-12-14,46146
2017-12-15,46384
2017-12-16,46345
2017-12-17,46105
2017-12-18,46337
2017-12-19,46268
2017-12-20,46207
2017-12-21,45980
2017-12-22,46248
2017-12-23,46576
2017-12-24,46342
2017-12-25,46647
2017-12-26,46397
2017-12-27,46559
2017-12-28,46472
2017-12-29,46501
2017-12-30,46572
2017-12-31,46622
2018-01-01,46592
2018-01-02,46319
2018-01-03,46218
2018-01-04,46374
2018-01-05,46343
2018-01-06,46283
2018-01-07,46261
2018-01-08,46187
2018-01-09,46386
2018-01-10,46380
2018-01-11,46390
2018-01-12,46276
2018-01-13,45991
2018-01-14,45800
2018-01-15,46280
2018-01-16,46502
2018-01-17,46285
2018-01-18,46598
2018-01-19,45677
2018-01-20,46415
2018-01-21,46280
2018-01-22,46650
2018-01-23,46681
2018-01-24,46577
2018-01-25,46416
2018-01-26,46520
2018-01-27,46294
2018-01-28,46389
2018-01-29,46381
2018-01-30,46512
2018-02-01,46539
2018-02-02,46367
2018-02-03,46485
2018-02-04,46374
2018-02-05,46464
2018-02-06,46554
2018-02-07,46363
2018-02-08,46267
2018-02-09,46413
2018-02-10,46106
2018-02-11,46246
2018-02-12,45713
2018-02-13,43752
2018-02-14,45384
2018-02-15,46286
2018-02-16,46612
2018-02-17,46485
2018-02-18,46523
2018-02-19,46464
2018-02-20,46479
2018-02-21,46271
2018-02-22,46600
2018-02-23,46488
2018-02-24,46121
2018-02-25,46318
2018-02-26,46698
2018-02-27,46474
2018-02-28,46294
2018-03-01,46076
2018-03-02,46295
2018-03-03,46462
2018-03-04,46456
2018-03-05,46636
2018-03-06,46635
2018-03-07,46613
2018-03-08,46510
2018-03-09,46397
2018-03-10,46559
2018-03-11,46437
2018-03-12,46681
2018-03-13,46363
2018-03-14,46547
2018-03-15,46433
2018-03-16,46495
2018-03-17,46309
2018-03-18,46012
2018-03-19,46243
2018-03-20,46544
2018-03-21,46519
2018-03-23,46671
2018-03-24,46477
2018-03-26,45579
2018-03-27,46097
2018-03-28,46315
2018-03-29,46242
2018-03-30,46144
2018-03-31,46155
2018-04-01,45828
2018-04-02,45832
2018-04-03,46161
2018-04-04,46220
2018-04-05,46164
2018-04-06,46120
2018-04-08,45942
2018-04-09,46288
2018-04-10,46176
2018-04-11,46211
2018-04-12,46002
2018-04-13,46479
2018-04-14,46351
2018-04-16,46122
2018-04-17,46337
2018-04-18,46530
2018-04-19,46479
2018-04-20,46392
2018-04-21,46120
2018-04-22,46313
2018-04-23,46056
2018-04-24,45555
2018-04-25,45323
2018-04-26,45649
