date_obj,Spirit%20shield price
2015-03-26,167275
2015-03-27,164441
2015-03-28,164441
2015-03-29,168048
2015-03-30,168048
2015-03-31,170334
2015-04-01,170334
2015-04-02,174009
2015-04-03,174009
2015-04-04,177520
2015-04-05,177520
2015-04-06,182619
2015-04-07,182619
2015-04-08,188039
2015-04-09,188039
2015-04-10,194715
2015-04-11,194715
2015-04-12,203844
2015-04-13,203844
2015-04-14,212441
2015-04-15,222441
2015-04-16,222441
2015-04-17,233563
2015-04-18,243942
2015-04-19,243942
2015-04-20,254254
2015-04-21,254254
2015-04-22,254558
2015-04-23,242828
2015-04-24,242828
2015-04-25,230981
2015-04-26,230981
2015-04-27,219488
2015-04-28,208513
2015-04-29,208513
2015-04-30,198252
2015-05-01,189514
2015-05-02,184832
2015-05-03,184832
2015-05-04,178878
2015-05-05,178878
2015-05-06,171900
2015-05-07,171900
2015-05-08,167571
2015-05-09,167571
2015-05-10,166914
2015-05-11,166914
2015-05-12,168200
2015-05-13,168200
2015-05-14,171292
2015-05-15,171292
2015-05-16,177208
2015-05-17,182971
2015-05-18,182971
2015-05-19,189034
2015-05-20,189034
2015-05-21,189034
2015-05-22,188467
2015-05-23,188467
2015-05-24,187781
2015-05-25,184687
2015-05-26,184687
2015-05-27,182769
2015-05-28,184787
2015-05-29,187347
2015-05-30,187993
2015-05-31,188410
2015-06-01,187965
2015-06-02,187965
2015-06-03,191835
2015-06-04,192006
2015-06-05,189209
2015-06-06,183073
2015-06-07,180444
2015-06-08,182159
2015-06-09,182315
2015-06-10,182930
2015-06-11,182642
2015-06-12,182642
2015-06-13,178284
2015-06-14,172110
2015-06-15,169639
2015-06-16,167652
2015-06-17,165731
2015-06-18,166145
2015-06-19,163792
2015-06-20,159393
2015-06-21,152477
2015-06-22,145021
2015-06-23,139851
2015-06-24,134889
2015-06-25,134889
2015-06-26,130197
2015-06-27,128247
2015-06-28,126848
2015-06-29,126114
2015-06-30,126182
2015-07-01,125374
2015-07-02,125374
2015-07-03,122953
2015-07-04,122367
2015-07-05,123169
2015-07-06,118766
2015-07-07,112939
2015-07-08,108087
2015-07-09,108087
2015-07-10,103371
2015-07-11,99038
2015-07-12,95207
2015-07-13,91062
2015-07-14,87075
2015-07-15,85099
2015-07-16,84805
2015-07-17,84637
2015-07-18,85521
