date_obj,White%20elegant%20blouse price
2015-03-26,55648
2015-03-27,55648
2015-03-28,54819
2015-03-29,52900
2015-03-30,52328
2015-03-31,52328
2015-04-01,51857
2015-04-02,51857
2015-04-03,50788
2015-04-04,50788
2015-04-05,49922
2015-04-06,49922
2015-04-07,48739
2015-04-08,48739
2015-04-09,48739
2015-04-10,48384
2015-04-11,48384
2015-04-12,46052
2015-04-13,46052
2015-04-14,44137
2015-04-15,41969
2015-04-16,41969
2015-04-17,40039
2015-04-18,39209
2015-04-19,39209
2015-04-20,39082
2015-04-21,39082
2015-04-22,39386
2015-04-23,39386
2015-04-24,40361
2015-04-25,40361
2015-04-26,39909
2015-04-27,40411
2015-04-28,40411
2015-04-29,40247
2015-04-30,40247
2015-05-01,39775
2015-05-02,39775
2015-05-03,39080
2015-05-04,39080
2015-05-05,38203
2015-05-06,38203
2015-05-07,37829
2015-05-08,37829
2015-05-09,37080
2015-05-10,37080
2015-05-11,36678
2015-05-12,36211
2015-05-13,36211
2015-05-14,35137
2015-05-15,35137
2015-05-16,35137
2015-05-17,35000
2015-05-18,35000
2015-05-19,34656
2015-05-20,34656
2015-05-21,34656
2015-05-22,33564
2015-05-23,33564
2015-05-24,32822
2015-05-25,32633
2015-05-26,32633
2015-05-27,31384
2015-05-28,31384
2015-05-29,30287
2015-05-30,29853
2015-05-31,29853
2015-06-01,28912
2015-06-02,28912
2015-06-03,28883
2015-06-04,28883
2015-06-05,27910
2015-06-06,27910
2015-06-07,27821
2015-06-08,27821
2015-06-09,27685
2015-06-10,27685
2015-06-11,27734
2015-06-12,27734
2015-06-13,27511
2015-06-14,27511
2015-06-15,27560
2015-06-16,27560
2015-06-17,28178
2015-06-18,28178
2015-06-19,28565
2015-06-20,28565
2015-06-21,28675
2015-06-22,28675
2015-06-23,28420
2015-06-24,28420
2015-06-25,28691
2015-06-26,28427
2015-06-27,28427
2015-06-28,29360
2015-06-29,29360
2015-06-30,29686
2015-07-01,29686
2015-07-02,29686
2015-07-03,29427
2015-07-04,29427
2015-07-05,29027
2015-07-06,29027
2015-07-07,29753
2015-07-08,30885
2015-07-09,30885
2015-07-10,31545
2015-07-11,31545
2015-07-12,31545
2015-07-13,31577
2015-07-14,31577
2015-07-15,31913
2015-07-16,31913
2015-07-17,31845
2015-07-18,31845
2015-07-19,32126
2015-07-20,32126
2015-07-21,32703
2015-07-22,33296
2015-07-23,33296
2015-07-24,34849
2015-07-25,34849
2015-07-26,36120
2015-07-27,37315
2015-07-28,37315
2015-07-29,38449
2015-07-30,38449
2015-07-31,39923
2015-08-01,39923
2015-08-02,41222
2015-08-03,41222
2015-08-04,42829
2015-08-05,43992
2015-08-06,43992
2015-08-07,45637
2015-08-08,45637
2015-08-09,46873
2015-08-10,46873
2015-08-11,47598
2015-08-12,47598
2015-08-13,48822
2015-08-14,50018
2015-08-15,50018
2015-08-16,51740
2015-08-17,51740
2015-08-18,52428
2015-08-19,52428
2015-08-20,53396
2015-08-21,53396
2015-08-22,54820
2015-08-23,54820
2015-08-24,54391
2015-08-25,54391
2015-08-26,54391
2015-08-27,54744
2015-08-28,54744
2015-08-29,54675
2015-08-30,54675
2015-08-31,53468
2015-09-01,53468
2015-09-02,51539
2015-09-03,51539
2015-09-04,49279
2015-09-05,49279
2015-09-06,49279
2015-09-07,46815
2015-09-08,46815
2015-09-09,44474
2015-09-10,44474
2015-09-11,42536
2015-09-12,42536
2015-09-13,40758
2015-09-14,40758
2015-09-15,39285
2015-09-16,39285
2015-09-17,38303
2015-09-18,38303
2015-09-19,36890
2015-09-20,36890
2015-09-21,36257
2015-09-22,36257
2015-09-23,35703
2015-09-24,35703
2015-09-25,35793
2015-09-27,34937
2015-09-28,34937
2015-09-29,34739
2015-09-30,34739
2015-10-05,32451
2015-10-06,32451
2015-10-07,31542
2015-10-08,31542
2015-10-09,29964
2015-10-10,29964
2015-10-11,28612
2015-10-12,28612
2015-10-13,28116
2015-10-14,28116
2015-10-15,27772
2015-10-16,27772
2015-10-17,27772
2015-10-18,28017
2015-10-19,28017
2015-10-20,28384
2015-10-22,29157
2015-10-23,29157
2015-10-24,30518
2015-10-25,30518
2015-10-26,31928
2015-10-27,31928
2015-10-29,33218
2015-10-30,34571
2015-10-31,34571
2015-11-01,34571
2015-11-02,36254
2015-11-03,36254
2015-11-04,36254
2015-11-05,38025
2015-11-06,38025
2015-11-07,39632
2015-11-08,39632
2015-11-09,39632
2015-11-10,40202
2015-11-11,40202
2015-11-12,40652
2015-11-13,40652
2015-11-14,40652
2015-11-15,41065
2015-11-16,41065
2015-11-17,41065
2015-11-18,41102
2015-11-19,41102
2015-11-20,41178
2015-11-21,41178
2015-11-22,41313
2015-11-23,41313
2015-11-24,42715
2015-11-25,42715
2015-11-26,44314
2015-11-27,44314
2015-11-28,43773
2015-11-29,43773
2015-11-30,44004
2015-12-01,44004
2015-12-02,44186
2015-12-03,44186
2015-12-04,42925
2015-12-05,42925
2015-12-06,41670
2015-12-07,41670
2015-12-08,40586
2015-12-09,40586
2015-12-10,40291
2015-12-11,40291
2015-12-13,39232
2015-12-14,39232
2015-12-15,38661
2015-12-16,38661
2015-12-17,38935
2015-12-18,38935
2015-12-19,38826
2015-12-20,38826
2015-12-21,38721
2015-12-22,38721
2015-12-23,38499
2015-12-24,38499
2015-12-25,38499
2015-12-26,37862
2015-12-27,37862
2015-12-28,37165
2015-12-29,37165
2015-12-30,36755
2015-12-31,36755
2016-01-01,37266
2016-01-02,37266
2016-01-03,37224
2016-01-04,37224
2016-01-05,37009
2016-01-06,37009
2016-01-07,36554
2016-01-08,36554
2016-01-09,36310
2016-01-10,36310
2016-01-11,35864
2016-01-12,35864
2016-01-13,35128
2016-01-14,35114
2016-01-15,35114
2016-01-16,35477
2016-01-17,35477
2016-01-18,36855
2016-01-19,36855
2016-01-20,37706
2016-01-21,37706
2016-01-22,38309
2016-01-23,38309
2016-01-24,38490
2016-01-25,38490
2016-01-26,38290
2016-01-27,37333
2016-01-28,37333
2016-01-29,36449
2016-01-30,36449
2016-01-31,35695
2016-02-01,35695
2016-02-02,35416
2016-02-03,35416
2016-02-04,35021
2016-02-05,35021
2016-02-06,34811
2016-02-07,34811
2016-02-08,35118
2016-02-09,35118
2016-02-10,34817
2016-02-11,34817
2016-02-12,34817
2016-02-13,35424
2016-02-14,35424
2016-02-15,35133
2016-02-16,35133
2016-02-17,35676
2016-02-18,35676
2016-02-19,35587
2016-02-20,35587
2016-02-21,35429
2016-02-22,35429
2016-02-23,35569
2016-02-24,35569
2016-02-25,35174
2016-02-26,35174
2016-02-27,34319
2016-02-28,34319
2016-02-29,34001
2016-03-01,34001
2016-03-02,33196
2016-03-03,33215
2016-03-04,33215
2016-03-05,32135
2016-03-06,30773
2016-03-07,30773
2016-03-08,30773
2016-03-09,29234
2016-03-10,29234
2016-03-11,28268
2016-03-12,28177
2016-03-13,28177
2016-03-14,27286
2016-03-15,27286
2016-03-16,26768
2016-03-17,26768
2016-03-18,26220
2016-03-19,26220
2016-03-20,25162
2016-03-21,25162
2016-03-22,25154
2016-03-23,25154
2016-03-24,26310
2016-03-25,26310
2016-03-26,26757
2016-03-27,26757
2016-03-28,26364
2016-03-29,26364
2016-03-30,26033
2016-03-31,26033
2016-04-01,25869
2016-04-02,25869
2016-04-03,24928
2016-04-04,24928
2016-04-05,24494
2016-04-06,24494
2016-04-07,23447
2016-04-08,23447
2016-04-09,23466
2016-04-10,23466
2016-04-11,23394
2016-04-12,23394
2016-04-13,23496
2016-04-14,23496
2016-04-15,23202
2016-04-16,23202
2016-04-17,22983
2016-04-18,22775
2016-04-19,22775
2016-04-20,22491
2016-04-21,22491
2016-04-22,22647
2016-04-23,22647
2016-04-24,22296
2016-04-25,21589
2016-04-26,21589
2016-04-27,20834
2016-04-28,20834
2016-04-29,19980
2016-04-30,19133
2016-05-01,19133
2016-05-02,18672
2016-05-03,18672
2016-05-04,18782
2016-05-05,18782
2016-05-06,18566
2016-05-07,18566
2016-05-08,18677
2016-05-09,18677
2016-05-10,18787
2016-05-11,18787
2016-05-12,18856
2016-05-13,18592
2016-05-14,18592
2016-05-15,18332
2016-05-16,18332
2016-05-17,18097
2016-05-18,18097
2016-05-19,18204
2016-05-22,17878
2016-05-23,17957
2016-05-24,17957
2016-05-25,18232
2016-05-26,18232
2016-05-27,18993
2016-05-28,18993
2016-05-29,19800
2016-05-30,19800
2016-05-31,20139
2016-06-01,20139
2016-06-02,20296
2016-06-03,20296
2016-06-04,20320
2016-06-05,20320
2016-06-06,20064
2016-06-07,20064
2016-06-08,19898
2016-06-09,19898
2016-06-10,20364
2016-06-11,20364
2016-06-12,20479
2016-06-13,20479
2016-06-14,21251
2016-06-15,21251
2016-06-16,21836
2016-06-17,22234
2016-06-18,22234
2016-06-19,21122
2016-06-20,20128
2016-06-21,20128
2016-06-22,19979
2016-06-23,19979
2016-06-24,19995
2016-06-25,19995
2016-06-26,19845
2016-06-27,19845
2016-06-28,19990
2016-06-29,19990
2016-06-30,19290
2016-07-01,18964
2016-07-02,18964
2016-07-03,18578
2016-07-04,18176
2016-07-05,18176
2016-07-06,17802
2016-07-07,17802
2016-07-08,17245
2016-07-09,17245
2016-07-10,16457
2016-07-11,15679
2016-07-12,15679
2016-07-13,14895
