date_obj,Villager%20sandals%20(brown) price
2018-01-22,3533
2018-01-23,3533
2018-01-24,3560
2018-01-25,3560
2018-01-26,3560
2018-01-27,3560
2018-01-28,3560
2018-01-29,3642
2018-01-30,3642
2018-02-01,3642
2018-02-02,3642
2018-02-03,3636
2018-02-04,3636
2018-02-05,3636
2018-02-06,3636
2018-02-07,3636
2018-02-08,3636
2018-02-09,3678
2018-02-10,3678
2018-02-11,3678
2018-02-12,3678
2018-02-13,3678
2018-02-14,3678
2018-02-15,3650
2018-02-16,3650
2018-02-17,3650
2018-02-18,3650
2018-02-19,3650
2018-02-20,3653
2018-02-21,3653
2018-02-22,3653
2018-02-23,3653
2018-02-24,3653
2018-02-25,3634
2018-02-26,3634
2018-02-27,3634
2018-02-28,3634
2018-03-01,3634
2018-03-02,3518
2018-03-03,3518
2018-03-04,3518
2018-03-05,3518
2018-03-06,3518
2018-03-07,3423
2018-03-08,3423
2018-03-09,3423
2018-03-10,3423
2018-03-11,3423
2018-03-12,3423
2018-03-13,3536
2018-03-14,3536
2018-03-15,3536
2018-03-16,3536
2018-03-17,3536
2018-03-18,3607
2018-03-19,3607
2018-03-20,3607
2018-03-21,3607
2018-03-23,3607
2018-03-24,3607
2018-03-26,3715
2018-03-27,3715
2018-03-28,3715
2018-03-29,3715
2018-03-30,3822
2018-03-31,3822
2018-04-01,3822
2018-04-02,3822
2018-04-03,3822
2018-04-04,3822
2018-04-05,3824
2018-04-06,3824
2018-04-08,3824
2018-04-09,3824
2018-04-10,3824
2018-04-11,3794
2018-04-12,3794
2018-04-13,3794
2018-04-14,3794
2018-04-16,3755
2018-04-17,3755
2018-04-18,3755
2018-04-19,3755
2018-04-20,3755
2018-04-21,3815
2018-04-22,3815
2018-04-23,3815
2018-04-24,3815
2018-04-25,3815
2018-04-26,3815
2018-04-27,3897
2018-04-28,3897
2018-04-29,3897
2018-04-30,3897
2018-05-02,3879
2018-05-03,3879
2018-05-04,3879
2018-05-05,3879
2018-05-06,3879
2018-05-07,3879
2018-05-08,3837
2018-05-09,3837
2018-05-10,3837
2018-05-11,3837
2018-05-12,3837
2018-05-13,3651
2018-05-14,3651
2018-05-15,3651
2018-05-16,3651
2018-05-17,3651
2018-05-18,3491
2018-05-19,3491
2018-05-20,3491
2018-05-21,3491
2018-05-22,3491
2018-05-23,3491
2018-05-24,3555
2018-05-25,3555
2018-05-26,3555
2018-05-27,3555
2018-05-28,3555
2018-05-29,3523
2018-05-30,3523
2018-05-31,3523
2018-06-01,3523
2018-06-02,3523
2018-06-03,3554
2018-06-04,3554
2018-06-05,3554
2018-06-06,3554
2018-06-07,3554
2018-06-08,3669
2018-06-09,3669
2018-06-10,3669
2018-06-11,3669
2018-06-12,3669
2018-06-13,3849
2018-06-14,3849
2018-06-15,3849
2018-06-16,3849
2018-06-17,3849
2018-06-18,3849
2018-06-19,3985
2018-06-20,3985
2018-06-21,3985
2018-06-22,3985
2018-06-23,3985
2018-06-24,3985
2018-06-25,4026
2018-06-26,4026
2018-06-27,4026
2018-06-28,4026
2018-06-29,4026
2018-06-30,4026
2018-07-01,3855
2018-07-02,3855
2018-07-03,3855
2018-07-04,3855
2018-07-05,3855
2018-07-06,3855
2018-07-07,3776
2018-07-08,3776
2018-07-09,3776
2018-07-10,3776
2018-07-11,3776
2018-07-12,3776
2018-07-13,3776
2018-07-14,3776
2018-07-15,3776
2018-07-16,3647
2018-07-17,3647
2018-07-18,3647
2018-07-19,3647
2018-07-20,3647
2018-07-21,3567
2018-07-22,3567
2018-07-23,3567
2018-07-24,3567
2018-07-25,3480
2018-07-26,3480
2018-07-27,3480
2018-07-28,3480
2018-07-29,3591
2018-07-30,3591
2018-07-31,3591
2018-08-01,3591
2018-08-02,3696
2018-08-03,3696
2018-08-04,3696
2018-08-05,3696
2018-08-06,3696
2018-08-07,3641
2018-08-08,3641
2018-08-09,3641
2018-08-10,3641
2018-08-11,3641
2018-08-12,3544
2018-08-14,3544
2018-08-16,3544
2018-08-17,3366
2018-08-18,3366
2018-08-19,3366
2018-08-20,3366
2018-08-21,3225
2018-08-22,3225
2018-08-23,3225
2018-08-24,3225
2018-08-25,3233
2018-08-26,3233
2018-08-27,3233
2018-08-28,3233
2018-08-29,3351
2018-08-30,3351
2018-08-31,3351
2018-09-01,3351
2018-09-02,3351
2018-09-03,3464
2018-09-04,3464
2018-09-05,3464
2018-09-06,3464
2018-09-07,3464
2018-09-08,3417
2018-09-09,3417
2018-09-10,3417
2018-09-11,3417
2018-09-12,3417
2018-09-13,3492
2018-09-14,3492
2018-09-15,3492
2018-09-16,3492
2018-09-17,3614
2018-09-18,3614
2018-09-19,3614
2018-09-20,3614
2018-09-21,3614
2018-09-22,3640
2018-09-23,3640
2018-09-24,3640
2018-09-25,3640
2018-09-26,3758
2018-09-27,3758
2018-09-28,3758
2018-09-29,3758
2018-09-30,3758
2018-10-02,3742
2018-10-03,3742
2018-10-04,3742
2018-10-05,3742
2018-10-06,3827
2018-10-07,3827
2018-10-08,3827
2018-10-09,3827
2018-10-10,3827
2018-10-11,3898
2018-10-12,3898
2018-10-13,3898
2018-10-14,3898
2018-10-15,3898
2018-10-16,4088
2018-10-17,4088
2018-10-18,4088
2018-10-19,4088
2018-10-20,4088
2018-10-21,4080
2018-10-22,4080
2018-10-23,4080
2018-10-24,4080
2018-10-25,4080
2018-10-26,3956
2018-10-27,3956
2018-10-28,3956
2018-10-29,3956
2018-10-30,3884
2018-10-31,3884
2018-11-01,3884
2018-11-03,3874
2018-11-04,3874
2018-11-05,3874
2018-11-06,4002
2018-11-07,4002
2018-11-08,4002
2018-11-09,4002
2018-11-10,3891
2018-11-11,3891
2018-11-12,3891
2018-11-13,3936
2018-11-14,3936
2018-11-15,3936
2018-11-16,3996
2018-11-17,3996
2018-11-18,3996
2018-11-19,3996
2018-11-20,4115
2018-11-21,4115
2018-11-22,4115
2018-11-23,4229
2018-11-24,4229
