date_obj,Rune%20warhammer price
2015-03-26,26425
2015-03-27,26425
2015-03-28,26285
2015-03-29,26418
2015-03-30,26347
2015-03-31,26636
2015-04-01,26567
2015-04-02,26498
2015-04-03,26532
2015-04-04,26474
2015-04-05,26369
2015-04-06,26099
2015-04-07,26263
2015-04-08,26309
2015-04-09,25961
2015-04-10,26129
2015-04-11,26296
2015-04-12,26424
2015-04-13,26677
2015-04-14,26464
2015-04-15,26763
2015-04-16,26782
2015-04-17,26799
2015-04-18,26325
2015-04-19,26206
2015-04-20,26253
2015-04-21,26556
2015-04-22,26817
2015-04-23,26701
2015-04-24,26598
2015-04-25,26660
2015-04-26,26431
2015-04-27,26565
2015-04-28,26469
2015-04-29,26497
2015-04-30,26639
2015-05-01,26495
2015-05-02,26200
2015-05-03,26041
2015-05-04,26094
2015-05-05,26392
2015-05-06,26315
2015-05-07,26329
2015-05-08,26604
2015-05-09,26207
2015-05-10,25993
2015-05-11,26071
2015-05-12,26057
2015-05-13,26313
2015-05-14,26549
2015-05-15,26420
2015-05-16,26601
2015-05-17,26726
2015-05-18,26809
2015-05-19,26778
2015-05-20,26873
2015-05-21,27139
2015-05-22,27205
2015-05-23,27113
2015-05-24,26941
2015-05-25,26616
2015-05-26,26485
2015-05-27,26343
2015-05-28,26098
2015-05-29,25923
2015-05-30,26049
2015-05-31,26138
2015-06-01,26022
2015-06-02,26242
2015-06-03,26239
2015-06-04,26293
2015-06-05,26311
2015-06-06,26390
2015-06-07,26277
2015-06-08,25979
2015-06-09,26015
2015-06-10,26187
2015-06-11,26201
2015-06-12,26314
2015-06-13,26618
2015-06-14,26570
2015-06-15,26624
2015-06-16,26499
2015-06-17,26241
2015-06-18,25648
2015-06-19,25490
2015-06-20,26184
2015-06-21,26100
2015-06-22,26288
2015-06-23,26376
2015-06-24,26423
2015-06-25,26533
2015-06-26,26596
2015-06-27,26674
2015-06-28,26777
2015-06-29,26629
2015-06-30,26560
2015-07-01,26603
2015-07-02,26689
2015-07-03,26573
2015-07-04,25891
2015-07-05,25565
2015-07-06,25575
2015-07-07,26020
2015-07-08,26199
2015-07-09,26295
2015-07-10,26264
2015-07-11,26417
2015-07-12,26302
2015-07-13,26295
2015-07-14,26495
2015-07-15,26551
2015-07-16,26525
2015-07-17,26611
2015-07-18,26877
2015-07-19,26544
2015-07-20,26658
2015-07-21,26724
2015-07-22,26952
2015-07-23,26994
2015-07-24,26936
2015-07-25,26773
2015-07-26,26557
2015-07-27,26613
2015-07-28,26660
2015-07-29,26894
2015-07-30,27111
2015-07-31,27273
2015-08-01,27409
2015-08-02,27324
2015-08-03,26971
2015-08-04,27206
2015-08-05,27206
2015-08-06,27420
2015-08-07,27520
2015-08-08,27405
2015-08-09,27115
2015-08-10,27381
2015-08-11,27432
2015-08-12,27517
2015-08-13,27443
2015-08-14,27495
2015-08-15,27673
2015-08-16,27332
2015-08-17,27217
2015-08-18,27510
2015-08-19,27409
2015-08-20,27314
2015-08-21,27305
2015-08-22,27021
2015-08-23,27339
2015-08-24,27402
2015-08-25,27354
2015-08-26,27247
2015-08-27,26928
