date_obj,Calquat%20keg price
2015-03-26,620
2015-03-27,620
2015-03-28,620
2015-03-29,620
2015-03-30,620
2015-03-31,620
2015-04-01,620
2015-04-02,620
2015-04-03,620
2015-04-04,620
2015-04-05,620
2015-04-06,620
2015-04-07,620
2015-04-08,620
2015-04-09,620
2015-04-10,620
2015-04-11,620
2015-04-12,620
2015-04-13,620
2015-04-14,620
2015-04-15,620
2015-04-16,620
2015-04-17,620
2015-04-18,620
2015-04-19,620
2015-04-20,620
2015-04-21,620
2015-04-22,620
2015-04-23,620
2015-04-24,620
2015-04-25,620
2015-04-26,620
2015-04-27,620
2015-04-28,620
2015-04-29,620
2015-04-30,620
2015-05-01,620
2015-05-02,620
2015-05-03,620
2015-05-04,620
2015-05-05,620
2015-05-06,620
2015-05-07,620
2015-05-08,620
2015-05-09,620
2015-05-10,620
2015-05-11,620
2015-05-12,620
2015-05-13,620
2015-05-14,620
2015-05-15,620
2015-05-16,620
2015-05-17,620
2015-05-18,620
2015-05-19,620
2015-05-20,620
2015-05-21,620
2015-05-22,620
2015-05-23,620
2015-05-24,620
2015-05-25,620
2015-05-26,620
2015-05-27,620
2015-05-28,594
2015-05-29,594
2015-05-30,594
2015-05-31,594
2015-06-01,594
2015-06-02,594
2015-06-03,594
2015-06-04,594
2015-06-05,594
2015-06-06,594
2015-06-07,594
2015-06-08,594
2015-06-09,594
2015-06-10,594
2015-06-11,594
2015-06-12,594
2015-06-13,594
2015-06-14,594
2015-06-15,594
2015-06-16,594
2015-06-17,594
2015-06-18,594
2015-06-19,594
2015-06-20,594
2015-06-21,594
2015-06-22,594
2015-06-23,594
2015-06-24,594
2015-06-25,594
2015-06-26,594
2015-06-27,594
2015-06-28,594
2015-06-29,594
2015-06-30,594
2015-07-01,594
2015-07-02,594
2015-07-03,594
2015-07-04,594
2015-07-05,594
2015-07-06,594
2015-07-07,594
2015-07-08,594
2015-07-09,594
2015-07-10,594
2015-07-11,594
2015-07-12,594
2015-07-13,594
2015-07-14,594
2015-07-15,594
2015-07-16,594
2015-07-17,594
2015-07-18,594
2015-07-19,594
2015-07-20,594
2015-07-21,594
2015-07-22,594
2015-07-23,594
2015-07-24,594
2015-07-25,594
2015-07-26,594
2015-07-27,594
2015-07-28,594
2015-07-29,594
2015-07-30,594
2015-07-31,594
2015-08-01,594
2015-08-02,594
2015-08-03,594
2015-08-04,594
2015-08-05,594
2015-08-06,594
2015-08-07,594
2015-08-08,594
2015-08-09,594
2015-08-10,594
2015-08-11,594
2015-08-12,594
2015-08-13,594
2015-08-14,594
2015-08-15,594
2015-08-16,567
2015-08-17,567
2015-08-18,567
2015-08-19,567
2015-08-20,567
2015-08-21,567
2015-08-22,567
2015-08-23,567
2015-08-24,567
2015-08-25,567
2015-08-26,567
2015-08-27,567
2015-08-28,567
2015-08-29,567
2015-08-30,567
