date_obj,Rune%20scimitar%20ornament%20kit%20(saradomin) price
2019-04-11,50000
2019-04-11,52500
2019-04-12,55125
2019-04-13,57882
2019-04-14,60777
2019-04-15,420000
2019-04-16,415950
2019-04-17,419698
2019-04-18,428282
2019-04-19,424588
2019-04-20,418115
2019-04-21,403440
2019-04-22,384131
2019-04-23,366636
2019-04-24,348367
2019-04-25,332434
2019-04-26,318092
2019-04-27,304588
2019-04-28,296203
2019-04-29,284003
2019-04-30,276283
2019-05-01,265873
2019-05-02,260606
2019-05-03,256352
2019-05-04,252732
2019-05-05,248956
2019-05-06,251133
2019-05-07,259450
2019-05-08,262445
2019-05-09,256040
2019-05-10,261627
2019-05-11,271539
2019-05-12,277453
2019-05-13,282691
2019-05-14,286234
2019-05-15,289314
2019-05-16,290089
2019-05-17,285882
2019-05-18,284188
2019-05-19,288533
2019-05-20,285329
2019-05-21,282126
2019-05-22,278584
2019-05-23,273412
2019-05-24,268158
2019-05-25,266675
2019-05-26,266146
2019-05-27,269060
2019-05-28,269397
2019-05-29,268946
2019-05-30,265307
2019-05-31,267211
2019-06-01,268485
2019-06-02,270379
2019-06-03,271309
2019-06-04,271158
2019-06-05,275039
2019-06-06,281318
2019-06-07,285213
2019-06-08,288928
2019-06-09,288230
2019-06-10,288230
2019-06-11,287115
2019-06-12,291471
2019-06-13,302349
2019-06-14,313863
2019-06-15,317166
2019-06-16,318611
2019-06-17,313470
2019-06-18,304737
2019-06-19,294779
2019-06-20,286191
2019-06-21,285673
2019-06-22,289710
2019-06-23,287780
2019-06-24,283466
2019-06-25,285461
2019-06-26,287163
2019-06-27,288717
2019-06-28,288548
2019-06-29,284792
2019-06-30,276008
2019-07-01,266293
2019-07-02,264607
2019-07-03,262549
2019-07-04,259027
2019-07-05,254923
2019-07-06,252948
2019-07-07,255864
2019-07-08,258062
2019-07-09,262164
2019-07-10,258469
2019-07-11,259943
2019-07-12,262932
2019-07-13,267845
2019-07-14,274513
2019-07-15,282273
2019-07-16,285178
2019-07-17,289520
2019-07-18,291636
2019-07-19,291572
2019-07-20,294650
2019-07-21,295757
2019-07-22,296660
2019-07-23,295293
2019-07-24,297648
2019-07-25,299951
2019-07-26,294725
2019-07-27,293150
2019-07-28,288266
2019-07-29,284350
2019-07-30,281981
2019-07-31,284032
2019-08-01,286968
2019-08-02,287992
2019-08-03,283274
2019-08-04,281691
2019-08-05,278101
2019-08-06,277069
2019-08-07,277604
2019-08-08,276432
2019-08-09,278702
2019-08-10,278052
2019-08-11,275610
2019-08-12,276129
2019-08-13,268623
2019-08-14,258745
2019-08-15,255034
2019-08-16,257748
2019-08-17,257748
2019-08-18,263407
2019-08-19,267909
2019-08-20,268885
2019-08-21,265306
2019-08-22,264288
2019-08-23,266148
2019-08-24,271412
2019-08-24,271412
2019-08-25,271961
2019-08-25,271961
2019-08-26,275891
2019-08-26,275891
2019-08-27,273781
2019-08-27,273781
2019-08-28,270406
2019-08-29,269075
2019-08-30,270609
2019-08-31,270709
2019-09-01,272265
2019-09-02,277101
2019-09-03,280694
2019-09-04,282430
2019-09-05,280973
2019-09-06,284188
2019-09-07,281563
2019-09-08,281987
2019-09-09,281768
2019-09-10,276975
2019-09-11,280938
2019-09-12,285141
2019-09-13,284409
2019-09-14,283705
2019-09-15,283298
2019-09-16,283351
2019-09-17,281696
2019-09-18,279409
2019-09-19,278045
2019-09-20,277471
2019-09-21,278009
2019-09-22,280373
2019-09-23,277002
2019-09-24,275249
2019-09-25,272290
2019-09-26,268607
2019-09-27,258638
2019-09-28,252047
2019-09-29,246607
2019-09-30,240747
2019-10-01,234890
2019-10-02,226718
2019-10-03,219669
2019-10-04,214684
2019-10-05,209481
2019-10-06,208617
2019-10-07,211495
2019-10-08,211873
2019-10-09,211890
2019-10-10,211738
2019-10-11,210091
2019-10-12,210379
2019-10-13,211651
2019-10-14,213506
2019-10-15,212728
2019-10-16,212049
2019-10-17,213932
2019-10-18,217745
2019-10-19,215701
2019-10-20,215318
2019-10-21,213666
2019-10-22,212830
2019-10-23,212806
2019-10-24,217669
2019-10-25,218200
2019-10-26,220616
2019-10-27,221995
2019-10-28,225309
2019-10-29,227246
2019-10-30,230793
2019-10-31,233000
2019-11-01,239017
2019-11-02,244307
2019-11-03,252451
2019-11-04,259115
2019-11-05,265091
2019-11-06,269459
2019-11-07,273280
2019-11-08,268918
2019-11-09,260392
2019-11-10,254204
2019-11-11,251682
2019-11-12,251063
2019-11-13,250709
2019-11-14,246523
2019-11-15,243925
2019-11-16,238427
2019-11-17,238427
2019-11-18,235786
2019-11-19,235246
2019-11-20,230795
2019-11-21,227705
2019-11-22,230901
2019-11-23,235127
2019-11-24,235975
2019-11-25,237163
2019-11-26,245390
2019-11-27,244578
2019-11-28,246776
2019-11-29,249492
2019-11-30,251926
2019-12-01,251070
2019-12-02,252102
2019-12-03,252691
2019-12-04,251502
2019-12-05,248865
2019-12-06,246772
2019-12-07,246599
2019-12-08,244279
2019-12-09,245082
2019-12-10,246844
2019-12-11,247826
2019-12-12,248690
2019-12-13,248396
2019-12-14,248332
2019-12-15,249049
2019-12-16,249754
2019-12-17,249103
2019-12-18,255369
2019-12-19,254287
2019-12-20,255806
2019-12-21,256742
2019-12-22,256120
2019-12-23,256050
2019-12-24,256419
2019-12-25,254833
2019-12-26,253407
2019-12-27,250747
2019-12-28,247515
2019-12-29,248403
2019-12-30,251006
2019-12-31,248714
2020-01-01,247807
2020-01-02,247470
2020-01-03,246401
2020-01-04,248107
2020-01-05,248031
2020-01-06,246403
2020-01-07,244749
2020-01-08,245986
2020-01-09,245973
2020-01-10,247212
2020-01-11,247733
2020-01-12,247686
2020-01-13,247686
2020-01-14,248885
2020-01-15,244735
2020-01-16,241379
2020-01-17,239414
2020-01-18,235061
2020-01-19,233936
2020-01-20,229626
2020-01-21,229626
2020-01-22,224689
2020-01-23,218617
2020-01-24,217914
2020-01-25,215128
2020-01-26,207325
2020-01-27,201616
2020-01-28,197398
2020-01-29,194570
2020-01-30,192036
2020-01-31,189306
2020-02-01,188431
2020-02-02,186327
2020-02-03,186533
2020-02-04,186942
2020-02-05,187745
2020-02-06,181994
2020-02-07,175493
2020-02-08,169518
2020-02-09,167426
2020-02-10,164135
2020-02-11,162696
2020-02-12,159820
2020-02-13,155648
2020-02-14,151920
2020-02-15,148586
2020-02-16,145128
2020-02-17,141729
2020-02-18,138636
2020-02-19,136613
2020-02-20,134265
2020-02-21,133603
2020-02-22,131860
2020-02-23,130349
2020-02-24,127906
2020-02-25,128313
2020-02-26,127668
2020-02-27,125963
2020-02-28,126986
2020-02-29,127163
2020-03-01,126604
2020-03-02,125803
2020-03-03,126216
2020-03-04,127212
2020-03-05,126179
2020-03-06,126837
2020-03-07,128185
2020-03-08,129246
2020-03-09,130822
2020-03-10,131513
2020-03-11,132364
2020-03-12,134195
2020-03-13,134905
2020-03-14,135395
2020-03-15,134233
2020-03-16,134216
2020-03-17,133759
2020-03-18,133193
2020-03-19,132896
2020-03-20,134670
2020-03-21,133460
2020-03-22,133858
2020-03-23,133051
2020-03-24,133475
2020-03-25,134463
2020-03-26,133892
2020-03-27,132746
2020-03-28,131479
2020-03-29,131178
2020-03-30,130089
2020-03-31,127472
2020-04-01,126096
2020-04-02,125453
2020-04-03,125856
2020-04-04,125297
2020-04-05,125884
2020-04-06,124035
2020-04-07,121834
2020-04-08,119520
2020-04-09,118138
2020-04-10,116401
2020-04-11,115276
2020-04-12,113796
2020-04-13,111876
2020-04-14,110073
2020-04-15,108577
2020-04-16,106219
2020-04-17,104950
