date_obj,Amulet%20of%20magic%20(t) price
2015-03-26,23343
2015-03-27,23343
2015-03-28,23129
2015-03-29,23129
2015-03-30,22421
2015-03-31,22421
2015-04-01,22421
2015-04-02,21790
2015-04-03,21790
2015-04-04,20948
2015-04-05,20948
2015-04-06,20403
2015-04-07,20403
2015-04-08,20403
2015-04-09,19835
2015-04-10,19835
2015-04-11,19052
2015-04-12,19052
2015-04-13,18315
2015-04-14,18315
2015-04-15,17722
2015-04-16,17722
2015-04-17,17425
2015-04-18,17425
2015-04-19,17209
2015-04-20,17209
2015-04-21,17209
2015-04-22,16915
2015-04-23,16915
2015-04-24,16452
2015-04-25,16452
2015-04-26,16452
2015-04-27,16239
2015-04-28,16239
2015-04-29,16239
2015-04-30,16175
2015-05-01,16175
2015-05-02,16083
2015-05-03,16083
2015-05-04,16083
2015-05-05,15821
2015-05-06,15821
2015-05-07,15469
2015-05-08,15469
2015-05-09,15244
2015-05-10,15244
2015-05-11,15244
2015-05-12,15048
2015-05-13,15048
2015-05-14,15410
2015-05-15,15410
2015-05-16,15410
2015-05-17,15696
2015-05-18,15696
2015-05-19,15696
2015-05-20,16208
2015-05-21,16208
2015-05-22,16208
2015-05-23,16184
2015-05-24,16184
2015-05-25,16315
2015-05-26,16315
2015-05-27,16315
2015-05-28,16145
2015-05-29,16145
2015-05-30,16029
2015-05-31,16029
2015-06-01,15731
2015-06-02,15731
2015-06-03,15363
2015-06-04,15363
2015-06-05,14880
2015-06-06,14880
2015-06-07,14456
2015-06-08,14456
2015-06-09,14226
2015-06-10,14226
2015-06-11,14096
2015-06-12,14096
2015-06-13,13957
2015-06-14,13957
2015-06-15,14096
2015-06-16,14096
2015-06-17,14322
2015-06-18,14665
2015-06-19,14665
2015-06-20,14605
2015-06-21,14605
2015-06-22,14651
2015-06-23,14651
2015-06-24,14696
2015-06-25,14696
2015-06-26,14746
2015-06-27,14746
2015-06-28,14827
2015-06-29,14827
2015-06-30,15005
2015-07-01,15005
2015-07-02,15167
2015-07-03,15294
2015-07-04,15294
2015-07-05,15402
2015-07-06,15402
2015-07-07,15604
2015-07-08,15699
2015-07-09,15699
2015-07-10,15894
2015-07-11,15894
2015-07-12,16002
2015-07-13,16002
2015-07-14,16096
2015-07-15,16096
2015-07-16,16243
2015-07-17,16243
2015-07-18,16292
2015-07-19,16292
2015-07-20,16539
2015-07-21,16539
2015-07-22,17130
2015-07-23,17130
2015-07-24,17881
2015-07-25,17881
2015-07-26,18693
2015-07-27,18693
2015-07-28,19429
2015-07-29,19429
2015-07-30,20172
2015-07-31,20172
2015-08-01,20919
2015-08-02,21144
2015-08-03,21144
2015-08-04,20749
2015-08-05,20749
2015-08-06,20561
2015-08-07,20561
2015-08-08,20583
2015-08-09,20583
2015-08-10,20820
2015-08-11,20820
2015-08-12,20679
2015-08-13,20679
2015-08-14,20619
2015-08-15,20619
2015-08-16,20504
2015-08-17,20504
2015-08-18,20217
2015-08-19,20217
2015-08-20,20455
2015-08-21,20894
2015-08-22,20894
2015-08-23,20991
2015-08-24,20991
2015-08-25,21050
2015-08-26,21050
2015-08-27,21361
2015-08-28,21361
2015-08-29,21126
2015-08-30,21126
2015-08-31,20826
2015-09-01,20826
2015-09-02,20935
2015-09-03,20935
2015-09-04,21028
2015-09-05,21028
2015-09-06,21328
2015-09-07,21328
2015-09-08,21244
2015-09-09,21244
2015-09-10,21481
2015-09-11,21891
2015-09-12,21891
2015-09-13,21486
2015-09-14,21486
2015-09-15,21493
2015-09-16,21493
2015-09-17,21649
2015-09-18,21649
2015-09-19,21442
2015-09-20,21442
2015-09-21,21484
2015-09-22,21484
2015-09-23,21417
2015-09-24,21417
2015-09-25,21417
2015-09-27,21684
2015-09-28,21987
2015-09-29,21987
2015-09-30,22730
2015-10-05,23682
2015-10-06,24556
2015-10-07,24556
2015-10-08,25277
2015-10-09,25277
2015-10-10,25854
2015-10-11,25854
2015-10-12,26983
2015-10-13,26983
2015-10-14,26983
2015-10-15,28320
2015-10-16,28320
2015-10-17,28320
2015-10-18,29178
2015-10-19,29178
2015-10-20,30355
2015-10-22,30355
2015-10-23,31588
2015-10-24,31588
2015-10-25,32101
2015-10-26,32101
2015-10-27,32101
2015-10-28,31890
2015-10-29,31890
2015-10-30,30932
2015-10-31,30932
2015-11-01,30000
2015-11-02,29557
2015-11-03,29557
2015-11-04,29229
2015-11-05,27914
2015-11-06,27914
2015-11-07,27171
2015-11-08,27171
2015-11-09,26646
2015-11-10,26646
2015-11-11,26485
2015-11-12,26485
2015-11-13,26278
2015-11-14,26278
2015-11-15,26010
2015-11-16,26010
2015-11-17,25849
2015-11-18,25849
2015-11-19,25886
2015-11-20,25886
2015-11-21,25940
2015-11-22,26043
2015-11-23,26043
2015-11-24,25991
2015-11-25,26279
2015-11-26,26279
2015-11-27,27005
2015-11-28,27005
2015-11-29,27827
2015-11-30,27827
2015-12-01,28121
2015-12-02,28121
2015-12-03,28368
2015-12-04,28368
2015-12-05,28513
2015-12-06,28513
2015-12-07,28352
2015-12-08,28352
2015-12-09,28185
2015-12-10,28185
2015-12-11,28028
2015-12-12,28028
2015-12-13,28198
2015-12-14,28198
2015-12-15,28899
2015-12-16,28899
2015-12-17,29402
2015-12-18,29402
2015-12-19,29329
2015-12-20,29329
2015-12-21,29063
2015-12-22,29063
2015-12-23,29279
2015-12-24,29279
2015-12-25,29038
2015-12-26,29038
2015-12-27,29198
2015-12-28,29198
2015-12-29,29463
2015-12-30,29463
2015-12-31,29839
2016-01-01,29839
2016-01-02,29944
2016-01-04,29959
2016-01-05,30061
2016-01-06,30061
2016-01-07,30072
