date_obj,Zamorak%20crozier price
2015-03-26,31054
2015-03-27,31054
2015-03-28,29501
2015-03-29,28025
2015-03-30,26623
2015-03-31,25291
2015-04-01,24026
2015-04-02,22824
2015-04-03,21682
2015-04-04,20597
2015-04-05,19802
2015-04-06,19436
2015-04-07,18933
2015-04-08,18933
2015-04-09,18347
2015-04-10,17930
2015-04-11,17454
2015-04-12,16627
2015-04-13,15851
2015-04-14,15144
2015-04-15,14491
2015-04-16,13766
2015-04-17,13169
2015-04-18,13005
2015-04-19,12680
2015-04-20,12740
2015-04-21,12523
2015-04-22,12523
2015-04-23,12193
2015-04-24,12110
2015-04-25,12000
2015-04-26,11970
2015-04-27,11876
2015-04-28,11714
2015-04-29,11714
2015-04-30,11785
2015-05-01,11951
2015-05-02,12498
2015-05-03,13110
2015-05-04,13766
2015-05-05,14455
2015-05-06,15174
2015-05-07,15933
2015-05-08,16718
2015-05-09,16806
2015-05-10,16840
2015-05-11,16840
2015-05-12,16686
2015-05-13,16380
2015-05-14,15627
2015-05-15,15049
2015-05-16,14381
2015-05-17,13661
2015-05-18,13099
2015-05-19,12791
2015-05-20,12465
2015-05-21,12465
2015-05-22,12528
2015-05-23,13101
2015-05-24,13685
2015-05-25,14081
2015-05-26,14695
2015-05-27,15141
2015-05-28,15165
2015-05-29,15270
2015-05-30,15103
2015-05-31,15103
2015-06-01,14533
2015-06-02,14533
2015-06-03,13806
2015-06-04,13182
2015-06-05,12877
2015-06-06,12390
2015-06-07,11792
2015-06-08,11792
2015-06-09,11202
2015-06-10,10641
2015-06-11,10132
2015-06-12,9728
2015-06-13,9457
2015-06-14,9400
2015-06-15,9400
2015-06-16,9260
2015-06-17,9217
2015-06-18,9249
2015-06-19,9646
2015-06-20,9959
2015-06-21,10049
2015-06-22,9949
2015-06-23,10352
2015-06-24,10694
2015-06-25,10694
2015-06-26,10918
2015-06-27,10918
2015-06-28,10853
2015-06-29,10853
2015-06-30,10634
2015-07-01,10390
2015-07-02,10390
2015-07-03,10150
2015-07-04,10128
2015-07-05,10128
2015-07-06,9858
2015-07-07,9569
2015-07-08,9667
2015-07-09,9667
2015-07-10,9979
2015-07-11,9979
2015-07-12,10020
2015-07-13,9754
2015-07-14,9499
2015-07-15,9127
2015-07-16,8780
2015-07-17,8686
2015-07-18,8708
2015-07-19,8926
2015-07-20,8876
2015-07-21,8767
2015-07-22,8707
2015-07-23,8707
2015-07-24,8866
2015-07-25,8877
2015-07-26,9113
2015-07-27,9323
2015-07-28,9469
2015-07-29,9092
2015-07-30,9023
2015-07-31,9023
2015-08-01,8818
2015-08-02,8563
2015-08-03,8563
2015-08-04,8476
2015-08-05,8177
2015-08-06,8177
2015-08-07,7985
2015-08-08,7672
2015-08-09,7356
2015-08-10,7063
2015-08-11,6960
2015-08-12,6960
2015-08-13,6792
2015-08-14,6608
2015-08-15,6608
2015-08-16,6446
2015-08-17,6392
2015-08-18,6216
2015-08-19,6028
2015-08-20,6028
2015-08-21,5823
2015-08-22,5801
2015-08-23,5801
2015-08-24,5751
2015-08-25,5751
2015-08-26,5689
2015-08-27,5561
2015-08-28,5561
2015-08-29,5439
2015-08-30,5439
2015-08-31,5250
2015-09-01,5083
2015-09-02,5083
2015-09-03,5023
2015-09-04,4980
2015-09-05,4980
2015-09-06,5050
2015-09-07,4919
2015-09-08,4932
2015-09-09,4908
2015-09-10,4908
2015-09-11,5105
2015-09-12,5258
2015-09-13,5510
2015-09-14,5748
2015-09-15,5812
2015-09-16,5812
2015-09-17,5894
2015-09-18,5894
2015-09-19,5914
2015-09-20,6069
2015-09-21,6069
2015-09-22,6161
2015-09-23,6283
2015-09-24,6283
2015-09-25,6296
2015-09-27,6214
2015-09-28,6214
2015-09-29,6132
2015-09-30,6096
2015-10-05,5958
2015-10-06,5968
2015-10-07,5968
2015-10-08,5958
2015-10-09,6173
2015-10-10,6173
2015-10-11,6174
2015-10-12,6174
2015-10-13,6048
2015-10-14,6048
2015-10-15,5872
2015-10-16,5872
2015-10-17,5781
2015-10-18,5743
2015-10-19,5595
2015-10-20,5684
2015-10-22,5830
2015-10-23,6122
2015-10-24,6427
2015-10-25,6749
2015-10-26,7087
2015-10-27,7043
2015-10-29,6936
2015-10-30,6991
2015-10-31,6787
2015-11-01,6787
2015-11-02,6596
2015-11-03,6596
2015-11-05,6767
2015-11-06,6767
2015-11-07,6701
2015-11-08,6701
2015-11-09,6683
2015-11-10,6683
2015-11-11,6741
2015-11-12,6741
2015-11-13,6655
2015-11-14,6655
2015-11-15,6515
2015-11-16,6515
2015-11-17,6418
2015-11-18,6418
2015-11-19,6182
2015-11-20,6064
2015-11-21,6064
2015-11-22,6050
2015-11-23,6050
2015-11-24,6164
2015-11-25,6305
2015-11-26,6305
2015-11-27,6339
2015-11-28,6377
2015-11-29,6426
2015-11-30,6475
2015-12-01,6475
2015-12-02,6480
2015-12-03,6579
2015-12-04,6579
2015-12-05,6609
2015-12-06,6805
2015-12-07,6805
2015-12-08,6756
2015-12-09,6733
2015-12-10,6774
2015-12-11,6819
2015-12-13,6778
2015-12-14,6778
2015-12-15,6801
2015-12-16,6697
2015-12-17,6697
2015-12-18,6936
2015-12-19,6936
2015-12-20,7000
2015-12-21,7000
2015-12-22,6906
2015-12-23,6893
2015-12-24,6893
2015-12-25,6786
2015-12-26,6786
2015-12-27,6760
2015-12-28,6760
2015-12-29,6676
2015-12-30,6574
2015-12-31,6574
2016-01-01,6619
2016-01-02,6619
2016-01-03,6508
2016-01-04,6481
2016-01-05,6450
2016-01-06,6479
2016-01-07,6514
2016-01-08,6573
2016-01-09,6573
2016-01-10,6603
2016-01-11,6582
2016-01-12,6499
2016-01-13,6383
2016-01-14,6364
2016-01-15,6309
2016-01-16,6241
2016-01-17,6172
2016-01-18,6187
2016-01-19,6187
2016-01-20,6106
2016-01-21,6106
2016-01-22,6069
2016-01-23,5984
2016-01-24,5987
2016-01-25,5817
2016-01-26,5817
2016-01-27,5642
2016-01-28,5642
2016-01-29,5659
2016-01-30,5659
2016-01-31,5640
2016-02-01,5524
2016-02-02,5524
2016-02-03,5496
2016-02-04,5496
2016-02-05,5438
2016-02-06,5364
2016-02-07,5364
2016-02-08,5231
2016-02-09,5112
2016-02-10,5012
2016-02-11,5012
2016-02-12,4860
2016-02-13,4809
2016-02-14,4809
2016-02-15,4842
2016-02-16,4827
2016-02-17,4755
2016-02-18,4755
2016-02-19,4651
2016-02-20,4865
2016-02-21,5109
2016-02-22,5109
2016-02-23,5354
2016-02-24,5528
2016-02-25,5691
2016-02-26,5691
2016-02-27,5708
2016-02-28,5422
2016-02-29,5262
2016-03-01,5385
2016-03-02,5582
2016-03-03,5642
2016-03-04,5670
2016-03-05,5716
2016-03-06,5826
2016-03-07,5826
2016-03-08,5894
2016-03-09,6066
2016-03-10,6244
2016-03-11,6246
2016-03-12,6192
2016-03-13,6192
2016-03-14,6212
2016-03-15,6334
2016-03-16,6378
2016-03-17,6611
2016-03-18,6832
2016-03-19,7101
2016-03-20,7242
2016-03-21,7537
2016-03-22,7866
2016-03-23,8230
2016-03-24,8642
2016-03-25,9016
