date_obj,Black%20beret price
2015-03-26,61921
2015-03-27,61921
2015-03-28,61921
2015-03-29,61921
2015-03-30,61921
2015-03-31,61921
2015-04-01,61921
2015-04-02,61921
2015-04-03,58990
2015-04-04,58990
2015-04-05,58990
2015-04-06,58990
2015-04-07,58990
2015-04-08,58990
2015-04-09,58990
2015-04-10,58990
2015-04-11,56187
2015-04-12,56187
2015-04-13,56187
2015-04-14,56187
2015-04-15,56187
2015-04-16,56187
2015-04-17,56187
2015-04-18,56187
2015-04-19,56187
2015-04-20,53469
2015-04-21,53469
2015-04-22,53469
2015-04-23,53469
2015-04-24,53469
2015-04-25,53469
2015-04-26,53469
2015-04-27,53469
2015-04-28,53469
2015-04-29,51036
2015-04-30,51036
2015-05-01,51036
2015-05-02,51036
2015-05-03,51036
2015-05-04,51036
2015-05-05,51036
2015-05-06,51036
2015-05-07,51036
2015-05-08,48680
2015-05-09,48680
2015-05-10,48680
2015-05-11,48680
2015-05-12,48680
2015-05-13,48680
2015-05-14,48680
2015-05-15,48680
2015-05-16,48680
2015-05-17,46362
2015-05-18,46362
2015-05-19,46362
2015-05-20,46362
2015-05-21,46362
2015-05-22,46362
2015-05-23,46362
2015-05-24,46362
2015-05-25,46362
2015-05-26,46362
2015-05-27,44376
2015-05-28,44376
2015-05-29,44376
2015-05-30,44376
2015-05-31,44376
2015-06-01,44376
2015-06-02,44376
2015-06-03,42476
2015-06-04,42476
2015-06-05,42476
2015-06-06,42476
2015-06-07,42476
2015-06-08,42476
2015-06-09,42476
2015-06-10,41245
2015-06-11,41245
2015-06-12,41245
2015-06-13,41245
2015-06-14,41245
2015-06-15,41245
2015-06-16,41245
2015-06-17,39739
2015-06-18,39739
2015-06-19,39739
2015-06-20,39739
2015-06-21,39739
2015-06-22,39739
2015-06-23,38190
2015-06-24,38190
2015-06-25,38190
2015-06-26,38190
2015-06-27,38190
2015-06-28,38190
2015-06-29,38190
2015-06-30,37287
2015-07-01,37287
2015-07-02,37287
2015-07-03,37287
2015-07-04,37287
2015-07-05,37287
2015-07-06,37287
2015-07-07,37037
2015-07-08,37037
2015-07-09,37037
2015-07-10,37037
2015-07-11,37037
2015-07-12,37037
2015-07-13,37037
2015-07-14,37464
2015-07-15,37464
2015-07-16,37464
2015-07-17,37464
2015-07-18,37464
2015-07-19,37464
2015-07-20,37120
2015-07-21,37120
2015-07-22,37120
2015-07-23,37120
2015-07-24,37120
2015-07-25,37120
2015-07-26,37120
2015-07-27,35870
2015-07-28,35870
2015-07-29,35870
2015-07-30,35870
2015-07-31,35870
2015-08-01,35870
2015-08-02,36631
2015-08-03,36631
2015-08-04,36631
2015-08-05,36631
2015-08-06,36631
2015-08-07,36631
2015-08-08,37724
2015-08-09,37724
2015-08-10,37724
2015-08-11,37724
2015-08-12,37724
2015-08-13,37724
2015-08-14,37724
2015-08-15,38429
2015-08-16,38429
2015-08-17,38429
2015-08-18,38429
2015-08-19,38429
2015-08-20,38429
2015-08-21,38429
2015-08-22,38619
2015-08-23,38619
2015-08-24,38619
2015-08-25,38619
2015-08-26,38619
2015-08-27,38619
2015-08-28,38619
2015-08-29,37145
2015-08-30,37145
2015-08-31,37145
2015-09-01,37145
2015-09-02,37145
2015-09-03,37145
2015-09-04,37296
2015-09-05,37296
2015-09-06,37296
2015-09-07,37296
2015-09-08,37296
2015-09-09,37296
2015-09-10,37296
2015-09-11,37006
2015-09-12,37006
2015-09-13,37006
2015-09-14,37006
2015-09-15,37006
2015-09-16,37006
2015-09-17,38382
2015-09-18,38382
2015-09-19,38382
2015-09-20,38382
2015-09-21,38382
2015-09-22,38382
2015-09-23,38382
2015-09-24,38382
2015-09-25,38727
2015-09-27,38727
2015-09-28,38727
2015-09-29,38727
2015-09-30,38727
2015-10-05,38714
2015-10-06,38714
2015-10-07,38714
2015-10-08,38714
2015-10-09,38714
2015-10-10,38714
2015-10-11,39020
2015-10-12,39020
2015-10-13,39020
2015-10-14,39020
2015-10-15,39020
2015-10-16,39020
2015-10-17,39020
2015-10-18,39020
2015-10-19,39028
2015-10-20,39028
2015-10-22,39028
2015-10-23,39028
2015-10-24,39028
2015-10-25,39028
2015-10-26,39028
2015-10-27,38299
2015-10-28,38299
2015-10-29,38299
2015-10-30,38299
2015-10-31,38299
2015-11-01,38856
2015-11-02,38856
2015-11-03,38856
2015-11-04,38856
2015-11-05,38856
2015-11-06,38856
2015-11-07,39657
2015-11-08,39657
2015-11-09,39657
2015-11-10,39657
2015-11-11,39657
2015-11-12,39657
2015-11-13,39657
2015-11-14,39657
2015-11-15,41024
2015-11-16,41024
2015-11-17,41024
2015-11-18,41024
2015-11-19,41024
2015-11-20,41024
2015-11-21,41024
2015-11-22,41024
2015-11-23,41024
2015-11-24,42868
2015-11-25,42868
2015-11-26,42868
2015-11-27,42868
2015-11-28,42868
2015-11-29,42868
2015-11-30,43392
2015-12-01,43392
2015-12-02,43392
2015-12-03,43392
2015-12-04,43392
2015-12-05,43392
2015-12-06,43392
2015-12-07,43392
2015-12-08,43537
2015-12-09,43537
2015-12-10,43537
2015-12-11,43537
2015-12-12,43537
2015-12-13,43537
2015-12-14,43537
2015-12-15,43808
2015-12-16,43808
2015-12-17,43808
2015-12-18,43808
2015-12-19,43808
2015-12-20,43808
2015-12-21,43808
2015-12-22,43453
2015-12-23,43453
2015-12-24,43453
2015-12-25,43453
2015-12-26,43453
2015-12-27,43453
2015-12-28,43453
2015-12-29,44493
2015-12-30,44493
2015-12-31,44493
2016-01-01,44493
2016-01-02,44493
2016-01-03,44493
2016-01-04,44493
2016-01-05,44214
2016-01-06,44214
2016-01-07,44214
2016-01-08,44214
2016-01-09,44214
2016-01-10,44214
2016-01-11,44214
2016-01-12,44214
2016-01-13,43322
2016-01-14,43322
2016-01-15,43322
2016-01-16,43322
2016-01-17,43322
2016-01-18,43322
2016-01-19,42708
2016-01-20,42708
2016-01-21,42708
2016-01-22,42708
2016-01-23,42708
2016-01-24,42708
2016-01-25,41793
2016-01-26,41793
2016-01-27,41793
2016-01-28,41793
2016-01-29,41793
2016-01-30,41793
2016-01-31,41793
2016-02-01,41854
2016-02-02,41854
2016-02-03,41854
2016-02-04,41854
2016-02-05,41854
2016-02-06,41854
2016-02-07,41854
2016-02-08,42195
2016-02-09,42195
