date_obj,Pizza%20base price
2015-03-26,211
2015-03-27,211
2015-03-28,211
2015-03-29,211
2015-03-30,211
2015-03-31,211
2015-04-01,211
2015-04-02,211
2015-04-03,211
2015-04-04,204
2015-04-05,204
2015-04-06,204
2015-04-07,204
2015-04-08,204
2015-04-09,204
2015-04-10,204
2015-04-11,204
2015-04-12,204
2015-04-13,204
2015-04-14,204
2015-04-15,204
2015-04-16,204
2015-04-17,211
2015-04-18,211
2015-04-19,211
2015-04-20,211
2015-04-21,211
2015-04-22,211
2015-04-23,211
2015-04-24,211
2015-04-25,211
2015-04-26,211
2015-04-27,211
2015-04-28,219
2015-04-29,219
2015-04-30,219
2015-05-01,219
2015-05-02,219
2015-05-03,219
2015-05-04,219
2015-05-05,219
2015-05-06,219
2015-05-07,219
2015-05-08,219
2015-05-09,219
2015-05-10,219
2015-05-11,219
2015-05-12,224
2015-05-13,224
2015-05-14,224
2015-05-15,224
2015-05-16,224
2015-05-17,224
2015-05-18,224
2015-05-19,224
2015-05-20,224
2015-05-21,224
2015-05-22,224
2015-05-23,224
2015-05-24,224
2015-05-25,224
2015-05-26,224
2015-05-27,217
2015-05-28,217
2015-05-29,217
2015-05-30,217
2015-05-31,217
2015-06-01,217
2015-06-02,217
2015-06-03,217
2015-06-04,217
2015-06-05,217
2015-06-06,213
2015-06-07,213
2015-06-08,213
2015-06-09,213
2015-06-10,213
2015-06-11,213
2015-06-12,213
2015-06-13,213
2015-06-14,213
2015-06-15,213
2015-06-16,213
2015-06-17,213
2015-06-18,204
2015-06-19,204
2015-06-20,204
2015-06-21,204
2015-06-22,204
2015-06-23,204
2015-06-24,204
2015-06-25,204
2015-06-26,204
2015-06-27,204
2015-06-28,204
2015-06-29,199
2015-06-30,199
2015-07-01,199
2015-07-02,199
2015-07-03,199
2015-07-04,199
2015-07-05,199
2015-07-06,199
2015-07-07,199
2015-07-08,199
2015-07-09,199
2015-07-10,195
2015-07-11,195
2015-07-12,195
2015-07-13,195
2015-07-14,195
2015-07-15,195
2015-07-16,195
2015-07-17,195
2015-07-18,195
2015-07-19,195
2015-07-20,195
2015-07-21,195
2015-07-22,195
2015-07-23,195
2015-07-24,195
2015-07-25,195
2015-07-26,195
2015-07-27,195
2015-07-28,195
2015-07-29,195
2015-07-30,198
2015-07-31,198
2015-08-01,198
2015-08-02,198
2015-08-03,198
2015-08-04,198
2015-08-05,198
2015-08-06,198
2015-08-07,198
2015-08-08,198
2015-08-09,198
2015-08-10,198
2015-08-11,198
2015-08-12,198
2015-08-13,198
2015-08-14,198
2015-08-15,198
2015-08-16,198
2015-08-17,198
2015-08-18,198
2015-08-19,197
2015-08-20,197
2015-08-21,197
2015-08-22,197
2015-08-23,197
2015-08-24,197
2015-08-25,197
2015-08-26,197
2015-08-27,197
2015-08-28,197
2015-08-29,197
2015-08-30,197
2015-08-31,201
2015-09-01,201
2015-09-02,201
2015-09-03,201
2015-09-04,201
2015-09-05,201
2015-09-06,201
2015-09-07,201
2015-09-08,201
2015-09-09,201
2015-09-10,201
2015-09-11,201
2015-09-12,201
2015-09-13,196
2015-09-14,196
2015-09-15,196
2015-09-16,196
2015-09-17,196
2015-09-18,196
2015-09-19,196
2015-09-20,196
2015-09-21,196
2015-09-22,196
2015-09-23,196
2015-09-24,196
2015-09-25,196
2015-09-27,196
2015-09-28,190
2015-09-29,190
2015-09-30,190
2015-10-05,190
2015-10-06,190
2015-10-07,190
2015-10-08,190
2015-10-09,190
2015-10-10,190
2015-10-11,181
2015-10-12,181
2015-10-13,181
2015-10-14,181
2015-10-15,181
2015-10-16,181
2015-10-17,181
2015-10-18,181
2015-10-19,181
2015-10-20,181
2015-10-22,181
2015-10-23,175
2015-10-24,175
2015-10-25,175
2015-10-26,175
2015-10-27,175
2015-10-29,175
2015-10-30,175
2015-10-31,175
2015-11-01,175
2015-11-02,179
2015-11-03,179
2015-11-04,179
2015-11-05,179
2015-11-06,179
2015-11-07,179
2015-11-08,179
2015-11-09,179
2015-11-10,179
2015-11-11,179
2015-11-12,179
2015-11-13,179
2015-11-14,179
2015-11-15,187
2015-11-16,187
2015-11-17,187
2015-11-18,187
2015-11-19,187
2015-11-20,187
2015-11-21,187
2015-11-22,187
2015-11-23,187
2015-11-24,187
2015-11-25,195
2015-11-26,195
2015-11-27,195
2015-11-28,195
2015-11-29,195
2015-11-30,195
2015-12-01,195
2015-12-02,195
2015-12-03,195
2015-12-04,195
2015-12-05,195
2015-12-06,203
2015-12-07,203
2015-12-08,203
2015-12-09,203
2015-12-10,203
2015-12-11,203
2015-12-12,203
2015-12-13,203
2015-12-14,203
2015-12-15,203
2015-12-16,203
2015-12-17,203
2015-12-18,204
2015-12-19,204
2015-12-20,204
2015-12-21,204
2015-12-22,204
2015-12-23,204
2015-12-24,204
2015-12-25,204
2015-12-26,204
2015-12-27,204
2015-12-28,202
2015-12-29,202
2015-12-30,202
2015-12-31,202
2016-01-01,202
2016-01-02,202
2016-01-03,202
2016-01-04,202
2016-01-05,202
2016-01-06,202
2016-01-07,202
2016-01-08,202
2016-01-09,202
2016-01-10,202
2016-01-11,202
2016-01-12,202
2016-01-13,202
2016-01-14,202
2016-01-15,207
2016-01-16,207
2016-01-17,207
2016-01-18,207
2016-01-19,207
2016-01-20,207
2016-01-21,207
2016-01-22,207
2016-01-23,216
2016-01-24,216
2016-01-25,216
2016-01-26,216
2016-01-27,216
2016-01-28,216
2016-01-29,216
2016-01-30,216
2016-01-31,221
2016-02-01,221
2016-02-02,221
2016-02-03,221
2016-02-04,221
2016-02-05,221
2016-02-06,221
2016-02-07,221
2016-02-08,221
2016-02-09,221
2016-02-10,221
2016-02-11,225
2016-02-12,225
2016-02-13,225
2016-02-14,225
2016-02-15,225
2016-02-16,225
2016-02-17,225
2016-02-18,225
2016-02-19,225
2016-02-20,228
2016-02-21,228
2016-02-22,228
2016-02-23,228
2016-02-24,228
2016-02-25,228
2016-02-26,228
2016-02-27,239
2016-02-28,239
2016-02-29,239
2016-03-01,239
2016-03-02,239
2016-03-03,239
2016-03-04,239
2016-03-05,239
2016-03-06,246
2016-03-07,246
2016-03-08,246
2016-03-09,246
2016-03-10,246
2016-03-11,246
2016-03-12,246
2016-03-13,246
2016-03-14,246
2016-03-15,256
2016-03-16,256
2016-03-17,256
2016-03-18,256
2016-03-19,256
2016-03-20,256
2016-03-21,256
2016-03-22,267
2016-03-23,267
2016-03-24,267
2016-03-25,267
2016-03-26,267
2016-03-27,267
2016-03-28,278
2016-03-29,278
2016-03-30,278
2016-03-31,278
2016-04-01,278
2016-04-02,278
2016-04-03,278
2016-04-04,278
2016-04-05,279
2016-04-06,279
2016-04-07,279
2016-04-08,279
2016-04-09,279
2016-04-10,279
2016-04-11,279
2016-04-12,279
2016-04-14,266
2016-04-15,266
2016-04-16,266
2016-04-17,266
2016-04-18,266
2016-04-19,266
2016-04-20,266
2016-04-21,260
2016-04-22,260
2016-04-23,260
2016-04-24,260
2016-04-25,260
2016-04-26,260
2016-04-27,260
2016-04-28,269
2016-04-29,269
2016-04-30,269
2016-05-01,269
2016-05-02,269
2016-05-03,269
2016-05-04,269
2016-05-05,278
2016-05-06,278
2016-05-07,278
2016-05-08,278
2016-05-09,278
2016-05-10,278
2016-05-11,278
2016-05-12,290
2016-05-13,290
2016-05-14,290
2016-05-15,290
2016-05-16,290
2016-05-17,290
2016-05-18,304
2016-05-19,304
2016-05-22,304
2016-05-23,304
2016-05-24,304
2016-05-25,304
2016-05-26,319
2016-05-27,319
2016-05-28,319
2016-05-29,319
2016-05-30,319
2016-05-31,319
2016-06-01,319
2016-06-02,309
2016-06-03,309
2016-06-04,309
2016-06-05,309
2016-06-06,309
2016-06-07,309
2016-06-08,309
2016-06-09,304
2016-06-10,304
2016-06-11,304
2016-06-12,304
2016-06-13,304
2016-06-14,304
2016-06-15,304
2016-06-16,296
2016-06-17,296
2016-06-18,296
2016-06-19,296
2016-06-20,296
2016-06-21,296
2016-06-22,289
2016-06-23,289
2016-06-24,289
2016-06-25,289
2016-06-26,289
2016-06-27,289
2016-06-28,289
2016-06-29,289
2016-06-30,274
2016-07-01,274
2016-07-02,274
2016-07-03,274
2016-07-04,274
2016-07-05,274
2016-07-06,274
2016-07-07,263
2016-07-08,263
2016-07-09,263
2016-07-10,263
2016-07-11,263
2016-07-12,263
2016-07-13,263
2016-07-14,272
2016-07-15,272
2016-07-16,272
2016-07-17,272
2016-07-18,272
2016-07-23,280
2016-07-24,280
2016-07-25,280
2016-07-26,280
2016-07-27,280
2016-07-28,280
2016-07-29,280
2016-07-30,280
2016-07-31,270
2016-08-01,270
2016-08-02,270
2016-08-03,270
2016-08-04,270
2016-08-05,270
2016-08-06,270
2016-08-07,270
2016-08-08,258
2016-08-09,258
2016-08-10,258
2016-08-11,258
2016-08-12,258
2016-08-13,258
2016-08-14,258
2016-08-15,258
2016-08-16,258
2016-08-17,249
2016-08-18,249
2016-08-19,249
2016-08-20,249
2016-08-21,249
2016-08-22,249
2016-08-23,249
2016-08-24,249
2016-08-25,249
2016-08-26,253
2016-08-28,253
2016-08-31,253
2016-09-01,248
2016-09-02,248
2016-09-03,248
2016-09-04,248
2016-09-05,248
2016-09-06,248
2016-09-07,248
2016-09-08,248
2016-09-09,246
2016-09-10,246
2016-09-11,246
2016-09-12,246
2016-09-13,246
2016-09-14,246
2016-09-15,246
2016-09-16,248
2016-09-17,248
2016-09-18,248
2016-09-19,248
2016-09-20,248
2016-09-21,248
2016-09-22,248
2016-09-23,260
2016-09-24,260
2016-09-25,260
2016-09-26,260
2016-09-27,260
2016-09-28,260
2016-09-29,260
2016-09-30,260
2016-10-01,255
2016-10-02,255
2016-10-03,255
2016-10-04,255
2016-10-05,255
2016-10-06,255
2016-10-07,255
2016-10-08,247
2016-10-09,247
2016-10-10,247
2016-10-11,247
2016-10-12,247
2016-10-13,247
2016-10-14,247
2016-10-15,248
2016-10-16,248
2016-10-17,248
2016-10-18,248
2016-10-19,248
2016-10-20,248
2016-10-21,248
2016-10-22,248
2016-10-23,257
2016-10-24,257
2016-10-25,257
2016-10-26,257
2016-10-27,257
2016-10-28,257
2016-10-29,257
2016-10-30,264
2016-10-31,264
2016-11-01,264
2016-11-02,264
