date_obj,Torag's%20helm price
2015-03-26,77435
2015-03-27,77435
2015-03-28,76696
2015-03-29,77220
2015-03-30,79454
2015-03-31,81333
2015-04-01,81333
2015-04-02,80301
2015-04-03,78460
2015-04-04,78288
2015-04-05,78288
2015-04-06,75710
2015-04-07,73439
2015-04-08,73439
2015-04-09,71102
2015-04-10,72329
2015-04-11,73257
2015-04-12,72111
2015-04-13,72112
2015-04-14,72112
2015-04-15,73479
2015-04-16,73479
2015-04-17,75844
2015-04-18,75207
2015-04-19,74144
2015-04-20,74144
2015-04-21,72463
2015-04-22,72463
2015-04-23,69399
2015-04-24,69399
2015-04-25,68261
2015-04-26,68261
2015-04-27,70033
2015-04-28,72278
2015-04-29,72278
2015-04-30,70671
2015-05-01,69271
2015-05-02,69855
2015-05-03,69855
2015-05-04,71210
2015-05-05,71210
2015-05-06,73077
2015-05-07,73384
2015-05-08,73384
2015-05-09,72684
2015-05-10,74578
2015-05-11,74578
2015-05-12,73564
2015-05-13,73564
2015-05-14,72086
2015-05-15,72086
2015-05-16,72130
2015-05-17,70866
2015-05-18,68829
2015-05-19,68829
2015-05-20,68893
2015-05-21,68893
2015-05-22,70554
2015-05-23,70554
2015-05-24,73619
2015-05-25,76943
2015-05-26,76943
2015-05-27,76292
2015-05-28,74362
2015-05-29,71119
2015-05-30,69877
2015-05-31,68478
2015-06-01,69765
2015-06-02,69765
2015-06-03,70272
2015-06-04,71423
2015-06-05,74019
2015-06-06,73329
2015-06-07,72766
2015-06-08,71600
2015-06-09,70971
2015-06-10,71115
2015-06-11,71115
2015-06-12,71460
2015-06-13,71380
2015-06-14,70135
2015-06-15,70810
2015-06-16,71865
2015-06-17,72982
2015-06-18,74890
2015-06-19,78152
2015-06-20,79691
2015-06-21,81622
2015-06-22,82055
2015-06-23,81588
2015-06-24,80985
2015-06-25,80985
2015-06-26,80433
2015-06-27,80433
2015-06-28,78952
2015-06-29,82411
2015-06-30,86120
2015-07-01,89528
2015-07-02,89528
2015-07-03,91082
2015-07-04,91269
2015-07-05,90937
2015-07-06,88843
2015-07-07,86530
2015-07-08,87845
2015-07-09,87845
2015-07-10,88815
2015-07-11,86514
2015-07-12,84991
2015-07-13,86534
2015-07-14,85231
2015-07-15,83428
2015-07-16,81710
2015-07-17,81094
2015-07-18,81094
2015-07-19,80983
2015-07-20,81714
2015-07-21,80591
2015-07-22,82245
2015-07-23,82245
2015-07-24,81685
2015-07-25,80688
2015-07-26,80483
2015-07-27,82918
2015-07-28,85280
2015-07-29,87443
2015-07-30,87575
2015-07-31,87210
2015-08-01,87506
2015-08-02,89170
2015-08-03,88641
2015-08-04,89514
2015-08-05,89675
2015-08-06,90011
2015-08-07,86570
2015-08-08,84613
2015-08-09,81949
2015-08-10,83261
2015-08-11,84109
2015-08-12,84109
2015-08-13,85055
2015-08-14,84431
2015-08-15,86394
2015-08-16,87419
2015-08-17,88414
2015-08-18,88989
2015-08-19,87110
2015-08-20,85900
2015-08-21,85639
2015-08-22,88511
2015-08-23,88965
2015-08-24,89646
2015-08-25,89646
2015-08-26,91331
2015-08-27,90570
2015-08-28,94066
2015-08-29,94751
2015-08-30,97180
2015-08-31,96619
2015-09-01,95803
2015-09-02,95803
2015-09-03,94139
2015-09-04,93270
2015-09-05,93270
2015-09-06,92375
2015-09-07,90647
2015-09-08,89095
2015-09-09,89031
2015-09-10,90968
2015-09-11,92043
2015-09-12,95221
2015-09-13,96574
2015-09-14,98107
2015-09-15,95600
2015-09-16,95600
2015-09-17,94868
2015-09-18,94868
2015-09-19,98201
2015-09-20,102224
2015-09-21,101327
2015-09-22,96887
2015-09-23,93915
2015-09-24,93915
2015-09-25,96574
2015-09-27,102265
2015-09-28,107369
2015-09-29,112467
2015-09-30,117184
2015-10-05,100552
2015-10-06,101959
2015-10-07,101959
2015-10-08,105930
2015-10-09,107888
2015-10-10,107888
2015-10-11,108179
2015-10-12,109968
2015-10-13,109968
2015-10-14,110514
2015-10-15,107638
2015-10-16,104309
2015-10-17,104309
2015-10-18,101272
2015-10-19,101279
2015-10-20,100258
2015-10-22,104600
2015-10-23,109830
2015-10-24,109830
2015-10-25,115320
2015-10-26,120740
2015-10-27,120740
2015-10-29,125978
2015-10-30,131864
2015-10-31,138458
2015-11-01,138458
2015-11-02,145337
2015-11-03,145337
2015-11-04,150758
2015-11-05,146013
2015-11-06,146013
2015-11-07,138736
2015-11-08,138736
2015-11-09,131815
2015-11-10,129340
2015-11-11,128819
2015-11-12,128819
2015-11-13,129832
2015-11-14,129832
2015-11-15,130547
2015-11-16,130547
2015-11-17,124959
2015-11-18,124959
2015-11-19,118885
2015-11-20,113110
2015-11-21,113110
2015-11-22,107707
2015-11-23,107707
2015-11-24,103515
2015-11-25,99668
2015-11-26,99668
2015-11-27,97046
2015-11-28,98193
2015-11-29,102088
2015-11-30,104886
2015-12-01,104886
2015-12-02,106313
2015-12-03,107126
2015-12-04,107126
2015-12-05,103886
2015-12-06,99699
2015-12-07,99718
2015-12-08,99718
2015-12-09,97131
2015-12-10,98177
2015-12-11,99270
2015-12-13,101129
2015-12-14,101129
2015-12-15,103518
2015-12-16,107133
2015-12-17,107133
2015-12-18,109943
2015-12-19,108816
2015-12-20,106654
2015-12-21,103765
2015-12-22,100316
2015-12-23,98961
2015-12-24,99653
2015-12-25,100494
2015-12-26,98930
2015-12-27,102228
2015-12-28,101146
2015-12-29,100173
2015-12-30,100400
2015-12-31,101514
2016-01-01,100945
2016-01-02,99888
2016-01-03,101267
2016-01-04,103693
2016-01-05,103167
2016-01-06,101441
2016-01-07,99413
2016-01-08,99473
2016-01-09,99565
2016-01-10,100047
2016-01-11,99663
2016-01-12,98880
2016-01-13,98880
2016-01-14,99877
2016-01-15,99194
2016-01-16,97713
2016-01-17,98185
2016-01-18,99692
2016-01-19,99692
2016-01-20,101316
2016-01-21,99992
2016-01-22,99791
2016-01-23,101162
2016-01-24,100074
2016-01-25,99729
2016-01-26,99883
2016-01-27,101300
2016-01-28,101300
2016-01-29,102973
2016-01-30,102973
2016-01-31,101279
2016-02-01,101770
2016-02-02,103094
2016-02-03,101954
2016-02-04,101990
2016-02-05,102632
2016-02-06,103359
2016-02-07,106411
2016-02-08,110424
2016-02-09,114104
2016-02-10,115593
2016-02-11,115379
2016-02-12,118097
2016-02-13,116125
2016-02-14,116125
2016-02-15,114138
2016-02-16,111025
2016-02-17,110018
2016-02-18,110018
2016-02-19,106506
2016-02-20,103296
2016-02-21,100781
2016-02-22,100781
2016-02-23,104570
2016-02-24,106696
2016-02-25,111939
2016-02-26,111939
2016-02-27,115481
2016-02-28,110133
2016-02-29,108024
2016-03-01,105345
2016-03-02,106399
2016-03-03,107159
2016-03-04,107148
2016-03-05,106116
2016-03-06,106258
2016-03-07,106258
2016-03-08,107132
2016-03-09,106462
2016-03-10,106316
2016-03-11,106316
2016-03-12,104432
2016-03-13,103191
