date_obj,Lobster price
2015-03-26,245
2015-03-27,243
2015-03-28,242
2015-03-29,246
2015-03-30,240
2015-03-31,236
2015-04-01,231
2015-04-02,228
2015-04-03,230
2015-04-04,230
2015-04-05,228
2015-04-06,225
2015-04-07,218
2015-04-08,210
2015-04-09,204
2015-04-10,200
2015-04-11,198
2015-04-12,197
2015-04-13,197
2015-04-14,203
2015-04-15,203
2015-04-16,205
2015-04-17,205
2015-04-18,207
2015-04-19,210
2015-04-20,210
2015-04-21,208
2015-04-22,206
2015-04-23,204
2015-04-24,205
2015-04-25,205
2015-04-26,207
2015-04-27,206
2015-04-28,202
2015-04-29,199
2015-04-30,197
2015-05-01,196
2015-05-02,195
2015-05-03,193
2015-05-04,192
2015-05-05,187
2015-05-06,183
2015-05-07,180
2015-05-08,178
2015-05-09,181
2015-05-10,183
2015-05-11,178
2015-05-12,176
2015-05-13,175
2015-05-14,176
2015-05-15,175
2015-05-16,175
2015-05-17,177
2015-05-18,179
2015-05-19,180
2015-05-20,180
2015-05-21,179
2015-05-22,177
2015-05-23,180
2015-05-24,186
2015-05-25,189
2015-05-26,185
2015-05-27,182
2015-05-28,179
2015-05-29,178
2015-05-30,181
2015-05-31,178
2015-06-01,176
2015-06-02,174
2015-06-03,173
2015-06-04,171
2015-06-05,169
2015-06-06,172
2015-06-07,175
2015-06-08,178
2015-06-09,180
2015-06-10,178
2015-06-11,176
2015-06-12,175
2015-06-13,175
2015-06-14,174
2015-06-15,174
2015-06-16,173
2015-06-17,170
2015-06-18,169
2015-06-19,171
2015-06-20,174
2015-06-21,174
2015-06-22,173
2015-06-23,171
2015-06-24,176
2015-06-25,180
2015-06-26,188
2015-06-27,197
2015-06-28,196
2015-06-29,191
2015-06-30,192
2015-07-01,198
2015-07-02,203
2015-07-03,213
2015-07-04,223
2015-07-05,228
2015-07-06,225
2015-07-07,220
2015-07-08,216
2015-07-09,209
2015-07-10,209
2015-07-11,210
2015-07-12,210
2015-07-13,208
2015-07-14,204
2015-07-15,194
2015-07-16,185
2015-07-17,180
2015-07-18,178
2015-07-19,177
2015-07-20,177
2015-07-21,178
2015-07-22,180
2015-07-23,176
2015-07-24,181
2015-07-25,179
2015-07-26,180
2015-07-27,177
