date_obj,Wolf%20cloak price
2019-04-11,74000
2019-04-11,77700
2019-04-12,81585
2019-04-13,85665
2019-04-14,89949
2019-04-15,200000
2019-04-16,205098
2019-04-17,214371
2019-04-18,224122
2019-04-19,228209
2019-04-20,228287
2019-04-21,218155
2019-04-22,208044
2019-04-23,198892
2019-04-24,189248
2019-04-25,181213
2019-04-26,175781
2019-04-27,170766
2019-04-28,166126
2019-04-29,161240
2019-04-30,159967
2019-05-01,159327
2019-05-02,158912
2019-05-03,158479
2019-05-04,156384
2019-05-05,153495
2019-05-06,149902
2019-05-07,143825
2019-05-08,138471
2019-05-09,133503
2019-05-10,129602
2019-05-11,124549
2019-05-12,120220
2019-05-13,117848
2019-05-14,118806
2019-05-15,121932
2019-05-16,124274
2019-05-17,128116
2019-05-18,131183
2019-05-19,133147
2019-05-20,137507
2019-05-21,141326
2019-05-22,142590
2019-05-23,143904
2019-05-24,139862
2019-05-25,138538
2019-05-26,138587
2019-05-27,136652
2019-05-28,134323
2019-05-29,133595
2019-05-30,131876
2019-05-31,131083
2019-06-01,129448
2019-06-02,127123
2019-06-03,125635
2019-06-04,123610
2019-06-05,122172
2019-06-06,119115
2019-06-07,118573
2019-06-08,118750
2019-06-09,120878
2019-06-10,120878
2019-06-11,120604
2019-06-12,120867
2019-06-13,121038
2019-06-14,121145
2019-06-15,121909
2019-06-16,122147
2019-06-17,120483
2019-06-18,118058
2019-06-19,115416
2019-06-20,112978
2019-06-21,112256
2019-06-22,111238
2019-06-23,110411
2019-06-24,110679
2019-06-25,109928
2019-06-26,109569
2019-06-27,108139
2019-06-28,106975
2019-06-29,107032
2019-06-30,105755
2019-07-01,104118
2019-07-02,104666
2019-07-03,105110
2019-07-04,105174
2019-07-05,106196
2019-07-06,108332
2019-07-07,111549
2019-07-08,117127
2019-07-09,122858
2019-07-10,127402
2019-07-11,129317
2019-07-12,132079
2019-07-13,132517
2019-07-14,130827
2019-07-15,131987
2019-07-16,134406
2019-07-17,137086
2019-07-18,139736
2019-07-19,140447
2019-07-20,142694
2019-07-21,144758
2019-07-22,145223
2019-07-23,143957
2019-07-24,144092
2019-07-25,145172
2019-07-26,146064
2019-07-27,146637
2019-07-28,142932
2019-07-29,141269
2019-07-30,138251
2019-07-31,134707
2019-08-01,133186
2019-08-02,132190
2019-08-03,129677
2019-08-04,128334
2019-08-05,126669
2019-08-06,124414
2019-08-07,120849
2019-08-08,117393
2019-08-09,114283
2019-08-10,111654
2019-08-11,108972
2019-08-12,106322
2019-08-13,104239
2019-08-14,103575
2019-08-15,103908
2019-08-16,104047
2019-08-17,104047
2019-08-18,104082
2019-08-19,100625
2019-08-20,97514
2019-08-21,94623
2019-08-22,91787
2019-08-23,89694
2019-08-24,88461
2019-08-24,88461
2019-08-25,87683
2019-08-25,87683
2019-08-26,88570
2019-08-26,88570
2019-08-27,89073
2019-08-27,89073
2019-08-28,90637
2019-08-29,91888
2019-08-30,92614
2019-08-31,93014
2019-09-01,92611
2019-09-02,92773
2019-09-03,93297
2019-09-04,93579
2019-09-05,92975
2019-09-06,94223
2019-09-07,94418
2019-09-08,94536
2019-09-09,96562
2019-09-10,97612
2019-09-11,98694
2019-09-12,100245
2019-09-13,100861
2019-09-14,101938
2019-09-15,103900
2019-09-16,104181
2019-09-17,105557
2019-09-18,108140
2019-09-19,107924
2019-09-20,108684
2019-09-21,109322
2019-09-22,110488
2019-09-23,113065
2019-09-24,113385
2019-09-25,114201
2019-09-26,116650
2019-09-27,119864
2019-09-28,123560
2019-09-29,127424
2019-09-30,133438
2019-10-01,140110
2019-10-02,146148
2019-10-03,149515
2019-10-04,150418
2019-10-05,144712
2019-10-06,138707
2019-10-07,131771
2019-10-08,126664
2019-10-09,124174
2019-10-10,122008
2019-10-11,118267
2019-10-12,116133
2019-10-13,113315
2019-10-14,112014
2019-10-15,113755
2019-10-16,111216
2019-10-17,110487
2019-10-18,110487
2019-10-19,109304
2019-10-20,108671
2019-10-21,107840
2019-10-22,107474
2019-10-23,106265
2019-10-24,107167
2019-10-25,107318
2019-10-26,108801
2019-10-27,108679
2019-10-28,106936
2019-10-29,105908
2019-10-30,105817
2019-10-31,105362
2019-11-01,104948
2019-11-02,105095
2019-11-03,105035
2019-11-04,103514
2019-11-05,101887
2019-11-06,98790
2019-11-07,97602
2019-11-08,96111
2019-11-09,95310
2019-11-10,95272
2019-11-11,95029
2019-11-12,96342
2019-11-13,97730
2019-11-14,97993
2019-11-15,100109
2019-11-16,101166
2019-11-17,101166
2019-11-18,102985
2019-11-19,102850
2019-11-20,103834
2019-11-21,104509
2019-11-22,106400
2019-11-23,108222
2019-11-24,110138
2019-11-25,111061
2019-11-26,112654
2019-11-27,114402
2019-11-28,117074
2019-11-29,119012
2019-11-30,121022
2019-12-01,122863
2019-12-02,124215
2019-12-03,124237
2019-12-04,124815
2019-12-05,126586
2019-12-06,126959
2019-12-07,126515
2019-12-08,125617
2019-12-09,123201
2019-12-10,119718
2019-12-11,113732
2019-12-12,108045
2019-12-13,103631
2019-12-14,103344
2019-12-15,101855
2019-12-16,104082
2019-12-17,103497
2019-12-18,104107
2019-12-19,103188
2019-12-20,104904
2019-12-21,107211
2019-12-22,107862
2019-12-23,110109
2019-12-24,110145
2019-12-25,107206
2019-12-26,104544
2019-12-27,102296
2019-12-28,102365
2019-12-29,102100
2019-12-30,104759
2019-12-31,105279
2020-01-01,105640
2020-01-02,105922
2020-01-03,106161
2020-01-04,105094
2020-01-05,106628
2020-01-06,104315
2020-01-07,101905
2020-01-08,104022
2020-01-09,103506
2020-01-10,103635
2020-01-11,103967
2020-01-12,104294
2020-01-13,104294
2020-01-14,106051
2020-01-15,106680
2020-01-16,105306
2020-01-17,102714
2020-01-18,100274
2020-01-19,100656
2020-01-20,101823
2020-01-21,102117
2020-01-22,103408
2020-01-23,105141
2020-01-24,106339
2020-01-25,106417
2020-01-26,104822
2020-01-27,102256
2020-01-28,100830
2020-01-29,99783
2020-01-30,97486
2020-01-31,94903
2020-02-01,91830
2020-02-02,89569
2020-02-03,89162
2020-02-04,89821
2020-02-05,89970
2020-02-06,89499
2020-02-07,88642
2020-02-08,88915
2020-02-09,88872
2020-02-10,88905
2020-02-11,89525
2020-02-12,88889
2020-02-13,89701
2020-02-14,87879
2020-02-15,87134
2020-02-16,85956
2020-02-17,84991
2020-02-18,85420
2020-02-19,86151
2020-02-20,86517
2020-02-21,86517
2020-02-22,87449
2020-02-23,87741
2020-02-24,88210
2020-02-25,88111
2020-02-26,87601
2020-02-27,87151
2020-02-28,86533
2020-02-29,85128
2020-03-01,84135
2020-03-02,81702
2020-03-03,80257
2020-03-04,78068
2020-03-05,76453
2020-03-06,74672
2020-03-07,71615
2020-03-08,69496
2020-03-09,69073
2020-03-10,66345
2020-03-11,63881
2020-03-12,62685
2020-03-13,60681
2020-03-14,58463
2020-03-15,56307
2020-03-16,55749
2020-03-17,55299
2020-03-18,54666
2020-03-19,54012
2020-03-20,54082
2020-03-21,53111
2020-03-22,53253
2020-03-23,53676
2020-03-24,55389
2020-03-25,56821
2020-03-26,57585
2020-03-27,58829
2020-03-28,60397
2020-03-29,62241
2020-03-30,63123
2020-03-31,64359
2020-04-01,64678
2020-04-02,64263
2020-04-03,62686
2020-04-04,61948
2020-04-05,60911
2020-04-06,60747
2020-04-07,60194
2020-04-08,60013
2020-04-09,59693
2020-04-10,58142
2020-04-11,57297
2020-04-12,56730
2020-04-13,56641
2020-04-14,55743
2020-04-15,54216
2020-04-16,52770
2020-04-17,51914
2020-04-18,51615
2020-04-19,50081
2020-04-20,48683
2020-04-21,47417
2020-04-22,46521
2020-04-23,45504
2020-04-24,44610
2020-04-25,43632
2020-04-26,42154
2020-04-27,41385
2020-04-28,40130
2020-04-29,39730
2020-04-30,39176
2020-05-01,39030
2020-05-02,39141
2020-05-03,39621
2020-05-04,39282
2020-05-05,38779
2020-05-06,38043
2020-05-07,37654
2020-05-08,37596
2020-05-09,37067
2020-05-10,36510
2020-05-11,36308
2020-05-12,35269
2020-05-13,35281
