date_obj,Lobster%20pot price
2015-03-26,115
2015-03-27,115
2015-03-28,109
2015-03-29,103
2015-03-30,99
2015-03-31,98
2015-04-01,98
2015-04-02,97
2015-04-03,98
2015-04-04,96
2015-04-05,99
2015-04-06,104
2015-04-07,109
2015-04-08,109
2015-04-09,114
2015-04-10,120
2015-04-11,126
2015-04-12,123
2015-04-13,130
2015-04-14,137
2015-04-15,143
2015-04-16,151
2015-04-17,158
2015-04-18,166
2015-04-19,173
2015-04-20,173
2015-04-21,181
2015-04-22,191
2015-04-23,198
2015-04-24,208
2015-04-25,218
2015-04-26,228
2015-04-27,240
2015-04-28,252
2015-04-29,252
2015-04-30,264
2015-05-01,271
2015-05-02,267
2015-05-03,267
2015-05-04,273
2015-05-05,282
2015-05-06,295
2015-05-07,306
2015-05-08,315
2015-05-09,328
2015-05-10,345
2015-05-11,345
2015-05-12,350
2015-05-13,350
2015-05-14,353
2015-05-15,353
2015-05-16,367
2015-05-17,386
2015-05-18,398
2015-05-19,398
2015-05-20,380
2015-05-21,380
2015-05-22,375
2015-05-23,371
2015-05-24,357
2015-05-25,347
2015-05-26,329
2015-05-27,329
2015-05-28,312
2015-05-29,299
2015-05-30,308
2015-05-31,310
2015-06-01,315
2015-06-02,315
2015-06-03,331
2015-06-04,338
2015-06-05,346
2015-06-06,346
2015-06-07,336
2015-06-08,347
2015-06-09,346
2015-06-10,338
2015-06-11,338
2015-06-12,335
2015-06-13,343
2015-06-14,343
2015-06-15,349
2015-06-16,363
2015-06-17,373
2015-06-18,373
2015-06-19,371
2015-06-20,367
2015-06-21,373
2015-06-22,369
2015-06-23,351
2015-06-24,339
2015-06-25,339
2015-06-26,322
2015-06-27,322
2015-06-28,305
2015-06-29,289
2015-06-30,274
2015-07-01,260
2015-07-02,260
2015-07-03,259
2015-07-04,256
2015-07-05,266
2015-07-06,266
2015-07-07,252
2015-07-08,248
2015-07-09,248
2015-07-10,247
2015-07-11,248
2015-07-12,245
2015-07-13,253
2015-07-14,257
2015-07-15,263
2015-07-16,254
2015-07-17,254
2015-07-18,249
2015-07-19,250
2015-07-20,247
2015-07-21,245
2015-07-22,247
2015-07-23,247
2015-07-24,246
2015-07-25,257
2015-07-26,270
2015-07-27,283
2015-07-28,298
2015-07-29,300
2015-07-30,302
2015-07-31,306
2015-08-01,309
2015-08-02,313
2015-08-03,329
2015-08-04,336
2015-08-05,331
2015-08-06,321
2015-08-07,311
2015-08-08,303
2015-08-09,289
2015-08-10,289
2015-08-11,280
2015-08-12,280
2015-08-13,266
2015-08-14,256
2015-08-15,249
2015-08-16,245
2015-08-17,250
2015-08-18,260
2015-08-19,263
2015-08-20,277
2015-08-21,291
2015-08-22,301
2015-08-23,289
2015-08-24,285
2015-08-25,285
2015-08-26,288
2015-08-27,293
2015-08-28,282
2015-08-29,276
2015-08-30,276
2015-08-31,273
2015-09-01,278
2015-09-02,278
2015-09-03,266
2015-09-04,269
2015-09-05,269
2015-09-06,268
2015-09-07,264
2015-09-08,264
2015-09-09,263
2015-09-10,253
2015-09-11,262
2015-09-12,265
2015-09-13,256
2015-09-14,248
2015-09-15,255
2015-09-16,255
2015-09-17,268
2015-09-18,281
2015-09-19,296
2015-09-20,311
2015-09-21,327
2015-09-22,329
2015-09-23,339
2015-09-24,339
2015-09-25,326
2015-09-27,323
2015-09-28,322
2015-09-29,338
2015-09-30,342
2015-10-05,349
2015-10-06,337
2015-10-07,348
2015-10-08,356
2015-10-09,344
2015-10-10,344
2015-10-11,354
2015-10-12,356
2015-10-13,356
2015-10-14,356
2015-10-15,349
2015-10-16,345
2015-10-17,345
2015-10-18,338
2015-10-19,324
2015-10-20,321
2015-10-22,311
2015-10-23,307
2015-10-24,315
2015-10-25,313
2015-10-26,310
2015-10-27,310
2015-10-29,303
2015-10-30,305
2015-10-31,308
2015-11-01,308
2015-11-02,312
2015-11-03,318
2015-11-04,318
2015-11-05,311
2015-11-06,311
2015-11-07,324
2015-11-08,324
2015-11-09,330
2015-11-10,320
2015-11-11,322
2015-11-12,322
2015-11-13,322
2015-11-14,323
2015-11-15,329
2015-11-16,342
2015-11-17,342
2015-11-18,338
2015-11-19,339
2015-11-20,338
2015-11-21,338
2015-11-22,341
2015-11-23,341
2015-11-24,335
2015-11-25,338
2015-11-26,338
2015-11-27,354
2015-11-28,359
2015-11-29,369
2015-11-30,383
2015-12-01,395
2015-12-02,394
2015-12-03,402
2015-12-04,420
2015-12-05,420
2015-12-06,409
2015-12-07,427
2015-12-08,443
2015-12-09,448
2015-12-10,463
2015-12-11,452
2015-12-12,443
2015-12-13,436
2015-12-14,436
2015-12-15,443
2015-12-16,453
2015-12-17,438
2015-12-18,427
2015-12-19,430
2015-12-20,418
2015-12-21,416
2015-12-22,415
2015-12-23,427
2015-12-24,417
2015-12-25,396
2015-12-26,376
2015-12-27,357
2015-12-28,356
2015-12-29,354
2015-12-30,355
2015-12-31,350
2016-01-01,349
2016-01-02,349
2016-01-03,337
2016-01-04,346
2016-01-05,340
2016-01-06,323
2016-01-07,309
2016-01-08,307
