date_obj,Teak%20demon%20lectern%20(flatpack) price
2015-08-31,400
2015-06-20,400
2015-08-09,400
2015-03-28,400
2015-07-16,400
2015-05-27,400
2015-04-29,400
2015-05-18,400
2015-07-08,400
2015-06-29,400
2015-06-01,400
2015-04-07,400
2015-03-29,400
2015-08-07,400
2015-07-01,400
2015-08-12,400
2015-05-23,400
2015-08-03,400
2015-07-25,400
2015-03-10,400
2015-08-27,400
2015-06-19,400
2015-06-28,400
2015-07-05,400
2015-08-04,400
2015-08-13,400
2015-07-22,400
2015-07-02,400
2015-05-15,400
2015-06-25,400
2015-07-26,400
2015-06-04,400
2015-04-13,400
2015-04-02,400
2015-04-23,400
2015-08-15,400
2015-03-05,400
2015-03-13,400
2015-08-22,400
2015-04-05,400
2015-04-15,400
2015-05-22,400
2015-08-19,400
2015-07-07,400
2015-08-08,400
2015-06-27,400
2015-03-26,400
2015-08-26,400
2015-05-25,400
2015-07-19,400
2015-08-11,400
2015-03-09,400
2015-05-31,400
2015-05-29,400
2015-05-07,400
2015-08-29,400
2015-05-30,400
2015-07-18,400
2015-04-28,400
2015-08-10,400
2015-07-09,400
2015-05-19,400
2015-06-08,400
2015-03-22,400
2015-03-31,400
2015-03-21,400
2015-03-30,400
2015-06-11,400
2015-04-27,400
2015-06-22,400
2015-08-24,400
2015-05-20,400
2015-07-31,400
2015-05-17,400
2015-04-10,400
2015-04-01,400
2015-04-03,400
2015-05-06,400
2015-03-25,400
2015-03-23,400
2015-08-23,400
2015-04-21,400
2015-04-22,400
2015-05-28,400
2015-03-20,400
2015-04-14,400
2015-08-18,400
2015-05-05,400
2015-06-17,400
2015-06-07,400
2015-07-20,400
2015-08-25,400
2015-04-26,400
2015-05-26,400
2015-07-30,400
2015-05-16,400
2015-04-30,400
2015-05-10,400
2015-06-18,400
2015-05-09,400
2015-07-11,400
2015-06-10,400
2015-04-08,400
2015-04-17,400
2015-03-06,400
2015-03-15,400
2015-08-30,400
2015-03-12,400
2015-04-20,400
2015-07-27,400
2015-06-24,400
2015-06-30,400
2015-03-11,400
2015-04-11,400
2015-07-21,400
2015-04-19,400
2015-05-01,400
2015-06-09,400
2015-07-12,400
2015-08-28,400
2015-08-16,400
2015-04-12,400
2015-07-24,400
2015-06-05,400
2015-05-03,400
2015-04-16,400
2015-05-04,400
2015-03-24,400
