date_obj,Krandorian%20hops price
2015-03-26,510
2015-03-27,510
2015-03-28,510
2015-03-29,510
2015-03-30,510
2015-03-31,510
2015-04-01,510
2015-04-02,510
2015-04-03,510
2015-04-04,510
2015-04-05,510
2015-04-06,510
2015-04-07,510
2015-04-08,510
2015-04-09,510
2015-04-10,510
2015-04-11,510
2015-04-12,510
2015-04-13,510
2015-04-14,510
2015-04-15,510
2015-04-16,510
2015-04-17,510
2015-04-18,510
2015-04-19,510
2015-04-20,510
2015-04-21,510
2015-04-22,510
2015-04-23,510
2015-04-24,510
2015-04-25,510
2015-04-26,510
2015-04-27,510
2015-04-28,510
2015-04-29,510
2015-04-30,510
2015-05-01,510
2015-05-02,510
2015-05-03,510
2015-05-04,510
2015-05-05,510
2015-05-06,510
2015-05-07,510
2015-05-08,510
2015-05-09,510
2015-05-10,510
2015-05-11,510
2015-05-12,510
2015-05-13,510
2015-05-14,510
2015-05-15,510
2015-05-16,510
2015-05-17,510
2015-05-18,510
2015-05-19,510
2015-05-20,510
2015-05-21,510
2015-05-22,510
2015-05-23,510
2015-05-24,510
2015-05-25,510
2015-05-26,510
2015-05-27,510
2015-05-28,510
2015-05-29,510
2015-05-30,510
2015-05-31,510
2015-06-01,510
2015-06-02,510
2015-06-03,510
2015-06-04,510
2015-06-05,510
2015-06-06,510
2015-06-07,510
2015-06-08,510
2015-06-09,510
2015-06-10,510
2015-06-11,510
2015-06-12,510
2015-06-13,510
2015-06-14,510
2015-06-15,510
2015-06-16,510
2015-06-17,510
2015-06-18,488
2015-06-19,488
2015-06-20,488
2015-06-21,488
2015-06-22,488
2015-06-23,488
2015-06-24,488
2015-06-25,488
2015-06-26,488
2015-06-27,488
2015-06-28,488
2015-06-29,488
2015-06-30,488
2015-07-01,488
2015-07-02,488
2015-07-03,488
2015-07-04,488
2015-07-05,488
2015-07-06,488
2015-07-07,488
2015-07-08,488
2015-07-09,488
2015-07-10,488
2015-07-11,488
2015-07-12,488
2015-07-13,488
2015-07-14,488
2015-07-15,488
2015-07-16,488
2015-07-17,488
2015-07-18,488
2015-07-19,488
2015-07-20,488
2015-07-21,488
2015-07-22,488
2015-07-23,488
2015-07-24,488
2015-07-25,488
2015-07-26,488
2015-07-27,488
2015-07-28,488
2015-07-29,488
2015-07-30,488
2015-07-31,488
2015-08-01,488
2015-08-02,488
2015-08-03,488
2015-08-04,488
2015-08-05,488
2015-08-06,488
2015-08-07,488
2015-08-08,488
2015-08-09,488
2015-08-10,488
2015-08-11,488
2015-08-12,488
2015-08-13,488
2015-08-14,488
2015-08-15,488
2015-08-16,488
2015-08-17,488
2015-08-18,488
2015-08-19,488
2015-08-20,488
2015-08-21,488
2015-08-22,488
2015-08-23,488
2015-08-24,488
2015-08-25,488
2015-08-26,488
2015-08-27,488
2015-08-28,488
2015-08-29,488
2015-08-30,488
2015-08-31,488
2015-09-01,488
2015-09-02,488
2015-09-03,488
2015-09-04,488
2015-09-05,488
2015-09-06,488
2015-09-07,488
2015-09-08,488
2015-09-09,488
2015-09-10,488
2015-09-11,488
2015-09-12,488
2015-09-13,488
2015-09-14,488
2015-09-15,488
2015-09-16,488
2015-09-17,488
2015-09-18,488
2015-09-19,488
2015-09-20,488
2015-09-21,488
2015-09-22,488
2015-09-23,488
2015-09-24,488
2015-09-25,488
2015-09-27,488
2015-09-28,488
2015-09-29,488
2015-09-30,488
2015-10-05,488
2015-10-06,488
2015-10-07,488
2015-10-08,488
2015-10-09,488
2015-10-10,488
2015-10-11,488
2015-10-12,488
