date_obj,Tarromin price
2015-03-26,18
2015-03-27,18
2015-03-28,19
2015-03-29,20
2015-03-30,21
2015-03-31,22
2015-04-01,22
2015-04-02,23
2015-04-03,25
2015-04-04,27
2015-04-05,27
2015-04-06,27
2015-04-07,26
2015-04-08,26
2015-04-09,26
2015-04-10,24
2015-04-11,24
2015-04-12,24
2015-04-13,24
2015-04-14,24
2015-04-15,23
2015-04-16,23
2015-04-17,23
2015-04-18,24
2015-04-19,23
2015-04-20,23
2015-04-21,25
2015-04-22,25
2015-04-23,27
2015-04-24,27
2015-04-25,29
2015-04-26,29
2015-04-27,31
2015-04-28,33
2015-04-29,33
2015-04-30,35
2015-05-01,36
2015-05-02,37
2015-05-03,37
2015-05-04,39
2015-05-05,39
2015-05-06,41
2015-05-07,41
2015-05-08,44
2015-05-09,46
2015-05-10,46
2015-05-11,46
2015-05-12,48
2015-05-13,48
2015-05-14,49
2015-05-15,49
2015-05-16,49
2015-05-17,51
2015-05-18,51
2015-05-19,54
2015-05-20,54
2015-05-21,54
2015-05-22,56
2015-05-23,56
2015-05-24,53
2015-05-25,50
2015-05-26,50
2015-05-27,49
2015-05-28,50
2015-05-29,52
2015-05-30,52
2015-05-31,52
2015-06-01,49
2015-06-02,49
2015-06-03,48
2015-06-04,48
2015-06-05,47
2015-06-06,46
2015-06-07,46
2015-06-08,43
2015-06-09,40
2015-06-10,39
2015-06-11,39
2015-06-12,38
2015-06-13,36
2015-06-14,34
2015-06-15,34
2015-06-16,34
2015-06-17,34
2015-06-18,35
2015-06-19,35
2015-06-20,36
2015-06-21,36
2015-06-22,36
2015-06-23,36
2015-06-24,37
2015-06-25,37
2015-06-26,39
2015-06-27,39
2015-06-28,41
2015-06-29,41
2015-06-30,42
2015-07-01,40
2015-07-02,40
2015-07-03,42
2015-07-04,42
2015-07-05,43
2015-07-06,43
2015-07-07,45
2015-07-08,46
2015-07-09,46
2015-07-10,44
2015-07-11,44
2015-07-12,46
2015-07-13,46
2015-07-14,46
2015-07-15,44
2015-07-16,44
2015-07-17,44
2015-07-18,44
2015-07-19,44
2015-07-20,44
2015-07-21,44
2015-07-22,45
2015-07-23,45
2015-07-24,43
2015-07-25,43
2015-07-26,42
2015-07-27,42
2015-07-28,42
2015-07-29,43
2015-07-30,43
2015-07-31,45
2015-08-01,45
2015-08-02,46
2015-08-03,46
2015-08-04,47
2015-08-05,47
2015-08-06,47
2015-08-07,46
2015-08-08,47
2015-08-09,49
2015-08-10,50
2015-08-11,52
2015-08-12,52
2015-08-13,52
2015-08-14,53
2015-08-15,53
2015-08-16,53
2015-08-17,53
2015-08-18,54
2015-08-19,54
2015-08-20,55
2015-08-21,55
2015-08-22,54
2015-08-23,54
2015-08-24,56
2015-08-25,56
2015-08-26,56
2015-08-27,55
2015-08-28,55
2015-08-29,54
2015-08-30,54
2015-08-31,56
2015-09-01,56
2015-09-02,55
2015-09-03,55
2015-09-04,55
2015-09-05,55
2015-09-06,55
2015-09-07,53
2015-09-08,53
2015-09-09,51
2015-09-10,51
2015-09-11,50
2015-09-12,50
2015-09-13,48
2015-09-14,48
2015-09-15,48
2015-09-16,48
2015-09-17,48
2015-09-18,48
2015-09-19,48
2015-09-20,46
2015-09-21,46
2015-09-22,46
2015-09-23,46
2015-09-24,46
2015-09-25,48
2015-09-27,49
2015-09-28,49
2015-09-29,51
2015-09-30,51
2015-10-05,54
2015-10-06,56
2015-10-07,56
2015-10-08,55
2015-10-09,55
2015-10-10,55
2015-10-11,53
2015-10-12,53
2015-10-13,53
2015-10-14,51
2015-10-15,51
2015-10-16,50
2015-10-17,50
2015-10-18,50
2015-10-19,51
2015-10-20,51
2015-10-22,51
2015-10-23,51
2015-10-24,51
2015-10-25,51
2015-10-26,53
2015-10-27,53
2015-10-29,51
2015-10-30,51
2015-10-31,53
2015-11-01,53
2015-11-02,53
2015-11-03,55
2015-11-04,55
2015-11-05,56
2015-11-06,56
2015-11-07,57
2015-11-08,57
2015-11-09,57
2015-11-10,55
2015-11-11,55
2015-11-12,55
2015-11-13,55
2015-11-14,55
2015-11-15,58
2015-11-16,58
2015-11-17,58
2015-11-18,61
2015-11-19,61
2015-11-20,65
2015-11-21,65
2015-11-22,69
2015-11-23,69
2015-11-24,69
2015-11-25,73
2015-11-26,73
2015-11-27,73
2015-11-28,76
2015-11-29,76
2015-11-30,79
2015-12-01,79
2015-12-02,79
2015-12-03,83
2015-12-04,83
2015-12-05,83
2015-12-06,87
2015-12-07,87
2015-12-08,87
2015-12-09,91
2015-12-10,91
2015-12-11,93
2015-12-13,92
2015-12-14,92
2015-12-15,91
2015-12-16,91
2015-12-17,87
2015-12-18,87
2015-12-19,89
2015-12-20,89
2015-12-21,90
2015-12-22,90
2015-12-23,92
2015-12-24,92
2015-12-25,92
2015-12-26,93
2015-12-27,93
2015-12-28,91
2015-12-29,88
2015-12-30,88
2015-12-31,85
2016-01-01,85
2016-01-02,87
2016-01-03,87
2016-01-04,90
2016-01-05,90
2016-01-06,91
2016-01-07,91
2016-01-08,89
2016-01-09,89
2016-01-10,88
2016-01-11,88
2016-01-12,85
2016-01-13,85
2016-01-14,88
2016-01-15,88
2016-01-16,86
2016-01-17,86
2016-01-18,85
2016-01-19,85
2016-01-20,87
2016-01-21,87
2016-01-22,90
2016-01-23,90
2016-01-24,88
2016-01-25,87
2016-01-26,87
2016-01-27,89
2016-01-28,89
2016-01-29,90
2016-01-30,90
2016-01-31,90
2016-02-01,90
2016-02-02,88
2016-02-03,88
2016-02-04,84
2016-02-05,84
2016-02-06,81
2016-02-07,81
2016-02-08,78
2016-02-09,78
2016-02-10,80
2016-02-11,80
2016-02-12,82
2016-02-13,85
2016-02-14,85
2016-02-15,88
2016-02-16,88
2016-02-17,93
2016-02-18,93
2016-02-19,97
2016-02-20,97
2016-02-21,102
2016-02-22,102
2016-02-23,104
2016-02-24,104
2016-02-25,102
2016-02-26,102
2016-02-27,105
2016-02-28,105
