date_obj,Blue%20elegant%20skirt price
2015-03-26,25844
2015-03-27,25844
2015-03-28,24635
2015-03-29,24635
2015-03-30,23455
2015-03-31,23455
2015-04-01,22375
2015-04-02,22375
2015-04-03,22375
2015-04-04,21326
2015-04-05,21326
2015-04-06,21326
2015-04-07,21326
2015-04-08,20375
2015-04-09,20375
2015-04-10,20375
2015-04-11,19454
2015-04-12,19454
2015-04-13,19454
2015-04-14,18602
2015-04-15,18602
2015-04-16,18602
2015-04-17,17776
2015-04-18,17776
2015-04-19,17776
2015-04-20,17776
2015-04-21,16938
2015-04-22,16938
2015-04-23,16938
2015-04-24,16938
2015-04-25,16141
2015-04-26,16141
2015-04-27,16141
2015-04-28,15361
2015-04-29,15361
2015-04-30,15361
2015-05-01,15361
2015-05-02,14692
2015-05-03,14692
2015-05-04,14692
2015-05-05,14692
2015-05-06,13989
2015-05-07,13989
2015-05-08,13989
2015-05-09,13989
2015-05-10,13322
2015-05-11,13322
2015-05-12,13322
2015-05-13,13322
2015-05-14,12702
2015-05-15,12702
2015-05-16,12702
2015-05-17,12114
2015-05-18,12114
2015-05-19,12114
2015-05-20,11548
2015-05-21,11548
2015-05-22,11548
2015-05-23,10989
2015-05-24,10989
2015-05-25,10989
2015-05-26,10476
2015-05-27,10476
2015-05-28,10476
2015-05-29,10476
2015-05-30,9997
2015-05-31,9997
2015-06-01,9997
2015-06-02,9997
2015-06-03,9997
2015-06-04,9706
2015-06-05,9706
2015-06-06,9706
2015-06-07,9706
2015-06-08,9706
2015-06-09,9706
2015-06-10,9310
2015-06-11,9310
2015-06-12,9310
2015-06-13,9310
2015-06-14,9310
2015-06-15,9310
2015-06-16,9310
2015-06-17,8929
2015-06-18,8929
2015-06-19,8929
2015-06-20,8929
2015-06-21,8929
2015-06-22,8929
2015-06-23,8721
2015-06-24,8721
2015-06-25,8721
2015-06-26,8721
2015-06-27,8721
2015-06-28,8721
2015-06-29,8487
2015-06-30,8487
2015-07-01,8487
2015-07-02,8487
2015-07-03,8487
2015-07-04,8487
2015-07-05,8487
2015-07-06,8394
2015-07-07,8394
2015-07-08,8394
2015-07-09,8394
2015-07-10,8394
2015-07-11,8394
2015-07-12,8648
2015-07-13,8648
2015-07-14,8648
2015-07-15,8648
2015-07-16,8648
2015-07-17,8495
2015-07-18,8495
2015-07-19,8495
2015-07-20,8495
2015-07-21,8495
2015-07-22,8495
2015-07-23,8495
2015-07-24,8455
2015-07-25,8455
2015-07-26,8455
2015-07-27,8455
2015-07-28,8455
2015-07-29,8455
2015-07-30,8379
2015-07-31,8379
2015-08-01,8379
2015-08-02,8379
2015-08-03,8379
2015-08-04,8379
2015-08-05,8268
2015-08-06,8268
2015-08-07,8268
2015-08-08,8268
2015-08-09,8268
2015-08-10,7974
2015-08-11,7974
2015-08-12,7974
2015-08-13,7974
2015-08-14,7974
2015-08-15,7612
2015-08-16,7612
2015-08-17,7612
2015-08-18,7612
2015-08-19,7612
2015-08-20,7268
2015-08-21,7268
2015-08-22,7268
2015-08-23,7268
2015-08-24,7268
2015-08-25,7268
2015-08-26,6927
2015-08-27,6927
2015-08-28,6927
2015-08-29,6927
2015-08-30,6927
2015-08-31,6595
2015-09-01,6595
2015-09-02,6595
2015-09-03,6595
2015-09-04,6595
2015-09-05,6595
2015-09-06,6375
2015-09-07,6375
2015-09-08,6375
2015-09-09,6375
2015-09-10,6375
2015-09-11,6164
2015-09-12,6164
2015-09-13,6164
