date_obj,Bob's%20red%20shirt price
2015-03-26,15008
2015-03-27,15008
2015-03-28,15008
2015-03-29,14367
2015-03-30,14367
2015-03-31,14367
2015-04-01,13701
2015-04-02,13701
2015-04-03,13701
2015-04-04,13100
2015-04-05,13100
2015-04-06,13100
2015-04-07,12503
2015-04-08,12503
2015-04-09,12503
2015-04-10,11920
2015-04-11,11920
2015-04-12,11920
2015-04-13,11375
2015-04-14,11375
2015-04-15,11375
2015-04-16,10861
2015-04-17,10861
2015-04-18,10861
2015-04-19,10380
2015-04-20,10380
2015-04-21,10380
2015-04-22,10380
2015-04-23,9916
2015-04-24,9916
2015-04-25,9916
2015-04-26,9916
2015-04-27,9467
2015-04-28,9467
2015-04-29,9467
2015-04-30,9467
2015-05-01,9022
2015-05-02,9022
2015-05-03,9022
2015-05-04,8614
2015-05-05,8614
2015-05-06,8614
2015-05-07,8241
2015-05-08,8241
2015-05-09,8241
2015-05-10,7874
2015-05-11,7874
2015-05-12,7874
2015-05-13,7874
2015-05-14,7513
2015-05-15,7513
2015-05-16,7513
2015-05-17,7513
2015-05-18,7513
2015-05-19,7159
2015-05-20,7159
2015-05-21,7159
2015-05-22,7159
2015-05-23,6847
2015-05-24,6847
2015-05-25,6847
2015-05-26,6847
2015-05-27,6599
2015-05-28,6599
2015-05-29,6599
2015-05-30,6599
2015-05-31,6599
2015-06-01,6310
2015-06-02,6310
2015-06-03,6310
2015-06-04,6310
2015-06-05,6310
2015-06-06,6310
2015-06-07,6310
2015-06-08,6012
2015-06-09,6012
2015-06-10,6012
2015-06-11,6012
2015-06-12,6012
2015-06-13,5743
2015-06-14,5743
2015-06-15,5743
2015-06-16,5743
2015-06-17,5743
2015-06-18,5521
2015-06-19,5521
2015-06-20,5521
2015-06-21,5521
2015-06-22,5521
2015-06-23,5313
2015-06-24,5313
2015-06-25,5313
2015-06-26,5313
2015-06-27,5313
2015-06-28,5232
2015-06-29,5232
2015-06-30,5232
2015-07-01,5232
2015-07-02,5232
2015-07-03,5208
2015-07-04,5208
2015-07-05,5208
2015-07-06,5208
2015-07-07,5208
2015-07-08,5228
2015-07-09,5228
2015-07-10,5228
2015-07-11,5228
2015-07-12,5228
2015-07-13,5228
2015-07-14,5129
2015-07-15,5129
2015-07-16,5129
2015-07-17,5129
2015-07-18,5129
2015-07-19,5181
2015-07-20,5181
2015-07-21,5181
2015-07-22,5181
2015-07-23,5181
2015-07-24,5380
2015-07-25,5380
2015-07-26,5380
2015-07-27,5380
2015-07-28,5380
2015-07-29,5380
2015-07-30,5414
2015-07-31,5414
2015-08-01,5414
2015-08-02,5414
2015-08-03,5414
2015-08-04,5414
2015-08-05,5218
2015-08-06,5218
2015-08-07,5218
2015-08-08,5218
2015-08-09,5218
2015-08-10,5036
2015-08-11,5036
2015-08-12,5036
2015-08-13,5036
2015-08-14,5036
2015-08-15,5036
2015-08-16,5036
2015-08-17,4862
2015-08-18,4862
2015-08-19,4862
2015-08-20,4862
2015-08-21,4862
2015-08-22,4862
2015-08-23,4862
2015-08-24,4711
2015-08-25,4711
2015-08-26,4711
2015-08-27,4711
2015-08-28,4711
2015-08-29,4711
2015-08-30,4713
2015-08-31,4713
2015-09-01,4713
2015-09-02,4713
2015-09-03,4713
2015-09-04,4713
2015-09-05,4709
2015-09-06,4709
2015-09-07,4709
2015-09-08,4709
2015-09-09,4709
2015-09-10,4709
2015-09-11,4685
2015-09-12,4685
2015-09-13,4685
2015-09-14,4685
2015-09-15,4685
2015-09-16,4685
2015-09-17,4765
2015-09-18,4765
2015-09-19,4765
2015-09-20,4765
2015-09-21,4765
2015-09-22,4765
2015-09-23,4574
2015-09-24,4574
2015-09-25,4574
2015-09-27,4574
2015-09-28,4574
2015-09-29,4574
2015-09-30,4585
2015-10-05,4585
2015-10-06,4764
2015-10-07,4764
2015-10-08,4764
2015-10-09,4764
2015-10-10,4764
2015-10-11,4764
2015-10-12,4764
2015-10-13,4764
2015-10-14,4886
2015-10-15,4886
2015-10-16,4886
2015-10-17,4886
2015-10-18,4886
2015-10-19,4886
2015-10-20,4837
2015-10-22,4837
2015-10-23,4837
2015-10-24,4837
2015-10-25,4837
2015-10-26,4616
2015-10-27,4616
2015-10-29,4616
2015-10-30,4616
2015-10-31,4616
2015-11-01,4616
2015-11-02,4616
2015-11-03,4616
2015-11-04,4407
2015-11-05,4407
2015-11-06,4407
2015-11-07,4407
2015-11-08,4407
2015-11-09,4407
2015-11-10,4407
2015-11-11,4332
2015-11-12,4332
2015-11-13,4332
2015-11-14,4332
2015-11-15,4332
2015-11-16,4332
2015-11-17,4332
2015-11-18,4446
2015-11-19,4446
2015-11-20,4446
2015-11-21,4446
2015-11-22,4446
2015-11-23,4446
2015-11-24,4491
2015-11-25,4491
2015-11-26,4491
2015-11-27,4491
2015-11-28,4491
2015-11-29,4491
2015-11-30,4497
2015-12-01,4497
2015-12-02,4497
2015-12-03,4497
2015-12-04,4497
2015-12-05,4497
2015-12-06,4497
2015-12-07,4455
2015-12-08,4455
2015-12-09,4455
2015-12-10,4455
2015-12-11,4455
2015-12-12,4455
2015-12-13,4609
2015-12-14,4609
2015-12-15,4609
2015-12-16,4609
2015-12-17,4609
2015-12-18,4609
2015-12-19,4714
2015-12-20,4714
2015-12-21,4714
2015-12-22,4714
2015-12-23,4714
2015-12-24,4714
2015-12-25,4587
2015-12-26,4587
2015-12-27,4587
2015-12-28,4587
2015-12-29,4587
2015-12-30,4587
2015-12-31,4494
2016-01-01,4494
2016-01-02,4494
2016-01-03,4494
2016-01-04,4494
2016-01-05,4494
2016-01-06,4432
2016-01-07,4432
2016-01-08,4432
2016-01-09,4432
2016-01-10,4432
2016-01-11,4432
2016-01-12,4432
2016-01-13,4230
2016-01-14,4230
2016-01-15,4230
2016-01-16,4230
2016-01-17,4230
2016-01-18,4046
2016-01-19,4046
2016-01-20,4046
2016-01-21,4046
2016-01-22,4046
2016-01-23,4046
2016-01-24,3872
2016-01-25,3872
2016-01-26,3872
2016-01-27,3872
2016-01-28,3872
2016-01-29,3735
2016-01-30,3735
2016-01-31,3735
2016-02-01,3735
2016-02-02,3735
2016-02-03,3735
2016-02-04,3647
2016-02-05,3647
2016-02-06,3647
2016-02-07,3647
2016-02-08,3647
2016-02-09,3647
2016-02-10,3647
2016-02-11,3730
2016-02-12,3730
2016-02-13,3730
2016-02-14,3730
2016-02-15,3730
2016-02-16,3598
2016-02-17,3598
2016-02-18,3598
2016-02-19,3598
2016-02-20,3598
2016-02-21,3684
2016-02-22,3684
2016-02-23,3684
2016-02-24,3684
2016-02-25,3684
2016-02-26,3684
2016-02-27,3609
2016-02-28,3609
2016-02-29,3609
2016-03-01,3609
2016-03-02,3609
2016-03-03,3528
2016-03-04,3528
2016-03-05,3528
2016-03-06,3528
2016-03-07,3528
2016-03-08,3485
2016-03-09,3485
2016-03-10,3485
2016-03-11,3485
2016-03-12,3485
2016-03-13,3485
2016-03-14,3530
2016-03-15,3530
2016-03-16,3530
2016-03-17,3530
2016-03-18,3530
2016-03-19,3530
2016-03-20,3607
2016-03-21,3607
2016-03-22,3607
2016-03-23,3607
2016-03-24,3607
2016-03-25,3607
2016-03-26,3650
2016-03-27,3650
2016-03-28,3650
2016-03-29,3650
2016-03-30,3650
2016-03-31,3650
2016-04-01,3809
2016-04-02,3809
2016-04-03,3809
