date_obj,Uncut%20onyx price
2015-03-26,3047053
2015-03-27,2934722
2015-03-28,2934722
2015-03-29,2934722
2015-03-30,2934722
2015-03-31,2934722
2015-04-01,2934722
2015-04-02,2941731
2015-04-03,2941731
2015-04-04,2941731
2015-04-05,2941731
2015-04-06,2941731
2015-04-07,2941731
2015-04-08,3065173
2015-04-09,3065173
2015-04-10,3065173
2015-04-11,3065173
2015-04-12,3065173
2015-04-13,3065173
2015-04-14,2949598
2015-04-15,2949598
2015-04-16,2949598
2015-04-17,2949598
2015-04-18,2949598
2015-04-19,2949598
2015-04-20,2971325
2015-04-21,2971325
2015-04-22,2971325
2015-04-23,2971325
2015-04-24,2971325
2015-04-25,2971325
2015-04-26,2971325
2015-04-27,2995946
2015-04-28,2995946
2015-04-29,2995946
2015-04-30,2995946
2015-05-01,2995946
2015-05-02,2995946
2015-05-03,2995946
2015-05-04,2992320
2015-05-05,2992320
2015-05-06,2992320
2015-05-07,2992320
2015-05-08,2992320
2015-05-09,2992320
2015-05-10,2992320
2015-05-11,2992320
2015-05-12,2955794
2015-05-13,2955794
2015-05-14,2955794
2015-05-15,2955794
2015-05-16,2955794
2015-05-17,2955794
2015-05-18,2955794
2015-05-19,2955794
2015-05-20,2993250
2015-05-21,2993250
2015-05-22,2993250
2015-05-23,2993250
2015-05-24,2993250
2015-05-25,2993250
2015-05-26,2993250
2015-05-27,2993250
2015-05-28,2983316
2015-05-29,2983316
2015-05-30,2983316
2015-05-31,2983316
2015-06-01,2983316
2015-06-02,2983316
2015-06-03,3015495
2015-06-04,3015495
2015-06-05,3015495
2015-06-06,3015495
2015-06-07,3015495
2015-06-08,3015495
2015-06-09,3085088
2015-06-10,3085088
2015-06-11,3085088
2015-06-12,3085088
2015-06-13,3085088
2015-06-14,3085088
2015-06-15,3039693
2015-06-16,3039693
2015-06-17,3039693
2015-06-18,3039693
2015-06-19,3039693
2015-06-20,2994711
2015-06-21,2994711
2015-06-22,2994711
2015-06-23,2994711
2015-06-24,2994711
2015-06-25,2994711
2015-06-26,2955220
2015-06-27,2955220
2015-06-28,2955220
2015-06-29,2955220
2015-06-30,2955220
2015-07-01,2955220
2015-07-02,2990867
2015-07-03,2990867
2015-07-04,2990867
2015-07-05,2990867
2015-07-06,2990867
2015-07-07,2977754
2015-07-08,2977754
2015-07-09,2977754
2015-07-10,2977754
2015-07-11,2977754
2015-07-12,2977754
2015-07-13,3003679
2015-07-14,3003679
2015-07-15,3003679
2015-07-16,3003679
2015-07-17,3003679
2015-07-18,3003679
2015-07-19,2990077
2015-07-20,2990077
2015-07-21,2990077
2015-07-22,2990077
2015-07-23,2990077
2015-07-24,2990077
2015-07-25,2979794
2015-07-26,2979794
2015-07-27,2979794
2015-07-28,2979794
2015-07-29,2979794
2015-07-30,2979794
2015-07-31,3027179
2015-08-01,3027179
2015-08-02,3027179
2015-08-03,3027179
2015-08-04,3027179
2015-08-05,3027179
2015-08-06,3074412
2015-08-07,3074412
2015-08-08,3074412
2015-08-09,3074412
2015-08-10,3074412
2015-08-11,3074412
2015-08-12,3048815
2015-08-13,3048815
2015-08-14,3048815
2015-08-15,3048815
2015-08-16,3048815
2015-08-17,3048815
2015-08-18,3048815
2015-08-19,3048815
2015-08-20,3048815
2015-08-21,3015922
2015-08-22,3015922
2015-08-23,3015922
2015-08-24,3015922
2015-08-25,3015922
2015-08-26,3015922
2015-08-27,3015922
2015-08-28,3015922
2015-08-29,3015922
2015-08-30,3015922
2015-08-31,2989774
2015-09-01,2989774
2015-09-02,2989774
2015-09-03,2989774
2015-09-04,2989774
2015-09-05,2989774
2015-09-06,2989774
2015-09-07,2989774
2015-09-08,2989774
2015-09-09,2989774
2015-09-10,2949535
2015-09-11,2949535
2015-09-12,2949535
2015-09-13,2949535
2015-09-14,2949535
2015-09-15,2949535
2015-09-16,2949535
2015-09-17,2949535
2015-09-18,2949535
2015-09-19,2949535
2015-09-20,2949535
2015-09-21,2844496
2015-09-22,2844496
2015-09-23,2844496
2015-09-24,2844496
2015-09-25,2844496
2015-09-27,2844496
2015-09-28,2844496
2015-09-29,2844496
2015-09-30,2844496
2015-10-05,2773242
2015-10-06,2773242
2015-10-07,2773242
2015-10-08,2773242
2015-10-09,2773242
2015-10-10,2773242
2015-10-11,2796490
2015-10-12,2796490
2015-10-13,2796490
2015-10-14,2796490
2015-10-15,2796490
2015-10-16,2796490
2015-10-17,2796490
2015-10-18,2796490
2015-10-19,2796490
2015-10-20,2796490
2015-10-22,2789590
2015-10-23,2789590
2015-10-24,2789590
2015-10-25,2789590
2015-10-26,2789590
2015-10-27,2789590
2015-10-29,2789590
2015-10-30,2789590
2015-10-31,2789590
2015-11-01,2789590
2015-11-02,2900366
2015-11-03,2900366
2015-11-04,2900366
2015-11-05,2900366
2015-11-06,2900366
2015-11-07,2900366
2015-11-08,2900366
2015-11-09,2900366
2015-11-10,2900366
2015-11-11,2900366
2015-11-12,2900366
2015-11-13,2900366
2015-11-14,2900366
2015-11-15,2900366
2015-11-16,2900366
2015-11-17,2900366
