date_obj,Left%20eye%20patch price
2016-07-06,300000
2016-07-07,300000
2016-07-08,300000
2016-07-09,300000
2016-07-10,300000
2016-07-11,300000
2016-07-12,300000
2016-07-13,300000
2016-07-14,300000
2016-07-15,300000
2016-07-16,300000
2016-07-17,300000
2016-07-18,300000
2016-07-23,300000
2016-07-24,300000
2016-07-25,300000
2016-07-26,300000
2016-07-27,292000
2016-07-28,292000
2016-07-29,292000
2016-07-30,292000
2016-07-31,292000
2016-08-01,292000
2016-08-02,292000
2016-08-03,292000
2016-08-04,292000
2016-08-05,292000
2016-08-06,292000
2016-08-07,292000
2016-08-08,292000
2016-08-09,292000
2016-08-10,292000
2016-08-11,292000
2016-08-12,292000
2016-08-13,292000
2016-08-14,292000
2016-08-15,292000
2016-08-16,292000
2016-08-17,292000
2016-08-18,292000
2016-08-19,292000
2016-08-20,292000
2016-08-21,292000
2016-08-22,292000
2016-08-23,292000
2016-08-24,292000
2016-08-25,292000
2016-08-26,292000
2016-08-28,292000
2016-08-31,292000
2016-09-01,277873
2016-09-02,277873
2016-09-03,277873
2016-09-04,277873
2016-09-05,277873
2016-09-06,277873
2016-09-07,277873
2016-09-08,277873
2016-09-09,277873
2016-09-10,277873
2016-09-11,277873
2016-09-12,277873
2016-09-13,277873
2016-09-14,277873
2016-09-15,277873
2016-09-16,277873
2016-09-17,277873
2016-09-18,277873
2016-09-19,277873
2016-09-20,277873
2016-09-21,277873
2016-09-22,277873
2016-09-23,277873
2016-09-24,277873
2016-09-25,277873
2016-09-26,277873
2016-09-27,277873
2016-09-28,277873
2016-09-29,277873
2016-09-30,277873
2016-10-01,277873
2016-10-02,277873
2016-10-03,277873
2016-10-04,277873
2016-10-05,277873
2016-10-06,277873
2016-10-07,277873
2016-10-08,277873
2016-10-09,277873
2016-10-10,277873
2016-10-11,277873
2016-10-12,277873
2016-10-13,277873
2016-10-14,277873
2016-10-15,277873
2016-10-16,277873
2016-10-17,264795
2016-10-18,264795
2016-10-19,264795
2016-10-20,264795
2016-10-21,264795
2016-10-22,264795
2016-10-23,264795
2016-10-24,264795
2016-10-25,264795
2016-10-26,264795
2016-10-27,264795
2016-10-28,264795
2016-10-29,264795
2016-10-30,264795
2016-10-31,264795
2016-11-01,264795
2016-11-02,264795
2016-11-03,264795
2016-11-04,264795
2016-11-05,264795
2016-11-06,264795
2016-11-07,264795
2016-11-08,264795
2016-11-09,264795
2016-11-10,264795
2016-11-11,264795
2016-11-12,264795
2016-11-13,264795
2016-11-14,264795
2016-12-07,252029
2016-12-08,252029
2016-12-09,252029
2016-12-10,252029
2016-12-11,252029
2016-12-12,252029
2016-12-13,252029
2016-12-14,252029
2016-12-15,252029
2016-12-16,252029
2016-12-17,252029
2016-12-18,252029
2016-12-19,252029
2016-12-20,252029
2016-12-21,252029
2016-12-22,252029
2016-12-23,252029
2016-12-24,252029
2016-12-25,252029
2016-12-26,252029
2016-12-27,252029
2016-12-28,252029
2016-12-29,252029
2016-12-30,252029
2016-12-31,252029
2017-01-01,252029
2017-01-02,252029
2017-01-03,252029
2017-01-04,252029
2017-01-05,252029
2017-01-06,252029
2017-01-07,239614
2017-01-08,239614
2017-01-09,239614
2017-01-10,239614
2017-01-11,239614
2017-01-12,239614
2017-01-13,239614
2017-01-14,239614
2017-01-15,239614
2017-01-16,239614
2017-01-17,239614
2017-01-18,239614
2017-01-19,239614
2017-01-20,239614
2017-01-21,239614
2017-01-22,239614
2017-01-27,239614
2017-01-28,239614
2017-01-29,239614
2017-01-30,239614
2017-01-31,239614
2017-02-01,239614
2017-02-02,239614
2017-02-03,239614
2017-02-04,239614
2017-02-05,239614
2017-02-06,239614
2017-02-07,239614
2017-02-08,227975
2017-02-09,227975
2017-02-10,227975
2017-02-11,227975
2017-02-12,227975
2017-02-13,227975
2017-02-14,227975
2017-02-15,227975
2017-02-16,227975
2017-02-18,227975
2017-02-19,227975
2017-02-20,227975
2017-02-21,227975
2017-02-22,227975
2017-02-23,227975
2017-02-24,227975
2017-02-25,227975
2017-02-26,227975
2017-02-27,227975
2017-02-28,227975
2017-03-01,227975
2017-03-02,227975
2017-03-03,227975
2017-03-04,227975
2017-03-05,227975
2017-03-06,227975
2017-03-07,227975
2017-03-08,227975
2017-03-09,227975
2017-03-10,216730
2017-03-11,216730
2017-03-12,216730
2017-03-13,216730
2017-03-14,216730
2017-03-15,216730
2017-03-16,216730
2017-03-17,216730
2017-03-18,216730
2017-03-19,216730
2017-03-20,216730
2017-03-21,216730
2017-03-22,216730
2017-03-23,216730
2017-03-24,216730
2017-03-25,216730
2017-03-26,216730
2017-03-27,216730
2017-03-28,216730
2017-03-29,216730
2017-03-30,216730
2017-03-31,216730
2017-04-01,216730
2017-04-02,216730
2017-04-03,216730
2017-04-04,216730
2017-04-12,8000
2017-04-13,8000
2017-04-14,8000
2017-04-15,8000
2017-04-16,8000
2017-04-17,8000
2017-04-18,8000
2017-04-19,8000
2017-04-20,8000
2017-04-21,8000
2017-04-22,8000
2017-04-23,8000
2017-04-24,8000
2017-04-25,8000
2017-04-26,8000
2017-04-27,8000
2017-04-28,8000
