date_obj,Bagged%20nice%20tree price
2016-01-04,2496
2016-01-05,2578
2016-01-06,2578
2016-01-07,2578
2016-01-08,2578
2016-01-09,2578
2016-01-10,2578
2016-01-11,2578
2016-01-12,2578
2016-01-13,2578
2016-01-14,2578
2016-01-15,2578
2016-01-16,2578
2016-01-17,2578
2016-01-18,2578
2016-01-19,2578
2016-01-20,2578
2016-01-21,2578
2016-01-22,2578
2016-01-23,2578
2016-01-24,2578
2016-01-25,2578
2016-01-26,2578
2016-01-27,2578
2016-01-28,2578
2016-01-29,2578
2016-01-30,2578
2016-01-31,2578
2016-02-01,2578
2016-02-02,2578
2016-02-03,2578
2016-02-04,2578
2016-02-05,2578
2016-02-06,2578
2016-02-07,2578
2016-02-08,2578
2016-02-09,2578
2016-02-10,2578
2016-02-11,2578
2016-02-12,2578
2016-02-13,2578
2016-02-14,2578
2016-02-15,2578
2016-02-16,2578
2016-02-17,2578
2016-02-18,2578
2016-02-19,2578
2016-02-20,2578
2016-02-21,2578
2016-02-22,2578
2016-02-23,2578
2016-02-24,2578
2016-02-25,2578
2016-02-26,2578
2016-02-27,2578
2016-02-28,2578
2016-02-29,2578
2016-03-01,2578
2016-03-02,2578
2016-03-03,2578
2016-03-04,2578
2016-03-05,2578
2016-03-06,2578
2016-03-07,2578
2016-03-08,2578
2016-03-09,2578
2016-03-10,2578
2016-03-11,2578
2016-03-12,2578
2016-03-13,2578
2016-03-14,2578
2016-03-15,2578
2016-03-16,2578
2016-03-17,2578
2016-03-18,2626
2016-03-19,2626
2016-03-20,2626
2016-03-21,2626
2016-03-22,2626
2016-03-23,2626
2016-03-24,2626
2016-03-25,2626
2016-03-26,2626
2016-03-27,2626
2016-03-28,2626
2016-03-29,2626
2016-03-30,2626
2016-03-31,2626
2016-04-01,2626
2016-04-02,2626
2016-04-03,2626
2016-04-04,2626
2016-04-05,2626
2016-04-06,2626
2016-04-07,2626
2016-04-08,2626
2016-04-09,2626
2016-04-10,2626
2016-04-11,2626
2016-04-12,2626
2016-04-13,2626
2016-04-14,2626
2016-04-15,2626
2016-04-16,2626
2016-04-17,2626
2016-04-18,2626
2016-04-19,2626
2016-04-20,2626
2016-04-21,2626
2016-04-22,2626
2016-04-23,2626
2016-04-24,2626
2016-04-25,2626
2016-04-26,2626
2016-04-27,2626
2016-04-28,2626
2016-04-29,2626
2016-04-30,2626
2016-05-01,2626
2016-05-02,2626
2016-05-03,2626
2016-05-04,2626
2016-05-05,2626
2016-05-06,2626
2016-05-07,2626
2016-05-08,2626
2016-05-09,2626
2016-05-10,2626
2016-05-11,2626
2016-05-12,2626
2016-05-13,2626
2016-05-14,2626
2016-05-15,2626
2016-05-16,2626
2016-05-17,2626
2016-05-18,2626
2016-05-19,2626
2016-05-22,2626
2016-05-23,2626
2016-05-24,2667
2016-05-25,2667
2016-05-26,2667
2016-05-27,2667
2016-05-28,2667
2016-05-29,2667
2016-05-30,2667
2016-05-31,2667
2016-06-01,2667
2016-06-02,2667
2016-06-03,2667
2016-06-04,2667
2016-06-05,2667
2016-06-06,2667
2016-06-07,2667
2016-06-08,2667
2016-06-09,2667
2016-06-10,2667
2016-06-11,2667
2016-06-12,2667
2016-06-13,2667
2016-06-14,2667
2016-06-15,2667
2016-06-16,2667
2016-06-17,2667
2016-06-18,2667
2016-06-19,2667
2016-06-20,2667
2016-06-21,2667
2016-06-22,2667
2016-06-23,2667
2016-06-24,2667
2016-06-25,2667
2016-06-26,2667
2016-06-27,2667
2016-06-28,2667
2016-06-29,2667
2016-06-30,2667
2016-07-01,2667
2016-07-02,2667
2016-07-03,2667
2016-07-04,2667
2016-07-05,2667
2016-07-06,2667
2016-07-07,2667
2016-07-08,2667
2016-07-09,2667
2016-07-10,2667
2016-07-11,2667
2016-07-12,2667
2016-07-13,2667
2016-07-14,2667
2016-07-15,2667
2016-07-16,2667
2016-07-17,2667
2016-07-18,2667
2016-07-23,2714
2016-07-24,2714
2016-07-25,2714
2016-07-26,2714
2016-07-27,2714
2016-07-28,2714
2016-07-29,2714
2016-07-30,2714
2016-07-31,2714
2016-08-01,2714
2016-08-02,2714
2016-08-03,2714
2016-08-04,2714
2016-08-05,2714
2016-08-06,2714
2016-08-07,2714
2016-08-08,2714
2016-08-09,2714
2016-08-10,2714
2016-08-11,2714
2016-08-12,2714
2016-08-13,2714
2016-08-14,2714
2016-08-15,2714
2016-08-16,2714
2016-08-17,2714
2016-08-18,2714
2016-08-19,2714
2016-08-20,2714
2016-08-21,2714
2016-08-22,2714
2016-08-23,2714
2016-08-24,2714
2016-08-25,2796
2016-08-26,2796
2016-08-28,2796
2016-08-31,2796
2016-09-01,2796
2016-09-02,2796
2016-09-03,2796
2016-09-04,2796
2016-09-05,2796
2016-09-06,2851
2016-09-07,2851
2016-09-08,2851
2016-09-09,2851
2016-09-10,2851
2016-09-11,2851
2016-09-12,2851
2016-09-13,2851
2016-09-14,2851
2016-09-15,2851
2016-09-16,2851
2016-09-17,2851
2016-09-18,2851
2016-09-19,2851
2016-09-20,2851
2016-09-21,2851
2016-09-22,2851
2016-09-23,2851
2016-09-24,2851
2016-09-25,2851
2016-09-26,2851
2016-09-27,2851
2016-09-28,2926
2016-09-29,2926
2016-09-30,2926
2016-10-01,2926
2016-10-02,2926
2016-10-03,2926
2016-10-04,2926
2016-10-05,2926
2016-10-06,2926
2016-10-07,2926
2016-10-08,2926
2016-10-09,2926
2016-10-10,2926
2016-10-11,2926
2016-10-12,2926
2016-10-13,2926
2016-10-14,2926
2016-10-15,2926
2016-10-16,2926
2016-10-17,2926
2016-10-18,2926
2016-10-19,2926
2016-10-20,2926
2016-10-21,2995
2016-10-22,2995
2016-10-23,2995
2016-10-24,2995
2016-10-25,2995
2016-10-26,2995
2016-10-27,2995
2016-10-28,2995
2016-10-29,2995
2016-10-30,2995
2016-10-31,2995
2016-11-01,2995
2016-11-02,2995
2016-11-03,2995
2016-11-04,2995
2016-11-05,2995
2016-11-06,2995
2016-11-07,2995
2016-11-08,2995
2016-11-09,2995
2016-11-10,2995
2016-11-11,2995
2016-11-12,2995
2016-11-13,2995
2016-11-14,2995
2016-11-15,3037
2016-12-07,3119
2016-12-08,3119
2016-12-09,3119
2016-12-10,3119
2016-12-11,3119
2016-12-12,3119
2016-12-13,3119
2016-12-14,3119
2016-12-15,3119
2016-12-16,3119
2016-12-17,3119
2016-12-18,3119
2016-12-19,3119
2016-12-20,3119
2016-12-21,3119
2016-12-22,3119
2016-12-23,3119
2016-12-24,3119
2016-12-25,3119
2016-12-26,3119
2016-12-27,3119
2016-12-28,3119
2016-12-29,3119
2016-12-30,3183
2016-12-31,3183
2017-01-01,3183
2017-01-02,3183
2017-01-03,3183
2017-01-04,3183
2017-01-05,3183
2017-01-06,3183
2017-01-07,3183
2017-01-08,3183
2017-01-09,3183
2017-01-10,3183
2017-01-11,3183
2017-01-12,3183
2017-01-13,3183
2017-01-14,3183
2017-01-15,3183
2017-01-16,3183
2017-01-17,3183
2017-01-18,3179
2017-01-19,3179
2017-01-20,3179
2017-01-21,3179
2017-01-22,3179
2017-01-23,3179
2017-01-27,3179
2017-01-28,3179
2017-01-29,3179
2017-01-30,3179
2017-01-31,3179
2017-02-01,3179
2017-02-02,3179
2017-02-03,3179
2017-02-04,3179
2017-02-05,3179
2017-02-06,3197
2017-02-07,3197
2017-02-08,3197
2017-02-09,3197
2017-02-10,3197
2017-02-11,3197
2017-02-12,3197
2017-02-13,3197
2017-02-14,3197
2017-02-15,3197
2017-02-16,3197
2017-02-18,3197
2017-02-19,3197
2017-02-20,3197
2017-02-21,3197
2017-02-22,3197
2017-02-23,3197
2017-02-24,3197
2017-02-25,3232
2017-02-26,3232
2017-02-27,3232
2017-02-28,3232
2017-03-01,3232
2017-03-02,3232
2017-03-03,3232
2017-03-04,3232
2017-03-05,3232
2017-03-06,3232
2017-03-07,3232
2017-03-08,3232
2017-03-09,3232
2017-03-10,3232
2017-03-11,3232
2017-03-12,3232
2017-03-13,3232
2017-03-14,3230
2017-03-15,3230
2017-03-16,3230
2017-03-17,3230
2017-03-18,3230
2017-03-19,3230
2017-03-20,3230
2017-03-21,3230
2017-03-22,3230
2017-03-23,3230
2017-03-24,3230
2017-03-25,3230
2017-03-26,3230
2017-03-27,3230
2017-03-28,3230
2017-03-29,3230
2017-03-30,3230
2017-03-31,3230
2017-04-01,3277
2017-04-02,3277
2017-04-03,3277
2017-04-04,3277
2017-04-05,3277
2017-04-12,3277
2017-04-13,3277
2017-04-14,3277
2017-04-15,3277
2017-04-16,3277
2017-04-17,3277
2017-04-18,3291
2017-04-19,3291
2017-04-20,3291
2017-04-21,3291
2017-04-22,3291
2017-04-23,3291
2017-04-24,3291
2017-04-25,3291
2017-04-26,3291
2017-04-27,3291
2017-04-28,3291
2017-04-29,3291
2017-04-30,3291
2017-05-01,3291
2017-05-02,3291
2017-05-03,3291
2017-05-04,3291
2017-05-05,3357
2017-05-06,3357
2017-05-07,3357
2017-05-08,3357
2017-05-09,3357
2017-05-10,3357
2017-05-11,3357
2017-05-12,3357
2017-05-13,3357
2017-05-14,3357
2017-05-15,3357
2017-05-16,3357
2017-05-17,3357
2017-05-18,3357
2017-05-19,3357
2017-05-20,3357
2017-05-21,3357
2017-05-22,3357
2017-05-23,3369
2017-05-24,3369
2017-05-25,3369
2017-05-26,3369
2017-05-27,3369
2017-05-28,3369
2017-05-29,3369
2017-05-30,3369
2017-05-31,3369
2017-06-01,3369
2017-06-02,3369
2017-06-03,3369
2017-06-04,3369
2017-06-05,3369
2017-06-06,3369
2017-06-07,3369
2017-06-08,3369
2017-06-09,3369
2017-06-10,3389
2017-06-11,3389
2017-06-12,3389
2017-06-13,3389
2017-06-14,3389
2017-06-15,3389
2017-06-16,3389
2017-06-17,3389
2017-06-18,3389
2017-06-19,3389
2017-06-20,3389
2017-06-21,3389
2017-06-22,3389
2017-06-23,3389
2017-06-24,3389
2017-06-25,3389
2017-06-26,3389
2017-06-27,3389
2017-06-28,3389
2017-06-29,3326
2017-06-30,3326
2017-07-01,3326
2017-07-02,3326
2017-07-03,3326
2017-07-04,3326
2017-07-05,3326
2017-07-06,3326
2017-07-07,3326
2017-07-08,3326
2017-07-09,3326
2017-07-13,3326
2017-07-14,3326
2017-07-15,3326
2017-07-16,3326
2017-07-17,3326
2017-07-18,3271
2017-07-19,3271
2017-07-20,3271
2017-07-21,3271
2017-07-22,3271
2017-07-23,3271
2017-07-24,3271
2017-07-25,3271
2017-07-26,3271
2017-07-27,3271
2017-07-28,3271
2017-07-29,3271
2017-07-30,3271
2017-07-31,3271
2017-08-01,3271
2017-08-02,3271
2017-08-03,3271
2017-08-04,3271
2017-08-05,3312
2017-08-06,3312
2017-08-07,3312
2017-08-08,3312
2017-08-09,3312
2017-08-10,3312
2017-08-11,3312
2017-08-12,3312
2017-08-13,3312
2017-08-14,3312
2017-08-15,3312
2017-08-16,3312
2017-08-17,3312
2017-08-18,3312
2017-08-19,3312
2017-08-20,3312
2017-08-21,3312
2017-08-22,3312
2017-08-23,3273
2017-08-24,3273
2017-08-25,3273
2017-08-26,3273
2017-08-27,3273
2017-08-28,3273
2017-08-29,3273
2017-08-30,3273
2017-08-31,3273
2017-09-01,3273
2017-09-02,3273
2017-09-03,3273
