date_obj,Black%20helm%20(h3) price
2015-03-26,5911
2015-03-27,5654
2015-03-28,5654
2015-03-29,5654
2015-03-30,5391
2015-03-31,5391
2015-04-01,5391
2015-04-02,5175
2015-04-03,5175
2015-04-04,5175
2015-04-05,5175
2015-04-06,4941
2015-04-07,4941
2015-04-08,4941
2015-04-09,4733
2015-04-10,4733
2015-04-11,4733
2015-04-12,4733
2015-04-13,4502
2015-04-14,4502
2015-04-15,4502
2015-04-16,4502
2015-04-17,4295
2015-04-18,4295
2015-04-19,4295
2015-04-20,4295
2015-04-21,4103
2015-04-22,4103
2015-04-23,4103
2015-04-24,4103
2015-04-25,3909
2015-04-26,3909
2015-04-27,3909
2015-04-28,3727
2015-04-29,3727
2015-04-30,3727
2015-05-01,3571
2015-05-02,3571
2015-05-03,3571
2015-05-04,3419
2015-05-05,3419
2015-05-06,3259
2015-05-07,3259
2015-05-08,3259
2015-05-09,3112
2015-05-10,3112
2015-05-11,3112
2015-05-12,2990
2015-05-13,2990
2015-05-14,2990
2015-05-15,2990
2015-05-16,2855
2015-05-17,2855
2015-05-18,2736
2015-05-19,2736
2015-05-20,2736
2015-05-21,2736
2015-05-22,2618
2015-05-23,2618
2015-05-24,2618
2015-05-25,2509
2015-05-26,2509
2015-05-27,2509
2015-05-28,2426
2015-05-29,2426
2015-05-30,2426
2015-05-31,2315
2015-06-01,2315
2015-06-02,2315
2015-06-03,2221
2015-06-04,2221
2015-06-05,2221
2015-06-06,2221
2015-06-07,2146
2015-06-08,2146
2015-06-09,2146
2015-06-10,2146
2015-06-11,2146
2015-06-12,2107
2015-06-13,2107
2015-06-14,2107
2015-06-15,2107
2015-06-16,2020
2015-06-17,2020
2015-06-18,2020
2015-06-19,2020
2015-06-20,1945
2015-06-21,1945
2015-06-22,1945
2015-06-23,1945
2015-06-24,1979
2015-06-25,1979
2015-06-26,1979
2015-06-27,1979
2015-06-28,1979
2015-06-29,2062
2015-06-30,2062
2015-07-01,2062
2015-07-02,2062
2015-07-03,2062
2015-07-04,2062
2015-07-05,2078
2015-07-06,2078
2015-07-07,2078
2015-07-08,2078
2015-07-09,2078
2015-07-10,2078
2015-07-11,2045
2015-07-12,2045
2015-07-13,2045
2015-07-14,2045
2015-07-15,2096
2015-07-16,2096
2015-07-17,2096
2015-07-18,2096
2015-07-19,2096
2015-07-20,2064
2015-07-21,2064
2015-07-22,2064
2015-07-23,2064
2015-07-24,2064
2015-07-25,1988
2015-07-26,1988
2015-07-27,1988
2015-07-28,1988
2015-07-29,1988
2015-07-30,1905
2015-07-31,1905
2015-08-01,1905
2015-08-02,1905
2015-08-03,1905
2015-08-04,1920
2015-08-05,1920
2015-08-06,1920
2015-08-07,1920
2015-08-08,1920
2015-08-09,1920
2015-08-10,1911
2015-08-11,1911
2015-08-12,1911
2015-08-13,1911
2015-08-14,1911
2015-08-15,1909
2015-08-16,1909
2015-08-17,1909
2015-08-18,1909
2015-08-19,1909
2015-08-20,1867
2015-08-21,1867
2015-08-22,1867
2015-08-23,1867
2015-08-24,1807
2015-08-25,1807
2015-08-26,1807
2015-08-27,1807
2015-08-28,1807
2015-08-29,1848
2015-08-30,1848
2015-08-31,1848
2015-09-01,1848
2015-09-02,1848
2015-09-03,1837
2015-09-04,1837
2015-09-05,1837
2015-09-06,1837
2015-09-07,1837
2015-09-08,1837
2015-09-09,1787
2015-09-10,1787
2015-09-11,1787
2015-09-12,1787
2015-09-13,1787
2015-09-14,1752
2015-09-15,1752
2015-09-16,1752
2015-09-17,1752
2015-09-18,1752
2015-09-19,1752
2015-09-20,1742
2015-09-21,1742
2015-09-22,1742
2015-09-23,1742
2015-09-24,1742
2015-09-25,1742
2015-09-27,1668
2015-09-28,1668
2015-09-29,1668
2015-09-30,1668
2015-10-05,1626
2015-10-06,1626
2015-10-07,1626
2015-10-08,1626
2015-10-09,1604
2015-10-10,1604
2015-10-11,1604
2015-10-12,1604
2015-10-13,1604
2015-10-14,1604
2015-10-15,1680
2015-10-16,1680
2015-10-17,1680
2015-10-18,1680
2015-10-19,1680
2015-10-20,1680
2015-10-22,1670
2015-10-23,1670
2015-10-24,1670
2015-10-25,1670
2015-10-26,1670
2015-10-27,1670
2015-10-29,1590
2015-10-30,1590
2015-10-31,1590
2015-11-01,1590
2015-11-02,1518
2015-11-03,1518
2015-11-04,1518
2015-11-05,1518
2015-11-06,1518
2015-11-07,1518
2015-11-08,1453
2015-11-09,1453
2015-11-10,1453
2015-11-11,1486
2015-11-12,1486
2015-11-13,1486
2015-11-14,1486
2015-11-15,1486
2015-11-16,1486
2015-11-17,1486
2015-11-18,1486
2015-11-19,1503
2015-11-20,1503
2015-11-21,1503
2015-11-22,1503
2015-11-23,1503
2015-11-24,1503
2015-11-25,1461
2015-11-26,1461
2015-11-27,1461
2015-11-28,1461
2015-11-29,1461
2015-11-30,1429
2015-12-01,1429
2015-12-02,1429
2015-12-03,1429
2015-12-04,1429
2015-12-05,1429
2015-12-06,1451
2015-12-07,1451
2015-12-08,1451
2015-12-09,1451
2015-12-10,1451
2015-12-11,1402
2015-12-12,1402
2015-12-13,1402
2015-12-14,1402
2015-12-15,1402
2015-12-16,1382
2015-12-17,1382
2015-12-18,1382
2015-12-19,1382
2015-12-20,1382
2015-12-21,1382
2015-12-22,1384
2015-12-23,1384
2015-12-24,1384
2015-12-25,1384
2015-12-26,1384
2015-12-27,1384
2015-12-28,1326
2015-12-29,1326
2015-12-30,1326
2015-12-31,1326
2016-01-01,1326
2016-01-02,1326
2016-01-03,1388
2016-01-04,1388
2016-01-05,1388
2016-01-06,1388
2016-01-07,1388
2016-01-08,1450
2016-01-09,1450
2016-01-10,1450
2016-01-11,1450
2016-01-12,1450
2016-01-13,1495
2016-01-14,1495
2016-01-15,1495
2016-01-16,1495
2016-01-17,1479
2016-01-18,1479
2016-01-19,1479
2016-01-20,1479
2016-01-21,1479
2016-01-22,1414
2016-01-23,1414
2016-01-24,1414
2016-01-25,1414
2016-01-26,1361
2016-01-27,1361
2016-01-28,1361
2016-01-29,1361
2016-01-30,1312
2016-01-31,1312
2016-02-01,1312
2016-02-02,1312
2016-02-03,1293
2016-02-04,1293
2016-02-05,1293
2016-02-06,1293
2016-02-07,1293
2016-02-08,1293
2016-02-09,1275
2016-02-10,1275
2016-02-11,1275
2016-02-12,1275
2016-02-13,1304
2016-02-14,1304
2016-02-15,1304
2016-02-16,1304
2016-02-17,1304
2016-02-18,1304
2016-02-19,1304
2016-02-20,1307
2016-02-21,1307
2016-02-22,1307
2016-02-23,1307
2016-02-24,1307
2016-02-25,1246
2016-02-26,1246
2016-02-27,1246
2016-02-28,1246
2016-02-29,1246
2016-03-01,1193
2016-03-02,1193
2016-03-03,1193
2016-03-04,1193
2016-03-05,1193
2016-03-06,1176
2016-03-07,1176
2016-03-08,1176
2016-03-09,1176
2016-03-10,1176
