date_obj,Rune%20full%20helm%20(g) price
2015-03-26,68301
2015-03-27,68301
2015-03-28,67886
2015-03-29,67886
2015-03-30,67559
2015-03-31,67559
2015-04-01,67559
2015-04-02,65896
2015-04-03,65896
2015-04-04,64762
2015-04-05,64762
2015-04-06,63803
2015-04-07,63803
2015-04-08,63803
2015-04-09,62827
2015-04-10,62827
2015-04-11,61702
2015-04-12,61702
2015-04-13,61573
2015-04-14,61573
2015-04-15,61255
2015-04-16,61255
2015-04-17,60819
2015-04-18,60819
2015-04-19,60236
2015-04-20,60236
2015-04-21,60236
2015-04-22,59934
2015-04-23,59934
2015-04-24,59133
2015-04-25,59133
2015-04-26,58304
2015-04-27,58304
2015-04-28,57493
2015-04-29,57493
2015-04-30,57493
2015-05-01,56476
2015-05-02,56476
2015-05-03,56476
2015-05-04,54900
2015-05-05,54900
2015-05-06,52672
2015-05-07,52672
2015-05-08,51224
2015-05-09,51224
2015-05-10,51549
2015-05-11,51549
2015-05-12,51914
2015-05-13,51914
2015-05-14,51892
2015-05-15,51892
2015-05-16,51892
2015-05-17,50491
2015-05-18,50491
2015-05-19,50491
2015-05-20,49124
2015-05-21,49124
2015-05-22,48729
2015-05-23,48729
2015-05-24,47707
2015-05-25,47707
2015-05-26,47279
2015-05-27,47279
2015-05-28,47194
2015-05-29,47194
2015-05-30,45609
2015-05-31,45609
2015-06-01,44777
2015-06-02,44777
2015-06-03,44175
2015-06-04,44175
2015-06-05,43811
2015-06-06,43262
2015-06-07,43262
2015-06-08,42981
2015-06-09,43179
2015-06-10,43848
2015-06-11,43848
2015-06-12,44264
2015-06-13,44251
2015-06-14,44251
2015-06-15,44366
2015-06-16,44366
2015-06-17,44145
2015-06-18,43672
2015-06-19,43672
2015-06-20,43638
2015-06-21,43638
2015-06-22,43175
2015-06-23,43175
2015-06-24,43606
2015-06-25,43606
2015-06-26,43376
2015-06-27,43376
2015-06-28,43954
2015-06-29,43954
2015-06-30,44782
2015-07-01,44782
2015-07-02,45139
2015-07-03,44923
2015-07-04,44923
2015-07-05,44935
2015-07-06,44935
2015-07-07,44979
2015-07-08,45308
2015-07-09,45308
2015-07-10,46191
2015-07-11,46191
2015-07-12,46405
2015-07-13,46405
2015-07-14,45736
2015-07-15,45736
2015-07-16,45704
2015-07-17,45536
2015-07-18,45536
2015-07-19,45125
2015-07-20,45574
2015-07-21,45574
2015-07-22,46175
2015-07-23,46175
2015-07-24,46545
2015-07-25,46545
2015-07-26,46614
2015-07-27,46938
2015-07-28,46938
2015-07-29,47600
2015-07-30,47600
2015-07-31,47973
2015-08-01,47973
2015-08-02,48481
2015-08-03,48481
2015-08-04,49579
2015-08-05,50185
2015-08-06,50185
2015-08-07,49953
2015-08-08,50378
2015-08-09,50378
2015-08-10,50653
2015-08-11,50653
2015-08-12,51292
2015-08-13,51292
2015-08-14,51807
2015-08-15,51807
2015-08-16,51814
2015-08-17,51814
2015-08-18,51803
2015-08-19,52459
2015-08-20,52459
2015-08-21,53934
2015-08-22,53934
2015-08-23,55164
2015-08-24,54550
2015-08-25,54550
2015-08-26,54776
2015-08-27,54249
2015-08-28,54249
2015-08-29,53825
2015-08-30,53825
2015-08-31,54733
2015-09-01,54733
2015-09-02,55242
2015-09-03,55242
2015-09-04,55373
2015-09-05,55373
2015-09-06,55702
2015-09-07,55702
2015-09-08,55679
2015-09-09,55679
2015-09-10,55748
2015-09-11,55748
2015-09-12,55958
2015-09-13,55958
2015-09-14,55632
2015-09-15,55619
2015-09-16,55619
2015-09-17,56265
2015-09-18,56265
2015-09-19,57322
2015-09-20,57322
