date_obj,Snake%20hide price
2015-03-26,2376
2015-03-27,2376
2015-03-28,2376
2015-03-29,2376
2015-03-30,2260
2015-03-31,2260
2015-04-01,2260
2015-04-02,2260
2015-04-03,2260
2015-04-04,2260
2015-04-05,2260
2015-04-06,2260
2015-04-07,2260
2015-04-08,2260
2015-04-09,2149
2015-04-10,2149
2015-04-11,2149
2015-04-12,2149
2015-04-13,2149
2015-04-14,2149
2015-04-15,2149
2015-04-16,2149
2015-04-17,2149
2015-04-18,2042
2015-04-19,2042
2015-04-20,2042
2015-04-21,2042
2015-04-22,2042
2015-04-23,2042
2015-04-24,2042
2015-04-25,2042
2015-04-26,2042
2015-04-27,2042
2015-04-28,1941
2015-04-29,1941
2015-04-30,1941
2015-05-01,1941
2015-05-02,1941
2015-05-03,1941
2015-05-04,1941
2015-05-05,1941
2015-05-06,1941
2015-05-07,1941
2015-05-08,1847
2015-05-09,1847
2015-05-10,1847
2015-05-11,1847
2015-05-12,1847
2015-05-13,1847
2015-05-14,1847
2015-05-15,1847
2015-05-16,1847
2015-05-17,1847
2015-05-18,1847
2015-05-19,1847
2015-05-20,1847
2015-05-21,1756
2015-05-22,1756
2015-05-23,1756
2015-05-24,1756
2015-05-25,1756
2015-05-26,1756
2015-05-27,1756
2015-05-28,1756
2015-05-29,1670
2015-05-30,1670
2015-05-31,1670
2015-06-01,1670
2015-06-02,1670
2015-06-03,1670
2015-06-04,1670
2015-06-05,1670
2015-06-06,1587
2015-06-07,1587
2015-06-08,1587
2015-06-09,1587
2015-06-10,1587
2015-06-11,1587
2015-06-12,1587
2015-06-13,1587
2015-06-14,1510
2015-06-15,1510
2015-06-16,1510
2015-06-17,1510
2015-06-18,1510
2015-06-19,1510
2015-06-20,1510
2015-06-21,1510
2015-06-22,1510
2015-06-23,1435
2015-06-24,1435
2015-06-25,1435
2015-06-26,1435
2015-06-27,1435
2015-06-28,1435
2015-06-29,1435
2015-06-30,1435
2015-07-01,1435
2015-07-02,1435
2015-07-03,1365
2015-07-04,1365
2015-07-05,1365
2015-07-06,1365
2015-07-07,1365
2015-07-08,1365
2015-07-09,1365
2015-07-10,1365
2015-07-11,1365
2015-07-12,1365
2015-07-13,1298
2015-07-14,1298
2015-07-15,1298
2015-07-16,1298
2015-07-17,1298
2015-07-18,1298
2015-07-19,1298
2015-07-20,1298
2015-07-21,1298
2015-07-22,1234
