date_obj,Vyrewatch%20shoes price
2015-03-26,66639
2015-03-27,66639
2015-03-28,66639
2015-03-29,66639
2015-03-30,66639
2015-03-31,66639
2015-04-01,66639
2015-04-02,66639
2015-04-03,66639
2015-04-04,66639
2015-04-05,66639
2015-04-06,63404
2015-04-07,63404
2015-04-08,63404
2015-04-09,63404
2015-04-10,63404
2015-04-11,63404
2015-04-12,63404
2015-04-13,63404
2015-04-14,63404
2015-04-15,63404
2015-04-16,63404
2015-04-17,63404
2015-04-18,63404
2015-04-19,63404
2015-04-20,63404
2015-04-21,63404
2015-04-22,63404
2015-04-23,63404
2015-04-24,63404
2015-04-25,63404
2015-04-26,60279
2015-04-27,60279
2015-04-28,60279
2015-04-29,60279
2015-04-30,60279
2015-05-01,60279
2015-05-02,60279
2015-05-03,60279
2015-05-04,60279
2015-05-05,60279
2015-05-06,60279
2015-05-07,60279
2015-05-08,60279
2015-05-09,60279
2015-05-10,60279
2015-05-11,60279
2015-05-12,60279
2015-05-13,60279
2015-05-14,60279
2015-05-15,57315
2015-05-16,57315
2015-05-17,57315
2015-05-18,57315
2015-05-19,57315
2015-05-20,57315
2015-05-21,57315
2015-05-22,57315
2015-05-23,57315
2015-05-24,57315
2015-05-25,57315
2015-05-26,57315
2015-05-27,57315
2015-05-28,54573
2015-05-29,54573
2015-05-30,54573
2015-05-31,54573
2015-06-01,54573
2015-06-02,54573
2015-06-03,54573
2015-06-04,54573
2015-06-05,54573
2015-06-06,51880
2015-06-07,51880
2015-06-08,51880
2015-06-09,51880
2015-06-10,51880
2015-06-11,51880
2015-06-12,51880
2015-06-13,51880
2015-06-14,51880
2015-06-15,51880
2015-06-16,49493
2015-06-17,49493
2015-06-18,49493
2015-06-19,49493
2015-06-20,49493
2015-06-21,49493
2015-06-22,49493
2015-06-23,49493
2015-06-24,49493
2015-06-25,49493
2015-06-26,47071
2015-06-27,47071
2015-06-28,47071
2015-06-29,47071
2015-06-30,47071
2015-07-01,47071
2015-07-02,47071
2015-07-03,47071
2015-07-04,47071
2015-07-05,44769
2015-07-06,44769
2015-07-07,44769
2015-07-08,44769
2015-07-09,44769
2015-07-10,44769
2015-07-11,44769
2015-07-12,44769
2015-07-13,44769
2015-07-14,42633
2015-07-15,42633
2015-07-16,42633
2015-07-17,42633
2015-07-18,42633
2015-07-19,42633
2015-07-20,42633
2015-07-21,42633
2015-07-22,40542
2015-07-23,40542
2015-07-24,40542
2015-07-25,40542
2015-07-26,40542
2015-07-27,40542
2015-07-28,40542
2015-07-29,40542
2015-07-30,38553
2015-07-31,38553
2015-08-01,38553
2015-08-02,38553
2015-08-03,38553
2015-08-04,38553
2015-08-05,38553
2015-08-06,36648
2015-08-07,36648
2015-08-08,36648
2015-08-09,36648
2015-08-10,36648
2015-08-11,36648
2015-08-12,36648
2015-08-13,34867
2015-08-14,34867
2015-08-15,34867
2015-08-16,34867
2015-08-17,34867
2015-08-18,34867
2015-08-19,33134
2015-08-20,33134
2015-08-21,33134
2015-08-22,33134
2015-08-23,33134
2015-08-24,33134
2015-08-25,33134
2015-08-26,31536
2015-08-27,31536
2015-08-28,31536
2015-08-29,31536
2015-08-30,31536
2015-08-31,31536
2015-09-01,31536
2015-09-02,31536
2015-09-03,29994
2015-09-04,29994
2015-09-05,29994
2015-09-06,29994
2015-09-07,29994
2015-09-08,29994
2015-09-09,29994
2015-09-10,29994
2015-09-11,28526
2015-09-12,28526
2015-09-13,28526
2015-09-14,28526
2015-09-15,28526
2015-09-16,28526
2015-09-17,28526
2015-09-18,28526
2015-09-19,27139
2015-09-20,27139
2015-09-21,27139
2015-09-22,27139
2015-09-23,27139
2015-09-24,27139
2015-09-25,27139
2015-09-27,25812
2015-09-28,25812
2015-09-29,25812
2015-09-30,25812
2015-10-05,24568
2015-10-06,24568
2015-10-07,24568
2015-10-08,24568
2015-10-09,24568
2015-10-10,24568
2015-10-11,24568
2015-10-12,24568
2015-10-13,23370
2015-10-14,23370
2015-10-15,23370
2015-10-16,23370
2015-10-17,23370
2015-10-18,23370
2015-10-19,23370
2015-10-20,22253
2015-10-22,22253
2015-10-23,22253
2015-10-24,22253
2015-10-25,22253
2015-10-26,22253
2015-10-27,22253
2015-10-29,21173
2015-10-30,21173
2015-10-31,21173
2015-11-01,21173
2015-11-02,21173
2015-11-03,21173
2015-11-04,20130
2015-11-05,20130
2015-11-06,20130
2015-11-07,20130
2015-11-08,20130
2015-11-09,20130
2015-11-10,20130
2015-11-11,19160
2015-11-12,19160
2015-11-13,19160
2015-11-14,19160
2015-11-15,19160
2015-11-16,19160
2015-11-17,19160
2015-11-18,19160
2015-11-19,18246
2015-11-20,18246
2015-11-21,18246
2015-11-22,18246
2015-11-23,18246
2015-11-24,18246
2015-11-25,18246
2015-11-26,18246
2015-11-27,17349
2015-11-28,17349
2015-11-29,17349
2015-11-30,17349
2015-12-01,17349
2015-12-02,17349
2015-12-03,17349
2015-12-04,17349
