date_obj,Oyster%20pearls price
2015-03-26,434
2015-03-27,434
2015-03-28,434
2015-03-29,447
2015-03-30,447
2015-03-31,447
2015-04-01,447
2015-04-02,447
2015-04-03,447
2015-04-04,447
2015-04-05,447
2015-04-06,447
2015-04-07,447
2015-04-08,466
2015-04-09,466
2015-04-10,466
2015-04-11,466
2015-04-12,466
2015-04-13,466
2015-04-14,466
2015-04-15,466
2015-04-16,486
2015-04-17,486
2015-04-18,486
2015-04-19,486
2015-04-20,486
2015-04-21,486
2015-04-22,486
2015-04-23,486
2015-04-24,486
2015-04-25,508
2015-04-26,508
2015-04-27,508
2015-04-28,508
2015-04-29,508
2015-04-30,508
2015-05-01,508
2015-05-02,508
2015-05-03,508
2015-05-04,508
2015-05-05,528
2015-05-06,528
2015-05-07,528
2015-05-08,528
2015-05-09,528
2015-05-10,528
2015-05-11,528
2015-05-12,528
2015-05-13,528
2015-05-14,551
2015-05-15,551
2015-05-16,551
2015-05-17,551
2015-05-18,551
2015-05-19,551
2015-05-20,551
2015-05-21,551
2015-05-22,551
2015-05-23,551
2015-05-24,560
2015-05-25,560
2015-05-26,560
2015-05-27,560
2015-05-28,560
2015-05-29,560
2015-05-30,578
2015-05-31,578
2015-06-01,578
2015-06-02,578
2015-06-03,578
2015-06-04,578
2015-06-05,578
2015-06-06,582
2015-06-07,582
2015-06-08,582
2015-06-09,582
2015-06-10,582
2015-06-11,582
2015-06-12,594
2015-06-13,594
2015-06-14,594
2015-06-15,594
2015-06-16,594
2015-06-17,594
2015-06-18,594
2015-06-19,622
2015-06-20,622
2015-06-21,622
2015-06-22,622
2015-06-23,622
2015-06-24,622
2015-06-25,622
2015-06-26,621
2015-06-27,621
2015-06-28,621
2015-06-29,621
2015-06-30,621
2015-07-01,621
2015-07-02,621
2015-07-03,630
2015-07-04,630
2015-07-05,630
2015-07-06,630
2015-07-07,630
2015-07-08,630
2015-07-09,630
2015-07-10,621
2015-07-11,621
2015-07-12,621
2015-07-13,621
2015-07-14,621
2015-07-15,621
2015-07-16,621
2015-07-17,613
2015-07-18,613
2015-07-19,613
2015-07-20,613
2015-07-21,613
2015-07-22,613
2015-07-23,613
2015-07-24,599
2015-07-25,599
2015-07-26,599
2015-07-27,599
2015-07-28,599
2015-07-29,599
2015-07-30,607
2015-07-31,607
2015-08-01,607
2015-08-02,607
2015-08-03,607
2015-08-04,607
2015-08-05,611
2015-08-06,611
2015-08-07,611
2015-08-08,611
2015-08-09,611
2015-08-10,611
2015-08-11,620
2015-08-12,620
2015-08-13,620
2015-08-14,620
2015-08-15,620
2015-08-16,620
2015-08-17,620
2015-08-18,629
2015-08-19,629
2015-08-20,629
2015-08-21,629
2015-08-22,629
2015-08-23,629
2015-08-24,631
2015-08-25,631
2015-08-26,631
2015-08-27,631
2015-08-28,631
2015-08-29,631
2015-08-30,631
2015-08-31,631
2015-09-01,631
2015-09-02,631
2015-09-03,631
2015-09-04,631
2015-09-05,631
2015-09-06,631
2015-09-07,631
2015-09-08,652
2015-09-09,652
2015-09-10,652
2015-09-11,652
2015-09-12,652
2015-09-13,652
2015-09-14,652
2015-09-15,660
2015-09-16,660
2015-09-17,660
2015-09-18,660
2015-09-19,660
2015-09-20,660
2015-09-21,660
2015-09-22,663
2015-09-23,663
2015-09-24,663
2015-09-25,663
2015-09-27,663
2015-09-28,663
2015-09-29,663
2015-09-30,663
2015-10-05,663
2015-10-06,663
2015-10-07,663
2015-10-08,675
2015-10-09,675
2015-10-10,675
2015-10-11,675
2015-10-12,675
2015-10-13,675
2015-10-14,675
2015-10-15,675
2015-10-16,666
2015-10-17,666
2015-10-18,666
2015-10-19,666
2015-10-20,666
2015-10-22,666
2015-10-23,666
2015-10-24,665
2015-10-25,665
2015-10-26,665
2015-10-27,665
2015-10-29,665
2015-10-30,665
2015-10-31,664
2015-11-01,664
2015-11-02,664
2015-11-03,664
2015-11-04,664
2015-11-05,664
2015-11-06,664
2015-11-07,664
2015-11-08,664
2015-11-09,667
2015-11-10,667
2015-11-11,667
2015-11-12,667
2015-11-13,667
2015-11-14,667
2015-11-15,667
2015-11-16,667
2015-11-17,667
2015-11-18,674
2015-11-19,674
2015-11-20,674
2015-11-21,674
2015-11-22,674
2015-11-23,674
2015-11-24,674
2015-11-25,674
2015-11-26,687
2015-11-27,687
2015-11-28,687
2015-11-29,687
2015-11-30,687
2015-12-01,687
2015-12-02,687
2015-12-03,687
2015-12-04,680
2015-12-05,680
2015-12-06,680
2015-12-07,680
2015-12-08,680
2015-12-09,680
2015-12-10,674
2015-12-11,674
2015-12-12,674
2015-12-13,674
2015-12-14,674
2015-12-15,674
2015-12-16,674
2015-12-17,674
2015-12-18,681
2015-12-19,681
2015-12-20,681
2015-12-21,681
2015-12-22,681
2015-12-23,681
2015-12-24,681
2015-12-25,682
2015-12-26,682
2015-12-27,682
2015-12-28,682
2015-12-29,682
2015-12-30,682
2015-12-31,682
2016-01-01,682
2016-01-02,682
2016-01-03,682
2016-01-04,682
2016-01-05,682
2016-01-06,685
2016-01-07,685
2016-01-08,685
2016-01-09,685
2016-01-10,685
2016-01-11,685
2016-01-12,674
2016-01-13,674
2016-01-14,674
2016-01-15,674
2016-01-16,674
2016-01-17,674
2016-01-18,666
2016-01-19,666
2016-01-20,666
2016-01-21,666
2016-01-22,666
2016-01-23,666
2016-01-24,669
2016-01-25,669
2016-01-26,669
2016-01-27,669
2016-01-28,669
2016-01-29,669
2016-01-30,674
2016-01-31,674
2016-02-01,674
2016-02-02,674
2016-02-03,674
