date_obj,Ham%20gloves price
2015-03-26,4393
2015-03-27,4393
2015-03-28,4177
2015-03-29,4177
2015-03-30,3968
2015-03-31,3968
2015-04-01,3777
2015-04-02,3777
2015-04-03,3588
2015-04-04,3588
2015-04-05,3408
2015-04-06,3408
2015-04-07,3237
2015-04-08,3237
2015-04-09,3237
2015-04-10,3079
2015-04-11,3079
2015-04-12,2960
2015-04-13,2960
2015-04-14,2960
2015-04-15,2815
2015-04-16,2815
2015-04-17,2815
2015-04-18,2674
2015-04-19,2674
2015-04-20,2674
2015-04-21,2540
2015-04-22,2540
2015-04-23,2417
2015-04-24,2417
2015-04-25,2301
2015-04-26,2301
2015-04-27,2185
2015-04-28,2185
2015-04-29,2185
2015-04-30,2075
2015-05-01,2075
2015-05-02,1971
2015-05-03,1971
2015-05-04,1971
2015-05-05,1872
2015-05-06,1872
2015-05-07,1778
2015-05-08,1778
2015-05-09,1733
2015-05-10,1733
2015-05-11,1667
2015-05-12,1667
2015-05-13,1583
2015-05-14,1583
2015-05-15,1512
2015-05-16,1512
2015-05-17,1478
2015-05-18,1478
2015-05-19,1447
2015-05-20,1447
2015-05-21,1447
2015-05-22,1410
2015-05-23,1410
2015-05-24,1386
2015-05-25,1386
2015-05-26,1358
2015-05-27,1358
2015-05-28,1343
2015-05-29,1343
2015-05-30,1292
2015-05-31,1292
2015-06-01,1227
2015-06-02,1227
2015-06-03,1178
2015-06-04,1178
2015-06-05,1123
2015-06-06,1123
2015-06-07,1067
2015-06-08,1067
2015-06-09,1013
2015-06-10,1013
2015-06-11,962
2015-06-12,962
2015-06-13,918
2015-06-14,918
2015-06-15,890
2015-06-16,890
2015-06-17,850
2015-06-18,850
2015-06-19,807
2015-06-20,807
2015-06-21,783
2015-06-22,783
2015-06-23,767
2015-06-24,767
2015-06-25,760
2015-06-26,760
2015-06-27,779
2015-06-28,779
2015-06-29,778
2015-06-30,778
2015-07-01,801
2015-07-02,801
2015-07-03,824
2015-07-04,824
2015-07-05,860
2015-07-06,860
2015-07-07,890
2015-07-08,890
2015-07-09,907
2015-07-10,907
2015-07-11,923
2015-07-12,923
2015-07-13,919
2015-07-14,919
2015-07-15,932
2015-07-16,932
2015-07-17,947
2015-07-18,947
2015-07-19,964
2015-07-20,964
2015-07-21,985
2015-07-22,1003
2015-07-23,1003
2015-07-24,996
2015-07-25,996
2015-07-26,1010
2015-07-27,1010
2015-07-28,1034
2015-07-29,1038
2015-07-30,1038
2015-07-31,1044
2015-08-01,1044
2015-08-02,1031
2015-08-03,1031
2015-08-04,1028
2015-08-05,1028
2015-08-06,1007
2015-08-07,1007
2015-08-08,1015
2015-08-09,1015
2015-08-10,1007
2015-08-11,1007
2015-08-12,1019
2015-08-13,1019
2015-08-14,1022
2015-08-15,1022
2015-08-16,1024
2015-08-17,1024
2015-08-18,1028
2015-08-19,1028
2015-08-20,1023
2015-08-21,1023
2015-08-22,1012
2015-08-23,1012
2015-08-24,996
2015-08-25,996
2015-08-26,996
2015-08-27,965
2015-08-28,965
2015-08-29,961
2015-08-30,961
2015-08-31,961
2015-09-01,955
2015-09-02,955
2015-09-03,955
2015-09-04,953
2015-09-05,953
2015-09-06,953
2015-09-07,953
2015-09-08,953
2015-09-09,949
2015-09-10,949
2015-09-11,911
2015-09-12,911
2015-09-13,868
2015-09-14,868
2015-09-15,839
2015-09-16,839
2015-09-17,816
2015-09-18,816
2015-09-19,799
2015-09-20,799
2015-09-21,799
2015-09-22,785
2015-09-23,785
2015-09-24,785
2015-09-25,776
2015-09-27,780
2015-09-28,780
2015-09-29,783
2015-09-30,783
2015-10-05,768
2015-10-06,766
2015-10-07,766
2015-10-08,766
2015-10-09,756
2015-10-10,756
2015-10-11,749
2015-10-12,749
2015-10-13,749
2015-10-14,766
2015-10-15,766
2015-10-16,771
2015-10-17,771
2015-10-18,771
2015-10-19,765
2015-10-20,765
2015-10-22,766
2015-10-23,766
2015-10-24,763
2015-10-25,763
2015-10-26,761
2015-10-27,761
2015-10-29,770
2015-10-30,770
2015-10-31,802
2015-11-01,802
2015-11-02,802
2015-11-03,828
2015-11-04,828
2015-11-05,828
2015-11-06,823
2015-11-07,823
2015-11-08,824
2015-11-09,824
2015-11-10,824
2015-11-11,817
2015-11-12,817
2015-11-13,817
2015-11-14,820
2015-11-15,820
2015-11-16,847
2015-11-17,847
2015-11-18,847
2015-11-19,874
2015-11-20,874
2015-11-21,874
2015-11-22,900
2015-11-23,900
2015-11-24,900
2015-11-25,937
2015-11-26,937
2015-11-27,982
2015-11-28,982
2015-11-29,1019
2015-11-30,1019
2015-12-01,1061
2015-12-02,1061
2015-12-03,1096
2015-12-04,1096
2015-12-05,1096
2015-12-06,1117
2015-12-07,1117
2015-12-08,1131
2015-12-09,1131
2015-12-10,1153
2015-12-11,1153
2015-12-12,1178
2015-12-13,1178
2015-12-14,1176
2015-12-15,1176
2015-12-16,1184
2015-12-17,1184
2015-12-18,1205
2015-12-19,1205
2015-12-20,1211
2015-12-21,1211
2015-12-22,1230
2015-12-23,1230
2015-12-24,1257
2015-12-25,1257
2015-12-26,1288
2015-12-27,1309
2015-12-28,1309
2015-12-29,1337
2015-12-30,1337
2015-12-31,1327
2016-01-01,1327
2016-01-02,1338
2016-01-03,1362
2016-01-04,1362
2016-01-05,1392
2016-01-06,1392
2016-01-07,1395
2016-01-08,1395
2016-01-09,1393
2016-01-10,1393
