date_obj,Kitchen%20knife price
2016-01-05,6365
2016-01-06,6365
2016-01-07,6365
2016-01-08,6365
2016-01-09,6365
2016-01-10,6365
2016-01-11,6365
2016-01-12,6365
2016-01-13,6365
2016-01-14,6365
2016-01-15,6365
2016-01-16,6365
2016-01-17,6365
2016-01-18,6365
2016-01-19,6365
2016-01-20,6365
2016-01-21,6365
2016-01-22,6365
2016-01-23,6365
2016-01-24,6365
2016-01-25,6365
2016-01-26,6365
2016-01-27,6365
2016-01-28,6365
2016-01-29,6365
2016-01-30,6365
2016-01-31,6365
2016-02-01,6365
2016-02-02,6365
2016-02-03,6365
2016-02-04,6365
2016-02-05,6365
2016-02-06,6365
2016-02-07,6365
2016-02-08,6365
2016-02-09,6365
2016-02-10,6365
2016-02-11,6365
2016-02-12,6365
2016-02-13,6365
2016-02-14,6365
2016-02-15,6365
2016-02-16,6365
2016-02-17,6365
2016-02-18,6365
2016-02-19,6365
2016-02-20,6365
2016-02-21,6365
2016-02-22,6365
2016-02-23,6365
2016-02-24,6365
2016-02-25,6365
2016-02-26,6365
2016-02-27,6365
2016-02-28,6365
2016-02-29,6365
2016-03-01,6365
2016-03-02,6365
2016-03-03,6365
2016-03-04,6365
2016-03-05,6365
2016-03-06,6365
2016-03-07,6365
2016-03-08,6365
2016-03-09,6365
2016-03-10,6365
2016-03-11,6365
2016-03-12,6365
2016-03-13,6365
2016-03-14,6365
2016-03-15,6365
2016-03-16,6365
2016-03-17,6365
2016-03-18,6365
2016-03-19,6365
2016-03-20,6365
2016-03-21,6365
2016-03-22,6365
2016-03-23,6365
2016-03-24,6365
2016-03-25,6365
2016-03-26,6365
2016-03-27,6365
2016-03-28,6365
2016-03-29,6365
2016-03-30,6365
2016-03-31,6365
2016-04-01,6365
2016-04-02,6365
2016-04-03,6365
2016-04-04,6365
2016-04-05,6365
2016-04-06,6365
2016-04-07,6365
2016-04-08,6365
2016-04-09,6365
2016-04-10,6365
2016-04-11,6365
2016-04-12,6365
2016-04-13,6365
2016-04-14,6365
2016-04-15,6365
2016-04-16,6365
2016-04-17,6365
2016-04-18,6365
2016-04-19,6365
2016-04-20,6365
2016-04-21,6365
2016-04-22,6365
2016-04-23,6365
2016-04-24,6365
2016-04-25,6365
2016-04-26,6365
2016-04-27,6365
2016-04-28,6365
2016-04-29,6365
2016-04-30,6365
2016-05-01,6365
2016-05-02,6365
2016-05-03,6365
2016-05-04,6365
2016-05-05,6365
2016-05-06,6365
2016-05-07,6365
2016-05-08,6365
2016-05-09,6365
2016-05-10,6365
2016-05-11,6365
2016-05-12,6365
2016-05-13,6365
2016-05-14,6365
2016-05-15,6365
2016-05-16,6365
