date_obj,Armadyl%20page%204 price
2015-03-26,243102
2015-03-27,243102
2015-03-28,244812
2015-03-29,244812
2015-03-30,241651
2015-03-31,241651
2015-04-01,235897
2015-04-02,235897
2015-04-03,230248
2015-04-04,230248
2015-04-05,221969
2015-04-06,221969
2015-04-07,215618
2015-04-08,215618
2015-04-09,206713
2015-04-10,206713
2015-04-11,198830
2015-04-12,198830
2015-04-13,196079
2015-04-14,196079
2015-04-15,194284
2015-04-16,194284
2015-04-17,190632
2015-04-18,190632
2015-04-19,194566
2015-04-20,194566
2015-04-21,194566
2015-04-22,203922
2015-04-23,203922
2015-04-24,214119
2015-04-25,214119
2015-04-26,224742
2015-04-27,224742
2015-04-28,235942
2015-04-29,235942
2015-04-30,247338
2015-05-01,247338
2015-05-02,250717
2015-05-03,250717
2015-05-04,240779
2015-05-05,240779
2015-05-06,229026
2015-05-07,229026
2015-05-08,217574
2015-05-09,217574
2015-05-10,206695
2015-05-11,206695
2015-05-12,196360
2015-05-13,196360
2015-05-14,187337
2015-05-15,187337
2015-05-16,180129
2015-05-17,171860
2015-05-18,171860
2015-05-19,164333
2015-05-20,164333
2015-05-21,164333
2015-05-22,157284
2015-05-23,157284
2015-05-24,152501
2015-05-25,152501
2015-05-26,154897
2015-05-27,154897
2015-05-28,160055
2015-05-29,160055
2015-05-30,157904
2015-05-31,157904
2015-06-01,161548
2015-06-02,161548
2015-06-03,169578
2015-06-04,169578
2015-06-05,178057
2015-06-06,186641
2015-06-07,186641
2015-06-08,195838
2015-06-09,205107
2015-06-10,212834
2015-06-11,212834
2015-06-12,223470
2015-06-13,231404
2015-06-14,231404
2015-06-15,233270
2015-06-16,233270
2015-06-17,235094
2015-06-18,233162
2015-06-19,233162
2015-06-20,238622
2015-06-21,238622
2015-06-22,232953
2015-06-23,232953
2015-06-24,228837
2015-06-25,228837
2015-06-26,221356
2015-06-27,221356
2015-06-28,223842
2015-06-29,223842
2015-06-30,232112
2015-07-01,242669
2015-07-02,242669
