date_obj,Fremennik%20black%20cloak price
2015-03-04,9558
2015-03-05,9558
2015-03-06,9558
2015-03-07,9087
2015-03-08,9087
2015-03-09,9087
2015-03-10,9087
2015-03-11,9087
2015-03-12,8666
2015-03-13,8666
2015-03-14,8666
2015-03-15,8666
2015-03-16,8666
2015-03-17,8232
2015-03-18,8232
2015-03-19,8232
2015-03-20,8232
2015-03-21,8232
2015-03-22,7825
2015-03-23,7825
2015-03-24,7825
2015-03-25,7825
2015-03-26,7825
2015-03-27,7825
2015-03-28,7433
2015-03-29,7433
2015-03-30,7433
2015-03-31,7433
2015-04-01,7064
2015-04-02,7064
2015-04-03,7064
2015-04-04,7064
2015-04-05,6716
2015-04-06,6716
2015-04-07,6716
2015-04-08,6716
2015-04-09,6385
2015-04-10,6385
2015-04-11,6385
2015-04-12,6385
2015-04-13,6070
2015-04-14,6070
2015-04-15,6070
2015-04-16,6070
2015-04-17,6070
2015-04-18,5770
2015-04-19,5770
2015-04-20,5770
2015-04-21,5770
2015-04-22,5770
2015-04-23,5481
2015-04-24,5481
2015-04-25,5481
2015-04-26,5481
2015-04-27,5481
2015-04-28,5206
2015-04-29,5206
2015-04-30,5206
2015-05-01,5206
2015-05-02,5206
2015-05-03,4948
2015-05-04,4948
2015-05-05,4948
2015-05-06,4948
2015-05-07,4777
2015-05-08,4777
2015-05-09,4777
2015-05-10,4777
2015-05-11,4777
2015-05-12,4547
2015-05-13,4547
2015-05-14,4547
2015-05-15,4547
2015-05-16,4547
2015-05-17,4405
2015-05-18,4405
2015-05-19,4405
2015-05-20,4405
2015-05-21,4405
2015-05-22,4405
2015-05-23,4190
2015-05-24,4190
2015-05-25,4190
2015-05-26,4190
2015-05-27,4190
2015-05-28,3990
2015-05-29,3990
2015-05-30,3990
2015-05-31,3795
2015-06-01,3795
2015-06-02,3795
2015-06-03,3795
2015-06-04,3758
2015-06-05,3758
2015-06-06,3758
2015-06-07,3619
2015-06-08,3619
2015-06-09,3619
2015-06-10,3474
2015-06-11,3474
2015-06-12,3474
2015-06-13,3474
2015-06-14,3345
2015-06-15,3345
2015-06-16,3345
2015-06-17,3182
2015-06-18,3182
2015-06-19,3182
2015-06-20,3027
2015-06-21,3027
2015-06-22,3027
2015-06-23,2924
2015-06-24,2924
2015-06-25,2924
2015-06-26,2787
2015-06-27,2787
2015-06-28,2787
2015-06-29,2675
2015-06-30,2675
2015-07-01,2675
2015-07-02,2675
2015-07-03,2712
2015-07-04,2712
2015-07-05,2712
2015-07-06,2712
2015-07-07,2684
2015-07-08,2684
2015-07-09,2684
2015-07-10,2767
2015-07-11,2767
2015-07-12,2767
2015-07-13,2795
2015-07-14,2795
2015-07-15,2795
2015-07-16,2888
2015-07-17,2888
2015-07-18,2888
2015-07-19,2851
2015-07-20,2851
2015-07-21,2851
2015-07-22,2772
2015-07-23,2772
2015-07-24,2772
2015-07-25,2822
2015-07-26,2822
2015-07-27,2822
2015-07-28,2719
2015-07-29,2719
2015-07-30,2719
2015-07-31,2602
2015-08-01,2602
2015-08-02,2472
2015-08-03,2472
2015-08-04,2472
2015-08-05,2422
2015-08-06,2422
2015-08-07,2422
2015-08-08,2313
2015-08-09,2313
2015-08-10,2209
2015-08-11,2209
2015-08-12,2209
2015-08-13,2191
2015-08-14,2191
2015-08-15,2191
2015-08-16,2235
2015-08-17,2235
2015-08-18,2235
2015-08-19,2212
2015-08-20,2212
2015-08-21,2212
2015-08-22,2159
2015-08-23,2159
2015-08-24,2159
2015-08-25,2109
2015-08-26,2109
2015-08-27,2006
2015-08-28,2006
2015-08-29,1906
2015-08-30,1906
2015-08-31,1906
2015-09-02,1810
2015-09-07,1633
2015-09-08,1633
2015-09-10,1552
2015-09-14,1468
2015-09-16,1452
2015-09-22,1370
2015-09-23,1365
2015-09-24,1365
2015-09-25,1365
2015-09-27,1311
2015-09-28,1311
2015-09-29,1311
2015-09-30,1294
2015-10-05,1230
2015-10-06,1168
2015-10-07,1168
2015-10-08,1148
2015-10-09,1148
2015-10-10,1148
2015-10-11,1097
2015-10-12,1097
2015-10-13,1097
