date_obj,Gold%20leaf price
2015-03-26,115542
2015-03-27,115542
2015-03-28,115542
2015-03-29,115542
2015-03-30,115542
2015-03-31,115542
2015-04-01,115542
2015-04-02,115542
2015-04-03,115542
2015-04-04,115542
2015-04-05,115542
2015-04-06,115542
2015-04-07,120821
2015-04-08,120821
2015-04-09,120821
2015-04-10,120821
2015-04-11,120821
2015-04-12,120821
2015-04-13,120821
2015-04-14,120821
2015-04-15,120821
2015-04-16,120821
2015-04-17,120821
2015-04-18,120821
2015-04-19,120821
2015-04-20,120821
2015-04-21,120821
2015-04-22,120821
2015-04-23,120821
2015-04-24,120821
2015-04-25,120821
2015-04-26,120821
2015-04-27,120821
2015-04-28,126106
2015-04-29,126106
2015-04-30,126106
2015-05-01,126106
2015-05-02,126106
2015-05-03,126106
2015-05-04,126106
2015-05-05,126106
2015-05-06,126106
2015-05-07,126106
2015-05-08,126106
2015-05-09,126106
2015-05-10,126106
2015-05-11,126106
2015-05-12,126106
2015-05-13,126106
2015-05-14,126106
2015-05-15,126106
2015-05-16,126106
2015-05-17,126106
2015-05-18,126106
2015-05-19,126106
2015-05-20,126106
2015-05-21,131733
2015-05-22,131733
2015-05-23,131733
2015-05-24,131733
2015-05-25,131733
2015-05-26,131733
2015-05-27,131733
2015-05-28,131733
2015-05-29,131733
2015-05-30,131733
2015-05-31,131733
2015-06-01,131733
2015-06-02,131733
2015-06-03,131733
2015-06-04,131733
2015-06-05,131733
2015-06-06,131733
2015-06-07,131733
2015-06-08,137234
2015-06-09,137234
2015-06-10,137234
2015-06-11,137234
2015-06-12,137234
2015-06-13,137234
2015-06-14,137234
2015-06-15,137234
2015-06-16,137234
2015-06-17,137234
2015-06-18,137234
2015-06-19,137234
2015-06-20,137234
2015-06-21,137234
2015-06-22,137234
2015-06-23,137234
2015-06-24,137234
2015-06-25,137234
2015-06-26,137242
2015-06-27,137242
2015-06-28,137242
2015-06-29,137242
2015-06-30,137242
2015-07-01,137242
2015-07-02,137242
2015-07-03,137242
2015-07-04,137242
2015-07-05,137242
2015-07-06,137242
2015-07-07,137242
2015-07-08,137242
2015-07-09,137242
2015-07-10,137242
2015-07-11,137242
2015-07-12,137242
2015-07-13,137242
2015-07-14,135581
2015-07-15,135581
2015-07-16,135581
2015-07-17,135581
2015-07-18,135581
2015-07-19,135581
2015-07-20,135581
2015-07-21,135581
2015-07-22,135581
2015-07-23,135581
2015-07-24,135581
2015-07-25,135581
2015-07-26,135581
2015-07-27,135581
2015-07-28,135581
2015-07-29,135581
2015-07-30,134343
2015-07-31,134343
2015-08-01,134343
2015-08-02,134343
2015-08-03,134343
2015-08-04,134343
2015-08-05,134343
2015-08-06,134343
2015-08-07,134343
2015-08-08,134343
2015-08-09,134343
2015-08-10,134343
2015-08-11,134343
2015-08-12,134343
2015-08-13,134343
2015-08-14,134343
2015-08-15,134343
2015-08-16,134343
2015-08-17,134343
2015-08-18,134343
2015-08-19,134343
2015-08-20,134343
2015-08-21,134343
2015-08-22,134343
2015-08-23,137088
2015-08-24,137088
2015-08-25,137088
2015-08-26,137088
2015-08-27,137088
2015-08-28,137088
2015-08-29,137088
2015-08-30,137088
2015-08-31,137088
2015-09-01,137088
2015-09-02,137088
2015-09-03,137088
2015-09-04,137088
2015-09-05,137088
2015-09-06,137088
2015-09-07,137088
2015-09-08,137088
2015-09-09,137088
2015-09-10,137088
2015-09-11,137088
2015-09-12,137088
2015-09-13,137503
2015-09-14,137503
2015-09-15,137503
2015-09-16,137503
2015-09-17,137503
2015-09-18,137503
2015-09-19,137503
2015-09-20,137503
2015-09-21,137503
2015-09-22,137503
2015-09-23,137503
2015-09-24,137503
2015-09-25,137503
2015-09-27,137503
2015-09-28,137503
2015-09-29,137503
2015-09-30,137503
2015-10-05,137503
2015-10-06,137503
2015-10-07,137503
2015-10-08,138947
2015-10-09,138947
