date_obj,Blue%20firelighter price
2015-03-26,401
2015-03-27,401
2015-03-28,382
2015-03-29,382
2015-03-30,364
2015-03-31,364
2015-04-01,364
2015-04-02,347
2015-04-03,347
2015-04-04,330
2015-04-05,330
2015-04-06,314
2015-04-07,314
2015-04-08,300
2015-04-09,300
2015-04-10,287
2015-04-11,287
2015-04-12,273
2015-04-13,273
2015-04-14,273
2015-04-15,260
2015-04-16,260
2015-04-17,260
2015-04-18,248
2015-04-19,248
2015-04-20,248
2015-04-21,236
2015-04-22,236
2015-04-23,225
2015-04-24,225
2015-04-25,225
2015-04-26,214
2015-04-27,214
2015-04-28,204
2015-04-29,204
2015-04-30,194
2015-05-01,194
2015-05-02,185
2015-05-03,185
2015-05-04,176
2015-05-05,176
2015-05-06,168
2015-05-07,168
2015-05-08,168
2015-05-09,159
2015-05-10,159
2015-05-11,159
2015-05-12,151
2015-05-13,151
2015-05-14,143
2015-05-15,143
2015-05-16,143
2015-05-17,135
2015-05-18,135
2015-05-19,135
2015-05-20,133
2015-05-21,133
2015-05-22,133
2015-05-23,127
2015-05-24,127
2015-05-25,120
2015-05-26,120
2015-05-27,120
2015-05-28,114
2015-05-29,108
2015-05-30,102
2015-05-31,102
2015-06-01,96
2015-06-02,96
2015-06-03,91
2015-06-04,91
2015-06-05,86
2015-06-06,86
2015-06-07,81
2015-06-08,81
2015-06-09,76
2015-06-10,76
2015-06-11,74
2015-06-12,74
2015-06-13,71
2015-06-14,71
2015-06-15,73
2015-06-16,73
2015-06-17,76
2015-06-18,76
2015-06-19,79
2015-06-20,79
2015-06-21,81
2015-06-22,81
2015-06-23,84
2015-06-24,84
2015-06-25,86
2015-06-26,86
2015-06-27,85
2015-06-28,85
2015-06-29,83
2015-06-30,83
2015-07-01,79
2015-07-02,79
2015-07-03,77
2015-07-04,77
2015-07-05,74
2015-07-06,74
2015-07-07,70
2015-07-08,70
2015-07-09,67
2015-07-10,67
2015-07-11,64
2015-07-12,64
2015-07-13,62
2015-07-14,62
2015-07-15,60
2015-07-16,60
2015-07-17,58
2015-07-18,58
2015-07-19,58
2015-07-20,55
2015-07-21,55
2015-07-22,52
2015-07-23,52
2015-07-24,49
2015-07-25,49
2015-07-26,46
2015-07-27,46
2015-07-28,43
2015-07-29,43
2015-07-30,40
2015-07-31,40
2015-08-01,40
2015-08-02,38
2015-08-03,38
2015-08-04,38
2015-08-05,36
2015-08-06,36
2015-08-07,34
2015-08-08,34
2015-08-09,32
2015-08-10,32
2015-08-11,32
2015-08-12,32
2015-08-13,32
2015-08-14,32
2015-08-15,32
2015-08-16,32
2015-08-17,33
2015-08-18,33
2015-08-19,33
2015-08-20,33
2015-08-21,34
2015-08-22,34
2015-08-23,34
2015-08-24,33
2015-08-25,33
2015-08-26,33
2015-08-27,32
2015-08-28,32
2015-08-29,32
2015-08-30,32
2015-08-31,32
2015-09-01,32
2015-09-02,32
2015-09-03,32
2015-09-04,33
2015-09-05,33
2015-09-06,33
2015-09-07,35
2015-09-08,35
2015-09-09,35
2015-09-10,36
2015-09-11,36
2015-09-12,36
2015-09-13,36
2015-09-14,35
2015-09-15,35
2015-09-16,35
2015-09-17,35
2015-09-18,36
2015-09-19,36
2015-09-20,37
2015-09-21,37
2015-09-22,37
2015-09-23,39
2015-09-24,39
2015-09-25,39
2015-09-27,41
2015-09-28,44
2015-09-29,44
2015-09-30,45
2015-10-05,51
2015-10-06,51
2015-10-07,51
2015-10-08,53
2015-10-09,53
2015-10-10,53
2015-10-11,54
2015-10-12,54
2015-10-13,54
2015-10-14,57
2015-10-15,57
2015-10-16,59
2015-10-17,59
2015-10-18,59
2015-10-19,60
2015-10-20,60
2015-10-22,58
2015-10-23,55
2015-10-24,55
2015-10-25,56
2015-10-26,56
2015-10-27,56
2015-10-29,57
2015-10-30,57
2015-10-31,59
2015-11-01,59
2015-11-02,58
2015-11-03,58
2015-11-04,58
2015-11-05,58
2015-11-06,58
2015-11-07,58
2015-11-08,58
2015-11-09,58
2015-11-10,59
2015-11-11,59
2015-11-12,59
2015-11-13,59
2015-11-14,59
2015-11-15,58
2015-11-16,58
2015-11-17,58
2015-11-18,58
2015-11-19,58
2015-11-20,59
2015-11-21,59
2015-11-22,61
2015-11-23,61
2015-11-24,61
2015-11-25,64
2015-11-26,64
2015-11-27,64
2015-11-28,68
2015-11-29,68
2015-11-30,71
2015-12-01,71
2015-12-02,71
2015-12-03,75
2015-12-04,75
2015-12-05,75
2015-12-06,75
2015-12-07,75
2015-12-08,75
2015-12-09,76
2015-12-10,76
2015-12-11,77
2015-12-12,77
2015-12-13,77
2015-12-14,77
2015-12-15,78
2015-12-16,78
2015-12-17,81
2015-12-18,81
2015-12-19,81
2015-12-20,81
2015-12-21,79
2015-12-22,79
2015-12-23,78
2015-12-24,78
2015-12-25,78
2015-12-26,77
2015-12-27,77
2015-12-28,76
2015-12-29,76
2015-12-30,73
2015-12-31,73
2016-01-01,70
2016-01-02,70
2016-01-03,68
2016-01-04,68
2016-01-05,67
2016-01-06,67
2016-01-07,67
2016-01-08,67
2016-01-09,63
2016-01-10,63
2016-01-11,60
2016-01-12,57
2016-01-13,57
2016-01-14,54
2016-01-15,54
2016-01-16,52
2016-01-17,52
2016-01-18,50
2016-01-19,50
2016-01-20,48
2016-01-21,48
2016-01-22,47
2016-01-23,47
2016-01-24,47
2016-01-25,47
2016-01-26,47
2016-01-27,47
2016-01-28,47
2016-01-29,48
2016-01-30,48
2016-01-31,47
2016-02-01,47
2016-02-02,48
2016-02-03,48
2016-02-04,46
2016-02-05,46
2016-02-06,45
2016-02-07,45
2016-02-08,45
2016-02-09,45
2016-02-10,45
2016-02-11,45
2016-02-12,47
2016-02-13,49
2016-02-14,49
2016-02-15,51
2016-02-16,51
2016-02-17,53
2016-02-18,53
2016-02-19,55
2016-02-20,55
2016-02-21,55
2016-02-22,55
2016-02-23,56
2016-02-24,56
2016-02-25,58
2016-02-26,58
2016-02-27,58
2016-02-28,58
2016-02-29,59
2016-03-01,59
2016-03-02,60
2016-03-03,60
2016-03-04,59
2016-03-05,59
2016-03-06,59
2016-03-07,59
2016-03-08,59
2016-03-09,59
2016-03-10,57
2016-03-11,57
2016-03-12,58
2016-03-13,58
2016-03-14,59
2016-03-15,59
2016-03-16,61
2016-03-17,61
2016-03-18,61
2016-03-19,61
2016-03-20,64
2016-03-21,64
2016-03-22,67
2016-03-23,69
2016-03-24,69
2016-03-25,72
2016-03-26,72
2016-03-27,74
2016-03-28,75
2016-03-29,75
2016-03-30,75
2016-03-31,75
2016-04-01,77
2016-04-02,77
2016-04-03,80
2016-04-04,80
2016-04-05,82
2016-04-06,80
2016-04-07,80
2016-04-08,84
2016-04-09,87
2016-04-10,87
2016-04-11,87
2016-04-12,86
2016-04-13,86
2016-04-14,85
2016-04-15,84
2016-04-16,84
2016-04-17,83
2016-04-18,82
2016-04-19,82
2016-04-20,85
2016-04-21,85
2016-04-22,82
2016-04-23,83
2016-04-24,84
2016-04-25,84
2016-04-26,84
2016-04-27,83
2016-04-28,83
2016-04-29,86
2016-04-30,87
2016-05-01,87
2016-05-02,90
2016-05-03,94
2016-05-04,94
2016-05-05,97
2016-05-06,97
2016-05-07,102
2016-05-08,102
2016-05-09,107
2016-05-10,111
2016-05-11,111
2016-05-12,114
2016-05-13,116
2016-05-14,116
2016-05-15,119
2016-05-16,119
2016-05-17,124
2016-05-18,131
2016-05-19,131
2016-05-22,136
2016-05-23,141
2016-05-24,149
2016-05-25,149
2016-05-26,151
2016-05-27,150
2016-05-28,150
2016-05-29,153
2016-05-30,153
2016-05-31,156
2016-06-01,162
2016-06-02,162
2016-06-03,169
2016-06-04,169
2016-06-05,169
2016-06-06,174
2016-06-07,174
2016-06-08,176
2016-06-09,177
2016-06-10,172
2016-06-11,172
2016-06-12,176
2016-06-13,176
2016-06-14,178
2016-06-15,178
2016-06-16,180
2016-06-17,182
2016-06-18,182
2016-06-19,182
2016-06-20,182
2016-06-21,176
2016-06-22,167
2016-06-23,159
2016-06-24,159
2016-06-25,153
2016-06-26,153
2016-06-27,149
2016-06-28,142
2016-06-29,134
2016-06-30,130
2016-07-01,127
2016-07-02,127
2016-07-03,123
2016-07-04,120
2016-07-05,120
2016-07-06,118
2016-07-07,113
2016-07-08,115
