date_obj,Willow%20blackjack(o) price
2015-03-05,500
2015-03-06,500
2015-03-07,500
2015-03-08,500
2015-03-09,500
2015-03-10,500
2015-03-11,500
2015-03-12,500
2015-03-13,500
2015-03-14,500
2015-03-15,500
2015-03-16,500
2015-03-17,500
2015-03-18,500
2015-03-19,500
2015-03-20,500
2015-03-21,500
2015-03-22,500
2015-03-23,500
2015-03-24,500
2015-03-25,500
2015-03-26,500
2015-03-27,500
2015-03-28,500
2015-03-29,500
2015-03-30,500
2015-03-31,500
2015-04-01,500
2015-04-02,500
2015-04-03,500
2015-04-04,500
2015-04-05,500
2015-04-06,500
2015-04-07,500
2015-04-08,500
2015-04-09,500
2015-04-10,500
2015-04-11,500
2015-04-12,500
2015-04-13,500
2015-04-14,500
2015-04-15,500
2015-04-16,500
2015-04-17,500
2015-04-18,500
2015-04-19,500
2015-04-20,500
2015-04-21,500
2015-04-22,500
2015-04-23,500
2015-04-24,500
2015-04-25,500
2015-04-26,500
2015-04-27,500
2015-04-28,500
2015-04-29,500
2015-04-30,500
2015-05-01,500
2015-05-02,500
2015-05-03,500
2015-05-04,500
2015-05-05,500
2015-05-06,500
2015-05-07,500
2015-05-08,500
2015-05-09,500
2015-05-10,500
2015-05-11,500
2015-05-12,500
2015-05-13,500
2015-05-14,500
2015-05-15,500
2015-05-16,500
2015-05-17,500
2015-05-18,500
2015-05-19,500
2015-05-20,500
2015-05-21,500
2015-05-22,500
2015-05-23,500
2015-05-24,500
2015-05-25,500
2015-05-26,500
2015-05-27,500
2015-05-28,522
2015-05-29,522
2015-05-30,522
2015-05-31,522
2015-06-01,522
2015-06-02,522
2015-06-03,522
2015-06-04,522
2015-06-05,522
2015-06-06,522
2015-06-07,522
2015-06-08,522
2015-06-09,522
2015-06-10,522
2015-06-11,522
2015-06-12,522
2015-06-13,522
2015-06-14,522
2015-06-15,522
2015-06-16,522
2015-06-17,522
2015-06-18,522
2015-06-19,522
2015-06-20,522
2015-06-21,522
2015-06-22,522
2015-06-23,522
2015-06-24,522
2015-06-25,522
2015-06-26,522
2015-06-27,522
2015-06-28,522
2015-06-29,522
2015-06-30,522
2015-07-01,522
2015-07-02,522
2015-07-03,522
2015-07-04,522
2015-07-05,522
2015-07-06,522
2015-07-07,522
