date_obj,Saradomin%20d'hide%20shield price
2019-04-11,20000
2019-04-11,20977
2019-04-12,21978
2019-04-13,23035
2019-04-14,24154
2019-04-15,1000000
2019-04-16,1000000
2019-04-17,1000000
2019-04-18,1009574
2019-04-19,1009574
2019-04-20,1035437
2019-04-21,1035437
2019-04-22,1035437
2019-04-23,1028607
2019-04-24,1028607
2019-04-25,1028607
2019-04-26,1044532
2019-04-27,1044532
2019-04-28,1044532
2019-04-29,1092345
2019-04-30,1092345
2019-05-01,1092345
2019-05-02,1119947
2019-05-03,1119947
2019-05-04,1146958
2019-05-05,1146958
2019-05-06,1146958
2019-05-07,1118213
2019-05-08,1118213
2019-05-09,1118213
2019-05-10,1062302
2019-05-11,1062302
2019-05-12,1009186
2019-05-13,1009186
2019-05-14,959434
2019-05-15,959434
2019-05-16,931560
2019-05-17,931560
2019-05-18,931560
2019-05-19,911543
2019-05-20,911543
2019-05-21,911543
2019-05-22,890247
2019-05-23,890247
2019-05-24,890247
2019-05-25,871231
2019-05-26,871231
2019-05-27,871231
2019-05-28,859863
2019-05-29,859863
2019-05-30,859863
2019-05-31,852786
2019-06-01,852786
2019-06-02,852786
2019-06-03,850675
2019-06-04,850675
2019-06-05,852552
2019-06-06,852552
2019-06-07,852552
2019-06-08,842212
2019-06-09,842212
2019-06-10,842212
2019-06-11,812416
2019-06-12,812416
2019-06-13,812416
2019-06-14,780714
2019-06-15,780714
2019-06-16,780714
2019-06-17,749290
2019-06-18,749290
2019-06-19,749290
2019-06-20,728814
2019-06-21,728814
2019-06-22,728814
2019-06-23,695996
2019-06-24,695996
2019-06-25,695996
2019-06-26,662031
2019-06-27,662031
2019-06-28,641976
2019-06-29,641976
2019-06-30,619937
2019-07-01,619937
2019-07-02,605960
2019-07-03,605960
2019-07-04,605960
2019-07-05,603039
2019-07-06,603039
2019-07-07,597097
2019-07-08,597097
2019-07-09,582998
2019-07-10,582998
2019-07-11,582998
2019-07-12,577511
2019-07-13,577511
2019-07-14,585805
2019-07-15,585805
2019-07-16,585805
2019-07-17,592059
2019-07-18,592059
2019-07-19,592059
2019-07-20,579790
2019-07-21,579790
2019-07-22,579790
2019-07-23,574404
2019-07-24,574404
2019-07-25,574404
2019-07-26,561396
2019-07-27,561396
2019-07-28,561396
2019-07-29,558402
2019-07-30,558402
2019-07-31,547738
2019-08-01,547738
2019-08-02,547738
2019-08-03,538503
2019-08-04,538503
2019-08-05,538503
2019-08-06,536771
2019-08-07,536771
2019-08-08,536771
2019-08-09,537934
2019-08-10,537934
2019-08-11,537934
2019-08-12,537409
2019-08-13,537409
2019-08-14,537409
2019-08-15,528247
2019-08-16,528247
2019-08-17,528247
2019-08-18,532950
2019-08-19,532950
2019-08-20,532950
2019-08-21,537792
2019-08-22,537792
2019-08-23,543329
2019-08-24,543329
2019-08-24,543329
2019-08-25,547174
2019-08-25,547174
2019-08-26,547174
