date_obj,Lean%20snail price
2015-03-26,44000
2015-03-27,44000
2015-03-28,44000
2015-03-29,44000
2015-03-30,44000
2015-03-31,44000
2015-04-01,44000
2015-04-02,44000
2015-04-03,44000
2015-04-04,44000
2015-04-05,44000
2015-04-06,44000
2015-04-07,44000
2015-04-08,44000
2015-04-09,44000
2015-04-10,41852
2015-04-11,41852
2015-04-12,41852
2015-04-13,41852
2015-04-14,41852
2015-04-15,41852
2015-04-16,41852
2015-04-17,41852
2015-04-18,41852
2015-04-19,41852
2015-04-20,41852
2015-04-21,41852
2015-04-22,41852
2015-04-23,41852
2015-04-24,41852
2015-04-25,41852
2015-04-26,41852
2015-04-27,41852
2015-04-28,41852
2015-04-29,41852
2015-04-30,41852
2015-05-01,41852
2015-05-02,41852
2015-05-03,41852
2015-05-04,41852
2015-05-05,41852
2015-05-06,41852
2015-05-07,41852
2015-05-08,41852
2015-05-09,41852
2015-05-10,41852
2015-05-11,41852
2015-05-12,39790
2015-05-13,39790
2015-05-14,39790
2015-05-15,39790
2015-05-16,39790
2015-05-17,39790
2015-05-18,39790
2015-05-19,39790
2015-05-20,39790
2015-05-21,39790
2015-05-22,39790
2015-05-23,39790
2015-05-24,39790
2015-05-25,39790
2015-05-26,39790
2015-05-27,39790
2015-05-28,39790
2015-05-29,39790
2015-05-30,39790
2015-05-31,39790
2015-06-01,39790
2015-06-02,39790
2015-06-03,39790
2015-06-04,37845
2015-06-05,37845
2015-06-06,37845
2015-06-07,37845
2015-06-08,37845
2015-06-09,37845
2015-06-10,37845
2015-06-11,37845
2015-06-12,37845
2015-06-13,37845
2015-06-14,37845
2015-06-15,37845
2015-06-16,37845
2015-06-17,37845
2015-06-18,37845
2015-06-19,37845
2015-06-20,37845
2015-06-21,37845
2015-06-22,37845
2015-06-23,37845
2015-06-24,37845
2015-06-25,37845
2015-06-26,37845
2015-06-27,37845
2015-06-28,35986
2015-06-29,35986
2015-06-30,35986
2015-07-01,35986
2015-07-02,35986
2015-07-03,35986
2015-07-04,35986
2015-07-05,35986
2015-07-06,35986
2015-07-07,35986
2015-07-08,35986
2015-07-09,35986
2015-07-10,35986
2015-07-11,35986
2015-07-12,35986
2015-07-13,35986
2015-07-14,35986
2015-07-15,35986
2015-07-16,35986
2015-07-17,35986
2015-07-18,35986
2015-07-19,34260
2015-07-20,34260
2015-07-21,34260
2015-07-22,34260
2015-07-23,34260
2015-07-24,34260
2015-07-25,34260
2015-07-26,34260
2015-07-27,34260
2015-07-28,34260
2015-07-29,34260
2015-07-30,34260
2015-07-31,34260
2015-08-01,34260
2015-08-02,34260
2015-08-03,34260
2015-08-04,34260
2015-08-05,34260
2015-08-06,34260
2015-08-07,34260
2015-08-08,34260
2015-08-09,32600
2015-08-10,32600
2015-08-11,32600
2015-08-12,32600
2015-08-13,32600
2015-08-14,32600
2015-08-15,32600
2015-08-16,32600
2015-08-17,32600
2015-08-18,32600
2015-08-19,32600
2015-08-20,32600
2015-08-21,32600
2015-08-22,32600
2015-08-23,32600
2015-08-24,32600
2015-08-25,32600
2015-08-26,32600
2015-08-27,32600
2015-08-28,32600
2015-08-29,32600
2015-08-30,32600
2015-08-31,32600
2015-09-01,32600
2015-09-02,31059
2015-09-03,31059
2015-09-04,31059
2015-09-05,31059
2015-09-06,31059
2015-09-07,31059
2015-09-08,31059
2015-09-09,31059
2015-09-10,31059
2015-09-11,31059
2015-09-12,31059
2015-09-13,31059
2015-09-14,31059
2015-09-15,31059
2015-09-16,31059
2015-09-17,31059
2015-09-18,31059
2015-09-19,31059
2015-09-20,31059
2015-09-21,31059
2015-09-22,31059
2015-09-23,31059
2015-09-24,31059
2015-09-25,31059
2015-09-27,31059
2015-09-28,31059
2015-09-29,31059
2015-09-30,29532
2015-10-05,29532
2015-10-06,29532
2015-10-07,29532
2015-10-08,29532
2015-10-09,29532
2015-10-10,29532
2015-10-11,29532
2015-10-12,29532
2015-10-13,29532
2015-10-14,29532
2015-10-15,29532
2015-10-16,29532
2015-10-17,29532
2015-10-18,29532
2015-10-19,29532
2015-10-20,29532
2015-10-22,29532
2015-10-23,29532
2015-10-24,29532
2015-10-25,29532
2015-10-26,29532
2015-10-27,29532
2015-10-29,29532
2015-10-30,29532
2015-10-31,29532
2015-11-01,29532
2015-11-02,29532
2015-11-03,29532
2015-11-04,28110
2015-11-05,28110
2015-11-06,28110
2015-11-07,28110
2015-11-08,28110
2015-11-09,28110
2015-11-10,28110
2015-11-11,28110
2015-11-12,28110
2015-11-13,28110
2015-11-14,28110
2015-11-15,28110
2015-11-16,28110
2015-11-17,28110
2015-11-18,28110
2015-11-19,28110
2015-11-20,28110
2015-11-21,28110
2015-11-22,28110
2015-11-23,28110
2015-11-24,28110
2015-11-25,28110
2015-11-26,28110
2015-11-27,28110
2015-11-28,28110
2015-11-29,28110
2015-11-30,28110
2015-12-01,28110
2015-12-02,28110
2015-12-03,28110
2015-12-04,28110
2015-12-05,28110
2015-12-06,28110
2015-12-07,28110
2015-12-08,28110
2015-12-09,26748
2015-12-10,26748
2015-12-11,26748
2015-12-12,26748
2015-12-13,26748
2015-12-14,26748
2015-12-15,26748
2015-12-16,26748
2015-12-17,26748
2015-12-18,26748
2015-12-19,26748
2015-12-20,26748
2015-12-21,26748
2015-12-22,26748
2015-12-23,26748
2015-12-24,26748
2015-12-25,26748
2015-12-26,26748
2015-12-27,26748
2015-12-28,26748
2015-12-29,26748
2015-12-30,26748
2015-12-31,26748
2016-01-01,26748
2016-01-02,26748
2016-01-03,26748
2016-01-04,26748
2016-01-05,26748
2016-01-06,26748
2016-01-07,25439
2016-01-08,25439
2016-01-09,25439
2016-01-10,25439
2016-01-11,25439
2016-01-12,25439
2016-01-13,25439
2016-01-14,25439
2016-01-15,25439
2016-01-16,25439
2016-01-17,25439
2016-01-18,25439
2016-01-19,25439
2016-01-20,25439
2016-01-21,24181
2016-01-22,24181
2016-01-23,24181
2016-01-24,24181
2016-01-25,24181
2016-01-26,24181
2016-01-27,24181
2016-01-28,24181
2016-01-29,24181
2016-01-30,24181
2016-01-31,24181
2016-02-01,24181
2016-02-02,24181
2016-02-03,24181
2016-02-04,24181
2016-02-05,24181
2016-02-06,24181
2016-02-07,24181
2016-02-08,24181
2016-02-09,24181
2016-02-10,24181
2016-02-11,22989
2016-02-12,22989
2016-02-13,22989
2016-02-14,22989
2016-02-15,22989
2016-02-16,22989
2016-02-17,22989
2016-02-18,22989
2016-02-19,22989
2016-02-20,22989
2016-02-21,22989
2016-02-22,22989
2016-02-23,22989
2016-02-24,22989
2016-02-25,22989
2016-02-26,22989
2016-02-27,22989
2016-02-28,22989
2016-02-29,21849
2016-03-01,21849
2016-03-02,21849
2016-03-03,21849
2016-03-04,21849
2016-03-05,21849
2016-03-06,21849
2016-03-07,21849
2016-03-08,21849
2016-03-09,21849
2016-03-10,21849
2016-03-11,21849
2016-03-12,21849
2016-03-13,21849
2016-03-14,21849
2016-03-15,21849
2016-03-16,21849
2016-03-17,21849
2016-03-18,21849
2016-03-19,21849
2016-03-20,20774
2016-03-21,20774
2016-03-22,20774
2016-03-23,20774
2016-03-24,20774
2016-03-25,20774
2016-03-26,20774
2016-03-27,20774
2016-03-28,20774
2016-03-29,20774
2016-03-30,20774
2016-03-31,20774
2016-04-01,20774
2016-04-02,20774
2016-04-03,20774
2016-04-04,20774
2016-04-05,20774
2016-04-06,20774
2016-04-07,19781
2016-04-08,19781
2016-04-09,19781
2016-04-10,19781
2016-04-11,19781
2016-04-12,19781
2016-04-13,19781
2016-04-14,19781
2016-04-15,19781
2016-04-16,19781
2016-04-17,19781
2016-04-18,19781
2016-04-19,19781
2016-04-20,19781
2016-04-21,19781
2016-04-22,19781
2016-04-23,19781
2016-04-24,19781
2016-04-25,18819
2016-04-26,18819
2016-04-27,18819
2016-04-28,18819
2016-04-29,18819
2016-04-30,18819
2016-05-01,18819
2016-05-02,18819
2016-05-03,18819
2016-05-04,18819
2016-05-05,18819
2016-05-06,18819
2016-05-07,18819
2016-05-08,18819
2016-05-09,18819
2016-05-10,18819
2016-05-11,18819
2016-05-12,18819
2016-05-13,18819
2016-05-14,18819
2016-05-15,18819
2016-05-16,17899
2016-05-17,17899
2016-05-18,17899
2016-05-19,17899
2016-05-22,17899
2016-05-23,17899
2016-05-24,17899
2016-05-25,17899
2016-05-26,17899
2016-05-27,17899
2016-05-28,17899
2016-05-29,17899
2016-05-30,17899
2016-05-31,17899
2016-06-01,17899
2016-06-02,17899
2016-06-03,17026
2016-06-04,17026
2016-06-05,17026
2016-06-06,17026
2016-06-07,17026
2016-06-08,17026
2016-06-09,17026
2016-06-10,17026
2016-06-11,17026
2016-06-12,17026
2016-06-13,17026
2016-06-14,17026
2016-06-15,17026
2016-06-16,17026
2016-06-17,17026
2016-06-18,17026
2016-06-19,17026
2016-06-20,17026
2016-06-21,17026
2016-06-22,17026
2016-06-23,16191
2016-06-24,16191
2016-06-25,16191
2016-06-26,16191
2016-06-27,16191
2016-06-28,16191
2016-06-29,16191
2016-06-30,16191
2016-07-01,16191
2016-07-02,16191
2016-07-03,16191
2016-07-04,16191
2016-07-05,16191
2016-07-06,16191
2016-07-07,16191
2016-07-08,16191
2016-07-09,16191
2016-07-10,15420
