date_obj,Dragon%20bolts%20(unf) price
2018-01-03,5250
2018-01-04,5497
2018-01-05,5404
2018-01-06,5133
2018-01-07,4876
2018-01-08,4632
2018-01-09,4400
2018-01-10,4180
2018-01-11,3971
2018-01-12,3772
2018-01-13,3583
2018-01-14,3403
2018-01-15,3232
2018-01-16,3070
2018-01-17,2916
2018-01-18,2770
2018-01-19,2631
2018-01-20,2499
2018-01-21,2374
2018-01-22,2255
2018-01-23,2142
2018-01-25,1932
2018-01-26,1835
2018-01-27,1743
2018-01-28,1655
2018-01-29,1572
2018-01-30,1493
2018-01-31,1418
2018-02-01,1347
2018-02-02,1279
2018-02-03,1215
2018-02-04,1154
2018-02-05,1096
2018-02-06,1041
2018-02-07,988
2018-02-08,938
2018-02-09,891
2018-02-10,854
2018-02-11,834
2018-02-12,836
2018-02-13,864
2018-02-14,908
2018-02-15,952
2018-02-16,999
2018-02-17,1049
2018-02-18,1102
2018-02-19,1158
2018-02-20,1216
2018-02-21,1277
2018-02-22,1341
2018-02-23,1409
2018-02-24,1480
2018-02-25,1554
2018-02-26,1632
2018-02-27,1714
2018-02-28,1800
2018-03-01,1890
2018-03-02,1985
2018-03-03,2085
2018-03-04,2168
2018-03-05,2210
2018-03-06,2152
2018-03-07,2096
2018-03-08,2048
2018-03-09,2022
2018-03-10,1994
2018-03-11,1982
2018-03-12,1921
2018-03-13,1835
2018-03-14,1745
2018-03-15,1657
2018-03-16,1574
2018-03-17,1499
2018-03-18,1505
2018-03-20,1540
2018-03-21,1616
2018-03-23,1722
2018-03-24,1747
2018-03-25,1764
2018-03-26,1766
2018-03-27,1701
2018-03-28,1675
2018-03-29,1713
2018-03-30,1735
2018-03-31,1760
2018-04-01,1804
2018-04-02,1838
2018-04-03,1922
2018-04-04,1965
2018-04-05,1967
2018-04-06,1970
2018-04-07,1887
2018-04-08,1882
2018-04-09,1935
2018-04-10,1944
2018-04-11,1956
2018-04-12,1980
2018-04-13,1965
2018-04-14,1975
2018-04-15,1957
2018-04-16,1982
2018-04-17,1983
2018-04-18,1986
2018-04-19,1972
2018-04-20,1984
2018-04-21,1995
2018-04-22,1971
2018-04-23,1980
2018-04-24,1999
2018-04-25,1998
2018-04-26,1996
2018-04-27,1994
2018-04-28,1987
2018-04-29,1986
2018-04-30,2006
2018-05-01,2009
2018-05-03,2000
2018-05-04,1989
2018-05-05,2008
2018-05-07,2043
2018-05-08,2035
2018-05-09,2081
2018-05-10,2150
2018-05-11,2183
2018-05-12,2144
2018-05-13,2117
2018-05-14,2067
2018-05-15,1994
2018-05-16,2004
2018-05-17,2036
2018-05-18,2049
2018-05-19,2057
2018-05-20,2063
2018-05-21,2077
2018-05-22,2092
2018-05-23,2084
2018-05-24,2082
2018-05-25,2076
2018-05-26,2088
2018-05-27,2098
2018-05-28,2090
2018-05-29,2065
2018-05-30,2024
2018-05-31,2026
2018-06-01,2031
2018-06-02,2013
2018-06-03,2027
2018-06-04,2039
2018-06-05,2044
2018-06-06,2011
2018-06-07,1974
2018-06-08,1876
2018-06-09,1791
2018-06-10,1702
2018-06-11,1640
2018-06-12,1659
2018-06-13,1605
2018-06-14,1558
2018-06-15,1550
2018-06-16,1515
2018-06-17,1512
2018-06-18,1528
2018-06-19,1518
2018-06-20,1519
2018-06-21,1545
2018-06-22,1533
2018-06-23,1533
2018-06-24,1539
2018-06-25,1558
2018-06-26,1563
2018-06-27,1535
2018-06-28,1532
2018-06-29,1526
2018-06-30,1535
2018-07-01,1533
2018-07-02,1534
2018-07-03,1539
2018-07-04,1539
2018-07-05,1540
2018-07-06,1532
2018-07-07,1541
2018-07-08,1528
2018-07-09,1540
2018-07-10,1544
2018-07-11,1539
2018-07-12,1512
2018-07-13,1504
2018-07-14,1547
2018-07-15,1557
2018-07-16,1562
2018-07-17,1553
2018-07-18,1531
2018-07-19,1535
2018-07-20,1544
2018-07-21,1536
2018-07-22,1534
2018-07-23,1530
2018-07-24,1542
2018-07-25,1543
2018-07-26,1536
2018-07-27,1529
2018-07-28,1528
2018-07-29,1552
2018-07-30,1535
2018-07-31,1534
2018-08-01,1537
2018-08-02,1536
2018-08-03,1542
2018-08-04,1545
2018-08-05,1532
2018-08-06,1535
2018-08-07,1533
2018-08-08,1510
2018-08-09,1495
2018-08-10,1465
2018-08-11,1427
2018-08-12,1444
2018-08-14,1470
2018-08-16,1476
2018-08-17,1473
2018-08-18,1488
2018-08-19,1480
2018-08-20,1463
2018-08-21,1461
2018-08-22,1472
2018-08-23,1481
2018-08-24,1475
2018-08-25,1480
2018-08-26,1462
2018-08-27,1465
2018-08-28,1461
2018-08-29,1460
2018-08-30,1468
2018-08-31,1471
2018-09-01,1466
2018-09-02,1480
2018-09-03,1476
2018-09-04,1479
2018-09-05,1480
2018-09-06,1471
2018-09-07,1467
2018-09-08,1464
2018-09-09,1476
2018-09-10,1496
2018-09-11,1503
2018-09-12,1496
2018-09-13,1477
2018-09-14,1460
2018-09-15,1467
2018-09-16,1469
2018-09-17,1462
2018-09-18,1467
2018-09-19,1465
2018-09-20,1477
2018-09-21,1482
2018-09-22,1477
2018-09-23,1466
2018-09-24,1478
2018-09-25,1482
2018-09-26,1483
2018-09-27,1483
2018-09-28,1480
2018-09-29,1476
2018-09-30,1481
2018-10-02,1536
2018-10-03,1555
2018-10-04,1549
2018-10-05,1542
2018-10-06,1557
2018-10-07,1584
2018-10-08,1594
2018-10-09,1585
2018-10-10,1573
2018-10-11,1574
2018-10-12,1558
2018-10-13,1567
2018-10-14,1565
2018-10-15,1576
2018-10-16,1584
2018-10-17,1589
2018-10-18,1602
2018-10-19,1587
2018-10-20,1581
2018-10-21,1584
2018-10-22,1588
2018-10-23,1590
2018-10-24,1590
2018-10-25,1582
