date_obj,Ugthanki%20meat price
2015-03-26,90
2015-03-27,90
2015-03-28,90
2015-03-29,90
2015-03-30,90
2015-03-31,90
2015-04-01,90
2015-04-02,90
2015-04-03,90
2015-04-04,90
2015-04-05,90
2015-04-06,90
2015-04-07,90
2015-04-08,90
2015-04-09,90
2015-04-10,90
2015-04-11,90
2015-04-12,90
2015-04-13,90
2015-04-14,90
2015-04-15,90
2015-04-16,90
2015-04-17,90
2015-04-18,90
2015-04-19,90
2015-04-20,90
2015-04-21,90
2015-04-22,90
2015-04-23,90
2015-04-24,90
2015-04-25,90
2015-04-26,90
2015-04-27,90
2015-04-28,90
2015-04-29,90
2015-04-30,90
2015-05-01,90
2015-05-02,90
2015-05-03,90
2015-05-04,90
2015-05-05,90
2015-05-06,90
2015-05-07,90
2015-05-08,90
2015-05-09,90
2015-05-10,90
2015-05-11,90
2015-05-12,90
2015-05-13,90
2015-05-14,90
2015-05-15,90
2015-05-16,90
2015-05-17,90
2015-05-18,90
2015-05-19,90
2015-05-20,90
2015-05-21,90
2015-05-22,90
2015-05-23,90
2015-05-24,90
2015-05-25,90
2015-05-26,90
2015-05-27,90
2015-05-28,90
2015-05-29,90
2015-05-30,90
2015-05-31,90
2015-06-01,90
2015-06-02,90
2015-06-03,90
2015-06-04,90
2015-06-05,90
2015-06-06,90
2015-06-07,90
2015-06-08,90
2015-06-09,90
2015-06-10,90
2015-06-11,90
2015-06-12,90
2015-06-13,90
2015-06-14,90
2015-06-15,90
2015-06-16,90
2015-06-17,90
2015-06-18,90
2015-06-19,90
2015-06-20,90
2015-06-21,90
2015-06-22,90
2015-06-23,90
2015-06-24,90
2015-06-25,90
2015-06-26,90
2015-06-27,90
2015-06-28,90
2015-06-29,90
2015-06-30,90
2015-07-01,90
2015-07-02,90
2015-07-03,90
2015-07-04,90
2015-07-05,90
2015-07-06,90
2015-07-07,90
2015-07-08,90
2015-07-09,90
2015-07-10,90
2015-07-11,90
2015-07-12,90
2015-07-13,90
2015-07-14,90
2015-07-15,90
2015-07-16,90
2015-07-17,90
2015-07-18,90
2015-07-19,90
2015-07-20,90
2015-07-21,90
2015-07-22,90
2015-07-23,90
2015-07-24,90
2015-07-25,90
2015-07-26,90
2015-07-27,90
2015-07-28,90
2015-07-29,90
2015-07-30,90
2015-07-31,90
2015-08-01,90
2015-08-02,90
2015-08-03,90
2015-08-04,90
2015-08-05,90
2015-08-06,90
2015-08-07,90
2015-08-08,90
2015-08-09,90
2015-08-10,90
2015-08-11,90
2015-08-12,90
2015-08-13,90
2015-08-14,90
2015-08-15,90
2015-08-16,90
2015-08-17,90
2015-08-18,90
2015-08-19,90
2015-08-20,90
2015-08-21,90
2015-08-22,90
2015-08-23,90
2015-08-24,90
