date_obj,Cabbage price
2015-03-26,103
2015-03-27,103
2015-03-28,98
2015-03-29,96
2015-03-30,97
2015-03-31,97
2015-04-01,99
2015-04-02,103
2015-04-03,106
2015-04-04,106
2015-04-05,102
2015-04-06,97
2015-04-07,92
2015-04-08,88
2015-04-09,89
2015-04-10,90
2015-04-11,91
2015-04-12,91
2015-04-13,88
2015-04-14,88
2015-04-15,90
2015-04-16,89
2015-04-17,88
2015-04-18,87
2015-04-19,88
2015-04-20,88
2015-04-21,84
2015-04-22,82
2015-04-23,79
2015-04-24,75
2015-04-25,72
2015-04-26,71
2015-04-27,72
2015-04-28,69
2015-04-29,69
2015-04-30,65
2015-05-01,64
2015-05-02,60
2015-05-03,60
2015-05-04,58
2015-05-05,57
2015-05-06,57
2015-05-07,55
2015-05-08,54
2015-05-09,53
2015-05-10,53
2015-05-11,53
2015-05-12,51
2015-05-13,51
2015-05-14,53
2015-05-15,54
2015-05-16,54
2015-05-17,54
2015-05-18,54
2015-05-19,54
2015-05-20,54
2015-05-21,53
2015-05-22,53
2015-05-23,55
2015-05-24,55
2015-05-25,55
2015-05-26,54
2015-05-27,52
2015-05-28,52
2015-05-29,50
2015-05-30,47
2015-05-31,44
2015-06-01,41
2015-06-02,41
2015-06-03,39
2015-06-04,37
2015-06-05,35
2015-06-06,33
2015-06-07,33
2015-06-08,33
2015-06-09,33
2015-06-10,31
2015-06-11,30
2015-06-12,32
2015-06-13,33
2015-06-14,33
2015-06-15,32
2015-06-16,30
2015-06-17,29
2015-06-18,28
2015-06-19,30
2015-06-20,31
2015-06-21,32
2015-06-22,34
2015-06-23,36
2015-06-24,38
2015-06-25,40
2015-06-26,41
2015-06-27,42
2015-06-28,42
2015-06-29,41
2015-06-30,43
2015-07-01,43
2015-07-02,43
2015-07-03,42
2015-07-04,41
2015-07-05,43
2015-07-06,44
2015-07-07,44
2015-07-08,43
2015-07-09,42
2015-07-10,41
2015-07-11,39
2015-07-12,39
2015-07-13,38
2015-07-14,37
2015-07-15,37
2015-07-16,37
2015-07-17,35
2015-07-18,35
2015-07-19,36
2015-07-20,35
2015-07-21,35
2015-07-22,35
2015-07-23,35
2015-07-24,35
2015-07-25,35
2015-07-26,34
2015-07-27,35
2015-07-28,34
2015-07-29,33
2015-07-30,34
2015-07-31,35
2015-08-01,36
2015-08-02,35
2015-08-03,34
2015-08-04,33
2015-08-05,32
2015-08-06,34
2015-08-07,36
2015-08-08,37
2015-08-09,37
2015-08-10,38
2015-08-11,40
2015-08-12,42
2015-08-13,44
2015-08-14,44
2015-08-15,44
2015-08-16,46
2015-08-17,45
2015-08-18,42
2015-08-19,43
2015-08-20,42
2015-08-21,43
2015-08-22,42
2015-08-23,41
2015-08-24,41
2015-08-25,41
2015-08-26,43
2015-08-27,43
2015-08-28,41
2015-08-29,40
2015-08-30,40
2015-08-31,39
2015-09-01,38
2015-09-02,38
2015-09-03,37
2015-09-04,37
2015-09-05,36
2015-09-06,36
2015-09-07,35
2015-09-08,34
2015-09-09,34
2015-09-10,36
2015-09-11,36
2015-09-12,36
2015-09-13,35
2015-09-14,37
2015-09-15,39
2015-09-16,41
2015-09-17,44
2015-09-18,47
2015-09-19,50
2015-09-20,53
2015-09-21,55
2015-09-22,57
2015-09-23,55
2015-09-24,55
2015-09-25,55
2015-09-27,53
2015-09-28,54
2015-09-29,52
2015-09-30,54
2015-10-05,52
2015-10-06,52
2015-10-07,51
2015-10-08,53
2015-10-09,53
2015-10-10,53
2015-10-11,51
2015-10-12,49
2015-10-13,48
2015-10-14,49
2015-10-15,50
2015-10-16,48
2015-10-17,48
2015-10-18,47
2015-10-19,45
2015-10-20,45
2015-10-22,43
2015-10-23,43
2015-10-24,41
2015-10-25,40
2015-10-26,39
2015-10-27,39
2015-10-29,42
2015-10-30,40
2015-10-31,40
2015-11-01,40
2015-11-02,40
2015-11-03,40
2015-11-04,39
2015-11-05,40
2015-11-06,41
2015-11-07,43
2015-11-08,42
2015-11-09,42
2015-11-10,42
2015-11-11,44
2015-11-12,43
2015-11-13,44
2015-11-14,46
2015-11-15,49
2015-11-16,49
2015-11-17,50
2015-11-18,52
2015-11-19,53
2015-11-20,54
2015-11-21,54
2015-11-22,55
2015-11-23,55
2015-11-24,53
2015-11-25,52
2015-11-26,52
2015-11-27,52
2015-11-28,51
2015-11-29,51
2015-11-30,53
2015-12-01,54
2015-12-02,56
2015-12-03,54
2015-12-04,51
2015-12-05,48
2015-12-06,45
2015-12-07,42
2015-12-08,42
2015-12-09,39
2015-12-10,39
2015-12-11,39
2015-12-12,41
2015-12-13,43
2015-12-14,43
2015-12-15,46
2015-12-16,49
2015-12-17,51
2015-12-18,53
2015-12-19,54
2015-12-20,55
2015-12-21,57
2015-12-22,58
2015-12-23,61
2015-12-24,64
2015-12-25,65
2015-12-26,61
2015-12-27,58
2015-12-28,55
2015-12-29,52
2015-12-30,49
2015-12-31,46
2016-01-01,44
2016-01-02,43
2016-01-03,40
2016-01-04,40
2016-01-05,41
2016-01-06,40
2016-01-07,42
2016-01-08,39
2016-01-09,37
2016-01-10,37
2016-01-11,37
2016-01-12,39
2016-01-13,41
2016-01-14,40
2016-01-15,39
2016-01-16,39
2016-01-17,38
2016-01-18,38
2016-01-19,36
2016-01-20,36
2016-01-21,38
2016-01-22,40
2016-01-23,41
2016-01-24,44
2016-01-25,46
2016-01-26,45
2016-01-27,44
2016-01-28,44
2016-01-29,43
2016-01-30,43
2016-01-31,42
2016-02-01,40
2016-02-02,40
2016-02-03,39
2016-02-04,37
2016-02-05,36
2016-02-06,37
2016-02-07,37
2016-02-08,37
2016-02-09,36
2016-02-10,37
2016-02-11,38
2016-02-12,39
2016-02-13,40
2016-02-14,40
2016-02-15,41
2016-02-16,44
2016-02-17,46
2016-02-18,47
2016-02-19,49
2016-02-20,48
2016-02-21,49
2016-02-22,49
2016-02-23,48
2016-02-24,49
2016-02-25,52
2016-02-26,52
2016-02-27,53
2016-02-28,52
2016-02-29,55
