date_obj,Gold%20amulet%20(u) price
2015-03-26,174
2015-03-27,174
2015-03-28,174
2015-03-29,168
2015-03-30,168
2015-03-31,168
2015-04-01,167
2015-04-02,167
2015-04-03,167
2015-04-04,167
2015-04-05,167
2015-04-06,167
2015-04-07,171
2015-04-08,171
2015-04-09,171
2015-04-10,171
2015-04-11,176
2015-04-12,176
2015-04-13,176
2015-04-14,184
2015-04-15,184
2015-04-16,184
2015-04-17,187
2015-04-18,187
2015-04-19,187
2015-04-20,188
2015-04-21,188
2015-04-22,188
2015-04-23,195
2015-04-24,195
2015-04-25,195
2015-04-26,199
2015-04-27,199
2015-04-28,199
2015-04-29,197
2015-04-30,197
2015-05-01,197
2015-05-02,199
2015-05-03,199
2015-05-04,199
2015-05-05,204
2015-05-06,204
2015-05-07,204
2015-05-08,196
2015-05-09,196
2015-05-10,196
2015-05-11,188
2015-05-12,188
2015-05-13,188
2015-05-14,181
2015-05-15,181
2015-05-16,181
2015-05-17,184
2015-05-18,184
2015-05-19,184
2015-05-20,184
2015-05-21,193
2015-05-22,193
2015-05-23,193
2015-05-24,196
2015-05-25,196
2015-05-26,196
2015-05-27,196
2015-05-28,196
2015-05-29,196
2015-05-30,200
2015-05-31,200
2015-06-01,200
2015-06-02,194
2015-06-03,194
2015-06-04,194
2015-06-05,199
2015-06-06,199
2015-06-07,209
2015-06-08,209
2015-06-09,209
2015-06-10,220
2015-06-11,220
2015-06-12,220
2015-06-13,226
2015-06-14,226
2015-06-15,226
2015-06-16,229
2015-06-17,229
2015-06-18,219
2015-06-19,219
2015-06-20,209
2015-06-21,209
2015-06-22,209
2015-06-23,206
2015-06-24,206
2015-06-25,206
2015-06-26,215
2015-06-27,215
2015-06-28,215
2015-06-29,209
2015-06-30,209
2015-07-01,209
2015-07-02,213
2015-07-03,213
2015-07-04,213
2015-07-05,214
2015-07-06,214
2015-07-07,214
2015-07-08,208
2015-07-09,208
2015-07-10,208
2015-07-11,208
2015-07-12,208
2015-07-13,208
2015-07-14,214
2015-07-15,214
2015-07-16,214
2015-07-17,218
2015-07-18,218
2015-07-19,218
2015-07-20,220
2015-07-21,220
2015-07-22,224
2015-07-23,224
2015-07-24,224
2015-07-25,225
2015-07-26,225
2015-07-27,225
2015-07-28,236
2015-07-29,236
2015-07-30,236
2015-07-31,241
2015-08-01,241
2015-08-02,232
2015-08-03,232
2015-08-04,232
2015-08-05,228
2015-08-06,228
2015-08-07,228
2015-08-08,226
2015-08-09,226
2015-08-10,229
2015-08-11,229
2015-08-12,229
2015-08-13,229
2015-08-14,225
2015-08-15,225
2015-08-16,225
2015-08-17,225
2015-08-18,225
2015-08-19,230
2015-08-20,230
2015-08-21,230
2015-08-22,230
2015-08-23,230
2015-08-24,231
2015-08-25,231
2015-08-26,231
2015-08-27,231
2015-08-28,225
2015-08-29,225
2015-08-30,225
2015-08-31,225
2015-09-01,215
2015-09-02,215
2015-09-03,215
2015-09-04,215
2015-09-05,215
2015-09-06,214
2015-09-07,214
2015-09-08,214
2015-09-09,214
2015-09-10,214
2015-09-11,212
2015-09-12,212
2015-09-13,212
2015-09-14,212
2015-09-15,216
2015-09-16,216
2015-09-17,216
2015-09-18,216
2015-09-19,216
2015-09-20,216
2015-09-21,221
2015-09-22,221
2015-09-23,221
2015-09-24,221
2015-09-25,221
2015-09-27,232
2015-09-28,232
2015-09-29,232
2015-09-30,242
2015-10-05,253
2015-10-06,253
2015-10-07,253
2015-10-08,265
2015-10-09,265
2015-10-10,265
2015-10-11,265
2015-10-12,270
2015-10-13,270
2015-10-14,270
2015-10-15,270
2015-10-16,261
2015-10-17,261
2015-10-18,261
2015-10-19,261
2015-10-20,255
2015-10-22,255
2015-10-23,255
2015-10-24,248
2015-10-25,248
2015-10-26,248
2015-10-27,250
2015-10-29,250
2015-10-30,250
2015-10-31,260
2015-11-01,260
2015-11-02,260
2015-11-03,260
2015-11-04,252
2015-11-05,252
2015-11-06,252
2015-11-07,252
2015-11-08,251
2015-11-09,251
2015-11-10,251
2015-11-11,251
2015-11-12,252
2015-11-13,252
2015-11-14,252
2015-11-15,252
2015-11-16,263
2015-11-17,263
2015-11-18,263
2015-11-19,263
2015-11-20,272
2015-11-21,272
2015-11-22,272
2015-11-23,272
2015-11-24,281
2015-11-25,281
2015-11-26,281
2015-11-27,294
2015-11-28,294
2015-11-29,294
2015-11-30,291
2015-12-01,291
2015-12-02,291
2015-12-03,291
2015-12-04,293
2015-12-05,293
2015-12-06,293
2015-12-07,293
2015-12-08,300
2015-12-09,300
2015-12-10,300
2015-12-11,312
2015-12-12,312
2015-12-13,312
2015-12-14,312
2015-12-15,303
2015-12-16,303
2015-12-17,303
2015-12-18,292
2015-12-19,292
2015-12-20,292
2015-12-21,278
2015-12-22,278
2015-12-23,278
2015-12-24,271
2015-12-25,271
2015-12-26,271
2015-12-27,263
2015-12-28,263
2015-12-29,263
2015-12-30,272
2015-12-31,272
2016-01-01,272
2016-01-02,272
2016-01-03,273
2016-01-04,273
2016-01-05,273
2016-01-06,275
2016-01-07,275
2016-01-08,275
2016-01-09,284
2016-01-10,284
2016-01-11,284
2016-01-12,293
2016-01-13,293
2016-01-14,289
2016-01-15,289
2016-01-16,289
2016-01-17,288
2016-01-18,288
2016-01-19,288
2016-01-20,281
2016-01-21,281
2016-01-22,281
2016-01-23,275
2016-01-24,275
2016-01-25,277
2016-01-26,277
2016-01-27,277
2016-01-28,281
2016-01-29,281
2016-01-30,281
2016-01-31,281
2016-02-01,281
2016-02-02,281
2016-02-03,281
2016-02-04,281
2016-02-05,281
2016-02-06,272
2016-02-07,272
2016-02-08,272
2016-02-09,261
2016-02-10,261
2016-02-11,261
2016-02-12,251
2016-02-13,251
2016-02-14,251
2016-02-15,243
2016-02-16,243
2016-02-17,243
2016-02-18,245
2016-02-19,245
2016-02-20,245
2016-02-21,251
2016-02-22,251
2016-02-23,251
2016-02-24,261
2016-02-25,261
2016-02-26,261
2016-02-27,262
2016-02-28,262
2016-02-29,262
2016-03-01,259
2016-03-02,259
2016-03-03,259
2016-03-04,269
2016-03-05,269
2016-03-06,271
2016-03-07,271
2016-03-08,271
2016-03-09,282
2016-03-10,282
2016-03-11,282
2016-03-12,279
2016-03-13,279
2016-03-14,279
2016-03-15,286
2016-03-16,286
2016-03-17,290
2016-03-18,290
2016-03-19,285
2016-03-20,285
2016-03-21,275
2016-03-22,275
2016-03-23,265
2016-03-24,265
2016-03-25,255
2016-03-26,255
2016-03-27,252
2016-03-28,252
2016-03-29,247
2016-03-30,247
2016-03-31,247
2016-04-01,242
2016-04-02,242
2016-04-03,253
2016-04-04,253
2016-04-05,253
2016-04-06,259
2016-04-07,259
2016-04-08,260
2016-04-09,260
2016-04-10,266
2016-04-11,266
2016-04-12,266
2016-04-13,272
2016-04-14,272
2016-04-15,272
2016-04-16,283
2016-04-17,283
2016-04-18,270
2016-04-19,270
2016-04-20,270
2016-04-21,271
2016-04-22,271
2016-04-23,271
2016-04-24,269
2016-04-25,269
2016-04-26,267
2016-04-27,267
2016-04-28,268
2016-04-29,268
2016-04-30,261
2016-05-01,261
2016-05-02,255
2016-05-03,255
2016-05-04,258
2016-05-05,258
2016-05-06,258
2016-05-07,257
2016-05-08,257
2016-05-09,248
2016-05-10,248
2016-05-11,244
2016-05-12,244
2016-05-13,246
2016-05-14,246
2016-05-15,252
2016-05-16,252
2016-05-17,247
2016-05-18,247
2016-05-19,243
2016-05-22,238
2016-05-23,238
2016-05-24,238
2016-05-25,244
2016-05-26,244
2016-05-27,236
2016-05-28,236
2016-05-29,239
2016-05-30,239
2016-05-31,249
2016-06-01,249
2016-06-02,262
2016-06-03,262
2016-06-04,251
2016-06-05,251
2016-06-06,239
2016-06-07,239
2016-06-08,233
2016-06-09,233
2016-06-10,235
2016-06-11,235
2016-06-12,240
2016-06-13,240
2016-06-14,242
2016-06-15,242
2016-06-16,233
2016-06-17,230
2016-06-18,230
2016-06-19,226
2016-06-20,226
2016-06-21,229
2016-06-22,229
2016-06-23,234
2016-06-24,234
2016-06-25,233
2016-06-26,233
2016-06-27,233
2016-06-28,233
2016-06-29,233
2016-06-30,234
2016-07-01,234
2016-07-02,234
2016-07-03,234
2016-07-04,236
2016-07-05,236
2016-07-06,235
2016-07-07,235
2016-07-08,235
2016-07-09,235
2016-07-10,234
2016-07-11,234
2016-07-12,236
2016-07-13,236
2016-07-14,236
2016-07-15,236
2016-07-16,235
2016-07-17,235
2016-07-18,231
2016-07-23,227
2016-07-24,225
2016-07-25,225
2016-07-26,229
2016-07-27,229
2016-07-28,229
2016-07-29,230
2016-07-30,230
2016-07-31,230
2016-08-01,225
2016-08-02,225
2016-08-03,222
2016-08-04,222
2016-08-05,222
2016-08-06,218
2016-08-07,218
2016-08-08,211
2016-08-09,211
2016-08-10,212
2016-08-11,212
2016-08-12,210
2016-08-13,210
2016-08-14,208
2016-08-15,208
2016-08-16,207
2016-08-17,207
2016-08-18,207
2016-08-19,215
2016-08-20,215
2016-08-21,215
2016-08-22,216
2016-08-23,216
2016-08-24,213
2016-08-25,213
2016-08-26,213
2016-08-28,214
2016-08-31,221
2016-09-01,227
2016-09-02,227
2016-09-03,227
2016-09-04,222
2016-09-05,222
2016-09-06,233
2016-09-07,233
2016-09-08,233
2016-09-09,236
2016-09-10,236
2016-09-11,236
2016-09-12,248
2016-09-13,248
2016-09-14,248
2016-09-15,261
2016-09-16,261
2016-09-17,261
2016-09-18,261
2016-09-19,260
2016-09-20,260
2016-09-21,260
2016-09-22,248
2016-09-23,248
2016-09-24,248
2016-09-25,236
2016-09-26,236
2016-09-27,236
2016-09-28,227
2016-09-29,227
2016-09-30,216
2016-10-01,216
2016-10-02,216
2016-10-03,205
2016-10-04,205
2016-10-05,196
2016-10-06,196
2016-10-07,196
2016-10-08,186
2016-10-09,186
2016-10-10,186
2016-10-11,176
2016-10-12,176
2016-10-13,167
2016-10-14,167
2016-10-15,158
2016-10-16,158
2016-10-17,158
2016-10-18,159
2016-10-19,159
2016-10-20,159
2016-10-21,166
2016-10-22,166
2016-10-23,157
2016-10-24,157
2016-10-25,158
2016-10-26,158
2016-10-27,166
2016-10-28,166
2016-10-29,163
2016-10-30,163
2016-10-31,155
2016-11-01,155
2016-11-02,162
2016-11-03,162
2016-11-04,169
2016-11-05,169
2016-11-06,169
2016-11-07,172
2016-11-08,172
2016-11-09,175
2016-11-10,175
2016-11-11,175
2016-11-12,172
2016-11-13,172
2016-11-14,172
2016-11-15,172
2016-12-07,162
2016-12-08,162
2016-12-09,162
2016-12-10,162
2016-12-11,162
2016-12-12,165
2016-12-13,165
2016-12-14,165
2016-12-15,169
2016-12-16,169
2016-12-17,165
2016-12-18,165
2016-12-19,165
2016-12-20,164
2016-12-21,164
2016-12-22,164
2016-12-23,162
2016-12-24,162
2016-12-25,162
2016-12-26,161
2016-12-27,161
2016-12-28,161
2016-12-29,159
2016-12-30,159
2016-12-31,159
2017-01-01,156
2017-01-02,156
2017-01-03,153
2017-01-04,153
2017-01-05,153
2017-01-06,147
2017-01-07,147
2017-01-08,145
2017-01-09,145
2017-01-10,148
2017-01-11,148
2017-01-12,150
2017-01-13,150
2017-01-14,150
2017-01-15,150
2017-01-16,150
2017-01-17,144
2017-01-18,144
2017-01-19,138
2017-01-20,138
2017-01-21,137
2017-01-22,137
2017-01-23,139
2017-01-27,132
2017-01-28,132
2017-01-29,127
2017-01-30,127
2017-01-31,127
2017-02-01,124
2017-02-02,124
2017-02-03,124
2017-02-04,130
2017-02-05,130
2017-02-06,130
2017-02-07,131
2017-02-08,131
2017-02-09,131
2017-02-10,138
2017-02-11,138
2017-02-12,138
2017-02-13,145
2017-02-14,145
2017-02-15,145
2017-02-16,153
2017-02-18,153
2017-02-19,153
2017-02-20,153
2017-02-21,145
2017-02-22,145
2017-02-23,145
2017-02-24,140
2017-02-25,140
2017-02-26,140
2017-02-27,141
2017-02-28,141
2017-03-01,148
2017-03-02,148
2017-03-03,148
2017-03-04,144
2017-03-05,144
2017-03-06,137
2017-03-07,137
2017-03-08,137
2017-03-09,133
2017-03-10,133
2017-03-11,129
2017-03-12,129
2017-03-13,129
2017-03-14,135
2017-03-15,135
2017-03-16,135
2017-03-17,140
2017-03-18,140
2017-03-19,140
