date_obj,Ancient%20coif price
2015-03-26,15836
2015-03-27,15836
2015-03-28,15643
2015-03-29,15613
2015-03-30,15583
2015-03-31,15636
2015-04-01,15920
2015-04-02,15446
2015-04-03,15427
2015-04-04,15266
2015-04-05,14948
2015-04-06,15194
2015-04-07,15711
2015-04-08,15884
2015-04-09,16249
2015-04-10,16377
2015-04-11,16402
2015-04-12,16153
2015-04-13,15962
2015-04-14,15861
2015-04-15,15888
2015-04-16,15704
2015-04-17,15650
2015-04-18,15305
2015-04-19,15703
2015-04-20,16042
2015-04-21,16263
2015-04-22,16189
2015-04-23,16130
2015-04-24,16014
2015-04-25,15884
2015-04-26,16346
2015-04-27,16959
2015-04-28,17607
2015-04-29,17607
2015-04-30,18260
2015-05-01,17821
2015-05-02,17179
2015-05-03,16574
2015-05-04,16422
2015-05-05,16934
2015-05-06,17183
2015-05-07,17405
2015-05-08,17605
2015-05-09,17414
2015-05-10,17284
2015-05-11,17415
2015-05-12,17636
2015-05-13,17467
2015-05-14,17351
2015-05-15,17417
2015-05-16,17304
2015-05-17,17547
2015-05-18,17651
2015-05-19,18019
2015-05-20,18019
2015-05-21,18563
2015-05-22,18638
2015-05-23,18393
2015-05-24,18318
2015-05-25,18477
2015-05-26,18346
2015-05-27,17544
2015-05-28,16964
2015-05-29,16386
2015-05-30,15675
2015-05-31,15971
2015-06-01,15579
2015-06-02,15088
2015-06-03,14383
2015-06-04,14095
2015-06-05,13949
2015-06-06,13719
2015-06-07,13360
2015-06-08,13077
2015-06-09,12900
2015-06-10,12912
2015-06-11,12912
2015-06-12,13211
2015-06-13,13417
2015-06-14,13189
2015-06-15,13147
2015-06-16,13531
2015-06-17,13756
2015-06-18,14151
2015-06-19,14626
2015-06-20,14867
2015-06-21,14864
2015-06-22,15114
2015-06-23,15516
2015-06-24,15493
2015-06-25,15602
2015-06-26,15641
2015-06-27,16006
2015-06-28,15982
2015-06-29,16503
2015-06-30,16390
2015-07-01,16203
2015-07-02,16203
2015-07-03,16691
2015-07-04,16498
2015-07-05,16571
2015-07-06,16573
2015-07-07,16514
