date_obj,Zenyte%20shard price
2016-05-05,25000000
2016-05-06,25000000
2016-05-07,24212065
2016-05-08,24212065
2016-05-09,23005921
2016-05-10,21855817
2016-05-11,21855817
2016-05-12,20763026
2016-05-13,19724874
2016-05-14,19724874
2016-05-15,18738630
2016-05-16,18738630
2016-05-17,17801698
2016-05-18,16915575
2016-05-19,16915575
2016-05-22,15266306
2016-05-23,15266306
2016-05-24,14503296
2016-05-25,14503296
2016-05-26,13804821
2016-05-27,13804821
2016-05-28,13124862
2016-05-29,13124862
2016-05-30,13293565
2016-05-31,13293565
2016-06-01,12706909
2016-06-02,12706909
2016-06-03,12706909
2016-06-04,12879162
2016-06-05,12879162
2016-06-06,12879162
2016-06-07,13442521
2016-06-08,13442521
2016-06-09,14034112
2016-06-10,14034112
2016-06-11,14034112
2016-06-12,14368414
2016-06-13,14368414
2016-06-14,14368414
2016-06-15,14837398
2016-06-16,14837398
2016-06-17,14886862
2016-06-18,14886862
2016-06-19,14886862
2016-06-20,15439087
2016-06-21,15439087
2016-06-22,15706292
2016-06-23,15706292
2016-06-24,15706292
2016-06-25,15024061
2016-06-26,15024061
2016-06-27,15024061
2016-06-28,14370161
2016-06-29,14370161
2016-06-30,14370161
2016-07-01,13678813
2016-07-02,13678813
2016-07-03,13678813
2016-07-04,13765024
2016-07-05,13765024
2016-07-06,13765024
2016-07-07,13765024
2016-07-08,14104769
2016-07-09,14104769
2016-07-10,14104769
2016-07-11,14575300
2016-07-12,14575300
2016-07-13,14575300
2016-07-14,14575300
2016-07-15,14689042
2016-07-16,14689042
2016-07-17,14689042
2016-07-18,15007156
2016-07-24,14913491
2016-07-25,14913491
2016-07-26,15043817
2016-07-27,15043817
2016-07-28,15043817
2016-07-29,15387303
2016-07-30,15387303
2016-07-31,15387303
2016-08-01,15387303
2016-08-02,15926606
2016-08-03,15926606
2016-08-04,15926606
2016-08-05,15926606
2016-08-06,15973349
2016-08-07,15973349
2016-08-08,15973349
2016-08-09,15379324
2016-08-10,15379324
2016-08-11,15379324
2016-08-12,15767883
2016-08-13,15767883
2016-08-14,15767883
2016-08-15,15842815
2016-08-16,15842815
2016-08-17,15842815
2016-08-18,15320506
2016-08-19,15320506
2016-08-20,14557849
2016-08-21,14557849
2016-08-22,14557849
2016-08-23,13988139
2016-08-24,13988139
2016-08-25,14152538
2016-08-26,14152538
2016-08-28,14647058
2016-08-31,14758698
2016-09-01,15318181
2016-09-02,15318181
2016-09-03,15318181
2016-09-04,15615750
2016-09-05,15615750
2016-09-06,15319634
2016-09-07,15319634
2016-09-08,15319634
2016-09-09,15319634
2016-09-10,14735395
2016-09-11,14735395
2016-09-12,14735395
2016-09-13,14002583
2016-09-14,14002583
2016-09-15,14002583
2016-09-16,13360835
2016-09-17,13360835
2016-09-18,13360835
2016-09-19,13535719
2016-09-20,13535719
2016-09-21,13535719
2016-09-22,13440260
2016-09-23,13440260
2016-09-24,13440260
2016-09-25,13556770
2016-09-26,13556770
2016-09-27,13556770
2016-09-28,13349628
2016-09-29,13349628
2016-09-30,13349628
2016-10-01,12842957
2016-10-02,12842957
2016-10-03,12842957
2016-10-04,12842957
2016-10-05,12603526
2016-10-06,12603526
2016-10-07,12603526
2016-10-08,12180171
2016-10-09,12180171
2016-10-10,12180171
2016-10-11,12475069
2016-10-12,12475069
2016-10-13,12475069
2016-10-14,12651977
