date_obj,Ogre%20arrow price
2016-02-05,367
2016-02-06,372
2016-02-07,372
2016-02-08,372
2016-02-09,374
2016-02-10,374
2016-02-11,368
2016-02-12,368
2016-02-13,370
2016-02-14,370
2016-02-15,372
2016-02-16,372
2016-02-17,368
2016-02-18,368
2016-02-19,368
2016-02-20,365
2016-02-21,369
2016-02-22,369
2016-02-23,369
2016-02-24,368
2016-02-25,368
2016-02-26,361
2016-02-27,361
2016-02-28,358
2016-02-29,358
2016-03-01,354
2016-03-02,354
2016-03-03,354
2016-03-04,354
2016-03-05,350
2016-03-06,350
2016-03-07,353
2016-03-08,353
2016-03-09,353
2016-03-10,353
2016-03-11,353
2016-03-12,349
2016-03-13,349
2016-03-14,349
2016-03-15,362
2016-03-16,362
2016-03-17,360
2016-03-18,360
2016-03-19,360
2016-03-20,360
2016-03-21,365
2016-03-22,365
2016-03-23,369
2016-03-24,369
2016-03-25,370
2016-03-26,370
2016-03-27,372
2016-03-28,372
2016-03-29,379
2016-03-30,379
2016-03-31,379
2016-04-01,387
2016-04-02,387
2016-04-03,398
2016-04-04,398
2016-04-05,392
2016-04-06,392
2016-04-07,404
2016-04-08,404
2016-04-09,408
2016-04-10,408
2016-04-11,402
2016-04-12,402
2016-04-13,393
2016-04-14,393
2016-04-15,386
2016-04-16,386
2016-04-17,390
2016-04-18,390
2016-04-19,393
2016-04-20,393
2016-04-21,396
2016-04-22,396
2016-04-23,396
2016-04-24,396
2016-04-25,396
2016-04-26,396
2016-04-27,396
2016-04-28,388
2016-04-29,388
2016-04-30,388
2016-05-01,388
2016-05-02,386
2016-05-03,386
2016-05-04,378
2016-05-05,378
2016-05-06,378
2016-05-07,379
2016-05-08,379
2016-05-09,381
2016-05-10,381
2016-05-11,392
2016-05-12,392
2016-05-13,378
2016-05-14,378
2016-05-15,375
2016-05-16,375
2016-05-17,367
2016-05-18,367
2016-05-19,360
2016-05-22,356
2016-05-23,356
2016-05-24,356
2016-05-25,362
2016-05-26,362
2016-05-27,362
2016-05-28,362
2016-05-29,369
2016-05-30,369
2016-05-31,369
2016-06-01,372
2016-06-02,372
2016-06-03,374
2016-06-04,374
2016-06-05,369
2016-06-06,368
2016-06-07,368
2016-06-08,360
2016-06-09,360
2016-06-10,360
2016-06-11,360
2016-06-12,357
2016-06-13,357
2016-06-14,366
2016-06-15,366
2016-06-16,364
2016-06-17,361
2016-06-18,361
2016-06-19,357
2016-06-20,357
2016-06-21,368
2016-06-22,368
2016-06-23,375
2016-06-24,375
2016-06-25,377
2016-06-26,377
2016-06-27,377
2016-06-28,376
2016-06-29,376
2016-06-30,376
2016-07-01,380
2016-07-02,380
2016-07-03,383
2016-07-04,379
2016-07-05,379
2016-07-06,363
2016-07-07,363
2016-07-08,348
2016-07-09,348
2016-07-10,342
2016-07-11,342
2016-07-12,336
2016-07-13,336
2016-07-14,332
2016-07-15,332
2016-07-16,331
2016-07-17,331
2016-07-18,330
2016-07-23,330
2016-07-24,330
2016-07-25,336
2016-07-26,336
2016-07-27,335
2016-07-28,335
2016-07-29,342
2016-07-30,342
2016-07-31,349
2016-08-01,349
2016-08-02,351
2016-08-03,351
2016-08-04,347
2016-08-05,347
2016-08-06,337
2016-08-07,337
2016-08-08,324
2016-08-09,324
2016-08-10,317
2016-08-11,317
2016-08-12,317
2016-08-13,313
2016-08-14,313
2016-08-15,305
2016-08-16,305
2016-08-17,294
2016-08-18,294
2016-08-19,294
2016-08-20,294
2016-08-21,294
2016-08-22,289
2016-08-23,289
2016-08-24,283
2016-08-25,283
2016-08-26,283
2016-08-28,285
2016-08-31,285
2016-09-01,281
2016-09-02,281
2016-09-03,281
2016-09-04,279
2016-09-05,279
2016-09-06,278
2016-09-07,278
2016-09-08,278
2016-09-09,276
2016-09-10,276
2016-09-11,276
2016-09-12,274
2016-09-13,274
2016-09-14,274
2016-09-15,269
2016-09-16,269
2016-09-17,269
2016-09-18,261
2016-09-19,261
2016-09-20,261
2016-09-21,260
2016-09-22,260
2016-09-23,257
2016-09-24,257
2016-09-25,257
2016-09-26,247
2016-09-27,247
2016-09-28,247
2016-09-29,237
2016-09-30,237
2016-10-01,226
2016-10-02,226
2016-10-03,226
2016-10-04,222
2016-10-05,222
2016-10-06,222
2016-10-07,221
2016-10-08,221
2016-10-09,224
2016-10-10,224
2016-10-11,224
2016-10-12,231
2016-10-13,231
2016-10-14,233
2016-10-15,233
2016-10-16,233
2016-10-17,237
2016-10-18,237
2016-10-19,237
2016-10-20,240
2016-10-21,240
2016-10-22,240
2016-10-23,246
2016-10-24,246
2016-10-25,246
2016-10-26,246
2016-10-27,246
2016-10-28,246
2016-10-29,240
2016-10-30,240
2016-10-31,233
2016-11-01,233
2016-11-02,233
2016-11-03,231
2016-11-04,231
2016-11-05,233
2016-11-06,233
2016-11-07,234
2016-11-08,234
2016-11-09,239
2016-11-10,239
2016-11-11,239
2016-11-12,244
2016-11-13,244
2016-11-14,244
2016-12-07,291
2016-12-08,291
2016-12-09,289
2016-12-10,289
2016-12-11,293
2016-12-12,293
2016-12-13,294
2016-12-14,294
2016-12-15,299
2016-12-16,299
2016-12-17,302
2016-12-18,302
2016-12-19,299
2016-12-20,299
2016-12-21,301
2016-12-22,301
2016-12-23,298
2016-12-24,298
2016-12-25,289
2016-12-26,289
2016-12-27,276
2016-12-28,276
2016-12-29,276
2016-12-30,276
2016-12-31,271
2017-01-01,271
2017-01-03,275
2017-01-04,275
2017-01-05,275
2017-01-06,276
2017-01-07,276
2017-01-08,277
2017-01-09,277
2017-01-10,276
2017-01-11,276
2017-01-12,280
2017-01-13,280
2017-01-14,281
2017-01-15,283
2017-01-16,283
2017-01-17,281
2017-01-18,281
2017-01-19,283
2017-01-20,283
2017-01-21,285
2017-01-22,285
2017-01-27,303
2017-01-28,311
2017-01-29,311
2017-01-30,319
2017-01-31,319
2017-02-01,327
2017-02-02,327
2017-02-03,340
2017-02-04,344
2017-02-05,344
2017-02-06,348
2017-02-07,348
2017-02-08,352
2017-02-09,352
2017-02-10,354
2017-02-11,357
2017-02-12,357
2017-02-13,355
2017-02-14,344
2017-02-15,344
2017-02-16,330
2017-02-18,313
2017-02-19,297
2017-02-20,297
2017-02-21,292
2017-02-22,292
2017-02-23,289
2017-02-24,289
2017-02-25,291
2017-02-26,291
2017-02-27,291
2017-02-28,299
2017-03-01,299
2017-03-02,302
2017-03-03,302
2017-03-04,311
2017-03-05,311
2017-03-06,312
2017-03-07,312
2017-03-08,308
2017-03-09,308
2017-03-10,305
2017-03-11,306
2017-03-12,306
2017-03-13,301
2017-03-14,298
2017-03-15,298
2017-03-16,294
2017-03-17,294
2017-03-18,287
2017-03-19,278
2017-03-20,274
2017-03-21,274
2017-03-22,276
2017-03-23,276
2017-03-24,276
2017-03-25,276
2017-03-26,278
2017-03-27,278
2017-03-28,275
2017-03-29,273
2017-03-30,273
2017-03-31,270
2017-04-01,270
2017-04-02,264
2017-04-03,271
2017-04-04,271
2017-04-12,264
2017-04-13,264
2017-04-14,264
2017-04-15,264
2017-04-16,265
2017-04-17,266
2017-04-18,266
2017-04-19,274
2017-04-20,274
2017-04-21,277
2017-04-22,277
2017-04-23,282
2017-04-24,282
2017-04-25,276
2017-04-26,276
2017-04-27,273
2017-04-28,273
2017-04-29,271
2017-04-30,271
2017-05-01,267
2017-05-02,267
2017-05-03,269
2017-05-04,269
2017-05-05,265
2017-05-06,265
2017-05-07,262
2017-05-08,262
2017-05-09,253
2017-05-10,253
2017-05-11,249
2017-05-12,249
2017-05-13,250
2017-05-14,250
2017-05-15,245
2017-05-16,246
2017-05-17,246
2017-05-18,253
2017-05-19,253
2017-05-20,260
2017-05-21,260
2017-05-22,267
2017-05-23,267
2017-05-24,268
2017-05-25,268
2017-05-26,267
2017-05-27,267
2017-05-28,266
2017-05-29,266
2017-05-30,266
2017-05-31,266
2017-06-01,266
2017-06-02,266
2017-06-03,263
2017-06-06,257
2017-06-07,257
2017-06-08,256
2017-06-09,256
2017-06-10,254
2017-06-11,249
2017-06-12,249
2017-06-13,247
2017-06-14,247
2017-06-15,238
2017-06-16,238
2017-06-17,237
2017-06-18,239
2017-06-19,239
2017-06-20,231
2017-06-21,231
2017-06-22,228
2017-06-23,228
2017-06-24,227
2017-06-25,227
2017-06-26,230
2017-06-27,230
2017-06-28,235
2017-06-29,242
2017-06-30,242
2017-07-01,249
2017-07-02,249
2017-07-03,254
2017-07-04,254
2017-07-05,254
2017-07-06,257
2017-07-07,257
2017-07-08,259
2017-07-13,268
2017-07-14,269
2017-07-15,269
2017-07-16,275
2017-07-17,278
2017-07-18,278
2017-07-19,281
2017-07-20,281
2017-07-21,283
2017-07-22,283
2017-07-23,285
2017-07-24,285
2017-07-25,285
2017-07-26,284
2017-07-27,284
2017-07-28,278
2017-07-29,278
2017-07-30,275
2017-07-31,275
2017-08-01,271
2017-08-02,263
2017-08-03,263
2017-08-04,258
2017-08-05,254
2017-08-06,254
2017-08-09,261
2017-08-10,253
2017-08-11,253
2017-08-12,252
2017-08-13,252
2017-08-14,251
2017-08-15,251
2017-08-17,241
2017-08-18,241
2017-08-19,242
2017-08-20,241
2017-08-21,241
2017-08-22,243
2017-08-23,243
2017-08-24,244
2017-08-25,244
2017-08-26,245
2017-08-27,245
2017-08-28,246
2017-08-29,246
2017-08-30,246
2017-08-31,246
2017-09-01,249
2017-09-02,250
2017-09-03,250
2017-09-04,253
2017-09-05,253
2017-09-06,261
2017-09-07,261
2017-09-08,260
2017-09-09,257
2017-09-10,257
2017-09-11,258
2017-09-12,258
2017-09-13,255
2017-09-14,256
2017-09-15,256
2017-09-16,256
2017-09-17,252
2017-09-19,253
2017-09-20,252
2017-09-21,252
2017-09-22,252
2017-09-23,252
2017-09-24,254
2017-09-25,254
2017-09-26,251
2017-09-27,251
2017-09-28,249
2017-09-29,249
2017-09-30,249
2017-10-01,249
2017-10-02,249
2017-10-03,249
2017-10-04,249
2017-10-05,243
2017-10-06,243
2017-10-07,244
2017-10-08,244
2017-10-09,241
2017-10-10,241
2017-10-11,242
2017-10-12,242
2017-10-13,245
2017-10-14,245
2017-10-15,247
2017-10-16,246
2017-10-17,246
2017-10-18,246
2017-10-19,246
2017-10-20,247
2017-10-21,247
2017-10-22,248
2017-10-23,248
2017-10-24,245
2017-10-25,244
2017-10-26,244
2017-10-27,246
2017-10-28,246
2017-10-29,243
2017-10-30,243
2017-10-31,238
2017-11-01,238
2017-11-02,235
2017-11-03,235
2017-11-04,239
2017-11-05,239
2017-11-06,238
2017-11-07,238
2017-11-08,236
2017-11-09,236
2017-11-10,237
2017-11-11,237
2017-11-12,239
2017-11-13,239
2017-11-14,239
2017-11-15,239
2017-11-16,242
2017-11-17,242
2017-11-18,243
2017-11-19,249
2017-11-20,249
2017-11-21,258
2017-11-22,258
2017-11-23,260
2017-11-24,260
2017-11-25,256
2017-11-26,256
2017-11-27,255
2017-11-28,253
2017-11-29,253
2017-11-30,251
2017-12-01,248
2017-12-02,248
2017-12-03,243
2017-12-04,243
2017-12-05,246
2017-12-06,246
2017-12-07,246
2017-12-08,246
2017-12-09,249
2017-12-10,245
2017-12-11,245
2017-12-12,240
2017-12-14,235
2017-12-15,238
2017-12-16,238
2017-12-17,235
2017-12-18,233
2017-12-19,233
2017-12-20,224
2017-12-21,224
2017-12-22,226
2017-12-23,226
2017-12-24,229
2017-12-25,229
2017-12-26,231
2017-12-27,234
2017-12-28,234
2017-12-29,235
2017-12-30,234
2017-12-31,234
2018-01-01,232
2018-01-02,232
2018-01-03,232
2018-01-04,232
2018-01-05,232
2018-01-06,238
2018-01-07,238
2018-01-08,243
2018-01-09,246
2018-01-10,246
2018-01-11,249
2018-01-12,249
2018-01-13,249
2018-01-14,256
2018-01-15,252
2018-01-16,249
2018-01-17,249
2018-01-18,250
2018-01-19,250
2018-01-20,250
2018-01-21,252
2018-01-22,246
2018-01-23,249
2018-01-24,250
2018-01-25,247
2018-01-26,249
2018-01-27,247
2018-01-28,252
2018-01-29,249
2018-01-31,248
2018-02-01,248
2018-02-02,248
2018-02-03,246
2018-02-04,247
2018-02-05,247
2018-02-06,242
2018-02-07,241
2018-02-08,241
2018-02-09,241
2018-02-10,241
2018-02-11,241
2018-02-12,242
2018-02-13,239
2018-02-14,239
2018-02-15,236
2018-02-16,234
2018-02-17,237
2018-02-18,231
2018-02-19,230
2018-02-20,229
2018-02-21,227
2018-02-22,233
2018-02-23,234
2018-02-24,242
2018-02-25,245
2018-02-26,250
2018-02-27,253
2018-03-01,252
2018-03-02,250
2018-03-03,251
2018-03-04,251
2018-03-05,255
2018-03-06,263
2018-03-07,270
2018-03-08,275
2018-03-09,283
2018-03-10,287
2018-03-11,290
2018-03-12,285
2018-03-13,277
2018-03-14,275
2018-03-15,269
2018-03-16,258
2018-03-17,247
2018-03-18,235
2018-03-19,227
2018-03-20,221
2018-03-21,217
2018-03-23,218
2018-03-24,217
2018-03-26,219
2018-03-27,222
2018-03-28,223
2018-03-29,226
2018-03-30,236
2018-03-31,235
2018-04-01,233
2018-04-02,235
