date_obj,Penguin%20mask price
2015-03-26,57216
2015-03-27,57216
2015-03-28,54890
2015-03-29,53216
2015-03-30,50929
2015-03-31,49289
2015-04-01,49289
2015-04-02,47552
2015-04-03,47552
2015-04-04,45174
2015-04-05,45174
2015-04-06,42958
2015-04-07,42958
2015-04-08,40909
2015-04-09,40909
2015-04-10,39290
2015-04-11,37511
2015-04-12,37511
2015-04-13,35840
2015-04-14,35840
2015-04-15,34472
2015-04-16,34472
2015-04-17,34160
2015-04-18,34950
2015-04-19,34950
2015-04-20,34334
2015-04-21,34334
2015-04-22,32965
2015-04-23,33607
2015-04-24,33607
2015-04-25,32155
2015-04-26,32155
2015-04-27,31302
2015-04-28,30848
2015-04-29,30848
2015-04-30,31192
2015-05-01,30165
2015-05-02,30165
2015-05-03,29205
2015-05-04,29205
2015-05-05,28099
2015-05-06,26789
2015-05-07,25553
2015-05-08,25553
2015-05-09,24275
2015-05-10,23061
2015-05-11,23061
2015-05-12,22059
2015-05-13,22059
2015-05-14,21442
2015-05-15,21442
2015-05-16,20410
2015-05-17,20427
2015-05-18,20427
2015-05-19,19617
2015-05-20,19617
2015-05-21,19617
2015-05-22,19170
2015-05-23,19170
2015-05-24,18482
2015-05-25,18303
2015-05-26,18303
2015-05-27,18695
2015-05-28,18695
2015-05-29,18754
2015-05-30,18427
2015-05-31,18427
2015-06-01,18203
2015-06-02,18203
2015-06-03,18193
2015-06-04,18193
2015-06-05,18359
2015-06-06,18359
2015-06-07,18424
2015-06-08,18424
2015-06-09,19302
2015-06-10,19302
2015-06-11,19334
2015-06-12,19334
2015-06-13,19001
2015-06-14,19001
2015-06-15,19033
2015-06-16,19033
2015-06-17,19412
2015-06-18,19412
2015-06-19,20125
2015-06-20,20125
2015-06-21,20806
2015-06-22,20806
2015-06-23,21485
2015-06-24,21485
2015-06-25,21714
2015-06-26,22216
2015-06-27,22216
2015-06-28,22588
2015-06-29,22588
2015-06-30,22588
2015-07-01,22765
2015-07-02,22765
2015-07-03,22547
2015-07-04,22547
2015-07-05,22547
2015-07-06,22695
2015-07-07,22695
2015-07-08,23136
2015-07-09,23136
2015-07-10,22953
2015-07-11,22953
2015-07-12,23296
2015-07-13,23296
2015-07-14,22335
2015-07-15,22335
2015-07-16,22595
2015-07-17,23203
2015-07-18,23203
2015-07-19,23616
2015-07-20,23616
2015-07-21,23553
2015-07-22,23429
2015-07-23,23429
2015-07-24,23951
2015-07-25,23951
2015-07-26,23629
2015-07-27,23629
2015-07-28,22800
2015-07-29,22460
2015-07-30,22460
2015-07-31,22880
2015-08-01,22880
2015-08-02,22804
2015-08-03,22804
2015-08-04,23311
2015-08-05,23311
2015-08-06,23164
2015-08-07,23164
2015-08-08,22729
2015-08-09,22729
2015-08-10,22842
2015-08-11,22916
2015-08-12,22916
2015-08-13,22672
2015-08-14,22497
2015-08-15,22497
2015-08-16,22376
2015-08-17,22243
2015-08-18,22243
2015-08-19,21952
2015-08-20,21952
2015-08-21,21950
2015-08-22,21950
2015-08-23,22502
2015-08-24,23265
2015-08-25,23265
2015-08-26,24125
2015-08-27,24478
2015-08-28,24478
2015-08-29,24599
2015-08-30,24599
2015-08-31,24599
2015-09-01,24599
2015-09-02,24599
2015-09-03,24929
2015-09-04,24929
2015-09-05,25652
2015-09-06,25652
2015-09-07,26135
2015-09-08,26135
2015-09-09,26615
2015-09-10,26615
2015-09-11,27245
2015-09-12,27245
2015-09-13,28091
2015-09-14,28091
2015-09-15,28848
2015-09-16,28848
2015-09-17,28722
2015-09-18,28722
2015-09-19,28285
2015-09-20,28285
2015-09-21,28285
2015-09-22,27548
2015-09-23,27548
2015-09-24,27350
2015-09-25,27350
2015-09-27,27049
2015-09-28,26365
2015-09-29,26365
2015-09-30,26177
2015-10-05,25807
2015-10-06,25807
2015-10-07,25322
2015-10-08,25322
2015-10-09,25457
2015-10-10,25457
2015-10-11,25850
2015-10-12,25850
2015-10-13,25850
2015-10-14,26195
2015-10-15,26195
2015-10-16,26112
2015-10-17,26112
2015-10-18,26112
2015-10-19,25881
2015-10-20,25881
2015-10-22,26411
2015-10-23,26172
2015-10-24,26172
2015-10-25,26129
2015-10-26,26129
2015-10-27,26129
2015-10-29,25280
2015-10-30,25280
2015-10-31,24777
2015-11-01,24777
2015-11-02,24484
2015-11-03,24484
2015-11-04,24484
2015-11-05,24316
2015-11-06,24316
2015-11-07,24316
2015-11-08,23808
2015-11-09,23808
2015-11-10,23808
2015-11-11,23520
2015-11-12,23520
