date_obj,Granite%20gloves price
2017-10-25,64206
2017-10-26,67417
2017-10-27,70788
2017-10-28,70788
2017-10-29,74328
2017-10-30,77941
2017-10-31,81839
2017-11-01,81839
2017-11-02,85931
2017-11-03,89880
2017-11-04,94359
2017-11-05,94359
2017-11-06,99077
2017-11-07,99077
2017-11-08,103788
2017-11-09,108306
2017-11-10,108306
2017-11-11,113564
2017-11-12,119243
2017-11-13,124957
2017-11-14,124957
2017-11-15,131205
2017-11-16,137663
2017-11-17,137663
2017-11-18,139634
2017-11-19,138558
2017-11-20,138558
2017-11-21,139705
2017-11-22,139705
2017-11-23,136992
2017-11-24,136992
2017-11-25,139544
2017-11-26,139544
2017-11-27,144222
2017-11-28,150240
2017-11-29,150240
2017-11-30,150204
2017-12-01,148085
2017-12-02,148085
2017-12-03,144140
2017-12-04,144140
2017-12-05,149044
2017-12-06,149044
2017-12-07,155566
2017-12-08,155566
2017-12-09,163172
2017-12-10,171305
2017-12-11,171305
2017-12-12,172407
2017-12-13,172407
2017-12-14,171624
2017-12-15,173757
2017-12-16,173757
2017-12-17,175086
2017-12-18,181594
2017-12-19,181594
2017-12-20,188427
2017-12-21,188427
2017-12-22,192538
2017-12-23,192538
2017-12-24,192070
2017-12-25,192070
2017-12-26,191817
2017-12-27,188786
2017-12-28,188786
2017-12-29,182750
2017-12-30,183067
2017-12-31,183067
2018-01-01,185414
2018-01-02,185414
2018-01-03,185196
2018-01-04,185196
2018-01-05,185933
2018-01-06,189811
2018-01-07,189811
2018-01-08,191740
2018-01-09,191740
2018-01-10,188492
2018-01-11,188492
2018-01-12,193058
2018-01-13,197416
2018-01-14,197416
2018-01-15,202695
2018-01-16,202695
2018-01-17,210998
2018-01-18,210998
2018-01-19,219551
2018-01-20,227227
2018-01-21,227227
2018-01-22,234334
2018-01-23,244048
2018-01-25,260644
2018-01-26,269894
2018-01-27,279863
2018-01-28,284610
2018-01-29,296124
2018-01-30,308808
2018-01-31,310201
2018-02-01,310201
2018-02-02,313598
2018-02-03,320178
2018-02-04,324263
2018-02-05,324263
2018-02-06,314825
2018-02-07,309672
2018-02-08,309672
2018-02-09,308919
2018-02-10,308919
2018-02-11,309951
2018-02-12,310643
2018-02-13,309631
2018-02-14,298659
2018-02-15,291218
2018-02-16,284527
2018-02-17,279233
2018-02-18,273399
2018-02-19,265635
2018-02-20,265635
2018-02-21,265654
2018-02-22,271418
2018-02-23,270013
2018-02-24,270013
2018-02-25,272272
2018-02-26,279684
2018-02-27,293654
2018-02-28,307174
2018-03-01,321996
2018-03-02,337836
2018-03-03,354728
2018-03-04,354728
2018-03-05,372405
2018-03-06,381035
2018-03-07,393497
2018-03-08,409294
2018-03-09,429341
2018-03-10,449681
2018-03-11,466199
2018-03-12,458937
2018-03-13,444054
2018-03-14,446665
2018-03-15,446665
2018-03-16,449829
2018-03-17,456639
2018-03-18,460704
2018-03-19,460704
2018-03-20,477367
2018-03-21,477367
2018-03-23,492154
2018-03-24,505596
2018-03-25,508596
2018-03-26,508596
2018-03-27,496023
2018-03-28,496023
2018-03-29,477214
2018-03-30,457674
2018-03-31,443417
2018-04-01,443417
2018-04-02,431895
2018-04-03,421670
2018-04-04,411637
2018-04-05,411637
2018-04-06,403628
2018-04-07,403628
2018-04-08,391145
2018-04-09,384980
2018-04-10,384980
2018-04-11,397443
2018-04-12,415463
2018-04-13,415463
2018-04-14,436166
2018-04-15,457617
2018-04-16,457617
2018-04-17,458523
2018-04-18,458523
2018-04-19,457024
2018-04-20,458214
2018-04-21,456031
2018-04-22,456031
2018-04-23,453911
2018-04-24,453911
2018-04-25,450597
2018-04-26,450597
2018-04-27,443442
2018-04-28,448142
2018-04-29,452344
2018-04-30,461970
2018-05-01,472792
2018-05-03,472094
2018-05-04,472094
2018-05-05,483852
2018-05-06,483852
2018-05-07,489731
2018-05-08,510255
2018-05-09,530159
2018-05-10,533952
2018-05-11,533952
2018-05-12,518775
2018-05-13,518775
2018-05-14,538909
2018-05-15,538909
2018-05-16,558890
2018-05-17,558890
2018-05-18,576773
2018-05-19,572900
2018-05-20,572900
2018-05-21,569997
2018-05-22,569997
2018-05-23,587128
2018-05-24,587128
2018-05-25,596725
2018-05-26,578115
2018-05-27,578115
2018-05-28,576706
2018-05-29,602329
2018-05-30,602329
2018-05-31,611799
2018-06-01,616417
2018-06-02,623961
2018-06-03,623961
2018-06-04,633260
2018-06-05,619722
2018-06-06,605383
2018-06-07,605383
2018-06-08,581597
2018-06-09,581597
2018-06-10,568164
2018-06-11,568164
2018-06-12,560711
2018-06-13,532705
2018-06-14,506196
2018-06-15,506196
2018-06-16,483199
2018-06-17,459439
2018-06-18,443728
2018-06-19,431382
2018-06-20,431382
2018-06-21,419124
2018-06-22,404822
2018-06-23,404822
2018-06-24,416960
2018-06-25,436911
2018-06-26,436911
2018-06-27,455433
2018-06-28,467331
2018-06-29,475094
2018-06-30,478268
2018-07-01,479453
2018-07-02,479453
2018-07-03,482792
2018-07-04,482792
2018-07-05,486679
2018-07-06,489235
2018-07-07,490109
2018-07-08,508308
2018-07-09,518125
2018-07-10,522249
2018-07-11,543517
2018-07-12,569127
2018-07-13,594028
2018-07-14,603043
2018-07-15,603043
2018-07-16,603622
2018-07-17,585651
2018-07-18,564976
2018-07-19,553007
2018-07-20,545017
2018-07-21,528508
2018-07-22,508906
2018-07-23,487666
2018-07-24,463282
2018-07-25,445431
2018-07-26,433000
2018-07-27,423574
2018-07-28,426921
2018-07-29,440358
2018-07-30,443670
2018-07-31,451121
2018-08-01,451121
2018-08-02,460638
2018-08-03,482002
2018-08-04,481988
2018-08-05,476968
2018-08-06,477548
2018-08-07,472297
2018-08-08,466237
2018-08-09,466237
2018-08-10,461615
2018-08-11,465026
2018-08-12,465736
2018-08-14,469784
2018-08-16,472547
2018-08-17,461267
2018-08-18,461267
2018-08-19,449533
2018-08-20,442453
2018-08-21,443335
2018-08-22,451174
2018-08-23,457141
2018-08-24,467207
2018-08-25,475533
2018-08-26,484193
2018-08-27,491380
2018-08-28,490286
2018-08-29,493015
2018-08-30,488888
2018-08-31,478892
2018-09-01,478357
2018-09-02,475742
2018-09-03,463825
2018-09-04,453976
2018-09-05,457740
2018-09-06,457740
2018-09-07,469088
2018-09-08,471361
2018-09-09,463448
2018-09-10,460028
2018-09-11,460028
2018-09-12,459281
2018-09-13,464903
2018-09-14,479901
2018-09-15,500962
2018-09-16,514316
2018-09-17,522364
2018-09-18,531124
2018-09-19,528094
2018-09-20,522006
2018-09-21,522300
2018-09-22,527481
2018-09-23,537124
2018-09-24,549198
2018-09-25,549198
2018-09-26,567341
2018-09-27,572670
2018-09-28,573559
2018-09-29,590838
2018-09-30,594365
2018-10-02,585909
2018-10-03,600773
2018-10-04,612410
2018-10-05,607281
2018-10-06,613016
2018-10-07,612753
2018-10-08,606932
2018-10-09,598765
2018-10-10,583388
2018-10-11,554218
2018-10-12,528032
2018-10-13,505762
2018-10-14,487568
2018-10-15,488026
2018-10-16,498040
2018-10-17,501418
2018-10-18,501231
2018-10-19,511281
2018-10-20,511281
2018-10-21,534625
2018-10-22,540102
2018-10-23,550931
2018-10-24,559051
2018-10-25,556619
2018-10-26,550374
2018-10-27,550922
2018-10-28,540514
2018-10-29,521746
2018-10-30,504331
2018-10-31,494100
2018-11-01,509098
2018-11-03,548172
2018-11-04,563279
