date_obj,Ensouled%20dagannoth%20head price
2016-12-19,3936
2016-12-20,3854
2016-12-21,3844
2016-12-22,3753
2016-12-23,3885
2016-12-24,3846
2016-12-25,3955
2016-12-26,3995
2016-12-27,4050
2016-12-28,4072
2016-12-29,4150
2016-12-30,4116
2016-12-31,4191
2017-01-01,4239
2017-01-02,4154
2017-01-03,4086
2017-01-04,4101
2017-01-05,4045
2017-01-06,3909
2017-01-07,3868
2017-01-08,3785
2017-01-09,3749
2017-01-10,3570
2017-01-11,3655
2017-01-12,3681
2017-01-13,3501
2017-01-14,3522
2017-01-15,3697
2017-01-16,3643
2017-01-17,3560
2017-01-18,3692
2017-01-19,3731
2017-01-20,3744
2017-01-21,3765
2017-01-22,3817
2017-01-23,3759
2017-01-27,4119
2017-01-28,4152
2017-01-29,4264
2017-01-30,4154
2017-01-31,4019
2017-02-01,3937
2017-02-02,3765
2017-02-03,3803
2017-02-04,3675
2017-02-05,3807
2017-02-06,3998
2017-02-07,4198
2017-02-08,4249
2017-02-09,4138
2017-02-10,4228
2017-02-11,4326
2017-02-12,4255
2017-02-13,4248
2017-02-14,4460
2017-02-15,4319
2017-02-16,4202
2017-02-18,4482
2017-02-19,4449
2017-02-20,4349
2017-02-21,4135
2017-02-22,4021
2017-02-23,3905
2017-02-24,4093
2017-02-25,4029
2017-02-26,4120
2017-02-27,4155
2017-02-28,3967
2017-03-01,3811
2017-03-02,3784
2017-03-03,3748
2017-03-04,3657
2017-03-05,3574
2017-03-06,3633
2017-03-07,3773
2017-03-08,3962
2017-03-09,3991
2017-03-10,4020
2017-03-11,3977
2017-03-12,3928
2017-03-13,3827
2017-03-14,3663
2017-03-15,3613
2017-03-16,3520
2017-03-17,3448
2017-03-18,3451
2017-03-19,3547
2017-03-20,3517
2017-03-21,3550
2017-03-22,3601
2017-03-23,3608
2017-03-24,3700
2017-03-25,3695
2017-03-26,3648
2017-03-27,3532
2017-03-28,3388
2017-03-29,3383
2017-03-30,3509
2017-03-31,3618
2017-04-01,3638
2017-04-02,3508
2017-04-03,3531
2017-04-04,3706
2017-04-12,3337
2017-04-13,3414
2017-04-14,3521
2017-04-15,3496
2017-04-16,3495
2017-04-17,3402
2017-04-18,3303
2017-04-19,3368
2017-04-20,3398
2017-04-21,3562
2017-04-22,3628
2017-04-23,3530
2017-04-24,3556
2017-04-25,3592
2017-04-26,3655
2017-04-27,3642
2017-04-28,3597
2017-04-29,3643
2017-04-30,3518
2017-05-01,3342
2017-05-02,3378
2017-05-03,3516
2017-05-04,3685
2017-05-05,3794
2017-05-06,3969
2017-05-07,3772
2017-05-08,3618
2017-05-09,3585
2017-05-10,3549
2017-05-11,3467
2017-05-12,3442
2017-05-13,3461
2017-05-14,3635
2017-05-16,3771
2017-05-17,3813
2017-05-18,3829
2017-05-19,3837
2017-05-20,3940
2017-05-21,3758
2017-05-22,3587
2017-05-23,3498
2017-05-24,3594
2017-05-25,3679
2017-05-26,3755
2017-05-27,3672
2017-05-28,3618
2017-05-29,3654
2017-05-30,3682
2017-05-31,3652
2017-06-01,3713
2017-06-02,3615
2017-06-03,3613
2017-06-04,3685
2017-06-05,3596
2017-06-06,3601
2017-06-07,3544
2017-06-08,3537
2017-06-09,3533
2017-06-10,3369
2017-06-11,3388
2017-06-12,3434
2017-06-13,3560
2017-06-14,3731
2017-06-15,3753
2017-06-16,3839
2017-06-17,3945
2017-06-18,3914
2017-06-19,3787
2017-06-20,3600
2017-06-21,3621
2017-06-22,3569
2017-06-23,3481
2017-06-24,3463
2017-06-25,3592
2017-06-26,3564
2017-06-27,3551
2017-06-28,3588
2017-06-29,3618
2017-06-30,3556
2017-07-01,3616
2017-07-02,3759
2017-07-03,3899
2017-07-04,3754
2017-07-05,3566
2017-07-06,3559
2017-07-07,3488
2017-07-08,3506
2017-07-13,3835
2017-07-14,3824
