date_obj,Runite%20bolts price
2016-02-05,233
2016-02-06,231
2016-02-07,230
2016-02-08,229
2016-02-09,225
2016-02-10,226
2016-02-11,225
2016-02-12,223
2016-02-13,231
2016-02-14,238
2016-02-15,234
2016-02-16,230
2016-02-17,229
2016-02-18,225
2016-02-19,221
2016-02-20,216
2016-02-21,220
2016-02-22,221
2016-02-23,225
2016-02-24,224
2016-02-25,221
2016-02-26,223
2016-02-27,225
2016-02-28,225
2016-02-29,223
2016-03-01,229
2016-03-02,224
2016-03-03,224
2016-03-04,225
2016-03-05,224
2016-03-06,220
2016-03-07,219
2016-03-08,223
2016-03-09,226
2016-03-10,226
2016-03-11,224
2016-03-12,227
2016-03-13,224
2016-03-14,224
2016-03-15,228
2016-03-16,235
2016-03-17,244
2016-03-18,253
2016-03-19,243
2016-03-20,236
2016-03-21,237
2016-03-22,239
2016-03-23,237
2016-03-24,236
2016-03-25,234
2016-03-26,231
2016-03-27,231
2016-03-28,233
2016-03-29,232
2016-03-30,232
2016-03-31,233
2016-04-01,233
2016-04-02,238
2016-04-03,242
2016-04-04,250
2016-04-05,251
2016-04-06,252
2016-04-07,258
2016-04-08,259
2016-04-09,251
2016-04-10,243
2016-04-11,246
2016-04-12,251
2016-04-13,260
2016-04-14,262
2016-04-15,265
2016-04-16,263
2016-04-17,261
2016-04-18,269
2016-04-19,268
2016-04-20,267
2016-04-21,273
2016-04-22,278
2016-04-23,283
2016-04-24,282
2016-04-25,280
2016-04-26,274
2016-04-27,266
2016-04-28,257
2016-04-29,245
2016-04-30,238
2016-05-01,240
2016-05-02,241
2016-05-03,237
2016-05-04,235
2016-05-05,227
2016-05-06,217
2016-05-07,206
2016-05-08,195
2016-05-09,185
2016-05-10,177
2016-05-11,171
2016-05-12,165
2016-05-13,162
2016-05-14,158
2016-05-15,153
2016-05-16,150
2016-05-17,152
2016-05-18,154
2016-05-19,154
2016-05-22,158
2016-05-23,164
2016-05-24,164
2016-05-25,162
2016-05-26,160
2016-05-27,159
2016-05-28,156
2016-05-29,152
2016-05-30,148
2016-05-31,148
2016-06-01,151
2016-06-02,153
2016-06-03,153
2016-06-04,153
2016-06-05,148
2016-06-06,149
2016-06-07,149
2016-06-08,150
2016-06-09,153
2016-06-10,158
2016-06-11,160
2016-06-12,156
2016-06-13,157
2016-06-14,156
2016-06-15,156
2016-06-16,160
2016-06-17,160
2016-06-18,161
2016-06-19,162
2016-06-20,163
2016-06-21,167
2016-06-22,168
2016-06-23,174
2016-06-24,174
2016-06-25,178
2016-06-26,185
2016-06-27,191
2016-06-28,195
2016-06-29,192
2016-06-30,182
2016-07-01,172
2016-07-02,168
2016-07-03,163
2016-07-04,159
2016-07-05,160
2016-07-06,162
2016-07-07,167
2016-07-08,167
2016-07-09,167
2016-07-10,173
2016-07-11,177
2016-07-12,180
2016-07-13,181
2016-07-14,182
2016-07-15,182
2016-07-16,180
2016-07-17,176
2016-07-18,176
2016-07-23,183
2016-07-24,184
2016-07-25,184
2016-07-26,185
2016-07-27,188
2016-07-28,190
2016-07-29,193
2016-07-30,192
2016-07-31,185
2016-08-01,181
2016-08-02,175
2016-08-03,169
2016-08-04,167
2016-08-05,164
2016-08-06,165
2016-08-07,166
2016-08-08,165
2016-08-09,165
2016-08-10,163
2016-08-11,159
2016-08-12,158
2016-08-13,155
2016-08-14,152
2016-08-15,155
2016-08-16,154
2016-08-17,153
2016-08-18,152
2016-08-19,149
2016-08-20,146
2016-08-21,143
2016-08-22,143
2016-08-23,145
2016-08-24,146
2016-08-25,146
2016-08-26,145
2016-08-28,141
2016-08-31,140
2016-09-01,142
2016-09-02,140
2016-09-03,139
2016-09-04,138
2016-09-05,137
2016-09-06,138
2016-09-07,138
2016-09-08,138
2016-09-09,138
2016-09-10,137
2016-09-11,134
2016-09-12,134
2016-09-13,133
2016-09-14,132
2016-09-15,130
2016-09-16,127
2016-09-17,127
