date_obj,Saradomin%20coif price
2015-03-26,17789
2015-03-27,17297
2015-03-28,17166
2015-03-29,16791
2015-03-30,16497
2015-03-31,16098
2015-04-01,15917
2015-04-02,15715
2015-04-03,15655
2015-04-04,15707
2015-04-05,15817
2015-04-06,15748
2015-04-07,15892
2015-04-08,16146
2015-04-09,16197
2015-04-10,16523
2015-04-11,16786
2015-04-12,17158
2015-04-13,17414
2015-04-14,17796
2015-04-15,17857
2015-04-16,17936
2015-04-17,18047
2015-04-18,18234
2015-04-19,18607
2015-04-20,18558
2015-04-21,18500
2015-04-22,18720
2015-04-23,18868
2015-04-24,19235
2015-04-25,19611
2015-04-26,20021
2015-04-27,20904
2015-04-28,21482
2015-04-29,21684
2015-04-30,21992
2015-05-01,22291
2015-05-02,22581
2015-05-03,22871
2015-05-04,23164
2015-05-05,23392
2015-05-06,23371
2015-05-07,23164
2015-05-08,22922
2015-05-09,23090
2015-05-10,23127
2015-05-11,22913
2015-05-12,22948
2015-05-13,22990
2015-05-14,22685
2015-05-15,22226
2015-05-16,22198
2015-05-17,21786
2015-05-18,21308
2015-05-19,20826
2015-05-20,20632
2015-05-21,20444
2015-05-22,20044
2015-05-23,20441
2015-05-24,20449
2015-05-25,20452
2015-05-26,20327
2015-05-27,20216
2015-05-28,20680
2015-05-29,20561
2015-05-30,20495
2015-05-31,20755
2015-06-01,21003
2015-06-02,20868
2015-06-03,21036
2015-06-04,21057
2015-06-05,21046
2015-06-06,20608
2015-06-07,20293
2015-06-08,20043
2015-06-09,19765
2015-06-10,19795
2015-06-11,19360
2015-06-12,18769
2015-06-13,18829
2015-06-14,18721
2015-06-15,18873
2015-06-16,19092
2015-06-17,19007
2015-06-18,19326
2015-06-19,19643
2015-06-20,20200
2015-06-21,20704
2015-06-22,20978
2015-06-23,20808
2015-06-24,21148
2015-06-25,21649
2015-06-26,21978
2015-06-27,22293
2015-06-28,22469
2015-06-29,22719
2015-06-30,23031
2015-07-01,23599
2015-07-02,23967
2015-07-03,24368
2015-07-04,23893
2015-07-05,23666
2015-07-06,23239
2015-07-07,23093
2015-07-08,22973
2015-07-09,22973
2015-07-10,22936
2015-07-11,22900
2015-07-12,22894
2015-07-13,22811
2015-07-14,22968
2015-07-15,22911
2015-07-16,22678
2015-07-17,22457
2015-07-18,22378
2015-07-19,22093
2015-07-20,22200
2015-07-21,22128
2015-07-22,22164
2015-07-23,21985
2015-07-24,21953
2015-07-25,22087
2015-07-26,21951
2015-07-27,21952
2015-07-28,21549
2015-07-29,21373
2015-07-30,21275
2015-07-31,21479
2015-08-01,20901
2015-08-02,21030
2015-08-03,20957
2015-08-04,20933
2015-08-05,21273
2015-08-06,21571
2015-08-07,22123
2015-08-08,23042
2015-08-09,23765
2015-08-10,24438
2015-08-11,25119
2015-08-12,25533
2015-08-13,25812
2015-08-14,26066
2015-08-15,26851
2015-08-16,26787
2015-08-17,26757
2015-08-18,26717
2015-08-19,27149
2015-08-20,27758
2015-08-21,27503
2015-08-22,27434
2015-08-23,27783
2015-08-24,27712
2015-08-25,27712
2015-08-26,27968
2015-08-27,27771
2015-08-28,27877
2015-08-29,27537
2015-08-30,27178
2015-08-31,27284
2015-09-01,27293
2015-09-02,27554
2015-09-03,27606
2015-09-04,26908
2015-09-05,26417
2015-09-06,26191
2015-09-07,25805
2015-09-08,25497
2015-09-09,25145
2015-09-10,24438
2015-09-11,23831
2015-09-12,23320
2015-09-13,23137
2015-09-14,23013
2015-09-15,22600
2015-09-16,22500
2015-09-17,22521
2015-09-18,22194
2015-09-19,22311
2015-09-20,22311
2015-09-21,21598
2015-09-22,20518
2015-09-23,19649
2015-09-24,19341
2015-09-25,19256
2015-09-27,18625
2015-09-28,18451
2015-09-29,18109
2015-09-30,17769
2015-10-05,16510
